འཕགས་པ་སྤོབས་པའི་བློ་གྲོས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Pratibhānamati
མཁས་པ་རྣམས་ནི་སློབ་དཔོན་ཚིག་ལ་མཆོད་པར་བྱེད། ། ||| These learned ones venerate the words of their masters.
གང་དག་ཕྱོགས་བཅུ་རྣམས་ཀྱི་འཇིག་རྟེན་མ་ལུས་ལ། །བདག་དང་བུ་གཅིག་བྱིས་པ་རྣམས་དང་འདྲར་མཐོང་བ། ། ||| “They consider everyone in every world, in all directions, To be like themselves or their only child.
དེ་དག་སྲིད་པ་ཀུན་དུ་མྱ་ངན་མེད་ངེས་འགྱུར། ། ||| They are unequivocally free from the suffering of cyclic existence.
ཤིན་ཏུ་རྣམ་དག་ཐུགས་མངའ་སངས་རྒྱས་རྣམས་ཀྱང་མཐོང་། ། ||| Their awakened minds are extremely pure and they behold the buddhas.
གང་དག་ཤེས་རབ་རིན་ཆེན་ཆེན་པོ་འབྱོར་མཛད་རྣམས། །ཉིན་དང་མཚན་དུ་དགེ་བ་ཀུན་དུ་སྤྱོད་པར་བྱེད། ། ||| “They who bring about the wealth of great jewel-like wisdom Practice virtue day and night.
འདིར་ནི་རྨད་དུ་བྱུང་བའི་འོད་དང་ལྡན་པ་རྣམས། །འཇིག་རྟེན་མུན་པ་ཆེ་ལ་སྣང་བ་མཆོག་བྱེད་འགྱུར། ། ||| These beings who are endowed with miraculous light Bring the brightest light to the deepest darkness of the world.
ཀུན་དུ་ཆོས་རྣམས་ཐམས་ཅད་རབ་ཏུ་རྣམ་ཕྱེ་ནས། །སངས་རྒྱས་ལམ་ལས་མཆོག་ནི་གཞན་མེད་པར། ། ||| “Perceiving every single phenomenon, They are certain that there is nothing higher than the path to buddhahood.
ངེས་པར་བྱས་ནས་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་གྱི། །མཐར་ཐུག་འགྲོ་བར་འགྱུར་བའི་རྒྱུ་ནི་ཤེས་པར་འགྱུར། ། ||| They understand that this is the cause for reaching The ultimate limit of the world, including its gods.”
དེ་ནས་ཚོང་དཔོན་སྤོབས་པའི་བློ་གྲོས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཐོས་ནས་ཚིམ་ཞིང་མགུ་སྟེ། ||| As he heard this Dharma teaching, the merchant Pratibhānamati was satisfied and content.
ཡི་རངས་ནས་རབ་ཏུ་དགའ་སྟེ། ||| He rejoiced and was truly delighted.
དགའ་བ་དང་། ཡིད་བདེ་བ་སྐྱེས་ནས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་ནས། ||| Joyful and happy, he gained the acceptance that phenomena are unborn.
ཚོང་དཔོན་གྱི་བུ་ལྔ་བརྒྱ་ཙམ་པོ་དང་། སོ་སོའི་གཡོག་འཁོར་ལྔ་བརྒྱ་ཙམ་པོ་དེ་དག་ནི་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་ཐོབ་བོ། ། ||| The five hundred merchant children and each of their entourage of five hundred attained the unclouded and stainless Dharma eye that perceives all phenomena.
བཅོམ་ལྡན་འདས་ཀྱི་འཁོར་གྱི་དཀྱིལ་འཁོར་དུ་ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དང་། མི་མ་ཡིན་པ་ཇི་སྙེད་འདུས་པར་གྱུར་པ་དེ་དག་ཐམས་ཅད་ཀྱིས་ནི་ཅི་བསམས་པ་བཞིན་གྱི་ཐེག་པ་རྣམས་ལ་སེམས་བསྐྱེད་དོ། ། ||| All the gods, nāgas, yakṣas, gandharvas, asuras, garuḍas, kinnaras, mahoragas, humans, and non-humans assembled in the retinue of the Blessed One developed a motivation for one of the vehicles in accord with their inclinations.
ཅི་འདོད་པ་བཞིན་དུ་ཕུན་སུམ་ཚོགས་པ་ཡང་ཐོབ་ཅིང་། མེ་ཏོག་དང་། སྤོས་དང་། ཕྲེང་བ་དང་། གོས་དང་། རྒྱན་ལ་སོགས་པ་དཔག་ཏུ་མེད་པ་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་གཏོར་ཏོ། ། ||| They abundantly gained whatever they wished for and scattered incalculable masses of flowers, incense, garlands, clothing, and jewelry toward the Blessed One.
དེ་ནས་ཚོང་དཔོན་སྤོབས་པའི་བློ་གྲོས་སྟན་ལས་ལངས་ཏེ། ||| Then, the merchant Pratibhānamati stood up,
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| draped his shawl over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| With palms together he bowed toward the Blessed One and said,
བཅོམ་ལྡན་འདས་ཁམས་གསུམ་པའི་བླ་མས་ཆོས་ལྔ་པོ་འདི་དག་ལེགས་པར་གསུངས་པ་ ||| “Blessed One, the masters of the three realms teach these five qualities.
ལེགས་སོ་ལེགས་སོ། ། ||| Excellent. Excellent.
ཆོས་ལྔ་པོ་དེ་དག་ཐོས་ནས་འཁོར་འདི་ཡིད་བཞིན་དུ་ཐམས་ཅད་རྫོགས་པར་དོན་གྲུབ་པར་གྱུར་ལགས་སོ། ། ||| Hearing about these five qualities, this retinue has understood the meaning, just as is intended.
མ་འོངས་པའི་སེམས་ཅན་རྣམས་ཀྱང་འདི་ཉིད་ཐོས་ནས་ནག་པོའི་ཕྱོགས་སྤངས་ཏེ ||| When beings in future times hear of this teaching, they will abandon non-virtue, do what is virtuous,
དཀར་པོའི་ཕྱོགས་ལ་ཞུགས་ཤིང་བརྟུལ་ཞུགས་འགྲུབ་པར་འགྱུར་ལགས་སོ། ། ||| and take up religious practice.
བཅོམ་ལྡན་འདས་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་སང་བདག་གི་སྡུམ་པར་སྤྱན་འདྲེན་ན་ ||| “Blessed One, please come together with your saṅgha of monks to my home.
བདག་ཅག་ལ་ཐུགས་བརྩེ་བའི་སླད་དུ་ཁྱོད་ཀྱིས་དེ་ལྟར་གནང་བར་མཛད་དུ་གསོལ། ||| Please accept this invitation out of compassion for us.”
བཅོམ་ལྡན་འདས་ཀྱིས་ཚོང་དཔོན་སྤོབས་པའི་བློ་གྲོས་ལ་ཐུགས་བརྩེ་བའི་སླད་དུ་གནང་བར་མཛད་དོ། ། ||| The Blessed One agreed out of compassion for the merchant Pratibhānamati.
དེ་ནས་ཚོང་དཔོན་སྤོབས་པའི་བློ་གྲོས་བཅོམ་ལྡན་འདས་ཀྱིས་གནང་བར་རིག་ནས་ཚིམ་ཞིང་མགུ་སྟེ་ཡི་རངས་ནས་རབ་ཏུ་དགའ་སྟེ། ||| Knowing that the Blessed One had accepted his invitation, Pratibhānamati was satisfied and content.
དགའ་བ་དང་ཡིད་བདེ་བ་སྐྱེས་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ||| He rejoiced and was truly delighted.
བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས་གཡོག་འཁོར་དང་བཅས་ཏེ། ||| Happy and joyful, he bowed his head to the feet of the Blessed One, circumambulated him three times, and
བཅོམ་ལྡན་འདས་ཀྱི་ཐད་ནས་སོང་ངོ་། ། ||| departed together with his retinue.
དེ་རང་གི་ཁྱིམ་དུ་སོང་ནས་ཕ་མ་གཉིས་ཀྱི་རྐང་པ་ལ་ཕྱག་བྱས་ཏེ་ཐལ་མོ་སྦུག་སྦུག་པོར་སྦྱར་ནས་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| When he arrived home, he bowed to the feet of his parents and told them with joined palms,
ཡབ་ཡུམ་འདི་ལྟར་གང་འཇིག་རྟེན་ན་ཤིན་ཏུ་དཀོན་མཆོག་གཤེགས་པ་བླ་ན་མེད་པ་ཆོས་ཀྱི་རྒྱལ་པོ་ཁམས་གསུམ་པ་ཐམས་ཅད་ལས་འདས་པ་བཅོམ་ལྡན་འདས་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་སང་བདག་གིས་གདུགས་ཚོད་ལ་སྤྱན་དྲངས་ན། ||| “Father, Mother, I have something to tell you. I have invited he who is rare and supreme in the world, the unsurpassed being, the king of Dharma, he who has transcended the three realms, the Blessed One himself, to come and take his midday meal here with his congregation of monks.
དེས་ཀྱང་བདག་ཅག་ལ་ཐུགས་བརྩེ་བའི་སླད་དུ་གནང་ལགས་ཀྱིས་མཁྱེན་པར་མཛོད་ཅིག ། ||| Out of compassion for us, he has accepted!”
དེ་ནས་སྤོབས་པའི་བློ་གྲོས་ཀྱི་ཕ་མ་དག་ཡིད་དགའ་སྟེ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| Pratibhānamati’s father and mother were delighted and praised him,
བུ་ལེགས་སོ། ། ||| “Son, that is excellent!
ཁྱོད་ཀྱིས་ལེགས་པར་བྱས་སོ་ཞེས་མངོན་པར་བསྟོད་དེ། ||| You have done well!”
དེ་བཞིན་གཤེགས་པ་མཆོད་པའི་ལས་ལ་སྤྲོ་བར་གྱུར་ཏོ། ། ||| They were excited to venerate the Thus-Gone One.
དེ་ནས་སྤོབས་པའི་བློ་གྲོས་ཀྱིས་རང་གི་ཆུང་མ་པད་མ་གཡོག་འཁོར་དང་བཅས་པ་ལ་བསྒོ་བ། བཟང་མོ་ཁྱོད་ཀྱིས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འཁོར་དང་བཅས་པའི་དོན་དུ་བཟའ་བ་དང་བཏུང་བ་རོ་བརྒྱ་དང་ལྡན་པ་མང་བ་དང་བསོད་པར་སྦྱོར་ཅིག ། ||| Pratibhānamati then instructed his wife Padma and her servants, “My dear, please prepare fine food and drink with many hundreds of flavors for the blessed, thus-gone, worthy, perfect Buddha and his retinue.
སྦྱར་ནས་ཀྱང་ཁྱིམ་ཐམས་ཅད་ཆག་ཆག་གདབ་པ་དང་། ཕྱག་དར་བྱ་བ་དང་། བླ་རེ་བྲེ་བ་དང་། དར་གྱི་ལྡ་ལྡི་གདགས་པ་དང་། མེ་ཏོག་ཆལ་པར་དགྲམ་པ་དང་། བདུག་སྤོས་དྲི་ཞིམ་པོས་བདུག་པར་བྱེད་དུ་བཅུག་ལ། ||| Once the food has been prepared, scatter water, sweep the house, set up the canopies, hang the silken tassels, scatter flower petals, and perfume the environment with fragrant incense.
དེ་བཞིན་གཤེགས་པ་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་པའི་གདན་ཅི་འོས་སུ་ཐིང་སྟེ ||| Lay out seats befitting the Thus-Gone One and his congregation of monks.
མཆོད་ཡོན་དང་ཞབས་ལ་དབུལ་བ་སྤྱན་སྔར་བཞག་པས་བཅོམ་ལྡན་འདས་དམ་པ་དེ་ལ་སྡོད་ཅིག་ཅེས་བསྒོ་སྟེ། ||| Once he has been received and the offerings laid before him at his feet, you should invite the sublime Blessed One to take his seat.”
སྤོབས་པའི་བློ་གྲོས་མཛའ་བཤེས་དང་། བློན་པོ་དང་། ཉེ་དུ་དང་། རྒན་རབས་ལ་སོགས་པ་དང་ལྷན་ཅིག་འགྲོགས་ཤིང་ཇི་སྐད་སྨྲས་པ་ཐམས་ཅད་བྱས་སོ། ། ||| Pratibhānamati came together with friends, dignitaries, kin, and elders, and they all did exactly as he said.
དེ་ནས་བཅོམ་ལྡན་འདས་དེའི་མཚན་མོ་འདས་ནས་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་ཏུ་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་སྐྱེད་མོས་ཚལ་ཆེན་པོ་ནས་བྱུང་ནས། ||| The next morning the Blessed One left Jeta Grove in Anāthapiṇḍada’s park and traveled together with the saṅgha of monks to Śrāvastī
སེམས་ཅན་རྣམས་ལ་ཐུགས་བརྩེ་བས་དེ་བཞིན་གཤེགས་པའི་རྫུ་འཕྲུལ་གྱི་དཔལ་རྣམ་པར་འཕྲུལ་པ་ཡང་དག་པར་བསྟན་པའི་རོལ་པས་ཆོ་འཕྲུལ་དང་བཅས་པས་མཉན་དུ་ཡོད་པའི་གྲོང་ཁྱེར་ཆེན་པོར་གཤེགས་སོ། ། ||| out of kindness for beings. They did so accompanied by miraculous displays manifested by the Thus-Gone One’s splendid magical powers.
གཤེགས་ནས་ཀྱང་རིམ་གྱིས་སྤོབས་པའི་བློ་གྲོས་ཀྱི་ཁྱིམ་ག་ལ་བ་དེ་ལོགས་སུ་བཞུད་དོ། ། ||| Gradually they made their way to Pratibhānamati’s home.
དེ་ནས་སྤོབས་པའི་བློ་གྲོས་གཡོག་འཁོར་དང་བཅས་པས་བཅོམ་ལྡན་འདས་བསུ་ནས་མཆོད་ཡོན་དང་ཞབས་ལ་འབུལ་བས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས། ||| Pratibhānamati and his entourage greeted the Blessed One, received him as a guest, made offerings at his feet, and bowed their heads to his feet.
བཅོམ་ལྡན་འདས་ཞབས་འབྲིང་བ་དང་བཅས་པར་ཁྱིམ་གྱི་ནང་དུ་གཤེགས་ཏེ། ||| He then entered the home along with his entourage.
བཅོམ་ལྡན་འདས་ནི་ཅི་འོས་པའི་གདན་མཆོག་ལ་བཞུགས་སོ། ། ||| The Blessed One sat on an excellent cushion, which befitted him,
དགེ་སློང་གི་དགེ་འདུན་ནི་ཅི་འོས་པ་ལ་འཁོད་དོ། ། ||| and the congregation of monks took their appropriate seats.
དེ་ནས་སྤོབས་པའི་བློ་གྲོས་ཀྱི་ཕ་མ་དང་། སླས་དང་། མཛའ་བཤེས་དང་། བློན་པོ་དང་། ཉེ་དུ་དང་། རྒན་རབས་རྣམས་ནི་ཡིད་དགའ་ཞིང་འདུད་ལ། བླ་མ་ལ་གུས་པ་དང་། ||| Pratibhānamati’s parents, close friends, friends, dignitaries, relatives, and elders were delighted and bowed down;
གཅེས་པར་བྱེད་པ་ཆེན་པོས་བཅོམ་ལྡན་འདས་དགེ་སློང་གི་དགེ་འདུན་དང་ཐབས་ཅིག་པ་ལ་འདྲིམ་པར་རྩོམ་མོ། ། ||| they paid respect to the master and with great affection began to serve the Blessed One and the assembly of monks.
སྤོབས་པའི་བློ་གྲོས་ནི་མེ་ཏོག་དང་། སྤོས་ཆུར་བཅས་པས་བཀང་བའི་རིལ་བ་ཐོགས་ནས་སྟོན་པའི་སྤྱན་སྔར་འདུག་པར་གྱུར་ཏོ། ། ||| Pratibhānamati, holding a bowl filled with flowers and scented water, sat in front of the Teacher.
ཡང་དེའི་ཚེ་སྡུག་བསྔལ་བའི་གྲོགས་པོ་གཉིས་ཤིག་སྤོབས་པའི་བློ་གྲོས་ཀྱི་ཁྱིམ་དུ་ཕྱིན་པར་གྱུར་ནས། ||| At that time, two friends in anguish came to Pratibhānamati’s home.
དེ་གཉིས་ལས་གཅིག་ནི་དགེ་འདུན་གྱི་ནང་དུ་ཞུགས་སོ། ། ||| One of them sat among the saṅgha.
དེའི་ཚེ་དགེ་སློང་ཐམས་ཅད་ལ་བཟའ་བ་དང་། བཏུང་བ་འབྱོར་ཚོགས་ཞེས་མ་སྨྲས་ལ། ||| However, as he did not ask all the monks whether he could partake of their food and drink and,
བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་རྗེས་སུ་ཐུགས་རང་བ་མ་གསུངས་པས། དེ་གང་གིས་ཀྱང་ཅི་ཡང་མ་བྱིན་ནས ||| moreover, the Blessed One had not offered the meal prayer, nobody gave him anything.
དེ་ཁྲོས་ཏེ་ཕྱིར་བྱུང་ནས་འདི་སྙམ་དུ་ཀྱེ་མ་སྡུག་བསྔལ་བ་བདག་ལ་གང་གིས་ཅི་ཡང་མ་བྱིན་པ་ནི། དགེ་སྦྱོང་བདག་ཉིད་ངན་པ་རྣམས་ཏེ། ||| He became enraged and left, thinking, “Ah, nobody has given anything at all to me, the victim. These are terrible mendicants.
སེམས་ཉེ་བར་ཞི་བ་མ་ཡིན་ཞིང་། སྙིང་རྗེ་མེད་ལ་བྱམས་པའི་སེམས་དང་ལྡན་པ་མ་ཡིན་པ་དག་གོ། ། ||| Their minds are not peaceful, they have no compassion, and neither do they have loving minds.
གང་དེ་དག་ལ་བྱིན་ཡང་འབྲས་བུ་མེད་པ་དེ་ལྟ་བུ་དག་ལ་སྦྱིན་པར་བྱེད་པ་ནི་སྦྱིན་བདག་བླུན་པོ་སྟེ། ||| Giving to them is fruitless. Only foolish sponsors would give to that sort.
གལ་ཏེ་བདག་རྒྱལ་པོར་གྱུར་ན་ཐམས་ཅད་ཀྱི་མགོ་ལྕགས་ཀྱི་འཁོར་ལོས་གཅད་དོ་སྙམ་དུ་སེམས་པར་གྱུར་ཏོ། ། ||| If I were king, I would slice off all their heads with an iron disc.”
དེ་ནས་དེའི་འོག་ཏུ་དགེ་སློང་ཐམས་ཅད་ལ་བཟའ་བ་དང་། བཅའ་བ་དག་འབྱོར་ཚོགས་ཞེས་བྱས་ཤིང་། ||| The other fellow, however, inquired whether the monks had abundant food and drink, and
བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་རྗེས་སུ་ཐུགས་རང་བར་མཛད་པ་དང་། ཅིག་ཤོས་འོངས་པར་གྱུར་ཏོ། ། ||| he approached after the Buddha had offered the meal prayer.
དེས་ནི་བཟའ་བ་དང་། བཏུང་བ་མང་བ་དང་། བསོད་པ་ཐོབ་ནས་དེ་ཡི་རངས་ཏེ། ||| He then received a satisfying abundance of food and drink, and was deeply contented.
ཕྱིར་བྱུང་ནས་འདི་སྙམ་དུ་ཀྱེ་མ་སྡུག་བསྔལ་བ། བདག་ལ་གང་དག་གིས་བཟའ་བ་དང་། བཏུང་བ་མང་བ་དང་། བསོད་པ་བྱིན་པ་ནི་དགེ་སྦྱོང་བདག་ཉིད་ཆེན་པོ་རྣམས་ཏེ། ||| He went outside and thought, “Ah! These great mendicants who have given me, a sufferer,
སྙིང་བརྩེ་བར་བྱེད་ལ་སེམས་ཉེ་བར་ཞི་བ་ཡིན་ཞིང་། བྱམས་པའི་བདག་ཉིད་ཅན་དག་གོ། ། ||| a satisfying abundance of food and drink are compassionate. They have peaceful minds and loving characters.
འདིས་ནི་བདག་ཞག་བདུན་དུ་ཚིམ་པར་འགྱུར་བར་བྱས་སོ། ། ||| This will satisfy me for a full week.
གང་འདི་དག་ལ་བྱིན་ན་འབྲས་བུ་ཆེ་བ་སྦྱིན་གནས་ཆེན་པོ་འདི་ལྟ་བུ་དག་ལ་སྦྱིན་པར་བྱེད་པ་ནི་སྦྱིན་བདག་ཆེན་པོ་མཁས་པ་སྟེ། ||| It is a wise and fine patron who gives to such excellent objects of generosity. Such generosity bears great fruit.
ལེགས་སོ། ། ||| Excellent!
གལ་ཏེ་བདག་རྒྱལ་པོར་གྱུར་ན་སངས་རྒྱས་ལ་སོགས་པ་དགེ་སློང་གི་དགེ་འདུན་ལ་ཞག་བདུན་དུ་བསྙེན་བཀུར་ཐམས་ཅད་ཀྱིས་རིམ་གྲོ་བྱེད་པར་གྱུར་ཅིག་སྙམ་དུ་སེམས་པར་གྱུར་ཏོ། ། ||| If I were king, I would honor the saṅgha of monks, including the Buddha, through all means of service for seven days. May it be so!”
དེ་ནས་བཅོམ་ལྡན་འདས་གདུགས་ཚོད་གསོལ་ནས། ||| Then the Blessed One was served the midday meal.
བསྩང་སྡེར་གྱུ་སྟེ་ཕྱག་བཅབས་ནས། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ||| He cleaned his bowl, washed his hands, and then spoke to Venerable Ānanda,
ཀུན་དགའ་བོ་དེང་ཕྱིན་ཆད་བཟའ་བ་དང་། བཏུང་བ་མ་བླངས་པ་ཉིད་དུ་རྗེས་སུ་ཡི་རང་བརྗོད་ཅིག ། ||| “Ānanda, henceforth speak well of those who do not take food and drink.”
དེ་ནས་སྤོབས་པའི་བློ་གྲོས་གཡོག་འཁོར་དང་བཅས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔར་འདུག་གོ། ། ||| Pratibhānamati and his entourage sat in front of the Blessed One,
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་ཡང་དག་པར་དགའ་བ་དང་། ཡང་དག་པར་གཟེངས་བསྟོད་པ་དང་། ཡང་དག་པར་འཛིན་དུ་གཞུག་པ་སྔོན་དུ་མཛད་པའི་ཆོས་ཀྱི་གཏམ་སེམས་ཅན་མང་པོའི་དགེ་བའི་རྩ་བ་རྣམ་པ་སྣ་ཚོགས་བསྐྱེད་པར་མཛད་དེ ||| who gave them a delightful, praiseworthy, applicable, and lucid Dharma talk that produced roots of virtue in a multitude of beings.
གདན་ལས་བཞེངས་ནས་བཞུད་དེ། རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་དུ་གཤེགས་ནས་དེ་ན་བཞུགས་སོ། ། ||| Then he rose from his seat and went back to Jeta Grove.
དེ་ནས་སྡུག་བསྔལ་བ་དེ་གཉིས་འཁོར་འཁོར་འཁྱམ་འཁྱམ་སྟེ། ||| Then, those two anguished men wandered about and
ཡུལ་གཞན་ཞིག་ཏུ་སོང་ནས་ཕ་ཟད་ཚུ་ཟད་ཙམ་གྱི་ཕྱོགས་སུ་ཉལ་བར་གྱུར་ཏོ། ། ||| thus ended up taking rest in different parts of the land.
དེར་བསོད་ནམས་ཀྱི་ལས་ཅན་དེ་ལ་སྟེང་གི་ནམ་མཁའ་ལ་གྲིབ་མའི་དོན་དུ་སྤྲིན་གྱི་བླ་རེ་གློག་དང་རླུང་འབྱུང་བ་དང་བཅས་པ་རབ་ཏུ་གནས་པར་གྱུར་ཏོ། ། ||| As they laid down, a canopy of clouds filled with lightning and wind hovered in the sky above the meritorious one, thus shading him.
དེའི་ཚེ་ཡུལ་དེ་ན་རྒྱལ་པོ་གང་ཡིན་པ་དེ་འཆི་བའི་དུས་བྱས་སོ། ། ||| At that time, the king of that country passed away.
དེ་ན་གང་རྒྱལ་སྲིད་ལ་དབང་བསྐུར་བར་བྱ་བའི་རྒྱལ་པོའི་མཚན་དང་ལྡན་པ་ཡང་གཞན་མེད་དོ། ། ||| Since there was no one else in the region who had sufficient royal qualities to be entrusted with the country,
དེ་ན་ཚོང་དཔོན་དང་། གྲོང་མི་དང་། ཡུལ་མི་དང་། བློན་པོ་ཆེན་པོ་དང་། བློན་པོ་དང་། སྒོ་བ་དང་། འཁོར་ན་འཁོད་པ་རྣམས་ནི། མཚན་མཁན་དང་། ལྟས་མཁན་དང་། སྐར་མ་དང་། གཟའ་སྤྱོད་པ་ལ་མཁས་པ་ལ་རྒྱལ་པོར་འགྱུར་བ་སུ་ཡོད་ཅེས་བརྩོན་པར་གྱུར་ཅིང་འདྲིའོ། ། ||| the citizens, including the merchants, townspeople, village folk, high ministers, ministers, guards, and retainers diligently inquired among diviners, soothsayers, and those skilled in the movements of the stars and planets as to who should become their king.
དེས་སྨྲས་པ། སྐྱེས་བུ་དབུལ་པོ་མཚན་དང་ལྡན་པ་ཞིག་ཡོད་དོ། ། ||| The reply was, “There is a poor man who is qualified.
དེ་ནི་རྒྱལ་པོར་འགྱུར་རོ། ། ||| He should become king.”
དེ་ནས་དེ་དག་རྒྱན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པ་རྒྱལ་པོ་ལ་འོས་པ་རིན་ཐང་ཆེ་བའི་ཁྲི་སྟན་བཟང་པོ་གསེར་གྱི་རྐང་རྟེན་དང་བཅས་པ་དང་། ||| So they set out from the royal capital bearing a marvelous throne of incredible value—extensively ornamented and suitable for a king—along with a golden footstool.
ཡུ་བ་ནོར་བུ་ལས་བྱས་པའི་གདུགས་དཀར་པོ་དང་། ཡུ་བ་གསེར་ལས་བྱས་ཤིང་ནོར་བུ་དང་ལྡན་པའི་རྔ་མའི་བསིལ་ཡབ་དང་། ||| They carried white parasols with jeweled handles, fans with golden handles and jeweled tails, and
སྤོས་ཆུས་བཀང་བའི་བུམ་པ་དུ་མ་དང་། མེ་ཏོག་དང་། རྒྱན་ཕྲེང་དང་། གོས་དང་། དབུ་རྒྱན་དང་། ཐོད་དང་བཅས་པ་ལ་སོགས་པའི་རྒྱན་དང་། སྤོས་ཀྱི་ཕུར་མ་དང་། སློ་མ་དག་ཐོགས་ཏེ ||| many vases filled with perfumed water, as well as baskets of flowers, garlands of jewels, raiment, crowns, headwear and other such ornamentation, and fragrant powders.
སིལ་སྙན་དང་། ཕེག་རྡོག་པ་དང་། གླུ་དབྱངས་དང་བཅས་པ་དག་དང་། རྒྱལ་པོའི་ཕོ་བྲང་འཁོར་ནས་བྱུང་སྟེ། ཀུན་ནས་དེ་ཀུན་ཏུ་བཙལ་ཏོ། ། ||| Accompanied by cymbals, drums, and singing, they searched everywhere for that impoverished man.
ལྟས་མཁན་དེས་སྤྲིན་གྱི་ཚོགས་ཀྱིས་བཀབ་པའི་ཕྱོགས་དེ་མཐོང་སྟེ། མཐོང་ནས་ཀྱང་དེ་དག་ལ་སྨྲས་པ། ||| The diviner saw a region shrouded by a bank of clouds and said to them,
གྲོགས་པོ་དག་ཁྱེད་ཅག་གིས་སྤྲིན་སྔོན་པོའི་དཀྱིལ་འཁོར་གྱིས་ཁེབས་པ་དགའ་ཞིང་གསལ་བའི་ཕྱོགས་དེ་མཐོང་ངམ། ||| “Friends, do you see that pleasant and clear region covered by a dark circle of clouds?”
དེ་དག་གིས་སྨྲས་པ། གྲོགས་པོ་མཐོང་ངོ་། ། ||| They responded, “Friend, we see it!”
དེས་སྨྲས་པ། དེ་ན་རྒྱལ་པོའི་མཚན་དང་ལྡན་པའི་སྐྱེས་བུ་དེ་འདུག་སྟེ། ||| The diviner said, “That is where the person with the royal attributes rests.
དེའི་བསོད་ནམས་ཀྱི་ལས་ཀྱིས་གྲིབ་མའི་དོན་ཏུ་སྤྲིན་དེ་དག་འདུས་སོ། ། ||| His meritorious karma has caused those clouds to gather to shade him.”
དེ་ནས་དེ་དག་དེར་དོང་ནས། སིལ་སྙན་དང་། གླུ་དབྱངས་ཀྱི་སྒྲས་སྦྲན་ཏེ་ ||| So they traveled to that spot, announcing themselves with cymbals and song.
བཏུད་ནས་དེ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| They bowed down and requested,
དབང་བསྐུར་བ་བཞེས་ལ་རྒྱལ་པོར་གྱུར་ཅིག ། ||| “Accept the coronation and become our king!”
དེས་སྨྲས་པ། ཁོ་བོ་ལྟ་བུ་རྒྱལ་པོའི་འོས་ག་ལ་ཡིན། ||| The poor man objected, “How could it be that someone like me is fit to be king?”
དེ་དག་གིས་སྨྲས་པ། བསོད་ནམས་ཀྱི་ལས་ཅན་ཁྱོད། ||| But they responded, “Because you are someone with merit.
དེ་སྐད་མ་ཟེར་བར་གདོན་མི་ཟ་བར་རྒྱལ་པོ་བྱ་དགོས་སོ། །སྨྲས་པ། ||| Do not say such things. It is undeniable that you must be king!”
