༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ལ་ལི་ཏ་བི་སྟཱ་ར་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Play in Full
།གཡོན་རོལ་ནས་ཉེས་པར་བསམ་པ་སེམས་པས་སྨྲས་པ། ||| From the left side, Duścintita­cintin said:
བདག་གིས་གང་བསམས་མྱུར་དུ་འདིར་འགྲུབ་ན། ||| “Whatever I wish for is quickly accomplished,
།དེ་ནི་ཅི་སླད་དཔུང་ཚོགས་འདི་མི་ལྟ། །གང་ཕྱིར་ལངས་ཏེ་མྱུར་དུ་མི་འབྲོས་པས། །དེ་ནི་གླེན་པ་ཆོ་ག་མ་འཚལ་བ། ||| So why does he not look at us with circumspection? He must be either deluded or ignorant Since he does not rise up quickly and flee.”
།གཡས་རོལ་ནས་དོན་ལེགས་པར་བསམ་པ་སེམས་པ་ཞེས་བྱ་བས་སྨྲས་པ། ||| From the right side, Sucintitārtha said:
དེ་ནི་མི་གླེན་ཕ་རོལ་གནོན་པ་སྟེ། ||| “He is neither a fool nor a weakling;
།ཁྱེད་ཅག་གླེན་ཞིང་ཤིན་ཏུ་མ་བསྡམས་པ། ||| You yourselves are the fools, so extremely careless.
།ཁྱེད་ཀྱིས་དེ་ཡི་མཐུ་རྩལ་ཡོང་མི་ཤེས། ||| You have no idea about his valor;
།དེ་ཡི་ཤེས་རབ་སྟོབས་ཀྱིས་ཐམས་ཅད་ཕམ། ||| The power of his insight will conquer you all.
།བདུད་ཀྱི་བུ་ནི་གང་གཱའི་བྱེ་མ་སྙེད། །ཁྱེད་ཅག་རྣམས་ཀྱིས་དེ་འདྲའི་མཐུ་རྩལ་ཅན། ||| “Even with the strength of demonic sons Equal in number to the grains of sand in the river Ganges,
།དེ་ཡི་བ་སྤུ་གཅིག་ཀྱང་གཡོས་མི་ནུས། ||| You would not be able to bend a single hair on his head,
།གསད་པར་བསམས་པ་མི་འགྲུབ་སྨོས་ཅི་དགོས། ||| So how much less could you kill him?
།ཁྱོད་ནི་དེ་ལ་ཡིད་ཀྱིས་གནོད་མ་སེམས། ||| “Do not corrupt your minds;
།གུས་དང་བཅས་པར་དད་པའི་སེམས་སུ་གྱིས། ||| Instead you should respect him with devotion.
།འདི་ནི་སྲིད་གསུམ་རྒྱལ་པོར་གྱུར་པས་ན། ||| He is about to become king of the three realms;
།འཐབ་མོ་མ་བྱེད་པར་ནི་སླར་ལོག་ཤིག །དེ་བཞིན་དུ་སྦྱར་ཏེ་དེ་ལྟར་བདུད་ཀྱི་བུ་དཀར་པོའི་ཕྱོགས་པ་དང་ནག་པོའི་ཕྱོགས་པ་སྟོང་དུ་ཚང་བ་དེ་དག་ཐམས་ཅད་ཀྱིས་སོ་སོ་ནས་བདུད་སྡིག་ཅན་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་སོ། ||| Turn back and do not make war.” In this way a thousand of Māra’s sons, both good and bad, each further addressed Māra, the evil one, in verses.
།དེ་ནས་བདུད་སྡིག་ཅན་གྱི་སྡེ་དཔོན་སྡེ་བཟང་པོ་ཞེས་བྱ་བ་དེས་བདུད་སྡིག་ཅན་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་པ། ||| At the end, Bhadrasena, the general of Māra, spoke these verses to him:
།གང་དག་ཁྱོད་ཀྱི་རྗེས་འབྲང་བརྒྱ་བྱིན་དང་། །སྐྱོང་དང་མིའམ་ཅི་ཡི་ཚོགས་རྣམས་དང་། །ལྷ་མིན་དབང་དང་མཁའ་ལྡིང་དབང་པོ་རྣམས། ||| “All those who normally follow you, such as Śakra, The guardians, the hordes of half kinnaras, The leaders of the demigods, and the leaders of the garuḍas,
།ཐལ་མོ་སྦྱར་ཏེ་དེ་ལ་ཕྱག་འཚལ་ན། ||| Now they all join their palms and bow to the Bodhisattva.
།ཁྱོད་ཀྱི་རྗེས་སུ་འབྲང་བ་མ་ལགས་པ། ||| “So what need is there to mention those who do not follow you,
།ཚངས་པ་འོད་གསལ་ལྷ་ཡི་བུ་རྣམས་དང་། །གནས་གཙང་རིས་ཀྱི་ལྷ་རྣམས་དེ་དག་ཀུན། ||| Brahmā and the luminous gods, And the gods of the pure realms—
།དེ་ལ་ཕྱག་འཚལ་བ་ནི་སྨོས་ཅི་འཚལ། ||| They, too, all bow to him.
།ཁྱོད་ཀྱི་སྲས་པོ་ཤེས་རབ་ཅན། ||| “Even those of your sons who are wise,
།སྟོབས་དང་ལྡན་ཞིང་ཡིད་གཞུངས་པ། །དེ་དག་བྱང་ཆུབ་སེམས་དཔའ་ལ། ||| Who are powerful and smart, Venerate the Bodhisattva
།སྙིང་དང་འཐུན་གྱུར་ཕྱག་འཚལ་ལོ། ||| In accord with his essence.
།དཔག་ཚད་བརྒྱད་ཅུར་ཁྱབ་པ་ཡི། །གནོད་སྦྱིན་ལ་སོགས་བདུད་དཔུང་འདི། ||| “This army of yakṣas and other beings, Which extends for eighty leagues,
།ཕལ་ཆེར་རབ་ཏུ་དང་ཡིད་ཀྱིས། ||| Is seen in full by the All-Seeing One,
།ཀུན་ཀྱང་ཉེས་པ་མེད་ལ་ལྟ། ||| With a clear mind and without hatred.
།འཇིགས་སུ་རུང་ཞིང་དྲག་བསྒྱུར་བ། ||| “Since he is neither taken aback nor stirred
།དཔུང་ཚོགས་མི་བཟད་འདི་གཟིགས་ནས། ||| When seeing this wild and fierce army,
།ངོ་མཚར་མ་གྱུར་ཞུམ་མི་མངའ། ||| So hideous and frightening,
།ངེས་པར་དོ་མོད་འདི་རྒྱལ་འགྱུར། ||| His victory is certain now.
།གང་ན་དཔུང་འདི་གནས་པ་དེར། ||| “Wherever this army is found,
།ཝ་དང་འུག་པ་སྒྲ་འབྱིན་ལ། ||| The cries of the jackal and the owl are heard.
།བྱ་རོག་བོང་བུ་སྒྲ་འབྱིན་པས། ||| When the calls of the crow and the donkey ring out,
།མྱུར་དུ་སླར་ནི་ལྡོག་པའི་རིགས། ||| It is wise to quickly retreat.
།བྱང་ཆུབ་སྙིང་པོར་གཟིགས་སུ་གསོལ། ||| “Please look toward the seat of awakening!
།པ་ཏ་ཀུན་ཏ་ངང་པ་དང་། །ཁུ་བྱུག་རྨ་བྱ་མངོན་སྐོར་བས། ||| Clever curlews, swans, cuckoos, and peacocks Are circumambulating the Bodhisattva.
།ངེས་པར་དོ་མོད་འདི་རྒྱལ་འགྱུར། ||| It is certain that today the victory will be his.
།གང་ན་དཔུང་འདི་གནས་པ་དེར། ||| “Wherever this army is found,
།རྡུལ་དང་སྣག་ཙའི་ཆར་འབབ་ལ། ||| Dust and soot rain from the sky.
།ས་དཀྱིལ་མེ་ཏོག་ཆར་འབབ་པས། ||| Yet at the seat of awakening, a rain of flowers falls,
།བདག་གི་ཚིག་བཞིན་ལྡོག་པའི་རིགས། ||| So heed my words and turn back!
།གང་ན་དཔུང་འདི་གནས་པ་དེ། ||| “Wherever this army is found,
།ཤང་ཤོང་གྱུར་ཅིང་ཚེར་མས་གང་། ||| The ground is uneven and filled with thorns and prickles.
།ས་དཀྱིལ་དྲི་མེད་གསེར་གྱུར་པས། ||| Yet at the seat of awakening, the ground is stainless like gold,
།ཤེས་རབ་ཅན་དག་ལྡོག་པའི་རིགས། ||| So it is better for the wise to retreat.
།གལ་ཏེ་མི་འདོད་སྔར་རྨིས་པའི། །རྨི་ལམ་དེ་དག་མངོན་སུམ་འགྱུར། ||| “The past nightmares Will now come true.
།དྲང་སྲོང་རྣམས་ཀྱི་ཡུལ་བརླག་པ། །དེ་བཞིན་དཔུང་འདི་ཐལ་བར་རློག །རྒྱལ་པོ་འགྲོ་བ་དྲང་སྲོང་མཆོག ། ||| If you do not retreat, He will reduce this army to dust, Just as countries are destroyed by the sages.
ཚངས་པས་བྱིན་གྱིས་ཁྲོས་བྱས་པས། །དན་ད་ཀ་ཡི་ནགས་ཚལ་ཚིག ||| “When the supreme, masterful sage Became angry with King Brahmadatta,
།ལོ་མང་ཞིག་ཏུ་རྩྭ་མ་སྐྱེས། །དྲང་སྲོང་བརྟུལ་ཞུགས་སྤྱོད་པ་པོ། ||| He burned the Daṇḍaka Forest So that for many years no grass would grow.
།དཀའ་ཐུབ་ལྡན་པའི་འཇིག་རྟེན་ན། ||| “Whatever sages there are who practice disciplined conduct
།ཇི་སྙེད་འཁོད་པ་ཀུན་གྱི་མཆོག །འབྱུང་པོ་ཀུན་ལ་མི་འཚེ་འདི། །གང་གི་ལུས་ལ་མཚན་རབ་འབར། ||| And practice austerities, He is supreme among them, For he does not harm any living being.
།ཁྱིམ་ནས་ཀྱང་ནི་བྱུང་བ་དེར། །ཉོན་མོངས་ཕམ་བྱས་འཚང་རྒྱ་ཞེས། །ཁྱོད་ཀྱིས་སྔོན་ཆད་མ་གསན་ནམ། ||| “Have you not heard before That the one whose body blazes with all the marks And who walks away from his home Will conquer disturbing emotions and attain awakening?
།རྒྱལ་སྲས་རྣམས་ཀྱིས་མཆོད་དོན་དུ། ||| “The sons of the victors manifest such great powers
།འབྱོར་པ་འདི་འདྲ་འདི་དག་སྤྲུལ། ||| As an act of worship,
།དེ་བས་ངེས་པར་སེམས་ཅན་མཆོག །སྦྱིན་བསྲེག་དམ་པ་ལེན་པར་འགྱུར། ||| For isn’t the Supreme Being A worthy recipient of the best of offering rites?
།འདི་ཡི་མཛོད་སྤུ་དྲི་མེད་པ། ||| “Since the immaculate hair between his eyebrows
།བྱེ་བ་ཁྲག་ཁྲིག་ཞིང་དུ་མཛེས། ||| Beautifies a trillion realms
།དེ་ཡིས་བདག་ཅག་མོག་མོག་བགྱིས། ||| And outshines all of us,
།བདུད་དཔུང་ངེས་བཅོམ་གདོན་མི་འཚལ། ||| He will surely conquer Māra’s army.
།སྲིད་པའི་རྩེ་གནས་ལྷ་རྣམས་ཀྱིས། ||| “Since the gods at the peak of existence
།དེ་ཡི་སྤྱི་གཙུག་བལྟར་མི་ནུས། ||| Are unable to see the crown of his head,
།ངེས་པར་གཞན་གྱིས་མ་བསྟན་པར། ||| So, surely, without being taught by others,
།ཐམས་ཅད་མཁྱེན་ཉིད་ཐོབ་པར་འགྱུར། །ཇི་ལྟར་ལྷུན་པོ་ཁོར་ཡུག་དང་། །ཉི་ཟླ་བརྒྱ་བྱིན་ཚངས་པ་དང་། །ཤིང་ལྗོན་རྣམས་དང་རི་མཆོག་ཀུན། ||| He will attain omniscience. “Since Mount Meru and the surrounding ranges, The sun, the moon, Śakra, Brahmā, All the trees, and the best of mountains
།ས་དཀྱིལ་ཕྱག་འཚལ་བགྱིད་ལས་ན། ||| All prostrate to the seat of awakening,
།བསོད་ནམས་སྟོབས་ཅན་ཤེས་རབ་སྟོབས། །ཡེ་ཤེས་སྟོབས་ཅན་བཟོད་པའི་སྟོབས། །བརྩོན་འགྲུས་སྟོབས་དང་ལྡན་པ་དེ། ||| “It is certain that the one with the power of merit, The powers of knowledge and wisdom, And the powers of forbearance and diligence,
།བདུད་ཕྱོགས་སྟོབས་མེད་མཛད་པར་ངེས། ||| Will render Māra’s factions powerless.
།གླང་པོས་སོ་མ་བཏང་སྣོད་དང་། །སེང་གེས་ཇི་ལྟར་ཝ་བཅོམ་དང་། །ཉི་མས་སྲིན་བུ་མེ་ཁྱེར་ལྟར། ||| “Like an elephant stepping on a fresh clay pot, Or a lion fighting a fox, Or the sun effacing a firefly,
།བདེ་བར་གཤེགས་པས་དཔུང་བཅོམ་འགྱུར། ||| The Well-Gone One will obliterate our army.”
།ཚིག་དེ་སྐད་ཐོས་པ་དང་བདུད་ཀྱི་བུ་གཞན་ཞིག་ཤིན་ཏུ་ཁྲོས་ནས་མིག་དམར་པོར་གྱུར་ཏེ་སྨྲས་པ། ||| Upon hearing these words, another son of Māra became enraged and, with bloodshot eyes, he said:
ཁྱོད་ནི་གཅིག་པུ་དེ་ཡི་བསྔགས་པ་དག །ཤིན་ཏུ་དཔག་ཏུ་མེད་པར་རྗོད་བྱེད་ན། ||| “Your praise for this lone person Is without any bounds.
།གཅིག་པུ་དེས་ནི་ཅི་ཞིག་བྱ་བར་ནུས། ||| What could that single man be capable of?
།འཇིགས་སུ་རུང་བའི་དཔུང་ཆེན་མ་མཐོང་ངམ། ||| Can’t you see this great and terrifying army?”
།དེ་ནས་གཡས་རོལ་ནས་བདུད་ཀྱི་བུ་བདུད་རབ་ཏུ་འཇོམས་པ་ཞེས་བྱ་བས་སྨྲས་པ། ||| Then from the right side, the son of Māra called Māra­pramardaka said:
འཇིག་རྟེན་ཉི་ཟླ་སེང་གེ་དང་། །འཁོར་ལོས་སྒྱུར་ལ་གྲོགས་བྱེད་མེད། ||| “It is not necessary to help the sun in this world, Nor the lion or the universal monarch.
།བྱང་ཆུབ་བཞུགས་ནས་ངེས་པ་ཡི། ||| The Bodhisattva sitting with resolve for awakening
།བྱང་ཆུབ་སེམས་དཔའ་གྲོགས་མི་དགོས། ||| Surely does not need any helpers.”
།དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་བདུད་མཐུ་ཆུང་བར་བྱ་བའི་ཕྱིར་གང་མཐོང་བས་བདག་གི་དཔུང་བྱང་ཆུབ་སེམས་དཔའི་ཁའི་ནང་དུ་ཞུགས་སོ་སྙམ་དུ་སེམས་ཤིང་བདུད་བྲོས་པར་གྱུར་པ་དང་། བྲོས་ནས་ཀྱང་ཅི་ཡང་མ་ཡིན་ནོ་སྙམ་ནས་ཡང་སླར་ལོག་སྟེ། ||| At that point, in order to weaken the strength of the demons, the Bodhisattva turned his face, which resembled a blooming lotus with one hundred petals, toward them. Upon seeing the Bodhisattva’s face, Māra took flight. But while fleeing, he had the thought that his army could withstand the sight of the Bodhisattva’s face, and he once again turned back.
འཁོར་དང་བཅས་པས་མཚོན་ཆ་རྣམ་པ་སྣ་ཚོགས་བྱང་ཆུབ་སེམས་དཔའི་སྟེང་དུ་འཕེན་ཅིང་། ||| Assisted by his followers, he now began to hurl various weapons upon the Bodhisattva.
རི་རབ་ཙམ་གྱི་རི་དེ་དག་ཀྱང་བྱང་ཆུབ་སེམས་དཔའི་སྟེང་དུ་འཕངས་པ་དང་། མེ་ཏོག་གི་བླ་རེ་དང་། གཞལ་མེད་ཁང་དུ་གྱུར་ཏེ་གནས་པ་དང་། གང་དག་མིག་གདུག་པ་དང་། མྱུར་དུ་གདུག་པ་དང་། དབུགས་གདུག་པ་རྣམས་མེ་ལྕེ་གཏོང་བའི་མེའི་དཀྱིལ་འཁོར་དེ་ཡང་བྱང་ཆུབ་སེམས་དཔའ་ལ་འོད་ཀྱི་དཀྱིལ་འཁོར་ལྟ་བུར་གནས་པར་བྱ་བའི་ཕྱིར་པད་མ་འདབ་མ་བརྒྱ་པ་རྒྱས་པ་ལྟ་བུའི་བཞིན་བསྐྱོད་དོ། ||| However, even when they threw mountains as big as the central mountain at the Bodhisattva, the mountains all turned into flower canopies and celestial palaces. Those with poisonous gazes, those with poisonous snakes, and those with poisonous breath shot flames of fire at the Bodhisattva. Yet this circle of fire just turned into what seemed to be the Bodhisattva’s halo of light.
།དེ་ནས་ཡང་བྱང་ཆུབ་སེམས་དཔས་ལག་པ་གཡས་པས་མགོ་ལ་བྱུགས་པ་དང་། བདུད་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའི་ལག་ན་རལ་གྲི་ཐོགས་པར་མཐོང་ནས་ལྷོ་ཕྱོགས་སུ་བྲོས་པ་དང་ཅི་ཡང་མ་ཡིན་ནོ་སྙམ་ནས་ཡང་སླར་ལོག་གོ། ||| The Bodhisattva now touched his right hand to his head. Māra perceived that the Bodhisattva was brandishing a sword in his hand, and so he fled toward the south. However, thinking that it could not be true after all, he again returned.
།སླར་ལོག་ནས་ཀྱང་བྱང་ཆུབ་སེམས་དཔའི་སྟེང་དུ་མཚོན་ཆ་རྣམ་པ་སྣ་ཚོགས་རལ་གྲི་དང་། མདའ་གཞུ་དང་། མདུང་ཐུང་དང་། མདའ་བོ་ཆེ་དང་། དགྲ་སྟ་དང་། བོང་བ་དང་། གཏུན་ཤིང་དང་། རྡོ་རྗེ་རྩེ་གཅིག་པ་དང་། དབྱུག་ཏོ་དང་། འཁོར་ལོ་དང་། ཐོ་བ་དང་། ཤིང་དྲུངས་ཕྱུང་དང་། ཕ་བོང་དང་། ཞགས་པ་དང་། ལྕགས་ཀྱི་ཐུ་ལུམ་ཤིན་ཏུ་འཇིགས་པ་དུ་མ་འཕེན་ཏེ། ||| When he came back, the demons began to hurl all sorts of terrifying weapons at the Bodhisattva. They threw swords, arrows, darts, lances, axes, clubs, javelins, bludgeons, discuses, vajras, hammers, uprooted trees, rocks, lassos, and iron balls.
དེ་དག་ཀྱང་འཕངས་མ་ཐག་ཏུ་མེ་ཏོག་གི་ཕྲེང་བ་དང་། མེ་ཏོག་གི་བླ་རེར་གྱུར་ཏེ་གནས་སོ། ||| However, as soon as the demons released the weapons, the weapons turned into garlands and canopies of flowers, and a cooling rain of flower petals fell on the ground.
།མེ་ཏོག་སིལ་མར་ཡང་གྱུར་ནས་ས་ལ་འཐོར་བ་དང་། ཕྲེང་བའི་ཆུན་པོར་ཡང་འཕྱང་བས་བྱང་ཆུབ་ཀྱི་ཤིང་བརྒྱན་པར་གྱུར་ཏོ། ||| The flower garlands hung as adornments on the Bodhi tree.
།བྱང་ཆུབ་སེམས་དཔའི་བཀོད་པ་འབྱོར་པ་དེ་དག་མཐོང་ནས་བདུད་སྡིག་ཅན་ཕྲག་དོག་དང་སེར་སྣས་སེམས་ལ་གནོད་དེ། ||| When Māra, the evil one, witnessed the Bodhisattva’s power and the displays that he performed, his mind was disturbed with jealousy and avarice.
བྱང་ཆུབ་སེམས་དཔའ་ལ་སྨྲས་པ། ཀྱེ་རྒྱལ་བུ་གཞོན་ནུ་བཞེངས། བཞེངས། ||| He called out to the Bodhisattva, “Listen, young prince, get up!
རྒྱལ་སྲིད་ལ་སྤྱོད་ཅིག །ཁྱོད་ཀྱི་བསོད་ནམས་དེ་ཙམ་གྱིས་ཁྱོད་ཀྱིས་ཐར་པ་ག་ལ་འཐོབ། ||| Get up and relish your kingship—your virtue lies precisely in doing that! On what grounds could you ever attain liberation?”
།དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་བརྟན་ལ་ཟབ་ཅིང་རྒྱ་ཆེ་བ་དང་། འཇམ་ཞིང་སྙན་པའི་ཚིག་གིས་བདུད་སྡིག་ཅན་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| The Bodhisattva answered Māra, the evil one, with words that were firm, profound, vast, gentle, and sweet:
།སྡིག་ཅན་ཁྱོད་ཀྱིས་ནི་གཏན་པ་མེད་པའི་མཆོད་སྦྱིན་གཅིག་གིས་འདོད་པའི་དབང་ཕྱུག་ཐོབ་ཏུ་ཟད་དོ། ||| “You, evil one! Through just a single unstinting act of giving, you have become lord of the desire realm.
།ངས་ནི་མཆོད་སྦྱིན་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དུ་མས་གཏན་པ་མེད་པའི་མཆོད་སྦྱིན་བྱས་སོ། ||| I, on the other hand, have performed trillions of unstinting acts of giving.
།ལག་པ་དང་། རྐང་པ་དང་། མིག་དང་། མགོ་དག་ཀྱང་བཅད་ཅིང་སློང་བ་རྣམས་ལ་བྱིན་ནོ། ||| I have cut off my hands, legs, eyes, and my head, and given them to beggars.
།སེམས་ཅན་རྣམས་ཐར་བར་བྱ་བའི་ཕྱིར་ཁྱིམ་དང་། ནོར་དང་། འབྲུ་དང་། མལ་ཆ་དང་། གོས་དང་། འཆག་ས་དང་། སྐྱེད་མོས་ཚལ་རྣམ་པ་དུ་མ་དག་ཀྱང་སློང་བ་རྣམས་ལ་བྱིན་ནོ། ||| With the intention to liberate sentient beings, I have often given beggars my house, wealth, grains, beds, clothes, and parks.”
།དེ་ནས་བདུད་སྡིག་ཅན་གྱིས་ཚིགས་སུ་བཅད་དེ་བྱང་ཆུབ་སེམས་དཔའ་ལ་སླར་སྨྲས་པ། ||| Māra, the evil one, replied with this verse:
སྔོན་ཆད་ཁོ་བོས་མཆོད་སྦྱིན་ཁ་ན་མ་ཐོ་མེད། ||| “Previously I made a wholesome act of giving;
།གཏན་པ་མེད་པ་བྱས་པ་ཁྱོད་འདིར་དཔང་དུ་ཡོད། ||| It was an unstinting act, and you are my witness.
།ཁྱོད་ལ་འདི་ན་དཔང་པོ་གང་ཡང་ཡོད་མིན་པས། ||| But you have no witness to your acts,
།སྨྲས་ཀྱང་ཕན་པ་ཅི་ཡོད་ཁྱོད་ནི་ཕམ་པར་གྱུར། ||| So there is no point in speaking of them, and instead you will be conquered.”
།བྱང་ཆུབ་སེམས་དཔས་སྨྲས་པ། སྡིག་ཅན་ས་འདི་ནི་ངའི་དཔང་ཡིན་ནོ། ||| The Bodhisattva replied, “Evil one, the earth here is my witness.”
།དེ་ནས་བྱང་ཆུབ་སེམས་དཔས་བདུད་སྡིག་ཅན་དང་བདུད་ཀྱི་འཁོར་ལ་བྱམས་པ་དང་སྙིང་རྗེ་སྔོན་དུ་འགྲོ་བའི་སེམས་ཀྱིས་ཁྱབ་པར་བྱས་ནས། ||| He then embraced Māra, the evil one, and his demonic retinue with thoughts of love and compassion.
སེང་གེ་ལྟར་མི་འཇིགས་མི་སྐྲག་ལ་བག་ཚ་བ་མེད་ཅིང་མི་དམན་ལ་མ་ཞུམ་པ་དང་། མ་འཁྲུགས་པ་དང་། མ་རྙོགས་པ་དང་། འཇིགས་པ་དང་། སྤུ་ཟིང་ཞེས་བྱེད་པ་མེད་པར་ལག་མཐིལ་ན་དུང་དང་། རྒྱལ་མཚན་དང་། ཉ་དང་། བུམ་པ་དང་། བཀྲ་ཤིས་པ་དང་། ལྕགས་ཀྱུ་དང་། འཁོར་ལོའི་མཚན་མ་ཡོད་པ། ||| Like a lion, he was without fear, fright, anxiety, timidity, disturbance, and perturbation. He had no goose bumps, which indicate fear. He now let his right hand slide over his entire body and then gracefully tapped on the earth—the hand that had the contours of a conch, a victory banner, a fish, a vase, a swastika, an iron hook, and a wheel.
སོར་མོ་བར་དྲ་བས་འབྲེལ་བ། ||| The hand’s fingers were connected by a web.
སེན་མོ་ཤིན་ཏུ་མཛེས་ཤིང་ཟངས་ཀྱི་མདོག་ལྟར་འདུག་པས་བརྒྱན་པ། ||| Its nails were exquisite and copper colored.
འཇམ་ཞིང་མཉེན་ལ་ཤིན་ཏུ་གཞོན་པ། ||| Soft and supple, it looked perfectly youthful.
བསྐལ་པ་དཔག་ཏུ་མེད་པར་དགེ་བའི་རྩ་བའི་ཚོགས་བསགས་པས་གྲུབ་པའི་ལག་པ་གཡས་པས་ལུས་ཐམས་ཅད་ལ་བྱུགས་ནས་ཚུལ་དུ་ཤིས་པར་ས་ལ་བརྡབས་ཏེ་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་ཡང་སྨྲས་སོ། ||| All this was the result of limitless eons of gathering the accumulations of basic goodness. He then spoke this verse:
།ས་འདི་འགྲོ་བ་ཀུན་གྱི་གནས་ཡིན་ཏེ། ||| “This earth supports all beings;
།རྒྱུ་དང་མི་རྒྱུ་སྙོམས་ཤིང་ཉེ་འཁོན་མེད། ||| She is impartial and unbiased toward all, whether moving or still.
།འདི་ནི་བདག་གི་དཔང་སྟེ་བདག་བརྫུན་མེད། ||| She is my witness that I speak no lies;
།འདི་ལ་ཁྱོད་ནི་བདག་གི་དཔང་བྱོས་ཤིག །བྱང་ཆུབ་སེམས་དཔས་ས་ཆེན་པོ་འདི་ལ་རེག་མ་ཐག་ཏུ་རྣམ་པ་དྲུག་ཏུ་གཡོས། ||| So may she bear my witness.” As soon as the Bodhisattva touched this great earth, it shook in six different ways.
རབ་ཏུ་གཡོས། ཀུན་ཏུ་རབ་ཏུ་གཡོས་སོ། །ཆེམ་ཆེམ། རབ་ཏུ་ཆེམ་ཆེམ། ཀུན་ཏུ་རབ་ཏུ་ཆེམ་ཆེམ་མོ། ||| It quivered, trembled, and quaked, and it boomed, thundered, and roared.
།འདི་ལྟ་སྟེ་དཔེར་ན། ཡུལ་མ་ག་དྷཱའི་བརྡབ་ཁར་སྒྲ་འབྱུང་ཞིང་སྒྲ་རྒྱུན་རིང་བ་དེ་བཞིན་དུ་ས་ཆེན་པོ་འདི་ཡང་བྱང་ཆུབ་སེམས་དཔའི་ལག་པས་བསྣུན་མ་ཐག་ཏུ་སྒྲ་བྱུང་ཞིང་སྒྲ་རྒྱུན་རིང་དུ་བྱུང་ངོ་།། །། ||| Just as a Magadhan brass cauldron, when struck with a wooden log, chimes and reverberates, so did this great earth sound and reverberate when struck by the Bodhisattva with his hand.
འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་བཅུ་བཞི་པ།
དེ་ནས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ན་སའི་ལྷ་མོ་བརྟན་མ་ཞེས་བྱ་བ་སའི་ལྷ་མོའི་འཁོར་བྱེ་བ་ཕྲག་བརྒྱ་དང་ལྡན་པ་གང་ཡིན་པ་དེས་ས་ཆེན་པོ་ཐམས་ཅད་གཡོས་པར་བྱས་ནས། ||| Then the earth goddess in this great trichiliocosm who is called Sthāvarā, along with her retinue of one billion earth goddesses, began to shake the entire great earth.
བྱང་ཆུབ་སེམས་དཔའ་དང་ཧ་ཅང་ཡང་མི་རིང་བ་ཞིག་ཏུ་ས་བརྟོལ་ཏེ། ལུས་རྒྱན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པ་ཕྱེད་ཕྱུང་ནས་བྱང་ཆུབ་སེམས་དཔའ་ག་ལ་བ་དེ་ལོགས་སུ་ལུས་བཏུད་དེ་ཐལ་མོ་སྦྱར་ནས། ||| Not far from where the Bodhisattva was sitting, she broke through the earth’s surface and revealed her upper body, adorned with all sorts of jewels.
བྱང་ཆུབ་སེམས་དཔའ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| She bowed toward the Bodhisattva, joined her palms, and said to him,
།དེ་དེ་བཞིན་ནོ། །སྐྱེས་བུ་ཆེན་པོ་དེ་དེ་བཞིན་ནོ། ||| “You are right. Great Being, you are right.
།ཁྱོད་ཀྱིས་ཇི་སྐད་གསུངས་པ་བཞིན་ཏེ། ||| It is just as you say.
འདི་ནི་བདག་ལ་མངོན་སུམ་མོ། ||| We bear witness to this.
།དེ་ལྟ་ལགས་མོད་ཀྱི། འོན་གྱིས་ཀྱང་བཅོམ་ལྡན་འདས་ཉིད་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་གྱི་དབང་དུ་གྱུར་པ་དང་། ཚད་མར་གྱུར་པ་དམ་པ་ལགས་སོ། ||| But still, my Lord, you alone are the supreme witness in the worlds of gods and humans and the supreme authority.”
།སའི་ལྷ་མོ་ཆེན་མོ་བརྟན་མས་དེ་སྐད་ཅེས་སྨྲས་ནས། རྣམ་པ་དུ་མར་བདུད་སྡིག་ཅན་གྱི་གླགས་ནི་མེད་པར་བྱས། བྱང་ཆུབ་སེམས་དཔའ་ལ་ནི་བསྟོད་དེ། ||| Having spoken thus, the earth goddess Sthāvarā rebuked Māra, the evil one, in many ways, and praised the Bodhisattva again and again.
རང་གི་མཐུ་རྣམ་པ་མང་པོ་བསྟན་ནས་འཁོར་དང་བཅས་ཏེ་དེ་ཉིད་དུ་མི་སྣང་བར་གྱུར་ཏོ། ||| She made a great display of her myriad powers and then disappeared together with her following there and then.
