༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སརྦ་དྷརྨ་སྭ་བྷཱ་བ་ས་མ་ཏཱ་བི་པཉྩི་ཏ་ས་མཱ་དྷི་རཱ་ཛ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཐམས་ཅད་ཀྱི་རང་བཞིན་མཉམ་པ་ཉིད་རྣམ་པར་སྤྲོས་པ་ཏིང་ངེ་འཛིན་གྱི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Mahāyāna Sūtra The King of Samādhis, the Revealed Equality of the Nature of All Phenomena
།ཡིད་ཀྱི་སྡོམ་པ་གང་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་བཞིན་གཤེགས་པའི་སྟོབས་བཅུ་འཐོབ་པ་དང་། མི་འཇིགས་པ་བཞི་དང་། སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅྭ་བརྒྱད་འཐོབ་པར་འགྱུར་བ་དེ་ནི་གཞོན་ནུ་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱའོ། ||| “Bodhisattva mahāsattvas who have the restraint of the mind attain the ten strengths of a tathāgata, the four fearlessnesses, and the eighteen distinct qualities of a buddha. Young man, that is the restraint of the mind.
།ཡིད་ཀྱི་སྡོམ་པ་གང་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམ་པར་ཐར་པའི་སྒོ་གསུམ་འཐོབ་སྟེ། གསུམ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “Bodhisattva mahāsattvas who have the restraint of the mind attain the three doorways to liberation. What are the three doorways to liberation?
སྟོང་པ་ཉིད་དང་། མཚན་མ་མེད་པ་དང་། སྨོན་པ་མེད་པ་དང་། རྣམ་པར་ཐར་པའི་སྒོ་འདི་གསུམ་འཐོབ་པར་འགྱུར་བ་དེ་ནི་གཞོན་ནུ་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱའོ། ||| They are emptiness, the absence of attributes, and the absence of aspiration. They attain those three doorways to liberation. Young man, that is the restraint of the mind.
།ཡིད་ཀྱི་སྡོམ་པ་གང་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཚངས་པའི་གནས་པ་ཆེན་པོ་བཞི་འཐོབ་སྟེ། བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “Bodhisattva mahāsattvas who have the restraint of the mind attain the four great brahmavihāras. What are the four great brahmavihāras?
བྱམས་པ་ཆེན་པོ་དང་། སྙིང་རྗེ་ཆེན་པོ་དང་། དགའ་བ་ཆེན་པོ་དང་། བཏང་སྙོམས་ཆེན་པོ་དང་། ཚངས་པའི་གནས་པ་ཆེན་པོ་འདི་བཞི་འཐོབ་པར་འགྱུར་བ་དེ་ནི་གཞོན་ནུ་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱའོ། ||| They are great love, great compassion, great joy, and great equanimity. They attain those four great brahmavihāras. Young man, that is the restraint of the mind.
།ཡིད་ཀྱི་སྡོམ་པ་གང་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སོ་སོ་ཡང་དག་པར་རིག་པ་བཞི་འཐོབ་སྟེ། བཞི་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “Bodhisattva mahāsattvas who have the restraint of the mind attain the four discernments. What are the four discernments?
དོན་སོ་སོ་ཡང་དག་པར་རིག་པ་དང་། ཆོས་སོ་སོ་ཡང་དག་པར་རིག་པ་དང་། ངེས་པའི་ཚིག་སོ་སོ་ཡང་དག་པར་རིག་པ་དང་། སྤོབས་པ་སོ་སོ་ཡང་དག་པར་རིག་པ་དང་། སོ་སོ་ཡང་དག་པར་རིག་པ་འདི་བཞི་འཐོབ་པར་འགྱུར་བ་དེ་ནི་གཞོན་ནུ་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱའོ། ||| They are the discernment of meaning, the discernment of phenomena, the discernment of definitions, and the discernment of eloquence. They attain those four discernments. Young man, that is the restraint of the mind.
ཡིད་ཀྱི་སྡོམ་པ་གང་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དྲན་པ་ཉེ་བར་གཞག་པ་བཞི་འཐོབ་པ་དང་། ཡང་དག་པར་སྤོང་བ་བཞི་དང་། རྫུ་འཕྲུལ་གྱི་རྐང་པ་བཞི་དང་། དབང་པོ་ལྔ་དང་། སྟོབས་ལྔ་དང་། བྱང་ཆུབ་ཀྱི་ཡན་ལག་བདུན་དང་། འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་འཐོབ་པར་འགྱུར་བ་དེ་ནི་གཞོན་ནུ་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱའོ། ||| “Bodhisattva mahāsattvas who have the restraint of the mind attain the thirty-seven aspects of enlightenment. What are the thirty-seven aspects of enlightenment? They are the four kinds of mindfulness, the four correct exertions, the four bases for miraculous powers, the five powers, the five strengths, the seven aspects of enlightenment, and the noble eightfold path. They attain those thirty-seven aspects of enlightenment. Young man, that is the restraint of the mind.
།ཡིད་ཀྱི་སྡོམ་པ་གང་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྙིང་རྗེ་ཆེན་པོ་ལ་གནས་པ་འཐོབ་པ་དང་། བཏང་སྙོམས་ཆེན་པོ་ལ་གནས་པ་འཐོབ་པ་དང་། བདེ་བའི་རྣམ་པར་རྟོག་པ་འཐོབ་པ་དང་། རབ་ཏུ་དབེན་པའི་ཆོས་རྣམས་འཐོབ་པར་འགྱུར་བ་དེ་ནི་གཞོན་ནུ་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱའོ། ||| “Bodhisattva mahāsattvas who have the restraint of the mind attain the state of great compassion, attain the state of great equanimity, and attain easeful examination and the quality of being devoid of examination. Young man, that is the restraint of the mind.
།ཡིད་ཀྱི་སྡོམ་པ་གང་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཕན་པར་འདོད་པ་དང་། སྤྱོད་པ་དང་། འཇུག་པ་འཐོབ་པར་འགྱུར་བ་དེ་ནི་གཞོན་ནུ་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱའོ། །གཞན་ཡང་གཞོན་ནུ་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱ་བ་དེ་ནི། ||| “Bodhisattva mahāsattvas who have the restraint of the mind attain engagement in conduct with the wish to benefit others. Young man, that is the restraint of the mind.
ཡིད་ཀྱི་སྡོམ་པ་གང་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལོག་པར་ལྟ་བ་སྤངས་པའི་ཕྱིར་ལོག་པར་ལྟ་བ་དང་འགྲོགས་པར་མི་བྱེད། ||| “Bodhisattva mahāsattvas who have the restraint of the mind do not associate with wrong views in order to desist from wrong views;
བརྣབ་སེམས་སྤངས་པའི་ཕྱིར་བརྣབ་སེམས་དང་འགྲོགས་པར་མི་བྱེད། ||| they do not associate with avarice in order to desist from avarice;
གནོད་སེམས་སྤངས་པའི་ཕྱིར་གནོད་སེམས་དང་འགྲོགས་པར་མི་བྱེད། ||| they do not associate with malice in order to desist from malice;
ལེ་ལོ་སྤངས་པའི་ཕྱིར་ལེ་ལོའི་སེམས་དང་འགྲོགས་པར་མི་བྱེད། ||| they do not associate with laziness in order to desist from laziness;
བླ་མ་རྣམས་དང་། ཕ་མ་དང་སློབ་དཔོན་དག་ལ་གཡོའི་སེམས་མི་སྐྱེད། ||| they do not wish to deceive their parents or their teachers;
འདོད་ཆགས་དང་ཞེ་སྡང་དང་གཏི་མུག་གི་སེམས་མི་སྐྱེད་ཅིང་དེ་དག་དང་འགྲོགས་པར་མི་བྱེད། ||| and they do not develop desire, anger, or ignorance and do not associate with them.
བྱང་ཆུབ་ཀྱི་སེམས་ཀྱང་མི་གཏོང་། ལྷག་པའི་སེམས་ཀྱང་འཁྲུགས་པར་མི་བྱེད་ཅིང་གཞན་ཡང་ཉེས་པ་དང་ལྡན་པའི་ཡིད་ཀྱི་རྟོགས་པ་དེ་དག་ཐམས་ཅད་བྱང་ཆུབ་སེམས་དཔའ་རབ་ཏུ་སྤོང་ཞིང་དེ་དག་དང་མི་འགྲོགས་ཏེ། ||| They do not abandon the aspiration to enlightenment, they do not destabilize their superior aspiration, and also the bodhisattvas desist from all other harmful thoughts in their minds, and do not associate with them.
དེ་ནི་གཞོན་ནུ་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱའོ། ||| Young man, that is the restraint of the mind.
།ཡིད་དེ་ཡང་སྒྱུ་མ་ལྟ་བུའོ་ཞེས་བྱ་བ་ལ་འཇུག་གོ། །རྨི་ལམ་ལྟ་བུའོ་ཞེས་བྱ་བ་དང་། སྨིག་རྒྱུ་ལྟ་བུའོ་ཞེས་བྱ་བ་དང་། སྤྲུལ་པ་ལྟ་བུའོ་ཞེས་བྱ་བ་དང་། མིག་ཡོར་ལྟ་བུའོ་ཞེས་བྱ་བ་ལ་འཇུག་སྟེ། གང་ནས་ཀྱང་མ་འོངས་པ་དང་གང་དུ་ཡང་མི་འགྲོ་བར་འཇུག་གོ། །བདེ་བ་ལ་རྨི་ལམ་ལྟ་བུར་འཇུག་གོ། །རྨི་ལམ་ལྟ་བུར་མི་རྟག་པར་འཇུག་གོ། ||| “They perceive the mind as being like a dream, being like a mirage, being like an apparition, and being like a hallucination, something that does not come from anywhere and does not go anywhere.
།རྨི་ལམ་ལྟ་བུར་བདག་མེད་པར་འཇུག་གོ། །རྨི་ལམ་ལྟ་བུར་སྲོག་མེད་པར་འཇུག་གོ། །རྨི་ལམ་ལྟ་བུར་སྟོང་པར་འཇུག་སྟེ། ཡིད་དེ་ཡང་མི་དམིགས། མི་རྟོག །རློམ་སེམས་སུ་མི་བྱེད། ||| They perceive happiness as being like a dream, perceive it as being impermanent like a dream, perceive it as being devoid of self like a dream, perceive it as being devoid of a soul like a dream, and they do not objectify it, conceptualize it, become proud of it, view it, or become attached to it.
མི་ལྟ། མངོན་པར་མི་ཆགས་ཏེ། གཞོན་ནུ་དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱའོ། ||| Young man, that is the restraint of the mind.”
།དེ་ནས་ཡང་བཅོམ་ལྡན་འདས་ཀྱིས་ཟླ་འོད་གཞོན་ནུར་གྱུར་པ་ལ་བཀའ་སྩལ་པ། གཞོན་ནུ་དེ་ལྟ་བས་ན་ཡིད་ཀྱི་སྤྱོད་པ་ཡོངས་སུ་དག་པར་བྱའོ་ཞེས་གཞོན་ནུ་ཁྱོད་ཀྱིས་དེ་ལྟར་བསླབ་པར་བྱའོ། །དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Then the Bhagavān said to Candraprabha, “Young man, you should train by thinking, ‘I will practice completely pure conduct of the mind in that way.’ Why is that?
གཞོན་ནུ་ཡིད་ཀྱི་སྤྱོད་པ་ཡོངས་སུ་དག་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ནི་མི་ཁོམ་པ་ཐམས་ཅད་རྣམ་པར་སྤོང་ཞིང་། སངས་རྒྱས་ཀྱི་ཆོས་བསམ་གྱིས་མི་ཁྱབ་པའང་ཐོབ་པར་འགྱུར་རོ། ||| Young man, bodhisattva mahāsattvas who have completely pure conduct of the mind avoid all unfavorable conditions and obtain the countless Dharma teachings of the buddhas.
།སངས་རྒྱས་ཐམས་ཅད་ལས་ཀྱང་སངས་རྒྱས་ཀྱི་མངོན་པར་ཤེས་པ་ཐམས་ཅད་དང་། མི་འཁྲུགས་པའི་སེམས་རྣམ་པར་གྲོལ་བ་ཐོབ་པར་འགྱུར་བ་དེ་ནི་གཞོན་ནུ་ཡིད་ཀྱི་སྡོམ་པ་ཞེས་བྱའོ། ||| They obtain from all the buddhas the higher cognitions of the buddhas and the unshakable, liberated mind. Young man, that is the restraint of the mind.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསུངས་སོ། ||| Thereupon the Bhagavān recited these verses:
།ཡིད་ཀྱི་སྡོམ་པ་དག་ནི་ངས་བཤད་ཀྱིས། །གཡེང་བ་མེད་པའི་ཡིད་ཀྱིས་ཐམས་ཅད་ཉོན། ||| “All of you listen with an unwavering mind, For I will teach the restraint of the mind.
།ཇི་སྟེ་མྱུར་དུ་འཚང་རྒྱ་འདོད་ན་ཡང་། ||| If you wish to attain buddhahood quickly,
།ང་ལས་ཐོས་ནས་དེ་ལ་ནན་ཏན་བྱོས། ||| Listen to me and then practice this. {72}
།ཡིད་ཀྱི་སྡོམ་པ་གང་གིས་མཁས་པ་དག །མཆོག་ཏུ་རབ་ཞི་རྒྱ་ཆེ་མི་གཡོ་བ། ||| “That restraint of the mind through which wise ones Attain the vast, unshakable, supreme peace,
།རྒྱལ་ཆོས་བསམ་ཡས་རྨད་དུ་བྱུང་བ་འཐོབ། ||| The wonderful, inconceivable Dharma of the jinas,
།འདི་ནི་ཡིད་ཀྱི་སྡོམ་པ་དག་པར་བརྗོད། ||| That is what is called the pure restraint of the mind. {73}
།ཡིད་ཀྱི་སྡོམ་པ་གང་གིས་མཁས་པ་དག །སེམས་ཀྱང་རྣམ་གྲོལ་རྟག་ཏུ་མི་གཡོ་འཐོབ། ||| “That restraint of the mind through which wise ones Attain the liberated, eternally unshakable mind,
།དེ་བཞིན་རྡོ་རྗེ་ལྟ་བུའི་ཏིང་འཛིན་མཆོག །འདི་ནི་ཡིད་ཀྱི་སྡོམ་པ་དག་པར་བརྗོད། ||| And likewise the supreme samādhi that is like a vajra, That is what is called the most splendid restraint of the mind. {74}
།མཁས་པ་གང་གིས་ཉེ་བར་སྤྱོད་པ་ཡི། ||| “That which wise ones practice and through which
།འོད་ཟེར་དོན་ཆེན་བྱེད་པ་སྒྲུབ་པར་བྱེད། ||| They accomplish light rays of great benefit,
།གང་གིས་ཡན་ལག་དྲུག་ཅུའི་དབྱངས་ཐོབ་པ། ||| And attain the voice with sixty aspects,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་རྣམ་དག་བརྗོད། ||| That is what is called the purest restraint of the mind. {75}
།ཡིད་ཀྱི་སྡོམ་པ་གང་གིས་མཁས་པ་དག །སུམ་ཅུ་རྩ་གཉིས་མཚན་རྣམས་མྱུར་ཐོབ་འགྱུར། ||| “That restraint of the mind through which wise ones Quickly attain the thirty-two primary signs
།སྟོབས་བཅུ་སངས་རྒྱས་ཡོན་ཏན་མ་ལུས་འཐོབ། ||| And attain the ten strengths and every quality of buddhahood,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {76}
།ཡིད་ཀྱི་སྡོམ་པ་གང་གིས་མཁས་པ་དག །སོ་སོ་ཡང་དག་རིག་དང་མི་འཇིགས་དང་། །ཡོན་ཏན་མཆོག་ཏུ་རྨད་བྱུང་བསམ་ཡས་འཐོབ། ||| “That restraint of the mind through which wise ones Attain the discernments and the fearlessnesses, And wonderful, inconceivable, supreme qualities,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {77}
།ཡིད་ཀྱི་སྡོམ་པ་གང་གིས་མཁས་པ་དག །དྲན་པ་ཉེ་བར་གཞག་དང་རྫུ་འཕྲུལ་རྐང་། ||| “That restraint of the mind through which wise ones Attain the mindfulnesses, the bases of miraculous powers,
།ཡང་དག་སྤོང་དང་དབང་སྟོབས་ལྔ་འཐོབ་པ། ||| The correct efforts, and the five powers and strengths,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {78}
།ཡིད་ཀྱི་སྡོམ་པ་གང་གིས་མཁས་པ་དག །ཚངས་པའི་གནས་བཞི་མ་ལུས་དེ་བཞིན་ཏེ། ||| “That restraint of the mind through which wise ones Attain all of the four brahmavihāras, and likewise
།སྟོང་ཉིད་མཚན་མེད་སྨོན་མེད་སྒོ་འཐོབ་པ། ||| Emptiness, the absence of attributes, and the absence of aspiration,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པའི་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {i}
།ཡིད་ཀྱི་སྡོམ་པ་དག་དང་གང་ལྡན་པ། ||| “That restraint of the mind through which wise ones
།སྙིང་རྗེ་གནས་དང་བཏང་སྙོམས་ཆེན་པོ་དང་། །སྤྱོད་འཇུག་བྱམས་པ་ཆེན་པོ་ཞི་བ་འཐོབ། ||| Attain the state of compassion, great equanimity, And the practice of correct conduct, great love, and peace,
།སྲིད་པ་ཀུན་ལ་དེ་ནི་ཕན་སེམས་འགྱུར། ||| That is what is called the supreme restraint of the mind. {ii}
།ཡིད་ཀྱི་སྡོམ་པ་གང་གིས་མཁས་པ་དག །བྱང་ཆུབ་ཡན་ལག་བདུན་ཡང་མྱུར་འཐོབ་ཅིང་། ||| “That restraint of the mind through which wise ones Quickly attain the seven limbs of enlightenment
།ལམ་མཆོག་ཡན་ལག་བརྒྱད་པ་དེ་བཞིན་ཏེ། ||| And similarly the eight aspects of the supreme path,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པའི་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {79}
།ཡིད་ཀྱི་སྡོམ་པ་གང་གིས་མཁས་པ་དག །བཏང་སྙོམས་ཆེ་ལ་གནས་པ་དམ་པ་དང་། །སྙིང་རྗེ་གནས་མཆོག་དྲི་མ་མེད་པ་འཐོབ། ||| “That restraint of the mind through which wise ones Attain the supreme state of equanimity And the stainless, supreme state of compassion,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {80}
།ཡིད་ཀྱི་སྡོམ་པ་གང་གིས་མཁས་པ་དག །བདེ་བའི་རྣམ་རྟོག་ཞི་བ་དག་པའི་ཡིད། ||| “That restraint of the mind through which wise ones Attain easeful examination, a mind of pure peace,
།ཡོན་ཏན་ཕྱུག་པས་རབ་ཏུ་དབེན་ཐོབ་པ། ||| And detachment through a wealth of qualities,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {81}
།ཡིད་ཀྱི་སྡོམ་པ་གང་ལྡན་མཁས་པ་དག །ལོག་པའི་ལྟ་བ་ཕན་དང་མི་འགྲོགས་ཤིང་། ||| “That restraint of the mind through which wise ones Do not associate with evil people and those with wrong views,
།གནོད་སེམས་བརྣབ་སེམས་སྐྱེད་པར་མི་བྱེད་པ། ||| And do not develop a mind of malice, or a mind of avarice,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {82}
།ཡིད་ཀྱི་སྡོམ་པ་གང་ལྡན་མཁས་པ་དག །སྐད་ཅིག་ཙམ་ཡང་ཚུལ་འཆོས་མི་བྱེད་ཅིང་། ||| “That restraint of the mind through which wise ones Do not act with pretense for even an instant,
།བླ་མ་ལ་ཡང་གཡོ་སྒྱུ་མི་བྱེད་དེ། ||| And do not act with deception toward the guru,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {83}
།ཡིད་ཀྱི་སྡོམ་པ་གང་ལྡན་མཁས་པ་དག །འདོད་ཆགས་ཞེ་སྡང་ཡིད་ནི་སྐྱེད་མི་བྱེད། ||| “That restraint of the mind through which wise ones Do not develop desire or anger in their minds,
།དེ་བཞིན་གང་དུའང་གཏི་མུག་མི་སྐྱེད་དེ། ||| And similarly never give rise to ignorance,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པའི་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {84}
།ཡིད་ཀྱི་སྡོམ་པ་གང་ལྡན་མཁས་པ་དག །བྱང་ཆུབ་ལས་ནི་སེམས་ཀྱང་མི་གཏོང་ཞིང་། ||| “That restraint of the mind through which wise ones In their minds do not forsake enlightenment,
།ལྷག་པའི་བསམ་པ་དག་ཀྱང་འཁྲུག་མི་བྱེད། ||| And whose superior motivation is never shaken,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {85}
།ཡིད་ཀྱི་སྡོམ་པ་གང་ལྡན་མཁས་པ་དག །ཡིད་ཀྱི་ཉེས་པ་མང་པོ་ཇི་སྙེད་གཞན། །ཀུན་དང་ལྷན་ཅིག་གནས་པར་མི་བྱེད་པ། ||| “That restraint of the mind through which wise ones Do not keep with any of the other numerous faults Of the mind that there may be,
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པ་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {86}
།ཡིད་ལ་སྒྱུ་མ་ལྟ་བུར་འཇུག་བྱེད་དེ། ||| “They understand the mind as being like an illusion,
།རྨི་ལམ་འདྲ་ཞིང་དེ་བཞིན་སྨིག་རྒྱུ་འདྲ། ||| Like a dream, and similarly like a mirage,
།རྟག་ཏུ་མིག་ཡོར་གྱི་ནི་མཚན་ཉིད་དེ། ||| Always having the characteristic of a hallucination:
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པའི་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {87}
།བདེ་བ་རྨི་ལམ་ལྟ་བུར་འཇུག་བྱེད་དེ། ||| “They understand happiness to be like a dream,
།དེ་བཞིན་མི་རྟག་སྟོང་པ་ཐེར་ཟུག་མུན། ||| And similarly, impermanent, empty, and transient.
།ཡིད་ལ་དེ་ལྟར་མཁས་པ་འཇུག་པར་བྱེད། ||| Wise ones understand the mind in that way:
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པའི་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {88}
།ཡིད་ལ་སྲོག་དང་སེམས་ཅན་མེད་པར་འཇུག །རྐྱེན་ལས་བྱུང་བ་མགལ་མེ་བསྐོར་བ་བཞིན། ||| “They understand the mind to be without a soul, without being, And arising from conditions like a whirled torch’s circle of fire,
།ག་ལས་མ་འོངས་གང་དུ་མི་འགྲོ་སྟེ། ||| Not coming from anywhere nor going anywhere:
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པའི་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {89}
།ཡིད་དེ་གང་ནའང་ཉེ་བར་མི་དམིགས་ཤིང་། ||| “They never objectify the mind at all,
།རྟོག་པ་མེད་པར་རློམ་སེམས་མི་བྱེད་དེ། ||| And are without conceptualization or pride;
།དེ་ཡང་མི་ལྟ་མངོན་པར་ཞེན་མི་བྱེད། ||| They do not fixate upon it or become attached to it:
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པའི་མཆོག་ཏུ་བརྗོད། ||| That is what is called the supreme restraint of the mind. {90}
།དོན་དམ་བདེན་པ་རྨི་ལམ་འདྲ་བ་དང་། །མྱ་ངན་འདས་པ་རྨི་ལམ་མཚུངས་པར་འཇུག །གང་གིས་མཁས་པ་དེ་ལྟར་འཇུག་པ་ཡང་། ||| “They understand the ultimate truth to be like a dream, And nirvāṇa to be the same as a dream; Wise ones understand the mind in that way:
།དེ་ནི་ཡིད་ཀྱི་སྡོམ་པའི་མཆོག་ཏུ་བརྗོད།། །།འཕགས་པ་ཏིང་ངེ་འཛིན་གྱི་རྒྱལ་པོའི་མདོ། བམ་པོ་བཅྭ་ལྔ་པ་སྟེ་ཐ་མ། ||| That is what is called the supreme restraint of the mind.” {91} Conclusion of the thirty-ninth chapter, “Restraint of the Body, Speech, and Mind.” [Untitled] Chapter 40
གཞོན་ནུ་དེ་ལ་ལས་ཡོངས་སུ་དག་པ་ནི་འདི་ལྟ་སྟེ། ||| “Young man, what is purity of action?
སྲིད་པ་གསུམ་རྨི་ལམ་ལྟ་བུར་མཐོང་ནས་དེ་ལ་འདོད་ཆགས་དང་བྲལ་བ་སྐྱེད་དེ། ||| Seeing the three existences as being like a dream and becoming free of desire.
གཞོན་ནུ་འདི་ནི་ལས་ཡོངས་སུ་དག་པ་ཞེས་བྱའོ། ||| Young man, that is purity of action.
།གཞོན་ནུ་དེ་ལ་དམིགས་པ་ལས་ཡང་དག་པར་འདའ་བ་གང་ཞེ་ན། ||| “Young man, what is the transcendence of the mind’s fixation on perceptions?
འདི་ལྟ་སྟེ། ཕུང་པོ་དང་ཁམས་དང་སྐྱེ་མཆེད་རྣམས་སྒྱུ་མ་ལྟ་བུར་རིག་ནས་དེ་དག་འདོར་བ་སྟེ། ||| It is knowing that the skandhas, dhātus, and āyatanas are like illusions, and renouncing them.
འདི་ནི་དམིགས་པ་ལས་ཡང་དག་པར་འདའ་བ་ཞེས་བྱའོ། ||| That is the transcendence of the mind’s fixation on perceptions.
།དེ་ལ་ཕུང་པོ་ཡོངས་སུ་ཤེས་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is the knowledge of the skandhas?
ཕུང་པོ་རྣམས་ལ་སྨིག་རྒྱུ་ལྟ་བུར་འཇུག་པའོ། ||| It is perceiving the skandhas to be like mirages.
།དེ་ལ་ཁམས་མཉམ་པ་ཉིད་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is the equality of the dhātus?
ཁམས་རྣམས་སྤྲུལ་པ་ལྟ་བུར་ངེས་པར་སྤོང་བའོ། ||| It is renouncing the dhātus as being like apparitions.
།དེ་ལ་སྐྱེ་མཆེད་སེལ་བ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is the elimination of the āyatanas?
སྐྱེ་མཆེད་མིག་ཡོར་ལྟ་བུར་ངེས་པར་སྤོང་བའོ། ||| It is renouncing the āyatanas as being like hallucinations.
།དེ་ལ་སྲེད་པ་སྤོང་བ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ཆོས་ཐམས་ཅད་ལ་མི་ལྟ་བའོ། ||| “What is the renunciation of craving? It is not fixating on any phenomena. That is the renunciation of craving.
།དེ་ལ་སྐྱེ་བ་མེད་པ་མངོན་སུམ་དུ་བྱེད་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is the direct realization of birthlessness?
ཆོས་ཐམས་ཅད་མི་དམིགས་པའོ། ||| It is not having the perception of any phenomena.
།དེ་ལ་བྱ་བ་ལ་འཇུག་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is engagement in activity?
བརྩོན་འགྲུས་ལས་བྱུང་བའི་སྡུག་བསྔལ་ཆུད་མི་ཟ་བའོ། ||| It is not giving up because of suffering arising from diligence.
།དེ་ལ་རྒྱུ་བསྟན་པ་གང་ཞེ་ན། འདི་ལྟ་སྟེ། ||| “What is the illumination of causes?
ཕུང་པོ་བྲག་ཅ་ལྟ་བུར་མངོན་པར་སྒྲུབ་པའོ། ||| It is perceiving that the skandhas are like echoes.
།དེ་ལ་འབྲས་བུ་ཆུད་མི་ཟ་བ་གང་ཞེ་ན། ||| “What is the non-dissipation of the results of karma?
