འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཅུ་པ་སྟེ་ཀུན་ནས་སྒོའི་ལེའུ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ས་མན་ཏ་མུ་ཁ་པ་རི་བརྟ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཀུན་ནས་སྒོའི་ལེའུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Exposition on the Universal Gateway
དགེ་བསྙེན་མ་ས་ཡ་ཕྲག་བཞི་དང་ཉིས་འབུམ་གྱིས་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ། ||| Four million two hundred thousand female lay practitioners also formed the resolve to reach unsurpassed and perfect awakening.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བྱང་ཆུབ་སེམས་དཔའ་དབང་པོ་རྣོན་པོ་གང་དག་འབྱུང་བ་དེ་དག་གིས་ཏིང་ངེ་འཛིན་རྣམས་ཀྱི་མིང་ཐོས་ན་ཆོས་ཐམས་ཅད་ལ་སྣང་བ་འཐོབ་པར་འགྱུར་བ་དང་། ||| Then Prince Mañjuśrī said to the Blessed One, “If those bodhisattvas with sharp faculties who have come here hear the names of some absorptions, they will attain illumination in all phenomena.
བདུད་ཀྱི་རིས་ཀྱི་ལྷའི་བུ་ཐམས་ཅད་དང་། གང་ཟག་དམིགས་པའི་ལྟ་བ་ཅན་རྣམས་ཀྱིས་ཐུལ་བར་དཀའ་བ་དང་། ||| They will be impervious to all the gods belonging to the entourage of Māra and to those who hold the view that apprehends the person.
ཡི་གེ་གཅིག་གིས་ཡི་གེ་ཐམས་ཅད་རྟོགས་པར་འགྱུར་བ་དང་། ཡི་གེ་ཐམས་ཅད་ཀྱིས་ཡི་གེ་གཅིག་རྟོགས་པར་འགྱུར་བ་དང་། ||| Through a single letter, they will understand all letters, and through all letters, they will understand one letter.
ཐོགས་པ་མ་མཆིས་པའི་སྤོབས་པས་སེམས་ཅན་ཐམས་ཅད་ལ་ཆོས་སྟོན་པ་ལ་མཁས་པར་འགྱུར་བ་དང་། ||| They will become skilled in teaching the Dharma to all beings with unimpeded confident eloquence.
ཆོས་ཟབ་མོ་ལ་བཟོད་པར་འགྱུར་བ་དང་། ||| They will gain acceptance of the profound Dharma.
སྤྱོད་པ་ཐམས་ཅད་ལ་མཚན་ཉིད་གཅིག་ཏུ་རྟོགས་ཤིང་སོ་སོ་ཡང་དག་པར་རིག་པ་བཞིས་མུན་པ་མ་མཆིས་པར་འཐོབ་པར་འགྱུར་བའི་ཏིང་ངེ་འཛིན་རྣམས་ཀྱི་མིང་བཅོམ་ལྡན་འདས་ཀྱིས་བསྟན་དུ་གསོལ། ||| They will understand all conduct to be of a single defining characteristic. They will achieve an unobscured state through the four correct discriminations. I beseech the Blessed Ones to teach the names of these absorptions.”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །འཇམ་དཔལ་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་བཤད་དོ། ། ||| To this the Blessed One responded, “Mañjuśrī, to that end, listen carefully and keep in mind what I shall say.”
འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་བཅོམ་ལྡན་འདས་དེ་བཞིན་ནོ་ཞེས་གསོལ་ཏེ། ||| Prince Mañjuśrī answered, “Blessed One, so be it.”
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་། ||| He then listened as the Blessed One had directed.
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །འཇམ་དཔལ་མཐའ་ཡས་དྲི་མེད་ཅེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| The Blessed One then said, “Mañjuśrī, there is the absorption called the infinite immaculate.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་གཟུགས་ཐམས་ཅད་ཡོངས་སུ་དག་པར་སྟོན་ཏོ། ། ||| If bodhisattvas obtain this absorption, they will reveal all forms to be pure.
འཇམ་དཔལ་མགྱོགས་པར་འགྲོ་བ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called swift travel.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་ཉི་མ་དང་། ཟླ་བའི་འོད་ཟིལ་གྱིས་གནོན་པར་བྱེད་དོ། ། ||| If bodhisattvas obtain this absorption, they will outshine the light of the sun and the moon.
འཇམ་དཔལ་འོད་ཟེར་འབྱུང་བ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called source of light.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་བརྒྱ་བྱིན་དང་། ཚངས་པ་དག་གི་གཟི་བརྗིད་ཟིལ་གྱིས་གནོན་པར་བྱེད་དོ། ། ||| If bodhisattvas obtain this absorption, they will overwhelm Śakra and Brahmā in their splendor.
འཇམ་དཔལ་ཡུལ་སྟོན་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called showing the land.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་འཁོར་འདུས་པ་ཐམས་ཅད་ཀྱི་འདོད་ཆགས་དང་། ཞེ་སྡང་དང་། གཏི་མུག་ཞི་བར་བྱེད་དོ། ། ||| If bodhisattvas obtain this absorption, they will pacify the desire, anger, and ignorance of all their assembled retinues.
འཇམ་དཔལ་འོད་ཟེར་ཐོགས་པ་མེད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called unobstructed light.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་འོད་ཟེར་གྱིས་སྣང་བར་བྱེད་དོ། ། ||| If bodhisattvas obtain this absorption, they will illuminate all buddha realms.
འཇམ་དཔལ་ཆོས་ཐམས་ཅད་མི་བརྗེད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called forgetting no Dharma.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་སངས་རྒྱས་ཀྱི་ཆོས་བསྟན་པ་ཐམས་ཅད་འཛིན་ཅིང་གཞན་ལ་ཡང་སྟོན་པར་བྱེད་དོ། ། ||| If they obtain this absorption, bodhisattvas will retain all the Dharma teachings taught by the Buddha and teach them to others as well.
འཇམ་དཔལ་སེང་གེའི་སྒྲ་མངོན་པར་བསྒྲགས་པའི་དབྱངས་ཡིད་དུ་འོང་བ་རྗེས་སུ་སྒྲོགས་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called imitating the pleasant sound of the lion’s roar.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་ཚངས་པའི་འཇིག་རྟེན་གྱི་བར་དུ་སྒྲས་མངོན་པར་གོ་བར་བྱེད་དོ། ། ||| If they obtain this absorption, bodhisattvas will make themselves heard all the way up to the Brahmā realm.
འཇམ་དཔལ་དགའ་བ་དང་། མགུ་བ་དང་། ཚིམ་པ་ཐམས་ཅད་ཡང་དག་པར་བསྐྱེད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called truly creating all forms of joy, contentment, and satisfaction.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་ཅན་ཐམས་ཅད་ཀྱི་སེམས་དང་བསམ་པ་སྣ་ཚོགས་ཡང་དག་པར་མགུ་བར་བྱེད་དོ། ། ||| If they obtain this absorption, bodhisattvas will gladden the various minds and thoughts of all sentient beings.
འཇམ་དཔལ་ལྟ་བས་ཆོག་མི་ཤེས་ཤིང་མཆོག་ཏུ་དགའ་བ་དང་ལྡན་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called captivating to behold and greatly joyous.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་བལྟ་བ་དང་། མཉན་པས་ཆོག་མི་ཤེས་པར་འགྱུར་རོ། ། ||| If they obtain this absorption, bodhisattvas will become captivating to behold and to listen to.
འཇམ་དཔལ་ཡོན་ཏན་བསམ་གྱིས་མི་ཁྱབ་པའི་འབྱུང་གནས་ཤེས་རབ་ཀྱི་ཡུལ་རིན་པོ་ཆེའི་འབྱུང་ཁུངས་རྒྱུན་ཅིག་པ་ཉོན་མོངས་པ་མེད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called source of inconceivable qualities, wellspring of the precious domain of wisdom, singular stream free of affliction.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་རྫུ་འཕྲུལ་བསྟན་པ་ཐམས་ཅད་སྟོན་པ་དང་། སེམས་ཅན་རྣམས་འདུལ་བར་བྱེད་དོ། ། ||| If they obtain this absorption, bodhisattvas will be able to display all miracles and subdue all beings.
འཇམ་དཔལ་སྒྲ་སྐད་ཐམས་ཅད་ཀྱི་བརྡ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called the symbol of all languages.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་སྒྲ་སྐད་དང་བརྗོད་པ་དང་། བརྡ་ཐམས་ཅད་རྟོགས་ཤིང་ཡི་གེ་ཐམས་ཅད་ཀྱིས་ཡི་གེ་གཅིག་སྟོན་པ་དང་། ||| If they obtain this absorption, bodhisattvas will understand all languages, expressions, and signs.
ཡི་གེ་གཅིག་གིས་ཡི་གེ་ཐམས་ཅད་སྟོན་པར་བྱེད་དོ། ། ||| They will reveal a single letter through all letters, and all letters through a single letter.
འཇམ་དཔལ་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་ལས་བྱུང་བའི་བསོད་ནམས་དང་། དགེ་བའི་རྩ་བ་ཐམས་ཅད་བསགས་ཤིང་སྟོན་པར་བྱེད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called accumulation and demonstration of all merit and roots of virtue arisen from ripened action.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་ཅང་མི་སྨྲ་བར་སྙོམས་པར་ཞུགས་ཏེ། ||| If they obtain this absorption, bodhisattvas will remain in equipoise without saying anything.
ཡི་གེ་གཅིག་ཙམ་ཡང་མི་བརྗོད་པར་སེམས་ཅན་ཐམས་ཅད་ཀྱིས་སངས་རྒྱས་ཀྱི་སྒྲ་དང་། ཆོས་ཀྱི་སྒྲ་དང་། དགེ་འདུན་གྱི་སྒྲ་དང་། ཉན་ཐོས་ཀྱི་སྒྲ་དང་། རང་སངས་རྒྱས་ཀྱི་སྒྲ་དང་། བྱང་ཆུབ་སེམས་དཔའི་སྒྲ་དང་། ཕ་རོལ་དུ་ཕྱིན་པའི་སྒྲ་ཐོས་པར་བྱེད་དོ། ། ||| Without uttering a single sound, they will cause all beings to hear the words Buddha, Dharma, Saṅgha, hearers, solitary buddhas, bodhisattvas, and perfections.
འཇམ་དཔལ་གཟུངས་ཐམས་ཅད་ལས་མངོན་པར་འཕགས་པའི་རྒྱལ་པོ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called the exalted king of all dhāraṇīs.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་གཟུངས་མཐའ་ཡས་པ་བསྒྲུབ་པ་ལ་འཇུག་པ་ཁོང་དུ་ཆུད་པར་འགྱུར་རོ། ། ||| If they obtain this absorption, bodhisattvas will know how to engage in the accomplishment of infinite dhāraṇīs.
འཇམ་དཔལ་ཆོས་ཐམས་ཅད་ལ་སྤོབས་པ་བཀོད་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་ཡོད་དེ། ||| “Mañjuśrī, there is the absorption called the array of confident eloquence in all Dharma teachings.
ཏིང་ངེ་འཛིན་དེ་ཐོབ་ན་བྱང་ཆུབ་སེམས་དཔའ་ཡི་གེ་ཐམས་ཅད་ལ་སྤོབས་ཤིང་སྒྲ་སྐད་ཐམས་ཅད་དང་། དབྱངས་ཐམས་ཅད་དང་། བརྗོད་པ་ཐམས་ཅད་ལ་ཡང་སྤོབས་པར་འགྱུར་རོ། ། ||| If they obtain this absorption, bodhisattvas will become confidently eloquent in all utterances, languages, sounds, and expressions.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་ཆོས་ཀྱི་རྣམ་གྲངས་འདིའི་ཡོན་ཏན་བརྗོད་པའི་ཁྱད་པར་ལ་སྤོབས་ལགས་སོ། ། ||| Then Prince Mañjuśrī said to the Blessed One, “Blessed One, I have an insight to share regarding the unique description of qualities expressed in this Dharma teaching.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འཇམ་དཔལ་ཁྱོད་སྤོབས་པར་བྱོས་ཤིག ། ||| The Blessed One responded, “Mañjuśrī, please share your insight.”
འཇམ་དཔལ་གྱིས་གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་དག་ནེམ་ནུར་མ་མཆིས་པ་དང་། །ཐེ་ཚོམ་མ་མཆིས་པའི་སེམས་ཀྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་སྟོན་པ་དང་། འཆང་བ་དང་། ཀློག་པ་དང་། ཀུན་ཆུབ་པར་བགྱིད་པ་དང་། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་པར་བགྱིད་པ་དེ་ཚེ་འདི་ཉིད་ལ་གདོན་མི་འཚལ་བར་སྤོབས་པ་འཐོབ་པར་རེ་བར་བགྱི་སྟེ། ||| Mañjuśrī then said, “Blessed One, I wish that those bodhisattvas who are free of doubt and hesitation and who teach, hold, recite, integrate, and authentically and extensively expound this Dharma teaching to others, undoubtedly achieve confident eloquence in this very lifetime.
སྤོབས་པ་མྱུར་བ་དང་། སྤོབས་པ་རྒྱ་ཆེ་བ་དང་། ཟབ་མོ་ལ་སྤོབས་པ་དང་། མི་བརྗེད་པའི་སྤོབས་པ་དང་། སྤོབས་པ་སྣ་ཚོགས་ཐོབ་པར་རེ་བར་བགྱིའོ། ། ||| I wish that they obtain swift confidence, vast confidence, confidence in the profound, unforgetting confidence, and variegated confidence.
དེ་ནི་སེམས་ཅན་ཐམས་ཅད་ལ་ཞེ་འགྲས་པ་མ་མཆིས་པའི་སེམས་སུ་གྱུར་པར་རེ་བར་བགྱིའོ། ། ||| I wish that their minds become free from all animosity toward any sentient being.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why do I make that wish?
གང་ཇི་ཙམ་དུ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བསྒྲུབ་པ་དེ་ནི་སྤྱོད་པ་འདི་ཉིད་དང་རྗེས་སུ་འབྲེལ་བ་ལགས་པའི་སླད་དུའོ། ། ||| It is because the accomplishment of this Dharma teaching depends on precisely this conduct.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ཏེ། འཇམ་དཔལ་ལེགས་སོ་ལེགས་སོ། ། ||| The Blessed One then approved of Prince Mañjuśrī, saying “Mañjuśrī, excellent, excellent.
ཁྱོད་ཀྱིས་ཚིག་འདི་ལེགས་པར་སྨྲས་སོ། ། ||| Your words are well spoken.
འཇམ་དཔལ་འདི་ལྟ་སྟེ། དཔེར་ན་སྦྱིན་པ་ནི་ལོངས་སྤྱོད་ཆེན་པོ་འཐོབ་པར་སླུ་བ་མེད་དོ། ། ||| Mañjuśrī, for instance, it is incontrovertible that generosity yields great wealth.
ཚུལ་ཁྲིམས་ནི་མཐོ་རིས་སུ་སྐྱེ་བར་སླུ་བ་མེད་དོ། ། ||| It is incontrovertible that discipline leads to rebirth in the upper realms.
ཐོས་པ་ནི་ཤེས་རབ་ཆེན་པོར་འགྱུར་བར་སླུ་བ་མེད་དོ། ། ||| It is incontrovertible that study leads to great insight.
སྒོམ་པ་ནི་འབྲལ་བར་འགྱུར་བར་སླུ་བ་མེད་དོ། ། ||| It is incontrovertible that familiarization leads to separation.
འཇམ་དཔལ་དེ་བཞིན་དུ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཡང་ཚེ་འདི་ཉིད་ལ་སྤོབས་པ་སྐྱེ་བར་སླུ་བ་མེད་དོ། ། ||| Likewise, Mañjuśrī, it is incontrovertible that this Dharma teaching will bring forth confident eloquence in this very lifetime.
འཇམ་དཔལ་འདི་ལྟ་སྟེ། དཔེར་ན་ཉི་མ་ཤར་བས་ནི་མུན་པ་མུན་ནག་ཐམས་ཅད་སེལ་བར་བྱེད་དོ། ། ||| “Mañjuśrī, the rising sun dispels all the thick black of darkness.
འཇམ་དཔལ་དེ་བཞིན་དུ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཡང་བསྟན་མ་ཐག་ཏུ་སྤོབས་པ་སྐྱེ་བར་རེ་བར་བྱའོ། ། ||| Mañjuśrī, likewise, you should wish for confident eloquence to arise as soon as this Dharma teaching is delivered.
འཇམ་དཔལ་འདི་ལྟ་སྟེ། དཔེར་ན་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་འདུག་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་ངེས་པར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་རོ། ། ||| “Mañjuśrī, for instance, bodhisattvas who abide on the seat of awakening are certain to fully awaken to unsurpassed and perfect buddhahood.
འཇམ་དཔལ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་རབ་ཏུ་འདོན་པ་དེ་ཡང་ཐེ་ཚོམ་མེད་པར་ངེས་པར་ཚེ་འདི་ཉིད་ལ་སྤོབས་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| Likewise, Mañjuśrī, bodhisattva great beings who recite this Dharma teaching are certain to achieve confident eloquence in this very lifetime.
འཇམ་དཔལ་དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཚེ་འདི་ཉིད་ལ་སྤོབས་པ་ཐོབ་པར་འདོད་པས་ནེམ་ནུར་མེད་པ་དང་། ཐེ་ཚོམ་མེད་པའི་སེམས་ཀྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་གཟུང་བར་བྱ། བཅང་བར་བྱ། ཁ་ཏོན་དུ་བྱ། བཀླག་པར་བྱ། ཀུན་ཆུབ་པར་བྱ། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་བསྟན་པར་བྱའོ། ། ||| “Mañjuśrī, therefore, bodhisattva great beings who wish to achieve confident eloquence in this very lifetime should without doubt or hesitation obtain this Dharma teaching, hold it, recite it, read it, understand it, and expound it extensively and correctly to others.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དྲི་མ་མེད་པའི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བདག་གིས་ཀྱང་བཅོམ་ལྡན་འདས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་ནས་བྱང་ཆུབ་སེམས་དཔའ་གང་ནེམ་ནུར་མ་མཆིས་པ་དང་། །ཐེ་ཚོམ་མ་མཆིས་པའི་སེམས་ཀྱིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཛིན་པ་དང་། འཆང་བ་དང་། ཀློག་པ་དང་། ཀུན་ཆུབ་པར་བགྱིད་པ་དང་། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་པར་འགྱུར་བ་དེ་ལ་སྤོབས་པ་ཉེ་བར་བསྒྲུབ་པར་བགྱིའོ། ། ||| Then the bodhisattva great being Amalagarbha said to the Blessed One, “Blessed One, after you pass into parinirvāṇa, I too will work to ensure that those bodhisattvas who have no doubt or hesitation and who retain, hold, read, understand, and correctly and extensively expound this Dharma teaching to others achieve confident eloquence in it.”
དེ་ནས་བདུད་སྡིག་ཅན་ངུ་ཞིང་སྨྲེ་སྔགས་འདོན་བཞིན་དུ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ནི་ཐུགས་རྗེ་དང་ལྡན་ཞིང་སེམས་ཅན་སྡུག་བསྔལ་བ་རྣམས་ལ་བདེ་བ་རབ་ཏུ་སྩོལ་བ་ལགས་ན། བཅོམ་ལྡན་འདས་ཀྱིས་བདག་གི་ཡིད་མི་བདེ་བ་དེ་ལེགས་པར་བསལ་བའི་སླད་དུ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་སླར་ཞིང་བྱིན་གྱིས་མི་བརླབ་ཏུ་གསོལ། ||| At this point, the evil Māra came weeping and wailing before the Blessed One and said, “Blessed One, if the thus-gone, worthy, perfect buddha is compassionate and bestows happiness to suffering beings, then I beseech the Blessed One not to further bless this Dharma teaching, so as to dispel my own mental anguish.
བཅོམ་ལྡན་འདས་གང་གི་ཚེ་བཅོམ་ལྡན་འདས་བྱང་ཆུབ་ཀྱི་སྙིང་པོ་ལ་བཞུགས་པ་དང་། ད་ལྟར་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བསྟན་པའི་ཚེ་བདག་འདིར་ཤིན་དུ་ཆེར་སྡུག་བསྔལ་ཞིང་ཡིད་མི་བདེ་བ་དང་། མྱ་ངན་གྱི་ཟུག་རྔུས་གཟིར་བར་གྱུར་པ་ལགས་སོ། ། ||| Blessed One, when the Blessed One was seated on the seat of awakening, and now as he delivered this Dharma teaching, I was tormented by intense suffering, anguish, and sorrow.
བཅོམ་ལྡན་འདས་ཐ་ན་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་སེམས་ཅན་གང་དག་གི་རྣ་ལམ་དུ་གྲག་པར་གྱུར་པ་དེ་དག་ཐམས་ཅད་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་སླར་མི་ལྡོག་པར་འགྱུར་ལགས་ན། གང་དག་གིས་ཐོས་ནས་འཛིན་པ་དང་། འཆང་བ་དང་། ཀློག་པ་དང་། ཀུན་ཆུབ་པར་བགྱིད་པ་དང་། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་པར་བགྱིད་པ་དེ་ཐམས་ཅད་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་སླར་མི་ལྡོག་པར་འགྱུར་བ་ལྟ་སྨོས་ཀྱང་ཅི་འཚལ་ཏེ། ||| Blessed One, if any sentient being who so much as hears this Dharma teaching will proceed irreversibly to unsurpassed and perfect awakening, then no need to mention that those who not only hear but retain, hold, read, understand, and expound this Dharma teaching extensively and correctly to others will likewise proceed irreversibly to unsurpassed and perfect awakening.
སེམས་ཅན་དེ་དག་ཐམས་ཅད་ནི་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་འགྱུར་ལགས་སོ། ། ||| All these beings will fully pass into nirvāṇa.
བཅོམ་ལྡན་འདས་དེའི་སླད་དུ་བདག་གི་བདུད་ཀྱི་གནས་སྟོངས་པར་འགྱུར་བ་ལགས་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ནི་ཐུགས་རྗེ་དང་ལྡན་ཞིང་སྡུག་བསྔལ་བ་རྣམས་ལ་བདེ་བ་སྩོལ་བ་ལགས་ན། བཅོམ་ལྡན་འདས་བདག་དབུགས་དབྱུང་དུ་གསོལ། ||| Therefore, Blessed One, my māra realm will become empty. If the thus-gone, worthy, perfect buddha is compassionate and bestows happiness onto those who suffer, then I beseech the Blessed One to relieve my suffering.
བདེ་བར་གཤེགས་པ་བདག་དབུགས་དབྱུང་དུ་གསོལ། ||| I beseech the Well-Gone One to relieve my suffering.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བདུད་སྡིག་ཅན་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །སྡིག་ཅན་མ་འཇིགས་ཤིག ། ||| Then the Blessed One responded to the evil Māra, “Evil one, do not fear.
སེམས་ཅན་ཐམས་ཅད་ཀྱང་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་མི་འགྱུར་ལ། ། ||| Not all sentient beings will fully pass into nirvāṇa.
སྡིག་ཅན་ང་ཡང་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལ་བྱིན་གྱིས་རློབ་པར་མི་བྱེད་ཀྱིས་སྡིག་ཅན་མ་འཇིགས་ཤིག ། ||| Evil one, nor will I bless this Dharma teaching, so do not fear.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དབུགས་དབྱུང་བ་མཛད་པས་བདུད་སྡིག་ཅན་ཚིམ་ཞིང་མགུ་ལ་ཡི་རངས་ཏེ། ||| When the Blessed One had consoled him, the evil Māra was satisfied, pleased, and happy.
