༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྲཧྨ་བི་ཤེ་ཥ་ཙིན་ཏི་པ་རི་པྲྀཙྪ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Brahma­viśeṣacintin
།བདུད་ཀྱི་ཟབ་མོ་སྤྱོད་པ་ཡི། །གཏིང་ཡང་རྟག་ཏུ་རིག་མི་འགྱུར། ||| “The depth of their profound conduct Can never be fathomed by the māras.
།འདི་ལྟར་དེ་དག་ཆོས་རྣམས་ལ། །མ་ལུས་པར་ནི་མི་འཛིན་ཏོ། ||| In this way they practice, Grasping to no phenomenon.
།སངས་རྒྱས་ཡེ་ཤེས་རབ་ཚོལ་ན། ||| “They seek the wisdom of the buddhas,
།ཡང་དག་ཞུགས་པའི་སྤྱོད་ཡུལ་མིན། ||| Knowing it is not an actual object to pursue.
།ཡེ་ཤེས་དེ་ཡང་ཡུལ་གནས་དང་། །ཕྱོགས་ལ་གནས་པ་མི་ཐོབ་བོ། ||| This wisdom can be found nowhere, In whichever direction you look.
།སངས་རྒྱས་ཡེ་ཤེས་ཆགས་མེད་དེ། ||| “The wisdom of the buddhas has no attachment—
།ཆོས་དང་ཆོས་ལ་ཆགས་མི་བྱེད། ||| No attachment to any phenomenon.
།བྱང་ཆུབ་ཏུ་ནི་གང་གཞོལ་བ། ||| Those who strive for awakening
།དེ་བཞིན་དེ་དག་ཆགས་མི་བྱེད། ||| Also produce no attachment.
།སྦྱིན་པས་མངོན་པར་རྟག་ཏུ་འཕགས། ||| “Those who are exalted due to generosity
།སེམས་དུལ་དུལ་ལ་རབ་ཏུ་དགའ། ||| Always delight in taming the mind.
།དེ་དག་མ་ལུས་གཏོང་བ་ན། ||| They relinquish everything,
།ཞེན་པའི་སེམས་ནི་ཡོང་མེད་དོ། ||| Without any attachment.
།ཆོས་ནི་གཏོང་བར་མི་ནུས་ཏེ། ||| “Phenomena cannot be relinquished,
།གཟུང་བར་ཡང་ནི་མི་ནུས་སོ། ། ||| Nor can they be held.
དེ་ལྟར་ཆོས་རྣམས་ཐམས་ཅད་ལ། །བདག་གི་དངོས་པོ་ཡོད་མ་ཡིན། ||| In actuality, no phenomenon Is a thing that can be owned.
།ཆོས་རྣམས་ཐམས་ཅད་མ་མཆིས་ཤིང་། །གྲོལ་བའང་མེད་པར་གང་གིས་ཤེས། ||| “He who knows that No phenomenon exists or is liberated
།གང་ལ་ལྟ་བ་མེད་པ་སྟེ། །དེ་ནི་སྦྱིན་བདག་ཆེན་པོ་ཡིན། ||| Has no view of anything—He is a great benefactor.
།ང་དང་ང་ཡིར་ལྟ་བ་གང་། །དེ་ལ་དེ་དག་ཡོང་མེད་དེ། ||| “Bodhisattvas are utterly free Of views of me and mine.
།དེ་ཕྱིར་དེ་དག་གཏོང་བ་ན། ||| That is why whenever they give,
།དངོས་པོ་ཅི་ལའང་རྟེན་མི་འགྱུར། ||| They never rely on anything.
།སྦྱིན་པ་གཏོང་བ་ཐམས་ཅད་ཀྱང་། ||| “Furthermore, all their acts of generosity
།བྱང་ཆུབ་ལ་ནི་སྔོ་བར་བྱེད། ||| They dedicate toward awakening.
།བྱང་ཆུབ་ལ་ནི་སྦྱིན་པ་ཡི། ||| Generosity for awakening’s sake
།གཉིས་སུ་འདུ་ཤེས་མི་བསྐྱེད་དོ། ||| Is no cause of dualistic notions.
།འདུ་བྱེད་མེད་པའི་ཚུལ་ཁྲིམས་ལ། ||| “Discipline free of formation,
།རྟག་པར་ཤིན་ཏུ་གནས་པར་འགྱུར། ||| They always maintain.
།ཚུལ་ཁྲིམས་ལ་ཡང་བདག་གནས་ཤེས། ||| Yet they never proudly think,
།དེ་དག་ལ་ནི་རློམ་སེམས་མེད། ||| ‘I maintain discipline.’
།ཚུལ་ཁྲིམས་དག་ནི་མ་བྱས་ཤིང་། ||| “Discipline is not made or produced:
།མ་སྐྱེས་པར་ཡང་མཁས་པས་ཤེས། ||| This these wise ones know.
།དེ་ཕྱིར་དེ་ཡི་ཚུལ་ཁྲིམས་ནི། ||| That is why their discipline
།རབ་དག་དྲི་མེད་ནམ་མཁའ་བཞིན། ||| Is utterly stainless, like space.
།ལུས་ནི་གཟུགས་བརྙན་ཉིད་དང་འདྲ། ||| “The body is like a reflection,
།ངག་ནི་བྲག་ཅ་ཇི་བཞིན་ཏེ། ||| Speech is like an echo, and
།སེམས་ཀྱང་སྒྱུ་མ་འདྲར་རིག་ནས། ||| Mind is like an illusion.
།དེ་དག་ཚུལ་ཁྲིམས་མི་སྙེམས་སོ། ||| Knowing this, they observe no arrogant discipline.
།དེ་དག་ཞི་ཞིང་རབ་ཏུ་ཞི། ||| “They are always in peace, complete peace, and
།ཉེ་བར་ཞི་ཞིང་མཉམ་པར་གཞག ། ||| Thorough peace, and thus resting in equipoise.
སྡིག་པ་ཐམས་ཅད་ཞི་བྱེད་ཅིང་། ||| They pacify all negativity
།རབ་ཏུ་ཞི་བའི་ཕ་རོལ་སོང་། ||| And have transcendent, complete peace.
།ངང་ཚུལ་ངན་དང་ཚུལ་ཁྲིམས་ནི། ||| “They do not view negative behavior
།གཉིས་སུ་བྱ་བ་དེ་ལ་མེད། ||| And discipline dualistically.
།ཆོས་ཀྱི་དབྱིངས་ནི་ཡོངས་ཤེས་ནས། ||| They realize the realm of phenomena,
།དེ་ཡི་ཚུལ་ཁྲིམས་ཟག་པ་མེད། ||| So their discipline is stainless.
།བཟོད་པའི་ཕ་རོལ་རབ་ཕྱིན་ཅིང་། ||| “They have perfected patience
།ཉེས་བྱས་ཐམས་ཅད་བཟོད་པར་བྱེད། ||| And can bear all harm.
།དེ་ལྟར་སེམས་ཅན་ཐམས་ཅད་ལ། ||| In this way, they look equally
།དེ་ཡི་འདུ་ཤེས་མཉམ་པར་འཇུག ། ||| Upon all beings.
ཆོས་རྣམས་ཐམས་ཅད་མི་གནས་ཏེ། ||| “No phenomenon ever remains,
།སྐད་ཅིག་འཇོམས་པས་འཇིག་པར་འགྱུར། ||| But is destroyed instant by instant,
།འདི་ལ་གང་ཡང་གཤེ་བ་མེད། ||| So they neither revile
།འདི་ལ་གང་ཡང་ཕྱག་འཚལ་མེད། ||| Nor revere them.
།ལུས་རྣམས་གཤགས་ཤིང་བཅད་ན་ཡང་། ||| “Their bodies could be cut into pieces;
།དེ་ཡི་སེམས་ལ་འཁྲུག་མི་འབྱུང་། ||| However, their minds would be undisturbed.
།ལུས་ཀྱི་ནང་ངམ་ཕྱི་རོལ་ན། །སེམས་ནི་ཤིན་ཏུ་མི་གནས་སོ། ||| The mind abides Neither inside nor outside of the body.
།ཁམས་བཞི་ལས་ནི་བྱུང་བ་ཡི། ||| “The body that comes from the four elements
།ལུས་འདི་ཉིད་ནི་དགྲ་དང་མཚུངས། ||| Is like an enemy.
།ཡང་དག་ཡོངས་སུ་རྟོགས་པ་ཡི། ||| Realizing this,
།མཁས་པ་དེ་དག་བདག་མི་སྙེམས། ||| These wise ones have no conceit for me.
།དེ་ལྟར་མངོན་སུམ་གྱུར་པས་ན། ||| “Those who can actualize this
།དེ་དག་བཟོད་པར་སྨྲ་བ་ཡིན། ||| Are said to have patience.
།དེ་ཡི་སེམས་ནི་སུན་དབྱུང་བར། །མ་ལུས་སྐྱེ་བོས་མི་ནུས་སོ། ||| All beings together Could not sway their minds.
།དེ་དག་བརྩོན་འགྲུས་ཆེ་རྩོམ་སྟེ། ||| “They practice great diligence:
།མཐུ་བརྟན་འཇིགས་པ་མེད་པ་དག ། ||| Powerful, stable, and free of fear.
ལུས་དང་སེམས་རྣམས་རིག་ནས་ནི། ||| They know both body and mind,
།དེ་དག་ལ་ནི་གནས་མི་འགྱུར། ||| Yet rely on neither.
།འཁོར་བ་ཡི་ནི་ཐོག་མ་ཡི། །མཐའ་ནས་བཟུང་སྟེ་མ་སྐྱེས་སོ། ||| “They harbor no belief in a beginning or end to saṃsāra.
།སེམས་ཅན་ཅིག་གི་དོན་ཕྱིར་ཡང་། ||| Even for the sake of a single sentient being,
།སྟོབས་པོ་ཆེ་དག་གོ་ཆ་གྱོན། ||| These strong ones don the armor of diligence.
།ཆོས་ནི་གང་ཡང་མི་སྐྱེ་སྟེ། ||| “Phenomena are unborn:
།འབྱུང་བར་འགྱུར་བའང་མེད་མོད་ཀྱི། ||| They do not come into being.
།བྱིས་པ་ཕྱིན་ཅི་ལོག་པའི་ཕྱིར། ||| Immature beings, because they are mistaken,
།སྔོན་གྱི་མཐའ་ནི་མི་རྟོགས་སོ། ||| Do not realize how it all began.
།དབྱིངས་འདི་རྟག་ཏུ་གནས་པ་སྟེ། ||| “The realm of phenomena is always there;
།ཆོས་ཀྱི་དབྱིངས་ནི་བསམ་མི་ཁྱབ། ||| The realm of phenomena is inconceivable.
།དེ་ལྟར་ཡང་དག་རབ་ཤེས་ན། ||| The one who truly and fully realizes this
།འདི་ལ་སྐྱེ་མེད་འཇིག་པ་མེད། ||| Knows neither birth nor death.
།ཆོས་ཀྱི་ཆོས་ནི་འདི་རྣམས་ནི། །སེམས་ཅན་འདི་དག་མི་ཤེས་ཏེ། །དེ་ཕྱིར་དེ་ཡི་ཕྱིན་ཅི་ལོག །སྤང་བའི་ཕྱིར་ནི་དེ་དག་བརྩོན། ||| “These bodhisattvas strive so that Those who fail To see this character of phenomena May abandon their mistake.
།སེམས་ཅན་རྫོགས་པའི་སངས་རྒྱས་ཀྱིས། །ཇི་ལྟ་བུར་ཡང་ཡོང་མ་སྙེམས། ||| “Perfect buddhas do not misconstrue The way beings are,
།གོ་ཆ་དག་ཀྱང་མི་འདོར་ཏེ། །བརྩོན་འགྲུས་དག་གི་ཁྱད་པར་ལྟོས། ||| While never stripping off their armor: Behold the unique quality of their diligence!
།ཇི་ལྟར་སྒྱུ་མ་སྨིག་རྒྱུ་ལྟར། །ཆོས་རྣམས་ལ་ནི་རབ་ཏུ་འབྱེད། ||| “These bodhisattvas recognize that phenomena Are like illusions or mirages.
།འདི་ལ་སྙིང་པོ་མི་རྙེད་དེ། ||| Finding no essence in them,
།ནམ་མཁའ་ལ་ནི་ལྟ་བ་བཞིན། ||| They see them as space.
།མེད་པའི་ཡོངས་སུ་རྟོགས་པ་ཡི། ||| “Conceptualizing nonexistence,
།སྐྱེ་བོ་མི་མཁས་ཉོན་མོངས་འགྱུར། ||| Unwise individuals are swayed by emotional defilements.
།གང་གི་མྱ་ངན་འདའ་བ་ཡི། ||| Those who have passed beyond this suffering
།རིག་པ་དག་ནི་འདི་ལ་བཤད། ||| Explain this to them.
།དེ་ཡི་བརྩོན་འགྲུས་དེ་ཕྱིར་ཏེ། ||| “This is why they practice diligence,
།དངོས་པོ་གཞིག་ཕྱིར་མ་ཡིན་ནོ། ||| Not to eliminate anything.
།དངོས་དང་དངོས་མེད་མི་རྟག་ཕྱིར། ||| Since things and non-things are both impermanent,
།དེ་དག་གི་ནི་བརྩོན་འགྲུས་བསྐྱེད། ||| These bodhisattvas cultivate diligence.
།དབེན་པ་དག་ཏུ་རྟག་གནས་ཤིང་། ||| “They always remain in solitude,
།ཉོན་མོངས་མེད་པར་རྟོག་པར་རིག །འཁོར་བ་ལ་ནི་སྐྲག་པའི་ཡིད། ||| Aware of the absence of emotional defilements, And cultivating a fear of saṃsāra.
།འདྲིས་པ་མེད་ཅིང་ཡིད་མི་སྟོན། ||| They have no acquaintances and rely on no one.
།དགོན་པར་སྤྱོད་པར་བརྟན་པ་དག །མཁས་པ་རྟག་ཏུ་བསེ་རུ་བཞིན། ||| “These wise ones who practice steadfastly in the wilderness Remain solitary like a rhinoceros.
།ཤེས་པར་བཙན་པ་རིག་པ་དག །དེ་དག་མངོན་ཤེས་རྟོགས་པར་རིག ། ||| Full of knowledge and wisdom, They master the superknowledges.
དགོན་པ་བཞིན་དུ་གྲོང་དེ་བཞིན། །མཉམ་པ་ཉིད་ལ་རབ་གནས་པས། ||| “As in the wilds, so too in town, They dwell in equality.
།སྤྱོད་དང་སྤྱོད་ལམ་མི་རྟོགས་ཏེ། ||| Never conceptualizing actions and activities,
།དེ་དག་རྟག་ཏུ་མཉམ་པར་བཞག །ནམ་ཞིག་མཉམ་པར་བཞག་པའི་ཆོས། ||| They always maintain equipoise.
།ཉེ་བར་ཞི་བ་ཟག་མེད་ལ། ||| “Eventually they develop trust and become liberated Within the Dharma of equipoise—
མོས་ཤིང་རྣམ་པར་གྲོལ་བ་ན། །དེ་ཕྱིར་མཉམ་པར་བཞག་ཅེས་གསུངས། ། ||| The undefiled state of peace.
མཉམ་པར་བྱེད་ཅིང་མཉམ་པར་འགྲོ། ||| That is why it is called equipoise. “They establish evenness, they go to evenness,
།མཉམ་པ་ཉིད་ལ་རབ་གནས་ནས། ||| They abide in evenness, and
།མཉམ་པ་ཉིད་དང་འགལ་མི་བྱེད། ||| They do not contravene evenness.
།དེ་ཕྱིར་མཉམ་པར་བཞག་ཅེས་གསུངས། ||| That is why it is called equipoise.
།བྱང་ཆུབ་སེམས་ལས་རྣམ་པ་ཀུན། ||| “They always maintain the thought of awakening,
།སེམས་ལས་དེ་དག་རྨོངས་མི་འགྱུར། །སེམས་ཅན་དག་ཀྱང་ཡོངས་སྨིན་བྱེད། ||| Are never obscured, and Mature beings.
།དེ་དག་མཉམ་པར་བཞག་ཅེས་གསུངས། ||| That is why it is called equipoise.
།རྫོགས་པའི་སངས་རྒྱས་ཆོས་ཀྱི་སྐུ། །དེ་བཞིན་གཤེགས་པ་རྟག་ཏུ་དྲན། ||| “They always remember the perfect Buddha, The dharmakāya, and the Thus-Gone One,
།གཟུགས་ལ་འདོད་ཆགས་བྲལ་བ་ཐོབ། ||| And are free from desire for forms.
།དེ་ཕྱིར་མཉམ་པར་བཞག་ཅེས་གསུངས། ||| That is why it is called equipoise.
།ཆོས་ཀྱི་ཆོས་ཉིད་ཇི་ལྟ་བར། །དེ་དག་ཆོས་རྣམས་སྒོམ་མོད་ཀྱི། ||| “They meditate on phenomena, Knowing the nature of phenomena as it is,
།དྲན་པ་ཡིད་ལ་བྱེད་པས་མིན། ||| But not through reflection and mental engagement.
།དེ་ཕྱིར་མཉམ་པར་བཞག་ཅེས་གསུངས། ||| That is why it is called equipoise.
།དགེ་འདུན་དྲན་པ་སྒོམ་བྱེད་དེ། ||| “They meditate remembering the saṅgha;
།དགེ་འདུན་ཉིད་ཀྱང་འདུས་མ་བྱས། ||| The saṅgha is unconditioned by nature.
།ཚད་དང་བྲལ་བ་ཞི་བ་ཡི། ||| So in peace, free of measure,
།མཁས་པ་དག་ནི་བསམ་གཏན་སྒོམ། ||| These wise ones meditate in concentration.
།ལུས་ཅན་དག་གི་ཕྱོགས་བཅུ་ན། ||| “In the ten directions of embodied beings
།ཞིང་དང་སངས་རྒྱས་རྣམས་མཐོང་སྟེ། ||| They see buddha realms and buddhas,
།དེ་དག་མིག་དང་གཟུགས་ལ་ཡང་། །གཉིས་སུ་འདུ་ཤེས་མི་འཇུག་གོ། ||| Yet they do not relate dualistically To eyes and forms.
།སངས་རྒྱས་རྣམས་ཀྱིས་ཆོས་བསྟན་པ། །ཇི་སྙེད་ཡོད་པ་ཉན་མོད་ཀྱི། ||| “They listen to all the Dharma teachings Given by buddhas,
།དེ་དག་སྒྲ་དང་རྣ་བ་ལ། །གཉིས་སུ་འདུ་ཤེས་མི་འཇུག་གོ། ||| Yet they do not relate dualistically To ears and sounds.
།དེ་དག་སེམས་ཅན་རྣམས་ཀྱི་སེམས། །སེམས་གཅིག་གིས་ནི་རབ་ཤེས་ཀྱང་། ||| “They know in one thought The minds of beings,
།དེ་དག་སེམས་སམ་སེམས་ཅན་ལ། །རྣམ་པར་རྟོག་པར་མི་འགྱུར་རོ། ||| Yet they do not conceptually elaborate About these beings or their minds.
།བསྐལ་པ་གང་གཱའི་བྱེ་མ་སྙེད། །བྱེ་བ་ལྟ་བུའི་དྲན་གྱུར་ཀྱང་། །དེ་དག་སྔོན་ནམ་ཕྱི་མ་ཞེས། །སྤྲོས་པ་འདི་ཡང་མི་འབྱུང་ངོ་། ||| “They can remember as many million eons As there are grains of sand in the Ganges, Yet they do not have preconceptions About before or after.
།ཞིང་རྣམས་བྱེ་བ་ཕྲག་སྟོང་དང་། །བསམ་མི་ཁྱབ་པར་འཕྲུལ་གྱིས་འགྲོ། །ལུས་ལའང་མེད་ཅིང་སེམས་ལའང་མེད། །དེ་ལས་གུད་ནའང་ཡོད་མ་ཡིན། ||| “They can travel with their magical powers To billions of buddha realms in inconceivable numbers, Yet seeing no body and no mind, They become fatigued neither physically nor mentally.
།ཆོས་རྣམས་རབ་ཏུ་དབྱེ་བར་ཤེས། །སྤོབས་པ་དག་ལ་རྟོགས་པར་རིག །ཆོས་ཀྱི་དབྱིངས་རྣམས་བསྟན་པ་དག །བསྐལ་པ་བྱེ་བར་སྨྲ་བར་བྱེད། ||| “They distinguish and know all phenomena; They have gained mastery of eloquence. They teach the realm of phenomena For millions of eons on end.
།ཤེས་རབ་ཀྱི་ཡང་ཕ་རོལ་ཕྱིན། ||| “Having also perfected insight,
།ཕུང་པོ་དག་ལ་མཁས་པར་བསླབ། །བླང་མེད་སྤྲོས་པ་མེད་པ་ཡི། །ཆོས་མཆོག་དག་ནི་རྗོད་པར་བྱེད། ། ||| They have trained in mastery of the aggregates, And explain the supreme Dharma, In which there is nothing to adopt, and no elaboration.
དེ་དག་རྐྱེན་ལ་མཁས་པ་སྟེ། ||| “They know about conditions,
།མཐའ་གཉིས་དག་ནི་སྤངས་པ་ཡིན། ||| And have abandoned the two extremes;
།དེ་དག་ཉོན་མོངས་རྒྱུ་རྣམས་ཀྱང་། ||| They know the causes of emotional defilements,
།སྡིག་པ་མེད་པར་དག་པར་ཤེས། ||| But also know them to be pure, without evil.
།རྐྱེན་ལ་ལྷག་པར་མོས་པ་ལ། ||| “They fully respect conditions,
།ལྟ་བ་དག་ནི་ཡོད་མ་ཡིན། ||| While holding no wrong views.
།འདི་ལྟར་ཆོས་རྣམས་ཐམས་ཅད་ནི། ||| In this way, all phenomena
།རྐྱེན་ལས་རག་ལུས་དངོས་པོ་མེད། ||| Are unreal and depend on conditions.
།བདག་ཏུ་ལྟ་དང་སངས་རྒྱས་ལྟ། ||| “Views of the self, views of the Buddha,
།སྟོང་པར་ལྟ་བ་གང་ཡིན་དང་། །མྱ་ངན་འདས་དང་འཁོར་བར་ལྟ། ||| Views of things as empty, and Views of nirvāṇa and of saṃsāra:
།ཐམས་ཅད་དེ་ལ་ཡོངས་མེད་དོ། ||| They have none of these.
།ཤེས་རབ་རང་བཞིན་ཤེས་ནས་ནི། །སྣང་བར་གྱུར་མ་ཐག་ཏུ་ཡང་། ||| “Knowing the nature of insight, The light of wisdom emerges.
།དེ་དག་མུན་བྲལ་ཆགས་མེད་ཅིང་། ||| The instant something appears, they are free from desire,
།བྱང་ཆུབ་སྤྱོད་ལ་སྤྱོད་པར་འགྱུར། ||| And practice the conduct for awakening.
།ཐེག་པ་ཆེན་པོའི་ཐེག་པ་འདི། ||| “This vehicle is the Great Vehicle,
།སངས་རྒྱས་ཐེག་པ་བསམ་མི་ཁྱབ། ||| The inconceivable vehicle of the buddhas,
།སེམས་ཅན་གྱི་ནི་གོ་སྐབས་འབྱེད། ||| Open to all beings:
།ཐེག་པ་ཆེན་པོ་བླ་ན་མེད། ||| The unsurpassable Great Vehicle.
།ཐེག་པ་ཇི་སྙེད་ཅི་ཡོད་པ། ||| “Among all vehicles,
།འདི་ནི་དེ་ཡི་མཆོག་ཏུ་དགོངས། ||| The great beings regard it as supreme.
།དེ་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལས། ||| That is why all other vehicles
།ཐེག་པ་ཐམས་ཅད་རབ་ཏུ་དབྱེ། ||| Are subsumed by the Great Vehicle.
།ཐེག་པ་གཞན་དུ་ཆུང་ངུ་སྟེ། ||| “Other vehicles are not as great,
།ཐམས་ཅད་ཀྱི་ནི་གོ་སྐབས་མེད། ||| As they cannot address all beings,
།ཐེག་པ་ཆེན་པོ་འདི་ལ་ནི། ||| Whereas the Great Vehicle
།ལུས་ཅན་ཀུན་གྱི་གོ་སྐབས་ཤོད། ||| Accommodates all embodied beings.
།ཐེག་པ་ཆེན་པོ་ནམ་མཁའ་ལྟར། །དྲི་མ་མེད་ལ་གང་ཞུགས་པ། ||| “The Great Vehicle is like space, Which is stainless.
།དེ་དག་ལུས་ཅན་ཐམས་ཅད་ལ། །སེར་སྣ་བྱེད་པ་ཡོད་མེད་དོ། ||| Those who have entered it have no uncharitable thoughts For any embodied being.
།ཇི་ལྟར་ནམ་མཁའ་ཚད་མེད་ཅིང་། །གཟུགས་མེད་བསྟན་དུ་མེད་པ་ལྟར། ||| “Just as space is immeasurable, Formless, and indemonstrable,
།དེ་བཞིན་ཐེག་པ་ཆེན་པོ་འདི། ||| So is this Great Vehicle
།ཚད་མེད་སྒྲིབ་པ་མེད་པའོ། ||| Immeasurable and devoid of obscuration.
།གལ་ཏེ་སེམས་ཅན་ཐམས་ཅད་ཀྱང་། ||| “If all beings
།ཐེག་པ་དམ་པ་འདོད་འགྱུར་ན། ||| Were to follow this holy vehicle,
།ཐམས་ཅད་ཀྱི་ཡང་གོ་སྐབས་ཡོད། ||| Each would have the right circumstances:
།ཐེག་པའི་ཁྱད་པར་དག་ལ་ལྟོས། ||| Behold the unique qualities of this vehicle!
།ཐེག་པ་ཆེན་པོའི་ཡོན་ཏན་དང་། །དེ་ལ་གང་རྣམས་གནས་པ་ཡིན། །དེ་དག་གི་ནི་བསྔགས་པའི་མཐའ། །བསྐལ་པ་བྱེ་བར་བཤད་མི་ནུས། ||| “To praise the qualities of the Great Vehicle, And of those who abide in it, For ten million eons Would not exhaust all there is to explain.
།ཚིག་བཞི་པ་ཡི་ཚིགས་བཅད་ཙམ། །མདོ་སྡེ་འདི་ལས་གང་འཛིན་པ། ||| “Anyone who retains A single stanza of this sūtra
།དེ་དག་གིས་ནི་མི་ཁོམ་སྤངས། ||| Will abandon the unfree states.
།མཁས་པ་དེ་དག་དལ་བ་ཐོབ། ||| Such a learned being will gain the states of leisure.
།གང་དག་མདོ་སྡེ་འདིར་དགའ་བ། །དེ་དག་ཕྱིན་ཆད་ངན་སོང་དུ། །འགྲོ་བར་འགྱུར་བ་མ་ཡིན་ཏེ། །དེ་དག་ལྷ་དང་མིར་འགྱུར་རོ། ||| “Anyone who rejoices in this sūtra Will never take birth In the lower realms, But will become a god or a human.
།ཕྱི་དུས་འཇིགས་པ་ཆེན་པོའི་ཚེ། །མདོ་སྡེ་འདི་ནི་གང་ཉན་པ། 0།དེ་དག་ཐམས་ཅད་བྱང་ཆུབ་ཏུ། །ཤིན་ཏུ་གཞོལ་བར་ངས་ལུང་བསྟན། ||| “I prophesy that anyone who Later, during times of great terror, Hears this sūtra Will reach awakening.
།དེ་ཡི་ལག་ན་ཆོས་ཡོད་དེ། ||| “Those persons will have this teaching in their hands,
།དེ་དག་དམ་པའི་ཆོས་ལ་གནས། ||| And follow the sacred Dharma.
།ཆོས་འདི་ལ་ནི་གནས་ནས་ཀྱང་། ||| While following the Dharma,
།དེ་དག་ཆོས་ཀྱི་འཁོར་ལོ་བསྐོར། ||| They will turn the wheel of the Dharma.
།གང་གིས་མདོ་སྡེ་འདི་བཟུང་བ། ||| “Those who recollect this sūtra
།དེ་དག་རྫོགས་པའི་བྱང་ཆུབ་སྟེ། །བསྐལ་པ་མཐའ་ཡས་འཁོར་བ་ལས། །བདག་ཉིད་ཆེན་པོ་དེ་དག་སྤོང་། ||| Will reach perfect awakening, Abandoning the great self That has been circling in saṃsāra for endless eons.
།གང་གིས་ཚུལ་འདི་བཟུང་བ་དག །དེ་དག་དཔའ་བོ་ནུས་པ་སྟེ། ||| “Those who hold the meaning herein Will have the ability of heroes.
།བདུད་ཀྱི་སྡེ་རྣམས་རབ་ཏུ་འཇོམས། ||| Overcoming the factions of māras,
།བརྩོན་འགྲུས་ཆེ་ཞིང་ཤེས་རབ་ཆེ། ||| They will have great diligence and insight.
།མདོ་སྡེ་འདི་ལ་གང་དགའ་བ། །ང་ནི་བཟུང་ལ་གནས་པའི་ཚེ། །མར་མེ་མཛད་ཀྱིས་ལུང་བསྟན་ལྟར། །དེ་ཚེ་དེ་དག་ལུང་བསྟན་ཏོ། ||| “Those who rejoice in this sūtra Will receive prophecies, Just as I received one from Dīpaṃkara, When I practiced patience.
།མདོ་སྡེ་འདི་ནི་གང་སྨྲ་བ། །དེ་ནི་སངས་རྒྱས་སྐྱོབ་པ་ཡི། །འཇིག་རྟེན་སྒྲོལ་བ་མ་བྱུང་ཚེ། །སངས་རྒྱས་མཛད་པ་བྱེད་པར་འགྱུར། ||| “Those who teach this sūtra To those who were not liberated When the Buddha was protecting the world Are accomplishing a buddha’s deed.”
།ཡང་ཚིགས་སུ་བཅད་པ་མངོན་པར་བསྒྲུབ་པ་འདི་བཤད་པ་ན་ལྷའི་བུ་ལྔ་སྟོང་བྱང་ཆུབ་ཏུ་སེམས་སྐྱེས་སོ། ||| With the explanation offered in these perfectly crafted verses, five thousand gods aroused the mind of awakening.
།བྱང་ཆུབ་སེམས་དཔའ་ཉིས་སྟོང་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་སྐྱེས་སོ། ||| Two thousand bodhisattvas gained acceptance that phenomena are unborn.
།དགེ་སློང་སྟོང་ལྷག་ཙམ་ལེན་པ་མེད་པར་ཟག་པ་ལས་སེམས་རྣམ་པར་གྲོལ་ལོ། །སྲོག་ཆགས་སུམ་ཁྲི་ཉིས་སྟོང་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་རྣམ་པར་དག་གོ། ||| The minds of more than one thousand monks were freed of contamination, without further clinging. Thirty-two thousand living beings gained the pure eyes of Dharma, free of dust and specks.
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །ཇི་ལྟར་བཅོམ་ལྡན་འདས་ཀྱིས་བཤད་པའི་དོན་བདག་གིས་འཚལ་བ་ལྟར་ན་གང་བྱང་ཆུབ་ཀྱི་ཕྱིར་སྨོན་པ་ནི་ལོག་པར་ལྟ་བ་ལ་སྨོན་པ་ལགས་སོ། ||| At this point youthful Mañjuśrī said to the Blessed One, “If I understand correctly what you have explained, Blessed One, the aspiration toward awakening is an aspiration toward wrong view.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why is this?
བཅོམ་ལྡན་འདས་དམིགས་པ་ནི་ལོག་པ་ལགས་ཏེ། ||| Because, Blessed One, apprehending is wrong.
དེ་ལྟ་བས་ན་བྱང་ཆུབ་ལ་དམིགས་པར་བགྱིད་ཅིང་། དམིགས་པ་ལ་སྨོན་པ་དེ་དག་གིས་འབད་པ་ནི་ལོག་པ་ལགས་སོ། །དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| In this regard, the effort made by those who apprehend awakening and who thus aspire toward what is apprehended is wrong. Why?
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་ནི་འདོད་པའི་ཁམས་ལ་མི་གནས། གཟུགས་ཀྱི་ཁམས་ལ་མི་གནས། གཟུགས་མ་མཆིས་པའི་ཁམས་ལ་མི་གནས་ཏེ། ||| Blessed One, awakening is not in the desire realm, awakening is not in the form realm, and awakening is not in the formless realm.
