༄༅༅། །རྒྱ་གར་སྐད་དུ། ཤཱ་རྡཱུ་ལ་ཀརྞ་ཨ་བ་དཱ་ན། བོད་སྐད་དུ།
སྟག་རྣའི་རྟོགས་པ་བརྗོད་པ། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Exemplary Tale of Śārdūlakarṇa {M.1} Homage to all buddhas and bodhisattvas!
ཇི་ལྟར་དཔྱིད་ཀའི་གཉིས་པ་དེ་ལྟར་དབྱར་གཉིས་པ། ། ||| As it is in Bhādrapada, so it is in Phālguna.
ཇི་ལྟར་དཔྱིད་ཀ་དང་པོ་དེ་ལྟར་སྟོན་དང་པོ། ། ||| As it is in Aśvayuja, so it is in Caitra.
ཇི་ལྟར་དགུན་གྱི་བཞི་པའི་དེ་ལྟར་སྟོན་ཐ་ཆུངས། ། ||| As it is in Kārttika, so it is in Vaiśākha.
ཇི་ལྟར་དགུན་འབྲིང་དེ་ལྟར་དགུན་དང་པོ། ། ||| As it is in Mārgaśīrṣa, so it is in Jyaiṣṭha.
ཇི་ལྟར་དགུན་འབྲིང་དེ་ལྟར་སོས་ཀའི་གཉིས། ། ||| As it is in Pauṣa, so it is in Āṣāḍha.
དེ་ལྟ་བུར་ནི་རྒྱུ་སྐར་རྣམས། །རྒྱུ་ཞིང་རྒྱུ་བར་ཤེས་པར་བྱ། ། ||| In this way one should know the course and movement of the asterisms.
རྒྱུ་སྐར་རྒྱུ་བ་དང་པོའི་ལེའུའོ། ། ||| This is the first lecture on the movement of the asterisms.
ཇི་ལྟར་རྒྱུ་སྐར་དེ་དག་གི་ནང་ནས་ཉིན་མཚན་དུ་ལྡན་པས་འཕེལ་བ་དང་། ||| “ ‘In between the asterisms one should add or subtract according to night and day.
འགྲིབ་པར་འགྱུར་བས་འགྲིབས་པ་ལས་ཉིན་པར་འཕེལ་བའི་བཅོ་ལྔ་ལ་ཟླ་བ་ཕྱེད་ལས་གཉིས་པ་དང་། དྲུག་པ་དང་། དགུ་པ་དང་། ||| As the day either decreases or increases, or whether it is for the entire month or half a month, on the second, sixth, ninth, twelfth, and fourteenth the day increases by a kalā, and the night decreases by a kalā.
བཅུ་གཉིས་པ་དེ་དག་གི་མཚམས་ཀྱི་ཞག་འདས་ནས་ནུབ་མོ་ས་འཛིན་པའི་རྒྱལ་པོ་ཆེན་པོ་བཞི་པོ་ཤིན་ཏུ་འཆི་བ་ཞེས་བྱ་བ་དང་། ||| “ ‘There are four great kings Through whom the earth remains stable: Ativṛddhi, Viśuddhi, Vardhamāna, and Pṛthakśravas.
རྣམ་པར་དག་པ་ཞེས་བྱ་བ་དང་། འཕེལ་བ་ཞེས་བྱ་བ་དང་། ཐ་དད་པའི་རིམ་པ་ཞེས་བྱ་བ་དེ་དག་འཐབས་པས་འབྱུང་བ་ཆེན་པོ་བཞི་གཡོ་བ་ལས་ས་འགུལ་ལོ། །ཆུ་དང་། ||| “ ‘There are four great elements That shake the earth: Water, Indra, wind, And the lord fire.
དབང་པོ་དང་། རླུང་དང་། མེ་སྟེ་ལེགས་ལྡན་རྣམ་པ་བཞི་པོ་ཡང་གང་དུ་ཟླ་བ་ཕྱེད་ལ་ལན་གསུམ་གཡོས་ཏེ། ཟླ་བ་གཅིག་ལ་ལན་དྲུག་གཡོས་པར་གྱུར་ན་ཕ་རོལ་གྱི་དམག་ཚོགས་འོང་བར་འགྱུར་ཏེ། དཔྱིད་ཟླ་འབྲིང་པོ་ལ་ས་གཡོས་ན་ཞག་བཅུའི་བར་དུ་འཇིགས་པ་འབྱུང་ངོ་། ། ||| “ ‘When there are three tremors In a fortnight, or six in one month, One may predict an enemy army coming, When the earth shakes repeatedly.
སོས་ཀའི་ཟླ་བ་དང་པོ་ལ་ཡང་དང་ཡང་གཡོས་ན་ཞག་བཅུ་གཉིས་ཀྱི་བར་དུ་འཇིགས་པ་འབྱུང་ངོ་། །སོས་ཀའི་ཟླ་བ་གཉིས་པ་ལ་ཡང་ཡང་གཡོས་ན་ཉི་ཤུ་རྩ་ལྔའི་བར་དུ་འཇིགས་པ་འབྱུང་ངོ་། ། ||| {M.109} “ ‘If there is an earthquake under Viśākhā, there is peril for ten days; If under Jyeṣṭhā, there is peril for twelve days; If under Āṣāḍhā, there is peril for twenty-five days; If under Śravaṇā, there is peril for seventy-five days.
དབྱར་ཟླ་ར་བ་ལ་ཡང་ཡང་གཡོས་ན་ཞག་བདུན་ཅུ་རྩ་ལྔའི་བར་དུ་འཇིགས་པ་འབྱུང་ངོ་། ། ||| “ ‘If under Bhādrapadā, there is peril for a hundred days; If under Aśvayuj, it is held to be in the order of things.
དབྱར་ཟླ་འབྲིང་པོ་ལ་ཡང་ཡང་གཡོས་ན་ཟླ་བ་གསུམ་དང་ཞག་བཅུའི་བར་དུ་འབྱུང་ངོ་། ། ||| If in the month of Kārttika, there is peril for one and a half months.
སྟོན་ཟླ་ཐ་ཆུངས་ལ་ཡང་ཡང་གཡོས་ན་ཞག་ལྔའི་བར་དུ་འབྱུང་ངོ་། ། ||| If in the month of Mārgaśīrṣa, it is held to be in the order of things.
དགུན་གྱི་ཟླ་བ་གཉིས་པ་ལ་ཡང་ཡང་གཡོས་ན་ཞག་ལྔ་བཅུ་རྩ་ལྔའི་བར་དུ་འབྱུང་ངོ་། ། ||| “ ‘If in the month of Pauṣa, there is peril for fifty-five days.
དགུན་གྱི་ཟླ་བ་གསུམ་པ་ལ་ཡང་ཡང་གཡོས་ན་ཞག་བརྒྱའི་བར་དུ་འཇིགས་པ་འབྱུང་ངོ་། ། ||| If in the month of Māgha, it is held that there is peril for a hundred days.
དགུན་གྱི་ཟླ་བ་བཞི་པ་ལ་ཡང་ཡང་གཡོས་ན་ཞག་ཉི་ཤུ་རྩ་ལྔའི་བར་དུ་འཇིགས་པ་འབྱུང་ངོ་། ། ||| If in the month of Phālguna, there is peril for one and a half months.
དཔྱིད་ཟླ་ར་བ་ལ་ཡང་ཡང་གཡོས་ན་ཞག་སུམ་ཅུའི་བར་དུ་འཇིགས་པ་འབྱུང་ངོ་། ། ||| If in the month of Caitra, there is peril for thirty days.
དེ་དག་ནི་ས་གཡོས་པའི་དུས་ཇི་ཙམ་ན་སྨིན་པ་ཡིན་པར་བསྟན་ཏོ། ། ||| As the result of the tremors of the earth, An earthquake will occur.
དེ་དག་གི་ལས་ཀྱི་འཇུག་པ་ནི་འདི་ལྟར་ཟླ་བ་ཐམས་ཅད་ལ་དུས་རྟག་ཏུ་ས་གཡོ་ཞིང་ཤིང་དང་། རི་དང་། ཆུ་རྣམས་གཡོ་ཞིང་ཤིང་རྣམས་ཀྱི་ལོ་མ་ལྟར་གཡོ་ན་བསྐལ་པ་ལྟ་བུའི་འཇིགས་པ་འབྱུང་བར་བསྟན་ཏོ། །གྲོང་ཁྱེར་དང་། ||| “ ‘When during all months The earth shakes repeatedly And the trees thus quiver, Or if the water shakes And the leafy mountains shake, Then one may predict peril.
གྲོང་དང་། འབྲོག་རྣམས་ན་གནས་པའི་མི་རྣམས་མྱུར་དུ་འཕོ་ཞིང་དགོན་པར་ལོ་བཅོ་ལྔའི་བར་དུ་གནས་པར་འགྱུར་རོ། ། ||| {M.110} “ ‘Cities, villages, pasture camps, And whatever is inhabited at that time Quickly become deserted and bereft of people And become the domain of wild animals. “ ‘In five or ten years they turn into forests.
ཕྱོགས་རྣམས་ནས་ས་རྣམ་པར་གཡོས་ན་མི་བདེ་བ་མི་འབྱུང་ངོ་། །སྨིན་དྲུག་ལ་ས་གཡོས་ན་གྲོང་ཁྱེར་དང་། ||| One should know that the quarters All become uninhabited Once shaken by that earthquake.
གྲོང་རྣམས་ཡང་དང་ཡང་དུ་མེས་བསྲེགས་པས་རྩྭ་ཡང་མི་ལུས་པར་འགྱུར་རོ། །དེ་ལས་རྣམ་པར་གཡོས་ན་སོལ་བ་མཁན་དང་། ནོར་བུ་མཁན་དང་། ཁྱེའུ་དང་། མེས་སྐོར་བྱས་པའི་གཟའ་དང་། ||| “ ‘When the earth shakes under Kṛttikā, The villages or cities Are to be left immediately, For fire will burn their haystacks, “ ‘Black fire will rage through, And workmen, storage places, And houses will be reduced to ashes Due to the destruction.
དེ་ལ་སྐྱེས་པ་དང་། ལམ་དུ་ཞུགས་པ་ན་ཞིང་སྡུག་བསྔལ་བར་འགྱུར་རོ། ། ||| “ ‘Those who were born, thrived, And lived in that village Will undergo calamity Once shaken by that earthquake.
སྣར་མ་ལ་ས་གཡོས་ན་ས་བོན་ཐམས་ཅད་ཉམས་པས་འབྲུ་རྣམས་འཐོབ་པར་མི་འགྱུར་ཞིང་སྡུག་བསྔལ་བར་འགྱུར་བ་དང་། ||| “ ‘When the earth shakes under Rohiṇī, All seeds will come to naught. Crops will not grow fully, And the harvest will be miserable.
བུད་མེད་སྦྲུམ་མ་རྣམས་ཀྱི་མངལ་ལ་ནད་འབྱུང་བ་དང་། མུ་གེ་འབྱུང་བ་དང་། སྨས་པ་དང་། ||| {M.111} “ ‘Women who are pregnant Will suffer terrible miscarriages.
ནད་ཀྱིས་བཏབ་པའི་མི་རྣམས་སུམ་ཆ་འཚོ་བར་འགྱུར། བདག་ཉིད་ཆེན་པོ་དང་། ||| Befallen with the calamity of famine, People will subsist on only a third portion.
རྒྱལ་པོ་དང་། དཔལ་དང་ལྡན་པའི་མི་དང་མིའི་མཆོག་རྣམས་ནད་ཀྱིས་བཏབ་པར་འགྱུར་རོ། ། ||| “ ‘Magnanimous kings, The glorious, most excellent of men, Will undergo tribulations Once shaken by that earthquake.
མགོ་ལ་ས་གཡོས་ན་སྨན་རྣམས་ཉམས་ཤིང་སྨན་པ་དང་། ||| “ ‘When the earth shakes under Mṛgaśirā, Plants and herbs will come to naught.
མཆོད་སྦྱིན་རྩོམ་པ་དང་། མཆོད་སྦྱིན་བྱེད་པ་དང་། བྲམ་ཟེ་ནགས་ན་གནས་པ་དང་། དཀའ་ཐུབ་པ་དེ་དག་ལ་ནད་འབྱུང་བར་འགྱུར་རོ། ། ||| Physicians, those who are learned in the Vedas, Water carriers, those who offer Soma, “ ‘And brahmins who have drunk Soma And set off to the forest practicing austerities Will undergo tribulations Once shaken by that earthquake.
ལག་ལ་ས་རྣམ་པར་གཡོས་ན་འོ་མ་ཅན་གྱི་ཤིང་རྣམས་ཉམས་ཤིང་ཟས་དང་སྐོམ་དཀོན་ཅིང་འགྲོན་པོ་ཡུལ་འཁོར་ཆས་པ་དང་། དོང་དང་འོབས་བརྐོ་བ་དང་། སྡིག་པ་ཅན་དང་། ||| “ ‘When the earth shakes under Ārdrā, Milky trees will come to naught, And food and drink will come to naught.
རྐུན་མ་རྣམས་ལ་ས་རྣམ་པར་གཡོས་པས་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། །ཡང་ནམ་སོ་ལ་ས་རྣམ་པར་གཡོས་ན་དཀྱིལ་འཁོར་བྱེད་པའི་ཞལ་ཏ་པ་དང་། ལམ་གྱི་ནོར་ཅན་དང་། ལམ་དུ་འགྲོ་བ་དང་། ||| Travelers, elephant keepers, “ ‘Well diggers, trench diggers, And those who are wicked thieves Will undergo tribulations Once shaken by that earthquake.
འཁོར་ལོ་བ་དང་། བྱིས་པ་དང་། སྲུབ་མཁན་དང་། ཤེན་པ་དང་། དུད་འཚོ་བ་རྣམས་ལ་ས་རྣམ་པར་གཡོས་པས་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། ། ||| “ ‘When the earth shakes under Punarvasu, Water carriers, hunters, Duck trappers, carters, Parakeets and mynas, “ ‘The young, churners, Butchers, and conch traders Will undergo tribulations Once shaken by that earthquake.
རྒྱལ་ལ་ས་རྣམ་པར་གཡོས་ན་བྲམ་ཟེ་རྣམས་དང་། དེ་བཞིན་དུ་གཙོ་བོ་རྣམས་དང་། ཚོང་པ་རྣམས་དང་། དེད་དཔོན་རྣམས་དང་། ཚོང་པ་རིང་པོར་འགྲོ་བ་རྣམས་ལ་ནད་འབྱུང་བར་འགྱུར་ཞིང་སེར་བས་འབྲུ་རྣམས་རློག་ཅིང་རི་ཁྲོད་ན་གནས་པའི་རྒྱལ་པོའི་བསྙེན་བཀུར་བ་རྣམས་ས་རྣམ་པར་གཡོས་པས་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། ། ||| {M.112} “ ‘When the earth shakes under Puṣya, Brahmins and leaders, Merchants who travel far, People in caravans, “ ‘Travelers, mountain dwellers, And those who depend on them Will undergo tribulations Once shaken by that earthquake.
སྐག་ལ་ས་རྣམ་པར་གཡོས་ན་ཀླུ་རྣམས་དང་། སྦྲུལ་ཁ་སྡིག་པ་རྣམས་དང་། གྲོག་མ་རྣམས་དང་། ||| There will be hailstones raining down And great damage to the crops.
གྲོག་ཕྲན་རྣམས་དང་། སྲིལ་རྣམས་དང་། ཁྱིམ་རྣམས་དང་། ཀླུ་མགོ་གཅིག་པ་རྣམས་དང་། དུག་སྔགས་མཁན་རྣམས་དང་། ||| “ ‘When the earth shakes under Aśleṣā, All nāgas, serpents, and snakes, Insects, ants, and dogs, One-hoofed animals, “ ‘And doctors, poison makers, And people living in caves Will undergo tribulations Once shaken by that earthquake.
དུག་བྱེད་པ་རྣམས་དང་། སེམས་ཅན་ཁུང་དུ་འཇུག་པ་རྣམས་ས་རྣམ་པར་གཡོས་པས་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། །མཆུ་ལ་ས་རྣམ་པར་གཡོས་ན་རྒྱལ་པོ་རྣམས་ལ་ནད་འབྱུང་ཞིང་མཆོད་སྦྱིན་དང་། ཤིང་ལས་ལོག་པ་རྣམས་དང་། ||| “ ‘When the earth shakes under Maghā, The king will be in distress.
འདུས་པའི་སྟོན་མོ་ལས་ལོག་པ་རྣམས་དང་། ||| Śrāddha offerings, gatherings, And festivals will come to naught.
ལྷའི་མཆོད་སྦྱིན་ལས་ལོག་པ་རྣམས་དང་། དེ་ལ་ལོག་པ་ཐམས་ཅད་དང་། གང་ཞིག་དེ་ལ་སྐྱེས་པ་དང་། ||| Offerings and rituals for the gods Will all come to naught at that time.
བསྐྱེད་པ་དང་། གང་མཁས་པའི་མཆོག་ཏུ་གྱུར་པ་དང་། གླུ་མཁན་རྣམས་འཆི་བར་འགྱུར་ཞིང་དེ་དག་དང་རིགས་མཐོན་པོ་རྣམས་ནད་ཀྱིས་ཐེབས་པར་འགྱུར་རོ། ། ||| “ ‘Those who are born and those grown up, Others who are great paṇḍitas, And musicians, too will all come to naught, And those people who belong to high families Will all undergo tribulations Once shaken by that earthquake.
ཆུ་སྟོད་ལ་ས་རྣམ་པར་གཡོས་ན་དུས་འགྱུར་ཞིང་ཆོས་ལ་དགའ་བ་དང་། ཤོ་གམ་གྱིས་འཚོ་བ་རྣམས་ལ་ས་གཡོས་ན་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། །གལ་ཏེ་ཆུ་སྨད་ལ་ས་རྣམ་པར་གཡོས་ན་ཚོང་པ་གླིང་དུ་འགྲོ་བ་རྣམས་དང་། དེད་དཔོན་རྣམས་དང་། ||| “ ‘When the earth shakes under Pūrvaphalgunī, The season will be upset.{M.113} Those who delight in the Dharma, those in camps, And those who subsist as toll collectors Will all undergo tribulations Once shaken by that earthquake.
རི་ཁྲོད་ན་འཚོ་བ་རྣམས་དང་། ཨང་ག་དང་། ལུས་འཕགས་པོ་དང་། མ་ག་དྷཱ་པ་རྣམས་དང་། ནི་ཏིའི་བུད་མེད་བླངས་པ་རྣམས་ས་རྣམ་པར་གཡོས་པས་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། ། ||| “ ‘When the earth shakes under Uttaraphalgunī, Merchants traveling across continents, Caravan leaders, those in camps, Those who subsist on the arts and crafts, “ ‘The peoples of Aṅga, Videha, Magadha, And Nairṛta, and the totality of women Will all undergo tribulations Once shaken by that earthquake.
མེ་བཞི་ལ་ས་རྣམ་པར་གཡོས་པས་ན་རྫ་མཁན་རྣམས་དང་། སྨན་པ་རྣམས་དང་། ཚོགས་ཀྱི་གཙོ་བོ་རྣམས་དང་། བློན་པོ་ཆེན་པོ་རྣམས་དང་། དམག་དཔོན་རྣམས་ས་རྣམ་པར་གཡོས་པས་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། ། ||| “ ‘When the earth shakes under Hastā, People who are potters, Doctors, group leaders, Ministers, army officers, “ ‘Tāramakas, nārapaṭas, Vipsaras, and poachers Will all undergo tribulations Once shaken by that earthquake.
འདི་ལྟར་ནམ་སོ་ལ་ས་གཡོས་པ་ཡང་སྔ་མ་བཞིན་དུ་བལྟའོ། ། ||| “ ‘When the earth shakes under Citrā, It is like the preceding one.
ས་རི་ལ་ས་རྣམ་པར་གཡོས་ན་རྐུན་མ་ཚུལ་ཁྲིམས་ཉམས་པ་རྣམས་དང་། ཤན་པ་དང་ཤན་པ་ལ་དགའ་བ་རྣམས་དང་། ཤན་པའི་བདག་པོ་དང་། རླུང་ཟའི་དཀའ་ཐུབ་པ་རྣམས་ས་གཡོས་ནས་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། ། ||| “ ‘When the earth shakes under Svātī, Robbers, those of bad conduct, those who do harm, Those who delight in those actions, Those who plunder on request, “ ‘And the people of the Himālayas, in the north, Who live on air and practice austerities Will all undergo tribulations Once shaken by that earthquake.
ས་ག་ལ་ས་རྣམ་པར་གཡོས་ན་རི་ཆེན་པོ་རྣམས་འཆད་པར་འགྱུར་རོ། །རྟ་རྒྱུག་པ་རྣམས་དང་། ལམ་ན་འགྲོ་བ་ལ་རླུང་དྲག་པོས་རྡོ་རྣམས་འཐོར་བས་སྟོབས་མེད་པར་བྱེད་ལ་ས་གཡོས་པས་དེ་དག་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། ། ||| {M.114} “ ‘When the earth shakes under Viśākhā, Great mountains will break apart, Harsh winds will blow with unwholesome hail, And horsemen and travelers Will all lose their strength— They will undergo tribulations Once shaken by that earthquake.
ཡང་ནག་པ་ལ་ས་གཡོས་ན་རྐུན་མ་ཆེན་པོས་གནོད་པ་བྱེད་པ་འོང་ཞིང་བྱི་རྒྱུག་པ་དང་། ||| “ ‘When the earth shakes under Anurādhā, There will be great misfortune for dacoits.
ཆོ་ལོ་པ་རྣམས་དང་། མདུད་པ་འགྲོལ་བའི་མི་རྣམས་དང་། ཨན་དྲ་བ་རྣམས་དང་། བུ་རམ་ཤིང་འཕེལ་བ་རྣམས་དང་། ཕུ་ལིན་པ་རྣམས་ལ་སྐྱབས་མེད་པའི་འཇིགས་པ་འོང་ཞིང་གྲོགས་དང་འབྲལ་ཞིང་སྟོབས་ཆེ་བ་འབྱུང་ངོ་། ། ||| Rogues, gamblers, Pickpockets, “ ‘The people of Andhra, those of Puṇḍra, And the Pulindas will be in peril and unsettled, And strong divisions between friends Will occur among the population.
སྣྲོན་ལ་ས་གཡོས་ན་རྒྱལ་པོ་ཆེན་པོ་ལ་གནོད་པ་འབྱུང་ཞིང་ཁྲ་དང་། ||| “ ‘When the earth shakes under Jyeṣṭhā, The king will be in distress.
བྱི་བ་དང་། སྦྲུལ་དང་། དེ་བཞིན་དུ་གཅན་གཟན་གདུག་པ་ཅན་རྣམས་དང་། གཞན་གནོད་པ་བྱེད་པ་དང་། སུ་ར་སེ་ན་པ་དང་། མ་ལ་པ་རྣམས་དང་། བ་ལྷི་བ་གྲ་ཧ་པ་དང་། གནོད་པ་མེད་པ་དང་། ||| Birds of prey, bulls, Beasts of prey, ferocious animals, “ ‘Those who act cruelly, the people of Śūrasena, The Mallas, and the Bāhlīkas, As well as those who are devoted to them, Due to the quick adversity, Will all undergo tribulations Once shaken by that earthquake.
དེ་ལ་གུས་པའི་མི་རྣམས་མྱུར་བར་ས་གཡོས་པས་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། །སྣྲུམས་ལ་ས་གཡོས་ན་རྐང་བཞི་པ་རྣམས་དང་། རྐང་གཉིས་དང་། དེ་བཞིན་དུ་གནོད་སྦྱིན་རྣམས་དང་། ཡི་དགས་རྣམས་དང་། སེམས་ཅན་དེ་དག་དང་། ||| “ ‘When the earth shakes under Mūlā, Quadrupeds, bipeds, Demons who take possession, And beings who live in caves Will all undergo tribulations Once shaken by that earthquake.{M.115} “ ‘There will be little water for the crops, And it will quickly make for famine.
རི་ཁྲོད་པ་རྣམས་དང་། ཆུ་མེད་པས་ལོ་ཉེས་ཤིང་མྱུར་དུ་མུ་གེ་འབྱུང་ཞིང་རི་རྣམས་འཆད་པར་འགྱུར་རོ། །ཆུ་སྟོད་ལ་ས་གཡོས་ན་ཆུ་ལ་གནས་པའི་ཉ་རྣམས་དང་། ཤུ་ཤུ་མ་དང་། ཉ་ཕྱིས་རྣམས་དང་། ||| Caves, mountains, and foundations (mūla) Will then collapse into the earth.
ཆུ་སྲིན་རྣམས་དང་། རུས་སྦལ་དང་། རིགས་དང་རུས་བཙུན་པ་རྣམས་དང་། ནོར་དང་ལྡན་པ་རྣམས་དང་། ||| “ ‘When the earth shakes under Pūrvāṣāḍhā, For aquatic animals, fish, oysters, Dolphins, crabs, crocodiles, Makaras, turtles, “ ‘For the heads of castes and family lineages, The wealthy and discerning, And the twice-born, There will be great peril.
མཁས་པ་རྣམས་དང་། ||| They will all undergo tribulations Once shaken by that earthquake.
གཉིས་པ་རིགས་དང་ལྡན་པ་རྣམས་ལ་འཇིགས་པ་ཆེན་པོ་འབྱུང་ཞིང་ས་གཡོས་པས་དེ་དག་ནད་ཀྱིས་འདེབས་པར་འགྱུར་རོ། །ཆུ་སྨད་ལ་ས་གཡོས་ན་བཟོ་བོ་མཁས་པ་རྣམས་ལ་གནོད་པ་མི་འབྱུང་ཞིང་མགར་བ་རྣམས་དང་། ཞལ་ཞལ་མཁན་རྣམས་དང་། མདའ་མཁན་རྣམས་དང་། ||| “ ‘When the earth shakes under Uttarāṣāḍhā, There is great misfortune for craftsmen.
ཤིང་མཁན་རྣམས་དང་། དབུལ་པོ་རྣམས་དང་། གཞན་ཡང་བཟོ་སྣ་ཚོགས་པ་བྱེད་པ་དང་། ||| Blacksmiths, master builders, Tin workers, carpenters, “ ‘The poor and the destitute, And the various kinds of artisans Will all undergo tribulations Once shaken by that earthquake.
གྲོང་དང་ཉེ་བའི་སྐམ་ལ་གནས་པ་ལ་གནོད་པར་འགྱུར་རོ། ། ||| The houses of villages will be destroyed Along with their movables and immovables.
གྲོ་བཞིན་ལ་ས་གཡོས་ན་མི་གང་ཞིག་རྒྱལ་པོ་མཆོད་པ་དང་། ཀློག་པ་རྣམས་དང་། བསྟན་བཅོས་མཁས་པ་རྣམས་དང་། སྙན་དངགས་མཁན་རྣམས་དང་། གླུ་མཁན་རྣམས་དང་། སུ་ར་སེ་ན་པ་དང་། རྗེས་སུ་འཇུག་པ་རྣམས་དང་། ||| “ ‘When the earth shakes under Vaiṣṇava, {M.116} Teachers, erudite scholars, Poets, experts in mantras, The Yugandharas, the people of Śūrasena, The Abhirājas, the Paṭaccaras, The Kiśaṭṭas, and the people of Śaradaṇḍa Will all face what is undesired.
གོས་འཚོང་བ་དང་། གི་ཤི་ཏ་དང་། ས་ར་དན་དང་། དེ་དག་གི་བསམ་པ་འགྲུབ་བོ། མོན་གྲེ་ལ་ས་གཡོས་ན་ནོར་ཅན་རྣམས་ལ་གནོད་པ་འབྱུང་ཞིང་ཕྱུག་པོ་རྣམས་དང་། གྲོང་ཁྱེར་ཆེན་པོ་དང་། ||| “ ‘When the earth shakes under Dhaniṣṭhā, There will be great misfortune for the wealthy (dhanin).
ཚོང་དཔོན་རྣམས་དང་། སྤྱི་ཅེར་རྣམས་དང་། བཀྲ་ཤིས་པ་དང་། བཟང་པོ་སྔགས་མཁན་དང་། ||| Landlords, prominent townsmen, The heads of guilds, “ ‘The formidable, the well off, The Bhadrakāras, the Yugandharas, The Pārikūlas, the Bhojyas, And other good townsfolk Will all undergo tribulations Once shaken by that earthquake.
རི་ཁྲོད་པ་རྣམས་དང་། པ་རི་ཀེ་པ་དང་། མ་ལ་པ་དང་། གྲོང་ཁྱེར་ཆེ་བ་གཞན་རྣམས་ལ་གནོད་པ་འབྱུང་བར་འགྱུར་རོ། །མོན་གྲུ་ལ་ས་གཡོས་ན་ཆུ་ལ་གནས་པ་རྣམས་ལ་གནོད་པ་ཆེན་པོ་འབྱུང་ཞིང་། ||| “ ‘When the earth shakes under Vāruṇya, There will be great misfortune for those by the water.
གླང་པོ་དང་། རྟ་དང་། བོང་བུ་དང་། རྔ་མོ་རྣམས་ལ་ཆེར་སྡུག་བསྔལ་འབྱུང་ངོ་། །དེ་བཞིན་དུ་སོ་པི་ར་ཀ་པ་དང་། མ་དྲ་བ་དང་། ||| Elephants, horses, donkeys, and camels Will be severely affected.
བི་ལི་ཀན་པ་དང་། ཀེ་ཀ་ཡན་པ་དང་། རྟེན་མེད་པ་དང་། འཁོར་ལོ་གཅིག་པ་དང་། ཡུལ་དེ་དག་གི་སྐྱེ་བོ་རྣམས་ལ་ནད་འབྱུང་ངོ་། ། ||| “ ‘Likewise, the Sauvīrakas, the Madras, The Bāhlīkas, the Kekayas, Those living in wagons without fixed residence, And those in Janasthāna will be stricken.
མེ་བཞི་ལ་ས་རྣམ་པར་གཡོས་ན་སྲིན་པོའི་གདོན་གྱིས་འཛིན་ཅིང་། དེ་བཞིན་དུ་ཤེན་པ་དང་། ཕག་འཚོང་བ་དང་། སོ་བ་རི་པ་རྣམས་འཆི་བར་འགྱུར་རོ། །ཚོང་གིས་འཚོ་བའི་རྗེའུ་རིགས་དང་། དམངས་རིགས་རྣམས་དང་། ཟློས་གར་མཁན་རྣམས་དང་། ||| {M.117} “ ‘When the earth shakes under Sāja, Demons, murderers, Shepherds, pig sellers, And Sauvīras will be stricken.
ནས་གླིང་པ་རྣམས་དང་། རྟ་རྣམས་དང་། གྱད་ཀྱི་ཡུལ་པ་རྣམས་དང་། ཁུ་ལྗོ་དང་ལྡན་པའི་བུད་མེད་རྣམས་དང་། མདུད་པ་འགྲོལ་བ་རྣམས་མེད་པར་འགྱུར་རོ། ། ||| “ ‘Those who live on trade, Vaiśyas, Śūdras, Karītis, Yavanas, the Mālavas, and so on, As well as pickpockets, will all go to ruin.
མོན་གྲུ་ལ་ས་གཡོས་ན་ཚོང་པ་རྣམས་ལ་ནད་འབྱུང་ཞིང་། ཆོས་ལ་དགའ་བ་དང་། གྲུབ་པ་རྣམས་དང་། ||| “ ‘When the earth shakes under Ahirbudhnya, There will be great misfortune for merchants.
ཤོ་གམ་གྱི་ལས་བྱེད་པ་རྣམས་དང་། རྒྱལ་རིགས་སྲིད་སྒྲུབ་ཀྱི་རྒྱུད་དང་། མཛའ་བ་རྣམས་དང་། སིན་དུ་བའི་རྒྱལ་པོ་དང་། མདའ་གཞུ་ཐོགས་པ་རྣམས་ཡུན་རིང་པོར་དོན་མེད་པར་འགྱུར་རོ། ། ||| Those who delight in the Dharma, siddhas, Those who live on toll fees, “ ‘The Śibis, the Vatsas, the Vātsyas, Kṣatriyas, those who descend from Arjuna, And kings and archers from Sindhu Will all be afflicted before long.
ནམ་གྲུ་ལ་ས་རྣམ་པར་གཡོས་ན་གཡུལ་དྲག་པོ་ཤོམ་པར་འགྱུར་ཞིང་། ||| “ ‘When the earth shakes under Revatī, There will be a very violent war.
གྲོང་འཇོམས་པར་འགྱུར་བ་དང་། གྲོང་གིས་གྲོང་ཕུང་བ་དང་། ནི་ར་ཏ་པ་རྣམས་དང་། རྒྱ་ཡུལ་པ་རྣམས་དང་། ||| Villages will be massacred, And village will destroy village.
