༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་དྷརྨ་སང་གཱི་ཏི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཡང་དག་པར་སྡུད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Dharma Council
དེ་ནས་མུ་ཏིག་གི་དོ་ཤལ་དེ་བཅོམ་ལྡན་འདས་ཀྱི་དབུའི་གཙུག་གི་དྲང་ཐད་ན་ཁང་པ་བརྩེགས་པ་རྣམ་པར་བཀྲ་བ། གྲུ་བཞི་ལྷ་མ་པ། ལྷ་དང་མིས་ལྟ་བར་བྱེད་པ། ||| The pearl necklace then became a mansion directly above the Blessed One’s head that was visible to both gods and humans.
ཉན་ཐོས་ཆེན་པོ་དེ་དག་དང་། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་། བརྒྱ་བྱིན་དང་། ཚངས་པ་དང་། འཇིག་རྟེན་སྐྱོང་བ་རྣམས་ཀྱིས་སྔོན་མ་མཐོང་མ་ཐོས་པ་འདུག་པར་གྱུར་ཏེ། ||| It was a beautifully decorated square palace that had not been previously seen or heard about by the great śrāvakas, bodhisattvas, Indra, Brahmā, or the world guardians.
དེ་བཅོམ་ལྡན་འདས་གཤེགས་པའི་རྗེས་སུ་འགྲོ་ཞིང་བཞུགས་པའི་རྗེས་སུ་གནས་སོ། ། ||| It followed the Blessed One as he moved and remained in place when he sat.
དེའི་ཚེ་ལྷ་དང་མི་ཕལ་ཆེར་ངོ་མཚར་དུ་གྱུར་རྨད་དུ་བྱུང་བར་གྱུར་ཏེ། ཡ་མཚན་དུ་བྱ་བ་སྐྱེས་ནས་སྤྱི་བོར་ཐལ་མོ་སྦྱར་ཏེ། ||| The great crowd of gods and humans were astounded and amazed; filled with wonder, they joined their palms above their heads.
བཅོམ་ལྡན་འདས་ལ་ཕྱག་འཚལ་ནས་མིག་མི་འཛུམས་པར་གནས་པར་གྱུར་ཏོ། ། ||| They then bowed toward the Blessed One and remained there, wide-eyed.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྩོམ་པ་མེད་ངོ་མཚར་དུ་གྱུར་ནས་དགའ་བ་སྐྱེས་ཏེ། ||| The bodhisattva great being Nirārambha felt amazed and delighted.
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་གཏུགས་ནས་ཕྱག་འཚལ་ཏེ། ||| He adjusted his upper robe on one shoulder, knelt down on his right knee, touched the Blessed One’s feet, and bowed.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་མངོན་སུམ་དུ་ཚིགས་སུ་བཅད་པ་འདི་དག་གིས་མངོན་པར་བསྟོད་དོ། །ཡོན་ཏན་མང་པོ་ཀུན་གྱི་སྣོད་གྱུར་པ། །ས་དང་ལྷ་ཡུལ་འགྲོ་བའི་མགོན་གཅིག་པུ། ། ||| He then faced the Blessed One, joined his palms, bowed slightly, and praised him directly with these verses: “You are a repository of all the various qualities, The sole protector of beings on earth and in the heavens.
བདེ་གཤེགས་ཞི་ཞིང་རབ་ཏུ་ཞི་ལ་དགྱེས། ། ||| Well-Gone One, you delight in peace and tranquility.
ཁྱོད་མཚུངས་འཇིག་རྟེན་མ་མཆིས་ག་ལ་ལྷག ། ||| You have no equal in the world—how could you be surpassed?
བློ་གྲོས་མཉམ་ཞིང་གཡོ་མེད་མཚུངས་པར་སྦྱོར། ། ||| “Your intellect is even, unwavering, and harmonizing.
བདག་པོ་ཐུགས་རྗེས་རབ་ཏུ་ཟིན་པའི་ཐུགས། ། ||| Lord, your mind bears great compassion.
ནམ་མཁའི་དཀྱིལ་ལྟར་ཐུགས་ནི་མ་གོས་ཏེ། །ཕན་རན་ཡང་དག་བཀའ་མཆིད་གསུང་ཞིང་སྤྱོད། ། ||| Like the sky, your mind remains unsullied, Equally beneficent; your words and deeds are true.
ཁྱོད་ལ་དགྲ་དང་ཟིན་ནི་མི་མངའ་སྟེ། །བདག་པོ་དགྱེས་དང་མི་དགྱེས་ཡོང་མི་མངའ། ། ||| “You have no enemies or friends, Nor, Lord, do you feel joy or despair.
སྨན་པ་བཞིན་དུ་འགྲོ་བ་གསོ་མཛད་ཅིང་། །ཐུགས་རྗེ་བསྐྱེད་ནས་རྣམ་པར་མི་རྟོག་སྤྱོད། ། ||| Like a doctor you tend to the care of beings, Acting without concept while arousing compassion.
ལྷ་མིན་ལྷ་དང་ཀླུ་དང་ནམ་མཁའ་ལྡིང་། །གནོད་སྦྱིན་ཁྱོད་ལ་སྐྱབས་མཆིས་ཞི་བ་ཐོབ། ། ||| “Asuras, gods, nāgas, garuḍas, and yakṣas Take refuge in you and find peace.
མགོན་པོ་སྲིད་པ་གསུམ་ན་ཕན་མཛད་པ། ། ||| Protector, you are beneficent in the three existences.
ཐུབ་པ་ཁྱོད་ལ་བདག་ནི་སྐྱབས་སུ་མཆི། ། ||| I seek refuge in you, Sage.
བདེ་གཤེགས་ཁྱོད་ནི་འདུས་མ་བགྱིས་མི་གཟིགས། ། ||| “Well-Gone One, you do not see the uncompounded.
ཞི་ཐུགས་ཞི་ལའང་ཡོན་ཏན་མི་གཟིགས་ཏེ། ། ||| Of peaceful mind, you still see no qualities in peace.
གཉི་གའི་ཚུལ་སྤངས་རྣམ་རྟོག་མི་མངའ་བར། །བདག་པོ་མྱ་ངན་འདས་ནས་འཇིག་རྟེན་སྤྱོད། ། ||| Rejecting the ways of both, you hold no concepts— Lord, you pass into nirvāṇa and then act in the world.
རབ་ཞིའི་ཡོན་ཏན་རྒྱ་མཚོ་གཏིང་ཚོད་ཡས། །སྟོབས་བཅུ་ཉིད་དུ་ཡོན་ཏན་མཁྱེན་པར་གྱུར། །ས་དང་ནམ་མཁའ་ལྟ་བུར་ཚད་མེད་ཆོས། ། ||| “Your tranquility is unfathomable like the ocean, You know the qualities of the ten strengths, And your qualities are boundless as the earth and sky.
མགོན་ལ་ཐལ་མོ་སྦྱར་ཏེ་མགོས་ཕྱག་འཚལ། ། ||| I join my hands and bow my head to you, protector.
སྲིད་པའི་ཆུ་བོར་མི་རྐྱལ་མི་ནུབ་ཅིང་། ། ||| “You neither swim nor sink in the river of existence.
སེམས་ཅན་མཆོག་ནི་མེ་ཁྱེར་མི་བཞུགས་སོ། ། ||| Best of beings, you are not carried away nor stay in place.
ཁྱོད་མི་གཅིག་པུ་སྲིད་མཚོའི་ཕ་རོལ་གཤེགས། །དཔེ་མེད་རྒྱ་མཚོའི་བློ་ལ་ཕྱག་འཚལ་ལོ། ། ||| You alone crossed over the ocean of existence; I bow before you of incomparable oceanic mind.
པད་མ་བཞིན་དུ་ཆུ་ཡིས་མི་གོས་པ། །ས་ལ་འཇིག་རྟེན་ཆོས་གྲོལ་རབ་ཏུ་གསུང་། ། ||| “Like a lotus you are not sullied by water; On earth, you teach liberation from worldly ways.
ཁྱོད་ཀྱི་མཁྱེན་པ་སུ་དང་མི་མཚུངས་ཏེ། །མཚུངས་མེད་བློ་གྲོས་ཁྱོད་ལ་བདག་སྐྱབས་མཆི། ། ||| Your knowledge is unequaled by anyone— I take refuge in you of unmatched intellect.
ཁྱོད་ནི་མི་མཁྱེན་ཅུང་ཟད་འདིར་མི་མངའ། ། ||| “There is not the slightest thing here you do not know.
སྟོབས་བཅུ་ལྡན་པས་ཀུན་དུ་ཡོང་མི་བསྙེངས། །འཁོར་ལ་ང་འདྲ་སུ་ཡང་མེད་ཅེས་གསུང་། ། ||| Utterly fearless with your ten strengths, You announce, ‘There is no one like me in saṃsāra.’
དེ་སླད་ཁྱོད་ནི་དཔའ་བོ་གཅིག་པུ་རྒྱུ། ། ||| Thus are you uniquely heroic.
མི་གང་ཁྱོད་བཀའ་བདུད་རྩི་སྣོད་གྱུར་པ། །དེ་དག་མདོར་ན་སྲིད་པའི་འཇིགས་དང་བྲལ། ། ||| “Those who are vessels for your nectar-like words Are, simply put, fearless about existence.
སྨན་པ་དམ་པ་མཆོད་འོས་འཇིག་རྟེན་མགོན། །ཐུགས་རྗེ་ལྡན་པ་ཁྱོད་ལ་བདག་སྐྱབས་མཆི། ། ||| Sublime doctor, world protector worthy of worship, I take refuge in you, compassionate one.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་རྩོམ་པ་མེད་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཀྱིས་བདག་གི་བསམ་པ་མཁྱེན་ཏེ། ||| The bodhisattva Nirārambha then addressed the Blessed One: “The Blessed One knows my intent.
བཅོམ་ལྡན་འདས་བདག་ནི་བདག་གི་སླད་དུ་མཆོད་པ་མི་བགྱིད་ཀྱི། ||| Blessed One, I do not make this offering for my own sake.
གང་བདག་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་མུ་ཏིག་གི་དོ་ཤལ་ཕུལ་ཞིང་བསྟོད་པ་དང་། མཆོད་པའི་དགེ་བའི་རྩ་བ་འདིས་བཅོམ་ལྡན་འདས་སེམས་ཅན་ཐམས་ཅད་སངས་རྒྱས་ཉིད་ཐོབ་པར་གྱུར་ཅིག ། ||| Rather, through the roots of virtue from this offering of a pearl necklace and praise to the thus-gone, blessed, completely perfect Buddha, may all beings attain buddhahood, Blessed One.
བཅོམ་ལྡན་འདས་འདི་ནི་བདག་གི་བསམ་པ་ལགས་སོ། ། ||| This is my intention, Blessed One.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་འཛུམ་པ་མཛད་དོ། ། ||| At that, the Blessed One smiled.
འདི་ནི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་ཆོས་ཉིད་དེ་གང་གི་ཚེ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་འཛུམ་པ་མཛད་པ་དེ་ནི། བཅོམ་ལྡན་འདས་ཀྱི་ཞལ་གྱི་སྒོ་ནས་འོད་ཟེར་ཁ་དོག་ཐ་དད་པ་ཁ་དོག་དུ་མ་འདི་ལྟ་སྟེ། སྔོན་པོ་དང་། སེར་པོ་དང་། དམར་པོ་དང་། དཀར་པོ་དང་། བཙོད་ཁ་དང་། ཤེལ་གྱི་ཁ་དོག་ལྟ་བུ་བྱུང་སྟེ། དེ་དག་གིས་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་མུ་མེད་པ་འོད་ཀྱིས་སྣང་བར་བྱས་ནས་ངན་སོང་དུ་སྐྱེས་པའི་སེམས་ཅན་རྣམས་ཀྱི་གདུང་བ་ཡང་རབ་ཏུ་ཞི་བར་བྱས། ||| As is a basic truth of the blessed buddhas, when the blessed Buddha smiled, light rays of various colors and hues—blue, yellow, red, white, crimson, and crystal-clear—emerged from the Blessed One’s mouth, illuminated the boundless expanse of world systems, and brought peace to beings tormented in the lower realms.
ལྷ་དང་མི་རྣམས་ཀྱང་སིམ་པར་བྱས་ནས་སླར་ལོག་སྟེ། བཅོམ་ལྡན་འདས་ལ་ལན་དུ་མར་བསྐོར་བ་བྱས་ནས། བཅོམ་ལྡན་འདས་ཀྱི་དབུའི་གཙུག་ཏུ་ནུབ་པར་གྱུར་ཏོ། ། ||| After gratifying gods and humans, the light rays returned, circled the Blessed One many times, and descended into the crown of his head.
འོད་ཟེར་དེ་དག་མཐོང་བའི་འཁོར་དེ་ཐམས་ཅད་ཀྱང་ཡིད་འདུན་ཅིང་རབ་ཏུ་དགའ་བ་དང་། བདེ་བ་དང་། ཡིད་བདེ་བ་སྐྱེས་ནས་ཐལ་མོ་སྦྱར་ཏེ། ||| The entire assembly also saw the light rays and experienced awe, delight, happiness, and bliss.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ལུས་བཏུད་ནས་འདུག་སྟེ། ། ||| They joined their palms, bowed while facing the Blessed One, and sat down.
བཅོམ་ལྡན་འདས་འཛུམ་པ་མཛད་པའི་རྒྱུ་ཅི་ཡིན་སྙམ་མོ། ། ||| They wondered, “What prompted the Blessed One’s smile?”
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་སྟན་ལས་ལངས་ཏེ། བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| The venerable Ānanda then rose from his seat, adjusted his upper robe on one shoulder, and knelt down on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་ཚིགས་སུ་བཅད་པ་འདི་དག་གིས་བཅོམ་ལྡན་འདས་ལ་འཛུམ་པ་མཛད་པའི་དོན་ཞུས་པ། དཔའ་ཆེན་ཁྱོད་ཀྱིས་འཛུམ་མཛད་པས། །ལྷ་དང་མིར་བཅས་འཇིག་རྟེན་འདི། །ཁྱོད་ཀྱིས་འཛུམ་པ་མཛད་པ་ལ། །ཐེ་ཚོམ་འཚལ་ནས་ལྟ་ཞིང་མཆིས། ། ||| Facing the Blessed One, he joined his palms, bowed, and asked the Blessed One in verse about the meaning of his smile: “When you smiled, Great Hero, The gods and humans of this world, Perplexed by your smile, Stopped and stared.
འདོད་ཆགས་བྲལ་བ་དཔའ་བོ་ཁྱོད། །ཐམས་ཅད་མཁྱེན་པ་རྣམ་པར་འདྲེན། །རྒྱུ་མ་མཆིས་པར་འཛུམ་མི་མཛད། ། ||| “Hero free of desire, Omniscient Guide, You do not smile without reason.
སྐྱོན་མི་མངའ་བ་འཛུམ་དོན་གསུངས། ། ||| Faultless One, tell us the meaning of your smile.
ཐུབ་པའི་ཞལ་ནས་འོད་བཏང་བ། །གསལ་ཞིང་དག་ལ་ཡིད་དུ་མཆི། ། ||| “Light shines from the mouth of the Sage, Clear, pure, and astonishing.
ལྷ་མི་ངན་སོང་མཆིས་པ་རྣམས། །དེ་ཡིས་རེག་པས་བདེ་བར་གྱུར། ། ||| Gods, humans, and denizens of the lower realms Are gladdened by its touch.
སེམས་ཅན་ཆེན་པོ་ཁྱོད་ཞལ་ནས། །འོད་ཟེར་དག་ནི་རབ། །བཏང་བ། ། ||| “Great Being, from your mouth Shine forth rays of light.
དེ་ནི་ཅི་ཞིག་དོན་དུ་བསྟན། ། ||| Tell us about their meaning.
ཐུགས་རྗེ་ཅན་གྱིས་ལུང་བསྟན་གསོལ། ། ||| Compassionate One, please explain.
འོད་ཟེར་ཁ་དོག་དཀར་པོ་དག །ཚེམས་ཀྱི་ཕྲག་ནས་མཛེས་བྱུང་བ། ། ||| “Rays of light, white in color, Shine elegantly from between your teeth.
དེ་དག་གིས་ནི་ཉི་མའི་ཟེར། །ཤིན་ཏུ་མཛེས་པར་ཤར་བ་དག །གང་སླད་འཇིག་རྟེན་དགར་འགྱུར་བར། །དེང་དུ་སྣག་ཚའི་མདོག་བཞིན་བགྱིས། ། ||| How do these solar rays, Dawning with exceptional beauty, Delight the world, Which until then had been dark as soot?
མགོན་ཁྱོད་གང་ལ་ཐུགས་རྗེ་ཞིང་། །སུ་ཡི་བསྐལ་པ་ཉེ་བར་གནས། །རྒྱུ་དང་དོན་ནི་མ་མཆིས་པར། །འདོད་ཆགས་བྲལ་བ་འཛུམ་མི་མཛད། ། ||| “Compassionate Protector Whose eon is at hand, Free from desire, you do not smile Without reason or purpose.
ཐུགས་རྗེ་ཐུགས་ཀྱིས་ལུང་སྟོན་ཏེ། །ཐེ་ཚོམ་རྣམ་པར་བསལ་བར་མཛོད། ། ||| “Give us the prophecy out of compassion, Please dispel our doubts.
ཇི་ལྟར་ཁྱོད་ཀྱི་ཞལ་ནས་སུ། །འོད་ཟེར་བྱུང་ནས་སླར་ལོག་སྟེ། །འོད་ནི་འཇིག་རྟེན་མགོན་པོ་ཡི། །དབུ་ཡི་གཙུག་ཏུ་ནུབ་གྱུར་པ། །གློག་རིས་བཞིན་དུ་ནམ་མཁའ་ལ། །དགེ་བ་དཔག་མེད་བཀྲ་བགྱིད་པ། ། ||| “The light that left your mouth, Once again returned, And then descended into The World Protector’s crown “Has, like lightning, Painted boundless virtue in the sky.
རྣམ་པར་འདྲེན་པ་དེ་དག་གིས། །ཐམས་ཅད་མཁྱེན་པའི་སྤྱོད་པ་སྟོན། ། ||| Guide, all of this reveals The conduct of an omniscient one.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྩོམ་པ་མེད་པ་འདི་བསྐལ་པ་བཅུ་གཉིས་ན། ||| The Blessed One then addressed the venerable Ānanda: “Ānanda, the bodhisattva great being Nirārambha will reach buddhahood in twelve eons.
ལྷས་མངོན་པར་བསྟོད་པའི་བསྐལ་པ་ལ་དགའ་བ་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་སུ་འོད་ཆེན་པོ་ཞེས་བྱ་བའི་སངས་རྒྱས་སུ་འགྱུར་ཏེ། ||| During the eon Praised by the Gods he will become the buddha named Great Light in the world Great Joy.
རིག་པ་དང་ཞབས་སུ་ལྡན་པ་བདེ་བར་གཤེགས་པ་འཇིག་རྟེན་མཁྱེན་པ་སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ། ||| He will be perfect in knowledge and conduct, a well-gone one, a world-knower, and a charioteer for people to be tamed.
བླ་ན་མེད་པ་ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་སུ་འགྱུར་རོ། ། ||| He will be unsurpassed, a teacher of gods and humans, a blessed buddha.
ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་འོད་ཆེན་པོའི་ཚེའི་ཚད་ནི་བསྐལ་པ་གཅིག་ཐུབ་པར་འགྱུར་རོ། །བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་གི་ཚེའི་ཚད་ནི་བར་གྱི་བསྐལ་པ་བཅུ་གཉིས་ཐུབ་པར་འགྱུར་རོ། ། ||| Ānanda, the Thus-Gone One Great Light will have a lifespan that lasts one eon, while the lifespan of those bodhisattvas will last twelve intermediate eons.
ཀུན་དགའ་བོ་འདི་ལྟ་སྟེ། དཔེར་ན་གཞན་འཕྲུལ་དབང་བྱེད་ཀྱི་ལྷ་རྣམས་ཀྱི་ལོངས་སྤྱོད་དང་ཀུན་སྤྱོད་པ་ལྟར། སངས་རྒྱས་ཀྱི་ཞིང་དེའི་སེམས་ཅན་རྣམས་ཀྱི་ལོངས་སྤྱོད་དང་ཀུན་སྤྱོད་པ་ཡང་དེ་འདྲ་བར་འགྱུར་རོ། ། ||| Ānanda, as a comparison, the enjoyments and activities of beings in that buddhafield will be just like those of the gods in the Heaven of Controlling Others’ Emanations.”
དེ་ནས་ཚེ་དང་ལྡན་པ་རབ་འབྱོར་གྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྩོམ་པ་མེད་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །རིགས་ཀྱི་བུ་ཁྱོད་བཅོམ་ལྡན་འདས་ཀྱིས་སངས་རྒྱས་སུ་འགྱུར་རོ་ཞེས་ལུང་བསྟན་པ་ནི་ཁྱོད་ཀྱིས་རྙེད་པ་ལེགས་པར་རྙེད་དོ། ། ||| The venerable Subhūti then addressed the bodhisattva great being Nirārambha: “Child of good family, the Blessed One prophesied that you will become a buddha and easily achieve success.”
བྱང་ཆུབ་སེམས་དཔའ་རྩོམ་པ་མེད་ཀྱིས་སྨྲས་པ། བཙུན་པ་རབ་འབྱོར་འདི་ལ་སུ་ཞིག་སངས་རྒྱས་སུ་འགྱུར་ཤེས་སམ། ||| The bodhisattva Nirārambha asked, “Honorable Subhūti, do you know who here will become a buddha?”
རབ་འབྱོར་གྱིས་སྨྲས་པ། རིགས་ཀྱི་བུ་ཁོ་བོས་ནི་གང་སངས་རྒྱས་སུ་འགྱུར་བའི་ཆོས་དེ་ཡང་དག་པར་རྗེས་སུ་མི་མཐོང་ངོ་། ། ||| “Child of good family,” replied Subhūti, “I do not clearly see the qualities of those who will become buddhas.”
སྨྲས་པ། བཙུན་པ་རབ་འབྱོར་གལ་ཏེ་གང་སངས་རྒྱས་སུ་འགྱུར་བའི་ཆོས་དེ་ཡང་དག་པར་རྗེས་སུ་མི་མཐོང་ན་ཁྱོད་སངས་རྒྱས་སུ་འགྱུར་བར་ལུང་བསྟན་ཏོ་ཞེས་བྱ་བར་དེ་མི་བསྟིང་ངམ། ||| “Honorable Subhūti, if you do not clearly see the qualities of those who will become buddhas, are you not undermining your statement, ‘You have been prophesied to become a buddha’?” asked Nirārambha.
རབ་འབྱོར་གྱིས་སྨྲས་པ། རིགས་ཀྱི་བུ་ཁྱོད་བཅོམ་ལྡན་འདས་ཀྱིས་སངས་རྒྱས་སུ་འགྱུར་རོ་ཞེས་ལུང་མ་བསྟན་ཏམ། ||| “Child of good family,” replied Subhūti, “the Blessed One prophesied that you would become a buddha, did he not?”
སྨྲས་པ། བཙུན་པ་རབ་འབྱོར་དོན་ཡོངས་སུ་མཁྱེན་པ་བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་དུ་སངས་རྒྱས་སུ་འགྱུར་རོ་ཞེས་གསུངས་སོ། ། ||| Nirārambha said, “Honorable Subhūti, the Blessed One said the words ‘become a buddha’ fully knowing what was meant.
དེ་ལ་དེ་བཞིན་གཤེགས་པའི་དོན་ཡོངས་སུ་མཁྱེན་པ་གང་ཞེ་ན། ||| What meaning is it that is fully known to a thus-gone one?
བྱང་ཆུབ་སེམས་དཔའ་གང་བྱང་ཆུབ་ཏུ་སྨོན་པ་དེ་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱིས་ལུང་མི་སྟོན་ཏོ། ། ||| The thus-gone ones do not prophesy about bodhisattvas who aspire to awaken.
བྱང་ཆུབ་སེམས་དཔའ་གང་བྱང་ཆུབ་ཏུ་མི་སྨོན་པ་དེ་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱིས་ལུང་སྟོན་ཏོ། ། ||| The thus-gone ones prophesy about bodhisattvas who do not aspire to awaken.
དེ་བས་ན་དོན་ཡོངས་སུ་མཁྱེན་པ་བཅོམ་ལྡན་འདས་ཀྱིས་ནི་སེམས་ཅན་རྣམས་ཀྱི་དགེ་བའི་རྩ་བ་བསྐྱེད་པའི་ཕྱིར་འདི་སྐད་དུ་སངས་རྒྱས་སུ་འགྱུར་རོ་ཞེས་གསུངས་ན། ||| Therefore, the Blessed One, fully knowing what was meant, said ‘become a buddha’ in order to develop the roots of virtue of beings.
ཁྱོད་ཅི་ཞིག་ལ་ལྟོས་བསམས་ནས་འདི་སྐད་དུ་སངས་རྒྱས་སུ་འགྱུར་རོ་ཞེས་སྨྲ། ||| What were you thinking of when you said ‘become a buddha’?”
སྨྲས་པ། རིགས་ཀྱི་བུ་བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་ཀྱི་ཐ་སྙད་འདི་ནི་འཇིག་རྟེན་གྱི་ཐ་སྙད་དོ། ། ||| “Child of good family,” replied Subhūti, “the conventions used by the Blessed One’s śrāvakas are the same conventions used in the world.”
སྨྲས་པ། བཙུན་པ་རབ་འབྱོར་འཕགས་པ་རྣམས་ལ་འཇིག་རྟེན་གྱི་ཐ་སྙད་ཀྱིས་གདགས་སུ་མེད་དོ། ། ||| “Honorable Subhūti, noble ones do not use worldly conventions,” countered Nirārambha.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why?
འཕགས་པ་ཐ་སྙད་འདོགས་པ་ནི་བདེན་པའོ། །འཇིག་རྟེན་ཐ་སྙད་འདོགས་པ་ནི་ལོག་པའོ། ། ||| The conventions of the noble ones are true, while worldly conventions are false.
བཙུན་པ་རབ་འབྱོར་དེ་བས་ན་འཇིག་རྟེན་གྱི་ཐ་སྙད་ལོག་པ་འཕགས་པ་རྣམས་ལ་རྗོད་པར་མི་འོས་སོ། ། ||| Therefore, honorable Subhūti, it is not appropriate to speak to noble ones using false worldly conventions.
བཙུན་པ་རབ་འབྱོར་འཇིག་རྟེན་ནི་བསྲུང་བར་བྱ་བ་ཡིན་ཏེ། དོན་དམ་པས་དངངས་སུ་འོང་ཞེས་དེ་ལ་འཕགས་པ་རྣམས་སྙིང་རྗེ་ཆེན་པོས་བདེན་པ་ཡང་དག་པ་བཏང་ནས་བྱིས་པ་རྣམས་ལ་ལོག་པར་ཐ་སྙད་འདོགས་ཀྱི། ||| Honorable Subhūti, worldly beings should be protected, but they are scared of the ultimate. Noble ones therefore compassionately set aside the authentic truth and use false conventions with foolish beings.
འཕགས་པ་རྣམས་ལ་མ་ཡིན་ཏེ། ||| They are not appropriate for noble ones.
འཕགས་པ་རྣམས་ནི་བདེན་པ་ཡང་དག་པ་ལ་དགའ་བའོ་ཞེས་འཕགས་པ་རྣམས་ལ་བདེན་པ་བརྗོད་དོ། ། ||| Noble ones take joy in the authentic truth, and therefore speak the truth with noble ones.
འཕགས་པ་རྣམས་ཀྱི་བདེན་པ་གང་ཞེ་ན། ||| What is the truth of the noble ones?
བཙུན་པ་རབ་འབྱོར་ཤིན་ཏུ་མངོན་པར་རྫོགས་པར་བྱང་ཆུབ་པ་ནི་འཕགས་པ་རྣམས་ཀྱི་བདེན་པའོ། ། ||| Honorable Subhūti, complete awakening is the truth of the noble ones.
ཆོས་ཐམས་ཅད་ནི་བྱང་ཆུབ་ཀྱི་རང་བཞིན་ཏེ། ||| All phenomena have the nature of awakening.
འདི་ནི་འཕགས་པ་རྣམས་ཀྱི་བདེན་པའོ། ། ||| This is the truth of the noble ones.”
སྨྲས་པ། རིགས་ཀྱི་བུ་སྡུག་བསྔལ་འཕགས་པའི་བདེན་པ་དང་། ཀུན་འབྱུང་བ་འཕགས་པའི་བདེན་པ་དང་། འགོག་པའི་བདེན་པ་དང་། ལམ་གྱི་བདེན་པ་དང་། བདེན་པ་བཞི་མེད་དམ། ||| Subhūti then asked, “Child of good family, is the truth of the noble ones not the four truths—the truth of suffering, the truth of origin, the truth of cessation, and the truth of the path?”
བྱང་ཆུབ་སེམས་དཔའ་རྩོམ་པ་མེད་ཀྱིས་སྨྲས་པ། བཙུན་པ་རབ་འབྱོར་སྡུག་བསྔལ་འདུས་བྱས་མ་ཡིན་ནམ། ||| The bodhisattva Nirārambha replied, “Honorable Subhūti, is suffering not compounded?”
སྨྲས་པ། དེ་དེ་བཞིན་ཏེ་སྡུག་བསྔལ་ནི་འདུས་བྱས་སོ། ། ||| “That is correct, suffering is compounded,” said Subhūti.
བྱང་ཆུབ་སེམས་དཔའ་རྩོམ་པ་མེད་ཀྱིས་སྨྲས་པ། བཙུན་པ་རབ་འབྱོར་བཅོམ་ལྡན་འདས་ཀྱིས་འདུས་བྱས་ཐམས་ཅད་བརྫུན་པ་སླུ་བའི་ཆོས་སོ་ཞེས་མ་གསུངས་སམ། ||| The bodhisattva Nirārambha then asked, “Honorable Subhūti, did not the Blessed One say that anything compounded is a false and deceptive phenomenon?”
