སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
ཉན་ཐོས་ཕུན་སུམ་ཚོགས་པ་ཅི་འདྲ་བ་དང་། ཚེ་ཇི་ཙམ་པ་དང་། ལོངས་སྤྱོད་ཅི་འདྲ་བ་དང་། འོད་ཅི་འདྲ་བ་དང་། ||| How were his perfect hearers? How long did they live? What kind of enjoyments did they have? What was their radiance like?
སྐྱེས་བུ་དམ་པ་དེ་གཉིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས་མཚན་ཇི་སྐད་ཅེས་བགྱི་བ་ ||| what were the names of the two holy beings after they awakened to unexcelled and completely perfect buddhahood?
དེ་ཅིའི་སླད་དུ་ཞེ་ན། འདི་ལྟར་དེ་བཞིན་གཤེགས་པས་སྐྱེས་བུ་དམ་པ་འདི་གཉིས་ཀྱི་སྨོན་ལམ་ཆེན་པོ་བཤད་པ་ཐོས་ནས་བྱང་ཆུབ་སེམས་དཔའ་གཞན་དག་ཀྱང་སྨོན་ལམ་ཆེན་པོ་ཡོངས་སུ་རྫོགས་པར་འགྱུར་བའི་སླད་དུའོ། ། ||| Why, you may wonder, am I making this request? It is so that other bodhisattvas may hear the Thus-Gone One describe the great aspirations of those two holy beings,
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One said to the bodhisattva Padmaśrīgarbha,
པད་མའི་དཔལ་གྱི་སྙིང་པོ་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་བཤད་དོ། ། ||| “Padmaśrīgarbha, for that very purpose I shall answer you, so listen well and keep in mind what I say.”
བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་བཅོམ་ལྡན་འདས་ལ་ལེགས་སོ་ཞེས་བྱ་བ་གསོལ་ཏེ། ||| The bodhisattva great being Padmaśrīgarbha said to the Blessed One, “Excellent!” and
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་པ་དང་ ||| listened as the Blessed One had directed.
བཅོམ་ལྡན་འདས་ཀྱིས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One said,
རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་འོད་དཔག་མེད་ཀྱི་ཚེའི་ཚད་ནི་དཔག་ཏུ་མེད་དེ། དེའི་མཐའ་ནི་བསྐལ་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་གི་བར་དུ་བཤད་ཀྱང་རྟོགས་པར་སླ་བ་མ་ཡིན་ནོ། ||| “Son of noble family, the extent of the Thus-Gone One Amitābha’s life is boundless. Even if you had a trillion eons to describe its limits, it would not be easy.
རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་འོད་དཔག་མེད་ཀྱི་ཚེ་དཔག་ཏུ་མེད་དུ་ཟིན་ཀྱང་འདུས་བྱས་ཐམས་ཅད་མི་རྟག་པ། མི་བརྟན་པ། ཐེར་ཟུག་མ་ཡིན་པ། ཡུན་དུ་གནས་པ་མ་ཡིན་པ་སྟེ། ། ||| Son of noble family, although the life of the Thus-Gone One Amitābha is boundless, all compounded phenomena are empty, unstable, without solidity, and fleeting.
རིགས་ཀྱི་བུ་མ་འོངས་པའི་དུས་འདས་པ་དེའི་ཚེ་དེའི་དུས་ན་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་དེ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་འགྱུར་རོ། ། ||| Therefore, son of noble family, in a distant future the Blessed One, the thus-gone, worthy, perfect Buddha Amitābha will also pass into nirvāṇa.
དེ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་ནས་ཀྱང་བསྐལ་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞིའི་བར་དུ་དེའི་དམ་པའི་ཆོས་གནས་ཏེ། ||| Though he will pass into nirvāṇa, his sacred Dharma will remain for 84 trillion eons.
ཇི་ལྟར་བཞུགས་པ་དེ་བཞིན་དུ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་ཀྱང་སེམས་ཅན་རྣམས་ཀྱི་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འགྲུབ་སྟེ། ལྷག་ཆད་མེད་པར་འགྱུར་རོ། ། ||| Just as when he was alive, his passing into nirvāṇa will also accomplish sentient beings’ roots of virtue to their full extent.
གཞན་དུ་ན་སེམས་ཅན་རྣམས་དེ་བཞིན་གཤེགས་པ་དེ་མཐོང་བ་མེད་པར་ཟད་དོ། ། ||| other sentient beings will no longer behold that thus-gone one.
བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ཀྱང་སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་ཏིང་ངེ་འཛིན་འཐོབ་པར་འགྱུར། ། ||| Yet the bodhisattvas will obtain the absorption of remembering the Buddha.
དེ་དག་རྟག་ཏུ་རྒྱུན་མི་འཆད་པར་སངས་རྒྱས་མཐོང་བ་དང་མི་འབྲལ་བར་འགྱུར་རོ། ། ||| They will always and continuously behold the Buddha and not be separate from him.
རིགས་ཀྱི་བུ་འོད་དཔག་མེད་ཡོངས་སུ་མྱ་ངན་ལས་འདས་ནས་ཀྱང་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་པད་མ་དག་དང་ཤིང་ལྗོན་པ་དག་གིས་དེ་བཞིན་གཤེགས་པ་དེ་ཇི་ལྟར་ཆོས་སྟོན་པ་དེ་བཞིན་དུ་པད་མ་དག་དང་ཤིང་ལྗོན་པ་དེ་དག་ལས་ཀྱང་ཆོས་ཀྱི་སྒོ་བརྒྱ་ཕྲག་དུ་མ་འབྱུང་བར་འགྱུར་རོ། ||| Son of noble family, when Amitābha passes into nirvāṇa, lotus flowers and trees made of the seven gems will emit several hundred Gates of Dharma similar to the Dharma teachings that the thus-gone one taught.
རིགས་ཀྱི་བུ་དེ་ལྟར་དེ་བཞིན་གཤེགས་པ་འོད་དཔག་མེད་ཡོངས་སུ་མྱ་ངན་ལས་འདས་ནས་དམ་པའི་ཆོས་ནུབ་མ་ཐག་པའི་མཚན་མོ་{སྐྱ་} རེངས་འཆར་བའི་དུས་ཀྱི་ཚེ་ ||| “Son of noble family, after the Thus-Gone One Amitābha has passed into nirvāṇa, there will come a night when the sacred Dharma disappears. As soon as that happens, at the break of dawn on the very next day,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་རིན་པོ་ཆེ་དུ་མའི་བཀོད་པའི་བྱང་ཆུབ་ཀྱི་ཤིང་དྲུང་དུ་འདུག་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ། ||| the bodhisattva great being Avalokiteśvara will awaken to unsurpassed and perfect buddhahood at the foot of a Bodhi tree made of various gems.
དེ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས་འོད་ཟེར་ཀུན་ནས་འཕགས་པའི་དཔལ་བརྩེགས་རྒྱལ་པོ་ཞེས་བྱ་བར་འགྱུར་རོ། ||| As he perfectly and completely awakens, he will be known as Samanta­raśmyabhyudgata­śrī­kūta­rāja.
དེ་བཞིན་གཤེགས་པ་འོད་ཟེར་ཀུན་ནས་འཕགས་པའི་དཔལ་བརྩེགས་རྒྱལ་པོ་དེའི་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་བཀོད་པར་འགྱུར་བ་གང་ཡིན་པ་དེ་དག་ནི་དེ་བཞིན་གཤེགས་པས་བསྐལ་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དུ་བསྟན་ཀྱང་མཐའ་རྟོགས་པར་མི་ནུས་སོ། ། ||| The precious qualities displayed in the buddha realm of the Thus-Gone One Samanta­raśmyabhyudgata­śrī­kūta­rāja will be so extensive that even a thus-gone one who is otherwise able to recount how many grains of sand there are in the river Ganges will not be able to be comprehend them.
སངས་རྒྱས་ཀྱི་ཞིང་དེའི་བདེ་བའི་རྒྱུ་དང་ཡོན་ཏན་གྱི་རྒྱུ་ནི་དེ་སྙེད་དུ་འགྱུར་མོད་ཀྱི། འོན་ཀྱང་རིགས་ཀྱི་བུ་དཔེ་ཙམ་དུ་ཅུང་ཟད་ཅིག་བཤད་པར་བྱའོ། ། ||| There are so many causes for happiness and the precious qualities found in that buddha realm, but, son of noble family, let me just give you a brief illustration of their number.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་གསེར་འོད་སེང་གེ་རྣམ་པར་རོལ་པའི་རྒྱལ་པོ་དེའི་སངས་རྒྱས་ཀྱི་ཞིང་ན་ཡོན་ཏན་བཀོད་པ་གང་དག་ཡོད་པ་ཡོན་ཏན་གྱི་བཀོད་པ་སྔ་མ་དག་ནི་ཡོན་ཏན་བཀོད་པ་འདི་དག་གི་བརྒྱའི་ཆར་ཡང་མི་ཆོག ||| “The display of precious qualities in the buddha realm of the Blessed One, the thus-gone King of the Golden-Hued Lion’s Play, which I described before, would not equal even one hundredth of this display of qualities.
སྟོང་གི་ཆ་དང་། བརྒྱ་སྟོང་གི་ཆ་དང་། གྲངས་དང་། དཔེ་དང་། རྒྱུར་ཡང་མི་བཟོད་དོ། ། ||| Nor would it measure one thousandth, or ever one hundred thousandth of it. In fact no number, analogy, or illustration would suffice.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་ན་ཉན་ཐོས་དང་། རང་སངས་རྒྱས་རྣམས་ཀྱི་མིང་ཡང་མེད་པར་འགྱུར་ཏེ། ||| In this buddha realm even the names of hearers and solitary buddhas do not exist.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་ནི་བྱང་ཆུབ་སེམས་དཔའ་འབའ་ཞིག་གིས་གང་བར་འགྱུར་རོ། ། ||| This buddha realm is entirely filled with bodhisattvas.
རིགས་ཀྱི་བུ་ད་ལྟར་བཅོམ་ལྡན་འདས་འོད་དཔག་མེད་ཀྱི་ཉན་ཐོས་དང་རང་སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་བསྡུས་ཀྱང་ ||| Son of noble family, even if one were to gather all of the hearers, solitary buddhas, and bodhisattvas of the Blessed Amitābha,
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་འོད་ཟེར་ཀུན་ནས་འཕགས་པའི་དཔལ་བརྩེགས་རྒྱལ་པོ་དེའི་བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་གྱི་བརྒྱའི་ཆར་ཡང་མི་ཆོག་སྟེ། ||| they would not equal even one hundredth of the bodhisattva saṅgha of the Blessed One, the Thus-Gone One Samanta­raśmyabhyudgata­śrī­kūta­rāja.
སྟོང་གི་ཆ་དང་། བརྒྱ་སྟོང་གི་ཆ་དང་། གྲངས་དང་། དཔེ་དང་། རྒྱུར་ཡང་མི་བཟོད་དོ། ། ||| Nor would they measure one thousandth, or even one hundred thousandth of that. In fact no number, analogy, or illustration would suffice.
དེའི་ཚེ་ཚད་ནི་བསྐལ་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དགུ་བཅུ་རྩ་དྲུག་ཏུ་འགྱུར་རོ། ། ||| As for his lifespan, it will be 96 trillion eons.
དེའི་དམ་པའི་ཆོས་ནི་བསྐལ་པ་བྱེ་བ་དྲུག་ཅུ་རྩ་གསུམ་དུ་གནས་པར་འགྱུར་རོ། ||| The sacred Dharma that he teaches will remain for 630 million eons.”
བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| The bodhisattva great being Padmaśrīgarbha asked the Blessed One,
བཅོམ་ལྡན་འདས་འཇིག་རྟེན་གྱི་ཁམས་དེའི་མིང་ཡང་བདེ་བ་ཅན་ཞེས་བགྱི་བར་འགྱུར་རམ། ||| “Blessed One, will the name of that world also be Sukhāvatī?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་དེ་ནི་མ་ཡིན་ཏེ། ||| The Blessed One said, “No, son of noble family, it will not.
འཇིག་རྟེན་གྱི་ཁམས་དེ་ནི་རིན་ཆེན་ཀུན་ནས་བསགས་པ་ཞེས་བྱ་བར་འགྱུར་རོ། ||| That world will be called Complete Gathering of Wealth.
རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་འོད་ཟེར་ཀུན་ནས་འཕགས་པའི་དཔལ་བརྩེགས་རྒྱལ་པོའི་ཚེ་ཇི་སྲིད་གནས་པ་ནས་བཟུང་སྟེ། ||| Son of noble family, during the lifetime of Samanta­raśmyabhyudgata­śrī­kūta­rāja,
ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་དེ་སྲིད་དུ་བྱང་ཆུབ་སེམས་དཔའ་མཐུ་ཆེན་ཐོབ་མཆོད་པ་བྱེད་པར་འགྱུར་རོ། ། ||| until he passes into nirvāṇa, he will be worshipped by the bodhisattva Mahā­sthāmaprāpta.
ཡོངས་སུ་མྱ་ངན་ལས་འདས་ནས་ཀྱང་དེའི་དམ་པའི་ཆོས་འཛིན་པར་འགྱུར་ཏེ། དམ་པའི་ཆོས་ཡུན་རིང་པོར་གནས་པར་བྱ་བའི་ཕྱིར་སྤྲོ་བར་འགྱུར་རོ། ། ||| After he passes into nirvāṇa, that bodhisattva will uphold his sacred Dharma and propagate it, so that the sacred Dharma may remain for long.
ཕྱི་མའི་དུས་སུ་དེར་དམ་པའི་ཆོས་ནུབ་ནས་སངས་རྒྱས་ཀྱི་ཞིང་དེར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་ཏེ། ། ||| “Later, when the sacred Dharma has disappeared in that buddha realm, Mahā­sthāmaprāpta will awaken there to unsurpassed and perfect buddhahood.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིགས་པ་དང་ཞབས་སུ་ལྡན་པ། བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ་བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཡོན་ཏན་ཤིན་ཏུ་གནས་པ་ནོར་བུ་བརྩེགས་པའི་རྒྱལ་པོ་ཞེས་བྱ་བ་འཇིག་རྟེན་དུ་འབྱུང་བར་འགྱུར་རོ། ། ||| He will appear in that world as a thus-gone, worthy, perfect buddha, a learned and virtuous being, a blissful one, someone who knows the world, an unsurpassed charioteer who tames beings, a teacher of gods and men, a blessed buddha known as Supra­tiṣṭhita­guṇa­maṇi­kūṭa­rāja.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་ཟེར་ཀུན་ནས་འཕགས་པའི་དཔལ་བརྩེགས་རྒྱལ་པོ་དེའི་བྱང་ཆུབ་སེམས་དཔའ་ཕུན་སུམ་ཚོགས་པ་དང་། སྣང་བ་ཕུན་སུམ་ཚོགས་པ་ཅི་འདྲ་བ་དེ་ལྟར། ། ||| Just as were the perfect bodhisattvas and the perfect environment belonging to the Blessed One, the thus-gone, worthy, perfect Buddha Samanta­raśmyabhyudgata­śrī­kūta­rāja,
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཡོན་ཏན་ཤིན་ཏུ་གནས་པ་ནོར་བུ་བརྩེགས་པའི་རྒྱལ་པོ་དེའི་ཡང་དེ་དང་འདྲ་བར་འགྱུར་ཏེ། ལྷག་ཆད་མེད་ཅིང་ཤིན་ཏུ་ལྷག་པ་མེད་པར་འགྱུར་རོ། ། ||| so will they be, precisely and without any difference, for the Blessed One, the thus-gone Supra­tiṣṭhita­guṇa­maṇi­kūṭa­rāja.
ཚེའི་ཡུན་དང་དམ་པའི་ཆོས་གནས་པ་ཡང་དེ་སྲིད་དུ་འགྱུར་རོ། ། ||| His lifespan and the period of his sacred Dharma will also be the same.
རིགས་ཀྱི་བུ་དང་རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་དག་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་འོད་ཟེར་ཀུན་ནས་འཕགས་པའི་དཔལ་བརྩེགས་རྒྱལ་པོ་དེ་དང་། ། ||| “Any son or daughter of noble family who hears the names of the Blessed One, the thus-gone Samanta­raśmyabhyudgata­śrī­kūta­rāja,
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཡོན་ཏན་ཤིན་ཏུ་གནས་པ་ནོར་བུ་བརྩེགས་པའི་རྒྱལ་པོ་དེའི་མཚན་ཐོས་པ་དེ་དག་ཐམས་ཅད་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་རོ། ། ||| or the Blessed One, the thus-gone Supra­tiṣṭhita­guṇa­maṇi­kūṭa­rāja, will render irreversible their progress to unsurpassed and perfect awakening.
པད་མའི་དཔལ་གྱི་སྙིང་པོ་བུད་མེད་གང་ལ་ལས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་གསེར་འོད་སེང་གེ་རྣམ་པར་རོལ་པའི་རྒྱལ་པོ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་དེ་དང་། མ་འོངས་པ་དེ་གཉིས་ཀྱི་མཚན་ཐོས་ན་དེ་བུད་མེད་ཀྱི་རང་བཞིན་དུ་མི་འགྱུར་རོ། ||| “Padmaśrīgarbha, any woman who hears the account of how the Blessed One, the thus-gone King of the Golden-Hued Lion’s Play, passed into nirvāṇa, and who hears the name of these two future buddhas, will no longer have the identity of a woman,
བསྐལ་པ་བྱེ་བ་ཕྲག་བཞི་བཅུར་འཁོར་བ་བསྙིལ་བར་འགྱུར་རོ། ། ||| and after 400 million eons she will destroy saṃsāra.
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར། ། ||| She will render irreversible her progress to unsurpassed and perfect awakening.
སངས་རྒྱས་མཐོང་བ་དང་། ཆོས་ཉན་པ་དང་། དགེ་འདུན་ལ་བསྙེན་བཀུར་བྱེད་པ་དང་མི་འབྲལ་བར་འགྱུར། ། ||| She will always see the Buddha, listen to the Dharma, and serve the Saṅgha;
ཚེ་རྗེས་ནས་ཀྱང་རབ་ཏུ་འབྱུང་བ་འཐོབ་པར་འགྱུར། ། ||| and as she moves to the next life, she will take ordination.
ཚེ་རབས་དྲན་པ་དང་། སྤོབས་པ་ཐོགས་པ་མེད་པར་འགྱུར་རོ། །གཟུངས་ཀྱང་འཐོབ་པར་འགྱུར་རོ། ||| She will recollect her past lives and attain unimpeded eloquence and retention.”
དེ་ནས་འཁོར་དེའི་ནང་ནས་ལྷ་དང་མི་དང་སྐྱེ་དགུའི་སྲོག་ཆགས་བྱེ་བ་ཕྲག་དགུ་བཅུ་རྩ་དྲུག་གིས་མགྲིན་གཅིག་ཏུ་ཚིག་སྨྲས་པ། ། ||| Then, from within the retinue, 960 million gods, men, and other beings called out in a single voice,
གང་དག་མ་བྱོན་པ་དེ་དག་དང་། གང་དག་ད་ལྟར་བཞུགས་པ་འཚོ་ཞིང་གཞེས་པ་དེ་དག་དང་། ཕྱོགས་བཅུ་ན་གང་དག་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པའི་དེ་བཞིན་གཤེགས་པ་དེ་དག་ལ་ཕྱག་འཚལ་ལོ། ། ||| “We pay homage to all thus-gone ones: those yet to come, those who presently remain, and those in the ten directions who have passed into nirvāṇa.
དེ་དག་གི་མཚན་གང་ལགས་པ་དེ་དག་ལ་ཡང་རྗེས་སུ་ཡི་རང་ངོ་། །ཚིག་འདི་སྐད་ཅེས་ཀྱང་སྨྲ་སྟེ། ||| We rejoice in their names!” And they continued,
བཅོམ་ལྡན་འདས་བདག་ཅག་ལྷན་ཅིག་ཚོགས་པ་ཐམས་ཅད་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པར་བགྱིའོ། ||| “Blessed One, this entire gathering now engenders the mind of unsurpassed and perfect awakening.”
དེ་དག་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་བསྟན་ཏོ། ། ||| Then the Blessed One prophesied their unsurpassed and perfect awakening.
སྲོག་ཆགས་ཁྲག་ཁྲིག་བརྒྱ་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞི་ནི་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་རྣམ་པར་དག་གོ། ། ||| Eight trillion four hundred thousand million beings purified their eye of Dharma regarding phenomena so that it became stainless and unobscured.
དགེ་སློང་བདུན་སྟོང་ནི་ལེན་པ་མེད་པར་ཟག་པ་རྣམས་ལས་སེམས་རྣམ་པར་གྲོལ་ལོ། ། ||| Seven thousand monks freed their minds from defilements without further clinging.
དེ་ནས་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། ||| Then, at that time, the bodhisattva great being Avalokiteśvara and
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་མཐུ་ཆེན་ཐོབ་ཀྱིས་ཇི་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་འདུ་བྱས་པས་ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་གྱིས་ཕྱོགས་བཅུ་ན་བཅོམ་ལྡན་འདས་དཔག་ཏུ་མེད་གྲངས་མེད་པ་དག་གིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ལུང་སྟོན་པ་མཐོང་བ་ ||| the bodhisattva great being Mahā­sthāmaprāpta caused a miracle by which the entire retinue could see all the limitless, uncountable blessed ones in the ten directions making prophecies for their unsurpassed and perfect awakening.
དེ་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱ་བ་མངོན་པར་བྱས་སོ། ། ||| Such was the miracle that they performed.
མཐོང་ནས་ཀྱང་ཚིག་འདི་སྐད་འཛེར་ཏོ། །བཅོམ་ལྡན་འདས་ཇི་ཙམ་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འདི་གཉིས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དག་གིས་ལེགས་པར་ཡོངས་སུ་བཟུང་བ་ལགས་ཏེ། ། ||| At this spectacle, everyone present exclaimed, “Blessed One, we now see the extent to which these two bodhisattva great beings are cared for by those blessed buddhas!
འདི་ལྟར་སྐྱེས་བུ་དམ་པ་འདི་གཉིས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་འདི་སྙེད་ཅིག་ལུང་སྟོན་པ་ནི་ངོ་མཚར་ཏོ། ||| It is amazing to see so many blessed buddhas making prophecies regarding these two holy beings!”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་པད་མའི་དཔལ་གྱི་སྙིང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| Then the bodhisattva Padmaśrīgarbha asked the Blessed One,
བཅོམ་ལྡན་འདས་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་དེ་བཞིན་གཤེགས་པས་གསུངས་པའི་མདོ་སྡེ་ཟབ་མོ་འདི་འཛིན་པ་དང་། འཆང་བ་དང་། ཀློག་པ་དང་། ཀུན་ཆུབ་པར་བགྱིད་པ་དང་། གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་པ་དེའི་བསོད་ནམས་ཇི་སྙེད་ཅིག་འཕེལ་བར་འགྱུར། ། ||| “Blessed One, how much merit is created when a son or daughter of noble family remembers this sūtra taught by the Thus-Gone One, carries it, reads it, comprehends it, and extensively and genuinely teaches it to others?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་ཁྱོད་ཀྱིས་དེ་བཞིན་གཤེགས་པ་ལ་ཡོངས་སུ་འདྲི་བའི་གཏམ་འདིས་ཅི་ཞིག་བྱ། ||| The Blessed One said, “Son of noble family, it could be asked what would be accomplished and what would be the reason for me to reply to the question you have put to the Thus-Gone One.
རིགས་ཀྱི་བུ་སེམས་ཅན་དམན་པ་ལ་མོས་པ་དེ་དག་དེ་བཞིན་གཤེགས་པས་གསུངས་པ་ལ་ཡིད་མི་ཆེས་པར་འགྱུར་བའི་ཕྱིར་ཏེ། ||| Son of noble family, it is because base sentient beings may distrust the Thus-Gone One’s teachings,
དེ་ལྟར་འདི་དག་ཡུན་རིང་པོར་གནོད་པ་དང་། ཕན་པ་མེད་པ་དང་། བདེ་བ་མེད་པ་དང་། ལོག་པར་ལྟུང་བར་འགྱུར་རོ། ||| and will therefore continue to meet with harm, unhelpful situations, unhappiness, and misfortune.”
བཅོམ་ལྡན་འདས་འཁོར་འདི་ན་རིགས་ཀྱི་བུ་དང་། རིགས་ཀྱི་བུ་མོ་དག་རྒྱ་ཆེན་པོ་ལ་མོས་པ་དང་། མོས་པ་མང་བ་དག་ཀྱང་མཆིས། ||| “Blessed One, in this assembly there are sons and daughters of noble family who are dedicated to the vast, indeed extremely dedicated;
སླད་མའི་སྐྱེ་བོ་རྣམས་ལ་ཡང་སྣང་བ་བགྱིས་པར་འགྱུར་ན་དེ་བཞིན་གཤེགས་པས་སྐྱེ་བོ་མང་པོ་ལ་སྨན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བའི་སླད་དུ་བཤད་པར་གསོལ། ། ||| this teaching will also appear to beings yet to come. So it is for the sake of the welfare and happiness of many beings that I request the Thus-Gone One to explain.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། པད་མའི་དཔལ་གྱི་སྙིང་པོ་དེའི་ཕྱིར་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་བཤད་དོ། ། ||| The Blessed One said, “Padmaśrīgarbha, that being so, I ask you to listen well to what I will say and keep it in mind.”
