འཕགས་པ་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Kiṃnara King Druma
བརྟུལ་ཞུགས་སྤྱོད་དང་བཟོད་པ་སྤྱོད་པ་དང་། །ཁྲོ་སྐྱོན་ཡོངས་སུ་གཅོད་པའི་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་གནོད་སེམས་མེད་པར་སྤྱོད་པ་ཡིན། ། ||| “Those who practice disciplined conduct and patience, Those who eliminate the defects of aggression, And those who practice supreme awakening Practice without ill will.
བརྩོན་འགྲུས་སྤྱོད་དང་མཐུ་རྣམས་སྤྱོད་པ་དང་། །འཁོར་བར་ཡོངས་སུ་མི་སྐྱོ་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ལེ་ལོ་མེད་པར་སྤྱོད་པ་ཡིན། ། ||| “Those who practice diligence and the powers, Those who do not become weary of saṃsāra, And those who practice supreme awakening Practice without laziness.
བསམ་གཏན་སྤྱོད་དང་ཏིང་འཛིན་སྤྱོད་པ་དང་། །ལུས་དང་སེམས་ནི་རབ་ཏུ་དབེན་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་གཡེང་བ་མེད་པར་སྤྱོད་པ་ཡིན། ། ||| “Those who practice concentration and absorption, Those who practice physical and mental disengagement, And those who practice supreme awakening Practice without distraction.
ཤེས་རབ་སྤྱོད་དང་བློ་མཆོག་སྤྱོད་པ་དང་། །ཆོས་རྣམས་ཐམས་ཅད་ཇི་བཞིན་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ཤེས་རབ་འཆལ་པའི་སྤྱོད་པ་མེད། ། ||| “Those who practice insight and intelligence, Those who realize all phenomena as they are, And those who practice supreme awakening Practice without mistaken insight.
བྱམས་པ་སྤྱོད་དང་ཕན་འདོད་སྤྱོད་པ་དང་། །སེམས་ཅན་ཀུན་ལ་སྙིང་རྗེ་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ཁྲོ་བའི་ཐ་བ་མེད་པར་སྤྱོད། ། ||| “Those who practice love and altruism, Those who practice compassion toward all sentient beings, And those who practice supreme awakening Practice without aggression.
སྟོང་པ་སྤྱོད་དང་རབ་ཏུ་དབེན་སྤྱོད་དང་། །མཚན་མ་མེད་པ་ཡོངས་སུ་དག་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་སྨོན་པ་མེད་པར་སྤྱོད་པ་ཡིན། ། ||| “Those who practice emptiness and disengagement, Those who practice the absence of marks and purity, And those who practice supreme awakening Practice without wishful thinking.
ཡང་དག་སྤྱོད་དང་དེ་བཞིན་ཉིད་སྤྱོད་དང་། །ཐམས་ཅད་མཁྱེན་པ་ཡོངས་སུ་དག་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་གང་དུའང་ཆགས་པ་མེད་པར་སྤྱོད། ། ||| “Those who practice authenticity and suchness, Those who practice the purity of omniscience, And those who practice supreme awakening Practice without attachment in all regards.
དད་པ་སྤྱོད་དང་དང་བ་སྤྱོད་པ་དང་། །དྲན་དང་གཡེང་བ་མེད་པར་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ཡོངས་སུ་གཅོད་པ་མེད་པར་སྤྱོད། ། ||| “Those who practice trust and faith, Those who practice mindfulness and nondistraction, And those who practice supreme awakening Practice without judgmental thoughts.
བསམ་གཏན་སྤྱོད་དང་རྣམ་ཐར་སྤྱོད་པ་དང་། །མངོན་ཤེས་ལྔ་རྣམས་ཡོངས་དག་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ཆགས་པ་མེད་པར་སྤྱོད་པ་ཡིན། ། ||| “Those who practice concentration and liberation, Those who practice the purity of the five higher perceptions, And those who practice supreme awakening Practice without attachment.
སངས་རྒྱས་སྤྱོད་དང་དམ་ཆོས་སྤྱོད་པ་དང་། །དགེ་འདུན་དཀོན་མཆོག་ཉེ་བར་བརྟན་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་དཀོན་མཆོག་མཆོག་གི་སྤྱོད་པ་ཡིན། ། ||| “Those who practice the Buddha and the sacred Dharma, Those who attend to the Saṅgha Jewel, And those who practice supreme awakening Practice the supreme Three Jewels.
ཆོས་སྤྱོད་པ་དང་ཤིན་ཏུ་རིགས་སྤྱོད་དང་། །སེམས་ཅན་ཐམས་ཅད་ཡོངས་སུ་སྨིན་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་རྒྱུན་མི་འཆད་པར་སྤྱོད་པ་ཡིན། ། ||| “Those who practice the Dharma and what is suitable, Those who practice ripening all beings, And those who practice supreme awakening Practice without interruption.
བྱ་བ་སྤྱོད་དང་ཆོས་རྣམས་སྤྱོད་པ་དང་། །མཐའ་ཀུན་ཡོངས་སུ་གཅོད་པའི་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་གང་དུའང་ལྟ་བར་སྤྱོད་པ་མེད། ། ||| “Those who practice proper deeds and qualities, Those who practice eliminating all views, And those who practice supreme awakening Practice free from all metaphysical views.
དག་པར་སྤྱོད་དང་རྣམ་པར་དག་སྤྱོད་དང་། །ཉོན་མོངས་ཐམས་ཅད་ཡོངས་སུ་གཅོད་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ཡོངས་སུ་གདུང་བར་སྤྱོད་པ་མེད། ། ||| “Those who practice purity and stainlessness, Those who practice to eliminate all afflictions, And those who practice supreme awakening Practice without longing.
བདེ་བ་སྤྱོད་དང་ཤིན་ཏུ་རྣམ་ཐར་སྤྱོད། །སེམས་ཅན་ཀུན་ལ་འཇིགས་མེད་མཆོག་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་སྨོན་ལམ་སྤྱོད་པ་མེད་པ་ཡིན། ། ||| “Those who practice happiness and liberation, Those who give supreme fearlessness to all beings, And those who practice supreme awakening Practice without aspirations.
ཉི་མ་སྤྱོད་དང་ཟླ་བ་སྤྱོད་པ་དང་། །པད་མ་ལྟ་བུར་གོས་པ་མེད་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ལྷར་བཅས་འཇིག་རྟེན་ཕྱག་བྱ་བ། ། ||| “Those who practice like the sun and the moon, Those who remain unsullied like a lotus, And those who practice supreme awakening Are revered by the world with its gods.
བརྒྱ་བྱིན་སྤྱོད་དང་ཚངས་པའི་སྤྱོད་པ་དང་། །དཀར་པོའི་ཆོས་རྣམས་ཡོངས་སུ་རྫོགས་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་བདུད་རྣམས་སྡེར་བཅས་སྐྲག་པར་བྱེད། ། ||| “Those who practice like Śakra and Brahmā, Those who perfect wholesome qualities, And those who practice supreme awakening Strike fear into Māra and his hordes.
མཆོག་སྤྱོད་པ་དང་ཁྱད་པར་འཕགས་སྤྱོད་དང་། །འདོད་ཆགས་ཉེས་པ་ཐ་བ་གཅོད་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་གང་དུའང་གཏི་མུག་སྤྱོད་པ་མེད། ། ||| “Those who practice what is supreme and exalted, Those who eliminate the affliction of desire, And those who practice supreme awakening Practice without ignorance in all regards.
ལམ་སྤྱོད་པ་དང་མུ་སྟེགས་སྤྱོད་པ་དང་། །ཤེས་རབ་མིག་ནི་ཡོངས་སུ་དག་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ཡོངས་སུ་རྟོག་པར་སྤྱོད་པ་མེད། ། ||| “Those who practice the path and are fond of non-Buddhists, Those who practice the pure eye of insight, And those who practice supreme awakening Are not practicing while forming concepts.
དུལ་བ་སྤྱོད་དང་རབ་ཏུ་ཞི་སྤྱོད་དང་། །མིང་དང་གཟུགས་ལ་མི་ཆགས་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ལྷ་དང་མི་ནི་མང་པོས་བསྟོད། ། ||| “Those who practice self-control and pacification, Those who practice freedom from attachment to name-and-form, And those who practice supreme awakening Are praised by many gods and humans.
འཕགས་པའི་སྤྱོད་དང་ཤིན་ཏུ་མཉམ་སྤྱོད་དང་། །གཡོན་ཕྱོགས་ལམ་ནི་ཡོངས་སུ་གཅོད་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་རྟག་ཏུ་དོན་ལ་འབབ་པ་ཡིན། ། ||| “Those who practice sameness like noble beings, Those who practice bringing an end to the path of deception, And those who practice supreme awakening Always reach the true meaning.
དཔའ་བོ་སྤྱོད་དང་ཤིན་ཏུ་བརྟན་སྤྱོད་པ། །བདུད་ཀྱི་སྡེ་རྣམས་འཇིགས་པར་བྱེད་སྤྱོད་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་བྱང་ཆུབ་སྙིང་པོར་གཞོལ་བ་ཡིན། ། ||| “Those who practice like heroes and with complete stability, Those who practice scaring away Māra and his hordes, And those who practice supreme awakening Are heading for the seat of awakening.
གཟུང་བ་སྤྱོད་དང་དོན་ཡོད་སྤྱོད་པ་དང་། །གཟུངས་ལ་གཡེང་བ་མེད་པར་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་གང་དུའང་མ་རིག་སྤྱོད་པ་མེད། ། ||| “Those who practice remembrance and what is meaningful, Those who practice retention without distraction, And those who practice supreme awakening Practice without ignorance in all regards.
དགོན་པ་སྤྱོད་དང་རབ་ཏུ་དབེན་སྤྱོད་པ། །རྟག་ཏུ་རབ་ཏུ་འབྱུང་བར་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ནན་ཏན་བྱེད་པར་སྤྱོད་པ་ཡིན། ། ||| “Those who practice seclusion and disengagement, Those who practice constant renunciation, And those who practice supreme awakening Practice with earnest determination.
གཙོ་བོའི་སྤྱོད་དང་ཁྱད་པར་འཕགས་སྤྱོད་དང་། །འཇིག་རྟེན་ཐམས་ཅད་ཟིལ་གནོན་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ཆུང་ངུ་ལ་ནི་སྤྱོད་པ་མེད། ། ||| “Those who practice what is primary and exalted, Those who practice outshining the entire world, And those who practice supreme awakening Are not practicing an inferior form of conduct.
རིགས་པ་སྤྱོད་དང་ཐབས་ལ་སྤྱོད་པ་དང་། །བསམ་གཏན་བདེ་ལས་ལྡོག་པར་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་མི་ཤེས་སྤྱོད་པ་མེད་པ་ཡིན། ། ||| “Those who practice reasoning and method, Those who practice renouncing the bliss of concentration, And those who practice supreme awakening Practice without ignorance.
ལྟ་བ་སྤྱོད་དང་རྣམ་པར་ལྟ་སྤྱོད་དང་། །མིང་དང་གཟུགས་ལ་མི་ཆགས་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་འཇིགས་པ་མེད་པར་སྤྱོད་པ་ཡིན། ། ||| “Those who practice the view and comprehensive view, Those who practice freedom from attachment to name-and-form, And those who practice supreme awakening Practice without fear.
ཐམས་ཅད་སྤྱོད་དང་ཀུན་ཏུ་སྤྱོད་པ་དང་། །དབང་པོ་ཡོངས་སུ་སྨིན་པར་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་ཡེ་ཤེས་ནམ་མཁའི་མཐའ་དང་འདྲ། ། ||| “Those who engage in all and everything, Those who practice ripening beings’ faculties, And those who practice supreme awakening Will have wisdom that extends to the limits of space.”
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་བསྟན་པའི་ཚིགས་སུ་བཅད་པ་མངོན་པར་བསྒྲུབ་པ་འདི་པི་བང་གི་སྒྲ་དེ་ལས་བྱུང་བ་ན། ||| eWhen those verses describing bodhisattva conduct manifested from the tunes of the lute,
བྱང་ཆུབ་སེམས་དཔའ་ལྔ་སྟོང་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་གྱུར་ཏོ། ། ||| five thousand bodhisattvas reached acceptance of the unborn nature of phenomena.
རྒྱལ་པོ་མ་སྐྱེས་དགྲའི་འཁོར་དང་། རྒྱལ་པོའི་ཁབ་ཀྱི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་དང་། མི་འམ་ཅི་དང་། དྲི་ཟ་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དེ་དག་གི་འཁོར་གྱི་སྲོག་ཆགས་བརྒྱད་སྟོང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་ནས་ཚིག་འདི་སྐད་ཅེས་བཅོམ་ལྡན་འདས་བདག་ཅག་ཀྱང་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་འདི་ལ་བསླབ་པར་བགྱིའོ། ། ||| The retinue of King Ajātaśatru, the brahmins and householders from Rājagṛha, and eight thousand members of the retinues of the kiṃnaras, gandharvas, and mahoragas gave rise to the mind set on unsurpassed and perfect awakening. They promised, “Blessed One, we will also train in bodhisattva conduct!
ནན་ཏན་གྱིས་བསྒྲུབ་པར་བགྱིའོ། ། ||| We will accomplish it earnestly, and
སེམས་ཅན་ཚད་མ་མཆིས་པ་དག་ཀྱང་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་འདི་ཉིད་ཡང་དག་པར་འཛིན་དུ་སྩལ་བར་བགྱིའོ་ཞེས་སྨྲས་སོ། ། ||| we will encourage countless beings to adhere to this bodhisattva conduct!”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོ་འགྲོར་གནང་ངོ་། ། ||| After that, the Blessed One gave his approval for the kiṃnara king Druma to depart.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་གནང་བས་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོ་བུ་དང་བཅས། དཔུང་དང་བཅས། སླས་དང་བཅས། རང་གི་སྐྱེ་བོ་དང་བཅས་འཁོར་དང་བཅས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ། ||| Having received the Blessed One’s consent, the kiṃnara king Druma as well as his sons, troops, queens, subjects, and attendants prostrated to the feet of the Blessed One and circumambulated him three times.
བཟོད་པ་གསོལ་ནས་སིལ་སྙན་དཀྲོལ། མེ་ཏོག་གི་ཆར་ཕབ། འོད་ཟེར་གྱི་དྲ་བ་ཕྱུང་སྟེ། ||| While bidding him farewell, they played music, caused a rain of flowers to fall, and emitted webs of light.
ས་ཆེན་པོ་རྣམ་པ་དྲུག་ཏུ་གཡོས་པར་བྱས་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཐད་ནས་སོང་སྟེ། དེ་སྐད་ཅིག་ཐང་ཅིག་ཡུད་ཙམ་དེ་ཉིད་ལ་རིའི་རྒྱལ་པོ་སྤོས་ཀྱི་ངད་ལྡང་དུ་རང་གི་ཁྱིམ་དུ་ཕྱིན་ཏོ། ། ||| As the earth quaked in six different ways, they left the Blessed One and in that very instant arrived back home on the majestic Mount Gandhamādana.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་གྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Śakra, lord of the gods, then said to the Blessed One,
བཅོམ་ལྡན་འདས་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་དེ་བཞིན་གཤེགས་པ་ལ་མཆོད་པ་དང་ཆོས་ལ་མཆོད་པས་བདག་ཟིལ་གྱིས་ནོན་ཏོ། ། ||| “Blessed One, the kiṃnara king Druma surpasses me in terms of his worship of the Thus-Gone One and the Dharma!”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| replied the Blessed One,
ཀཽ་ཤི་ཀ་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཁྱོད་འབའ་ཞིག་ཟིལ་གྱིས་མནན་པ་མ་ཡིན་གྱིས། ||| “Kauśika,” “it is not only you that the kiṃnara king Druma surpasses.
ཀཽ་ཤི་ཀ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ས་ཐོབ་པ་མ་གཏོགས་པར་གང་དག་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ཀྱི་བརྒྱ་བྱིན་དང་། ཚངས་པ་དང་། འཇིག་རྟེན་སྐྱོང་བ་དང་། ཉན་ཐོས་དང་རང་སངས་རྒྱས་དེ་དག་ཐམས་ཅད་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཟིལ་གྱིས་ནོན་ཏོ། ། ||| Kauśika, with the exception of bodhisattva great beings who have reached the bodhisattva levels, the kiṃnara king Druma surpasses Śakra, Brahmā, and the protectors of the world, as well as all the hearers and solitary buddhas of this great trichiliocosm.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that so?
ཀཽ་ཤི་ཀ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་བསྐྱེད་མ་ཐག་པས། ཉན་ཐོས་དང་རང་སངས་རྒྱས་ཐམས་ཅད་དང་། བརྒྱ་བྱིན་དང་། ཚངས་པ་དང་། འཇིག་རྟེན་སྐྱོང་བ་ཐམས་ཅད་ཟིལ་གྱིས་ནོན་ཏོ། ། ||| Because, Kauśika, as soon as bodhisattvas give rise to the mind set on awakening, they surpass all hearers and solitary buddhas, as well as Śakra, Brahmā, and all the protectors of the world.
ཀཽ་ཤི་ཀ་དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་ནི་ལྷར་བཅས་པའི་འཇིག་རྟེན་གྱིས་ཟིལ་གྱིས་མི་ནོན་ཏོ། ། ||| Kauśika, this being so, bodhisattvas cannot be surpassed by the world with its gods.
གང་བྱང་ཆུབ་སེམས་དཔའ་ལ་ཟིལ་གྱིས་གནོན་པར་སེམས་པ་དེ་ནི་དེ་བཞིན་གཤེགས་པ་ལ་ཟིལ་གྱིས་གནོན་པར་འདོད་པའོ། ། ||| Wishing to surpass the bodhisattvas is the same as wishing to surpass the thus-gone ones.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
བྱང་ཆུབ་སེམས་དཔའ་ལས་ནི་དེ་བཞིན་གཤེགས་པ་འབྱུང་ངོ་། ། ||| It is because the thus-gone ones originate from the bodhisattvas, and
དེ་བཞིན་གཤེགས་པ་ལས་ནི་ཉན་ཐོས་དང་རང་སངས་རྒྱས་འབྱུང་ངོ་། ། ||| the hearers and the solitary buddhas originate from the thus-gone ones.”
དེ་ནས་ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་གྱིས་བསྟན་པ་འདི་ཐོས་ནས་ཐལ་མོ་སྦྱར་ཏེ་མཆི་མ་བླགས་ནས་འདི་སྐད་ཅེས་ཀྱེ་མའོ། ། ||| When he heard this teaching, Śakra, lord of the gods, joined his palms together, shed tears, and exclaimed, “Alas!
བདག་ནི་སངས་རྒྱས་ཀྱི་མཁྱེན་པ་ཆགས་པ་མི་མངའ་ཞིང་སྒྲིབ་པ་མི་མངའ་བ་འདི་ལྟ་བུ་ལས་ཉམས་སོ་ཞེས་སྨྲས་སོ། ། ||| My wisdom is weaker than the dispassionate and unobstructed wisdom of the buddhas!”
དེ་ནས་ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་གྱི་བུ་ལྷའི་བུ་འོད་ཟེར་སྲུང་ཞེས་བྱ་བ་འཁོར་དེ་ཉིད་དུ་འདུས་པར་གྱུར་ཏེ་འདུག་པ་དེས་ལྷ་རྣམས་ཀྱི་དབང་པོ་བརྒྱ་བྱིན་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| At that moment, the son of Śakra, lord of the gods, the god Kāśyapa, who was present in the assembly, said to his father,
ཡང་འདི་ལྟར་གང་རབ་ཏུ་དབེན་པ་རྣམ་པར་བསྒྲུབ་པར་ཉེ་བར་གནས་པའི་མཚན་ཉིད་མ་ལགས་པའི་ཆོས་རྣམས་ལ། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་མི་བསྐྱེད་པ་དེ་ནི་སེམས་ཅན་ཐམས་ཅད་ལ་སྙིང་རྗེ་རྙེད་པ་མ་ལགས། ||| “Father, given that phenomena are completely isolated and do not have the characteristic of being involved in creation, those who do not give rise to the mind set on unsurpassed and supreme awakening are not being compassionate toward all sentient beings.
རྒྱ་ཆེན་པོ་ལ་མོས་པའི་དགེ་བའི་བཤེས་གཉེན་ལ་སྟེན་པ་མ་ལགས་ཏེ། ཕྱིས་འགྱོད་པར་འགྱུར་བའོ། ། ||| They do not attend to virtuous friends dedicated to the vast approach and they will feel regret in the future.
ཡབ་སྐྱོན་མེད་པ་ལ་ཞུགས་ཏེ་རྒྱུད་ཚིག་ཅིང་ས་བོན་ཚིག་སྟེ། ||| Father, they are submerged in the faultless, their mental continuum is burned, and their seed is burned.
ཐེག་པ་ཆེན་པོའི་སྣོད་དུ་མ་གྱུར་པ་ལ་ད་བགྱིར་ཅི་མཆིས། ||| They are not proper vessels for the Great Vehicle. What can be done?”
བསྟན་པ་འདི་བཤད་པ་ན་སུམ་ཅུ་རྩ་གསུམ་རིས་ཀྱི་ལྷའི་བུ་ལས་ལྷའི་བུ་སྟོང་ཐམ་པས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ། ||| When this teaching was given, one thousand gods among the gods of the Heaven of the Thirty-Three gave rise to the mind set on unsurpassed and supreme awakening.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ལྷའི་བུ་འོད་ཟེར་སྲུང་གིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then, the divine son Guardian of Light Rays said,
བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་ཀྱི་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་དཀའ་བ་སྤྱད་པ་བརྒྱ་སྟོང་ཕྲག་ཇི་སྙེད་པ་བཅོམ་ལྡན་འདས་སྔོན་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་པ་ན་བསྟར་བ་ནི་བདག་ལ་མངོན་སུམ་དུ་གྱུར་ཏོ། ། ||| “Blessed One, all the hundreds of thousands of bodhisattva acts and hardships that the Blessed One engaged in when he was practicing bodhisattva conduct in the past have become evident to me.
བཅོམ་ལྡན་འདས་བཅོམ་ལྡན་འདས་སྔོན་བྱང་ཆུབ་སེམས་དཔར་གྱུར་པ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མར་མེ་མཛད་ལས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པའི་བཟོད་པ་ཐོབ་པ་དེ་ལ་འཇུག་པའི་རྣམ་པར་དབྱེ་བ་བསྟན་པ་ཅུང་ཟད་ཅིག་བཅོམ་ལྡན་འདས་ཀྱིས་བཤད་དུ་གསོལ། ||| Blessed One, please disclose a few details of how the Blessed One trained as a bodhisattva under the Thus-Gone One, the worthy one, the perfect Buddha Dīpaṃkara and how he attained acceptance of the unborn nature of phenomena.
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པ་གང་བདག་གིས་ཐོས་ནས་དེ་བཞིན་ཉིད་དུ་བསྒྲུབས་པས་ཆོས་དེ་འཐོབ་པར་འགྱུར། ||| Blessed One, after hearing about this acceptance of the unborn nature of phenomena attained by the bodhisattva, I will accomplish it in the same way and thereby attain that quality!”
བཅོམ་ལྡན་འདས་ཀྱིས་ལྷའི་བུ་འོད་ཟེར་སྲུང་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| replied the Blessed One,
འོད་ཟེར་སྲུང་བྱང་ཆུབ་སེམས་དཔའ་དགེ་བའི་རྩ་བ་མ་བསྐྲུན་པ་རྣམས་ཀྱིས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་མི་འགྱུར་གྱིས། ||| “Guardian of Light Rays,” “bodhisattvas who have not generated roots of virtue will not reach acceptance of the unborn nature of phenomena, but
བྱང་ཆུབ་སེམས་དཔའ་དགེ་བའི་རྩ་བ་བརྟན་པ་རྣམས་ཀྱིས་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་འགྱུར་རོ། ། ||| bodhisattvas who possess stable roots of virtue will reach this acceptance.
འོད་ཟེར་སྲུང་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་རབ་ཏུ་ཐོབ་པར་འགྱུར་རོ། ། ||| Guardian of Light Rays, if bodhisattvas possess four qualities, they will reach acceptance of the unborn nature of phenomena.
བཞི་གང་ཞེ་ན་འདི་ལྟ་སྟེ། ||| What are those four?
སངས་རྒྱས་མཉམ་པ་ཉིད་དང་། ཆོས་མཉམ་པ་ཉིད་དང་། དགེ་འདུན་མཉམ་པ་ཉིད་དང་། ཞིང་མཉམ་པ་ཉིད་དེ་ ||| They are (1) realizing the sameness of the buddhas, (2) realizing the sameness of the Dharma, (3) realizing the sameness of the Saṅgha, and (4) realizing the sameness of the buddha realms.
