ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Omniscient One!
དེའི་མཚན་བཟུང་བ་ཉིད་ཀྱིས་ལྷའི་དབང་པོར་འགྱུར་རོ། ། ||| By calling them by their names, one will become the lord of the gods.
འཇིག་རྟེན་གྱི་ཁམས་ཟླ་བ་ན་དེ་བཞིན་གཤེགས་པ་ཟླ་བ་རྒྱས་པ་དྲི་མ་མེད་པ་ཞེས་བྱ་བ་ཡོད་དེ། ||| “In the world system called Moon abides the Tathāgata called Stainless Full Moon.
དེའི་མཚན་བཟུང་ཞིང་མཆོད་པས་ཉོན་མོངས་པ་ཐམས་ཅད་ལས་ཡོངས་སུ་གྲོལ་བར་འགྱུར་རོ། ། ||| By calling him by his name and worshipping him, one will be completely liberated from all defilements.
འཇིག་རྟེན་གྱི་ཁམས་ཁྱད་པར་ཐོབ་པ་ན་དེ་བཞིན་གཤེགས་པ་ངན་འགྲོ་ཐམས་ཅད་ཞི་བར་མཛད་པ་ཞེས་བྱ་བ་ཡོད་དེ། ||| In the world system called Excellent Attainment abides the Tathāgata called Pacifier of All Negative Forms of Existence.
དེའི་མཚན་བཟུང་ཞིང་མཆོད་པས་ངན་འགྲོ་ཐམས་ཅད་ལས་གྲོལ་བར་འགྱུར་རོ། ། ||| By calling him by his name and worshipping him, one will be liberated from negative forms of existence.
འཇིག་རྟེན་གྱི་ཁམས་ལེགས་པར་སྣང་བ་ན་དེ་བཞིན་གཤེགས་པ་སེམས་ཅན་ཐམས་ཅད་སྡུག་པར་མཐོང་བ་ཞེས་བྱ་བ་ཡོད་དེ། ||| In the world system called Perfect Light abides the Tathāgata called He Who Looks at All Beings with Love.
དེའི་མཚན་བཟུང་ཞིང་མཆོད་པས་འཇིག་རྟེན་པ་ཐམས་ཅད་མངོན་པར་དགའ་བར་འགྱུར་རོ། ། ||| By calling him by his name and worshipping him, all worldly beings will be completely delighted.
རིགས་ཀྱི་བུ་མདོར་ན་དེ་བཞིན་གཤེགས་པ་དགའ་བའི་དཔལ་དང་། དེ་བཞིན་གཤེགས་པ་ཙན་དན་གྱི་དཔལ་དང་། དེ་བཞིན་གཤེགས་པ་དཔའ་བོ་དང་། དེ་བཞིན་གཤེགས་པ་བདུད་ཐམས་ཅད་ཀྱི་སྟོབས་རབ་ཏུ་འཇོམས་པ་དང་། དེ་བཞིན་གཤེགས་པ་གཙུག་པུད་ཅན་དང་། དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་སྐྱོབ་དང་། དེ་བཞིན་གཤེགས་པ་ལོག་པར་དད་སེལ་དང་། དེ་བཞིན་གཤེགས་པ་གསེར་ཐུབ་དང་། དེ་བཞིན་གཤེགས་པ་འོད་སྲུང་དང་། རྒྱལ་པོ་ཆེན་པོ་དེ་བཞིན་གཤེགས་པ་དེ་དག་མྱ་ངན་ལས་འདས་ནས་ལོ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ལོན་པའམ། མྱ་ངན་ལས་འདས་ནས་བསྐལ་པ་བརྒྱ་ལོན་པའི་ ||| “Son of noble family, in a word, even if a sextillion years or a hundred eons have passed since the tathāgatas Ānandaśrī, Candanaśrī, Hero, Subjugator of All Demon Forces, Śikhin, Viśvabhū, Krakucchanda, Kanakamuni, and Kāśyapa have manifested nirvāṇa, great king,
སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་མཚན་བཟུང་བ་དང་། རིང་བསྲེལ་གྱི་མཆོད་རྟེན་བྱེད་དུ་འཇུག་པ་དང་། རི་མོ་དང་སྐུ་གཟུགས་བྱེད་དུ་འཇུག་པ་དང་། མར་མེ་དང་། སྤོས་དང་། མེ་ཏོག་དང་། དྲི་དང་བྱུག་པ་རྣམས་ཀྱིས་མཆོད་ཅིང་བཀུར་སྟི་བྱས་པ་དང་། བསླབ་པ་འཛིན་དང་། བརྟུལ་ཞུགས་དང་། དཀའ་ཐུབ་དང་། སྡོམ་པ་དང་། ཉེ་བར་གནས་པ་རྣམས་ཀྱིས་སེམས་ཅན་ཐམས་ཅད་ངན་སོང་དང་། ངན་འགྲོ་ཐམས་ཅད་ལས་ཡོངས་སུ་གྲོལ་བར་འགྱུར་རོ། ། ||| all beings will be liberated from negative rebirths and negative forms of existence by calling the names of these buddhas; by having relic stūpas, drawings, and representations made; by worshipping and honoring them with lamps, incense, flowers, and perfume; and by maintaining the training, way of life, austerities, discipline, and fasting.
བསྐལ་པར་གནས་པའི་ལས་ཀྱི་སྒྲིབ་པ་མཚམས་མེད་པ་ལྔ་ལ་སོགས་པ་ཡང་ཡོངས་སུ་དག་པར་འགྱུར་ཏེ། ||| “Karmic obscurations that remain for eons, such as those stemming from the five actions with immediate results, will be purified.
བདེ་འགྲོར་འགྲོ་བར་འགྱུར་ཞིང་ངན་འགྲོར་འགྲོ་བར་མི་འགྱུར་བ་ནས། ||| One will pass to pleasant forms of existence and not to negative ones, and
རིམ་གྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་བར་དུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ། ། ||| one will gradually, fully, and completely awaken to unsurpassable, complete, and perfect awakening.
གལ་ཏེ་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་དད་པ་དང་བྱང་ཆུབ་ཀྱི་སེམས་དྲན་པ་ཉམས་པ་ཞིག་གིས་སྡིག་པ་བྱེད་པ་དང་། དམ་པའི་ཆོས་སྤོང་བ་དང་། འཕགས་པ་དག་ལ་སྐུར་པ་འདེབས་པ་དང་། མཚམས་མེད་པ་ལྔ་བྱེད་པ་དང་། སྲོག་གཅོད་པ་དང་། དཀོན་མཆོག་གསུམ་གྱི་ནོར་རྐུ་བ་དང་། སེམས་ཅན་དམྱལ་བ་མནར་མེད་པར་འགྲོ་བ་དང་། ངན་སོང་གསུམ་དུ་སྐྱེས་པའི་སེམས་ཅན་རྣམས་ཀྱི་དོན་དང་། གྲོགས་པོ་དང་གཉེན་རྣམས་ཡོངས་སུ་ཐར་བར་བྱ་བའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་དེ་དག་གི་རི་མོའི་སྐུ་གཟུགས་དང་། འཇིམ་པའི་སྐུ་གཟུགས་བྱེད་དུ་འཇུག་ཅིང་། བྱེད་དུ་བཅུག་ནས་ ||| “Suppose that sons or daughters of noble family with a feeble recollection of faith and bodhicitta commission drawings or clay statues of those tathāgatas. Suppose they do so to liberate friends and relatives, and for the sake of beings who engage in negative actions, abandon the noble Dharma, denigrate the noble ones, commit the five actions with immediate results, take a life, steal the wealth of the Three Jewels, go to the Avīci hell, or take birth in the three negative forms of existence. And suppose that once they have commissioned the drawings or statues,
ཀྱང་སེམས་ཅན་ཐམས་ཅད་ལ་སྙིང་རྗེ་བའི་སེམས་གཙོ་བོར་བྱས་ཏེ ||| they focus principally on generating compassion toward all these beings and
འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་དང་ལྡན་པར་གྱུར་ནས་ ||| adopt the noble eightfold path.
ཟླ་བ་ཡར་གྱི་ཚེས་བརྒྱད་ནས་བརྩམས་ཏེ་བཅོ་ལྔའི་བར་དུ་དེ་བཞིན་གཤེགས་པ་དེ་དག་ལ་མེ་ཏོག་དང་། སྤོས་དང་། དྲི་དང་། ཕྲེང་བ་དང་། བྱུག་པ་དང་། མར་མེ་དང་། སིལ་སྙན་དང་། རྒྱལ་མཚན་དང་། བ་དན་རྣམས་ཀྱིས་མཚན་ལན་གསུམ་ཉིན་ལན་གསུམ་དུ་མཆོད་དེ ||| And then suppose they worship the tathāgatas three times in the night and three times in the day with flowers, incense, perfume, garlands, salves, lamps, cymbals, royal banners, and flags, from the eighth day of the waxing moon until the fifteenth.
སེམས་ཅན་དེ་དག་ཐར་པར་བྱ་བའི་ཕྱིར་ཅི་ནས་ཀྱང་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་དེ་བཞིན་གཤེགས་པའི་ཡེ་ཤེས་ཀྱིས་ནི་མཁྱེན། ||| “Now, in order to liberate beings, the buddhas, the blessed ones, know with their tathāgatas’ gnosis,
ལྷའི་སྙན་གྱིས་ནི་གསན། ||| hear with their divine ear,
ལྷའི་སྤྱན་གྱིས་ནི་གཟིགས་ཤིང་ ||| and see with their divine eye,
སེམས་ཅན་དེ་དག་བདེ་འགྲོར་འགྲོ་བར་འགྱུར་གྱི་ངན་འགྲོར་འགྲོ་བར་མི་འགྱུར་བ་དང་། ལེགས་པར་བྱ་བ་བྱེད་ཀྱི་ངན་པར་བྱ་བ་མི་བྱེད་པར་ཡོངས་སུ་བསྔོ་ཞིང་། དེ་ལྟར་སེམས་ཅན་ངན་སོང་དུ་སྐྱེས་པ་དེ་དག་ཐར་པར་བགྱི་བའི་སླད་དུ་དེ་བཞིན་གཤེགས་པ་དེ་དག་ལ་གསོལ་བ་གདབ་བོ། ། ||| [so when sons or daughters of noble family] dedicate their merit so that such beings will pass to pleasant forms of existence and accomplish wholesome deeds instead of negative ones, in order to liberate the beings born in negative forms of existence, they should supplicate the tathāgatas.
བཤགས་པ་དང་མཐོལ་བས་སྡིག་པ་བསྲབས་པར་གྱུར་ཅིག ། ||| ‘May negative actions be attenuated through confessing and acknowledging faults!
དེ་བཞིན་གཤེགས་པའི་མཚན་ཐོས་པར་གྱུར་ཅིག ། ||| May the names of the tathāgatas be heard!
ངན་འགྲོ་ཐམས་ཅད་ལས་ཡོངས་སུ་གྲོལ་བར་གྱུར་ཅིག ། ||| May beings be liberated from all negative forms of existence!
ཇི་སྲིད་དུ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་སངས་མ་རྒྱས་ཀྱི་བར་དུ་བདག་གི་སྤྱོད་པ་དང་འཐུན་པར་སྤྱོད་པར་གྱུར་ཅིག་ཅེས་དེ་ལྟར་ཡོངས་སུ་བསྔོ་བར་བྱའོ། ། ||| Until they fully and perfectly awaken to unsurpassable, complete, and perfect awakening, may their conduct be in accordance with that of Mañjuśrī himself!’ They should dedicate their merit in this way:
ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཡང་བྲིས་པ་དང་། འདྲིར་བཅུག་པ་དང་། བཅངས་པ་དང་། བཀླག་པ་དང་། མཆོད་པ་དེའི་ཕྱིར་སྔོན་གྱི་དེ་བཞིན་གཤེགས་པ་དེ་དག་གི་སྨོན་ལམ་གྱི་མཐུས་སེམས་ཅན་མནར་མེད་པར་འགྲོ་བ་དང་། ངན་སོང་གསུམ་དུ་སྐྱེས་པ་དེ་དག་གི་རྣ་བར་མཚན་རྣམས་ཐོས་པར་འགྱུར་རོ། ། ||| “Moreover, if one copies the different teachings of the Dharma or commissions this activity, keeps them in mind, recites them, and worships them, then due to the power of the aspiration of the past tathāgatas, the names of the buddhas will reach the ears of beings born in Avīci hell and in the three negative forms of existence.
ཆོས་ཀྱི་རྣམ་གྲངས་འདིའི་མཐུས་ཀྱང་སྡིག་པ་ཐམས་ཅད་བསྲབས་པར་འགྱུར་རོ། ། ||| “In addition, through the power of these different methods of the Dharma, all negative actions will be attenuated.
དེ་བཞིན་གཤེགས་པ་དེ་དག་གི་གཟི་བརྗིད་ཀྱི་མཐུ་དང་། ཆོས་ཀྱི་རྣམ་གྲངས་འདིའི་མཐུས་དགེ་བ་དང་མི་དགེ་བའི་ལས་རྗེས་སུ་དྲན་པར་གྱུར་ནས་ ||| Through the power of the tathāgatas’ majesty and their various Dharma discourses, one will be aware of wholesome and unwholesome actions.
ཕྱིས་སྡིག་པའི་ལས་བྱེད་པར་མི་འགྱུར་ཏེ ||| Thus one will subsequently not commit negative actions.
དེ་ནས་སྡུག་བསྔལ་དེ་དག་ལས་ཡོངས་སུ་གྲོལ་བར་འགྱུར་ཞིང་བདེ་འགྲོར་འགྲོ་བར་འགྱུར་རོ། ། ||| One will then be liberated from the various kinds of suffering and pass to pleasant rebirths.
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ཀྱི་བར་དུ་སྤྱོད་པ་འཐུན་པར་འགྱུར་རོ། ། ||| Until one reaches unsurpassable, complete, and perfect awakening, the state of truly perfect awakening, one’s actions will be conducive to it.
དེ་ལྟ་བས་ན་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ནི་ཡོན་ཏན་མང་པོ་དང་ལྡན་ཞིང་ནོར་བུ་རིན་པོ་ཆེ་ཆེན་པོ་དང་འདྲ་སྟེ། ||| “Thus, these Dharma discourses are endowed with many positive properties. They are like the great maṇi jewel.
ཡིད་བཞིན་གྱི་ནོར་བུ་རིན་པོ་ཆེ་བཞིན་དུ་བསམ་པ་ཐམས་ཅད་འགྲུབ་སྟེ། ||| Just like the great maṇi jewel, the wish-fulfilling jewel, they accomplish all wishes.
སྡིག་པ་ཐམས་ཅད་འཇོམས་པར་བྱེད། ||| All negative actions are subjugated.
ངན་འགྲོའི་སྒོ་ཐམས་ཅད་གཅོད་པར་བྱེད་བདེ་འགྲོའི་སྒོ་དང་། སངས་རྒྱས་ཀྱི་ཞིང་གི་སྒོ་རྣམས་ནི་འབྱེད་དོ། ། ||| All gates to the negative forms of existence are closed. All gates to the pleasant forms of existence and the buddhas’ realms are opened.
རིགས་ཀྱི་བུ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་ཐབས་མཁས་པ་དང་། སྨོན་ལམ་དང་། རྣམ་པར་འཕྲུལ་པ་དང་། བྱིན་གྱི་རླབས་དང་། ཏིང་ངེ་འཛིན་སྣ་ཚོགས་པས་མྱ་ངན་ལས་འདས་ནས་བསྐལ་པ་བརྒྱ་ལོན་པ་འཇིག་རྟེན་གྱི་ཁམས་སྣ་ཚོགས་ན་གནས་པ་དག་མཉན་ཅིང་མཆོད་པ་གཅིག་ནས་གཅིག་ཏུ་བརྒྱུད་པ་ཉིད་ཀྱིས་ངན་སོང་ཐམས་ཅད་ལས་ཡོངས་སུ་ཐར་ཏེ་བདེ་འགྲོར་བཀོད་པར་འགྱུར་ན ||| “So, son of noble family, owing to the tathāgatas’ various skillful means, aspirations, extraordinary transformations, sovereign power, and states of concentration, one will pass to pleasant forms of existence and be liberated from all negative ones by continuously listening to and worshipping those who have remained in the various world systems, even if a hundred eons have passed since the tathāgatas’ nirvāṇa.
གང་འཆང་བ་དང་། ཀློག་པ་དང་། འདྲི་བ་དང་། འདྲིར་གཞུག་པ་དང་། གཞན་ལ་རྒྱ་ཆེར་ཡང་དག་པར་སྟོན་པ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས་ཏེ། ||| Therefore, what need is there to mention the importance of keeping in mind the Dharma, reading it, copying it or commissioning this action, or accurately teaching it in a detailed way to others?
ཡོན་ཏན་དེ་དག་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོས་ཡོངས་སུ་བཟུང་བར་འགྱུར་ན། ||| Suppose a son or daughter of noble family comes to possess this excellent quality.
དེའི་བསོད་ནམས་མངོན་པར་འདུ་བྱ་བ་དང་། དགེ་བའི་རྩ་བ་མངོན་པར་འདུ་བྱ་བའི་ཡོན་ཏན་དེ་ནི་དེ་བཞིན་གཤེགས་པ་མ་གཏོགས་པར་བརྗོད་པར་སླ་བ་མ་ཡིན་ནོ། ། ||| Except for the tathāgatas, no one could easily express the excellent quality of that being’s accumulation of merit and of his or her roots of virtue.
རྒྱལ་པོ་ཆེན་པོ་དེ་ལྟ་བས་ན་ཡོན་ཏན་འདི་དག་ལ་ལྟོས་ལ་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཅང་བར་བྱའོ། ། ||| “Great king, you should thus rely on this excellent quality and keep in mind the various Dharma discourses.
བཀླག་པར་བྱའོ། ། ||| You should read them.
བཤད་པར་བྱའོ། ། ||| You should explain them.
མཆོད་པར་བྱའོ། ། ||| You should worship them.
དཀོན་མཆོག་གསུམ་ལ་དད་པ་མི་ཕྱེད་པར་བྱའོ། ། ||| You should make your faith in the Three Jewels integral to you.
དེ་བཞིན་གཤེགས་པ་ལ་རྟག་ཏུ་མཆོད་ཅིང་བསྙེན་བཀུར་བྱ་བ་དང་། དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ཡང་དག་པར་གཟུང་བར་བྱའོ། ། ||| You should always worship and venerate the tathāgatas and correctly grasp their teachings.
འཁོར་བ་ལས་ཡིད་སྐྱོ་ཞིང་བག་ཡོད་པ་དང་། འཁོར་བ་སྐད་ཅིག་མར་ཡིད་ལ་བྱེད་པ་དང་ལྡན་པར་བྱའོ། ། ||| Being repulsed by saṃsāra, you should be vigilant and focus your thoughts on its momentariness.
ཡང་རྒྱལ་པོ་ཆེན་པོ་འདོད་པ་ལ་བསྟེན་པས་བསྐལ་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མར་སྡུག་བསྔལ་བ། སྐྱེ་བ་དང་འགག་པའི་སྡུག་བསྔལ་དང་། མངལ་ན་གནས་པའི་སྡུག་བསྔལ་དང་། སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་དང་། གཤིན་རྗེའི་འཇིག་རྟེན་གྱི་སྡུག་བསྔལ་དང་། དབུལ་བའི་སྡུག་བསྔལ་དང་། གཅད་པ་དང་། གཞོམ་པ་དང་། བརྡུང་བ་དང་། བརྡེག་པ་དང་། བསྲེག་པའི་སྡུག་བསྔལ་མྱོང་བར་འགྱུར་ཏེ ||| Moreover, great king, the pursuit of their desires keeps beings in a state of suffering for sextillions of eons. That is, they will experience the suffering of arising and cessation, the suffering of being in the womb, the suffering of rebirth as a hell being or an animal, or the suffering of the world of Yama, the suffering of poverty, and the suffering of being cut, bruised, beaten, struck, and burnt.
འདུ་བྱེད་ཐམས་ཅད་ཡོངས་སུ་སྤངས་ཏེ། ||| [Therefore, you should proceed to] abandon all conditioned phenomena.
འགྲོ་དགོས་པས་རྒྱལ་པོ་ཆེན་པོ་ཁྱོད་ཀྱིས་སྙིང་བརྩེ་བ་གཙོ་བོར་བྱ་བ་དང་། ཆོས་དང་ཐར་པ་འདོད་པར་བྱའོ། ། ||| Therefore, you should proceed [to abandon all conditioned phenomena]. Great king, you should give priority to compassion and long for the Dharma and liberation.”
དེ་ནས་ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་དང་། རྒྱལ་པོ་གསལ་རྒྱལ་གྱིས་འཇམ་དཔལ་ལ་ལེགས་སོ། །ཞེས་བྱ་བ་བྱིན་ཏེ། ||| King Prasenajit, together with his entire retinue, said to Mañjuśrī, “[Mañjuśrī,] this is excellent, [most excellent!]
འཇམ་དཔལ་ལེགས་སོ་ལེགས་སོ། ། ||| “Mañjuśrī, this is excellent, most excellent!
ཆོས་ཀྱི་ཆར་ཕབ་པས་བདག་ཅག་ཚིམ་པར་བགྱིས་རངས་པར་བགྱིས། ||| By bringing down the rain of the Dharma, you have made us content and happy.
བྱང་ཆུབ་ལ་རབ་ཏུ་བཞག་པས་བག་ཡོད་པར་བགྱིས་སོ། ། ||| As we have set out upon the state of awakening, you have made us vigilant.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་ལྟད་མོ་ཅན་གྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| An eager bodhisattva then asked the Blessed One,
བཅོམ་ལྡན་འདས་གང་ལ་ལ་ཞིག་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཆང་བ་དང་། ཀློག་པ་དང་། གཞན་དག་ལ་རྒྱ་ཆེར་ཡང་དག་པར་སྟོན་པ་དང་། འདྲི་བ་དང་། འདྲིར་འཇུག་པ་དང་། འདྲི་བ་པོ་དང་། འཆང་བ་པོ་དང་། ཀློག་པ་པོ་དེ་དག་ལ་མེ་ཏོག་དང་། སྤོས་དང་། དྲི་དང་། ཕྲེང་བ་དང་། བྱུག་པ་དང་། གོས་དང་། རྒྱན་རྣམས་ཀྱིས་མཆོད་ན་ ||| “Blessed One, suppose someone adopts the various teachings of the Dharma, reads them, teaches them in detail to others, copies them or commissions their copying, and honors those who copy, adopt, and recite the teachings with flowers, incense, perfume, garlands, salves, garments, and ornaments.
བཅོམ་ལྡན་འདས་དེའི་བསོད་ནམས་ཇི་སྙེད་ཅིག་སྐྱེ་བར་འགྱུར། ||| How much would the merit of this person increase, Blessed One?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
གང་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོའམ། རྒྱལ་པོའམ། བློན་པོའམ། དགེ་སློང་ངམ། དགེ་སློང་མའམ། དགེ་བསྙེན་ནམ། དགེ་བསྙེན་མ་ལ་ལ་ཞིག་གིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་དེ་བཞིན་གཤེགས་པ་ལ་དད་པས་བཅངས་པ་དང་། མཆོད་པ་དང་། འདྲི་བ་དང་། འདྲིར་འཇུག་པ་དང་། ཡང་དག་པར་བསྟན་ན་ ||| “If sons or daughters of noble family, kings, ministers, monks, nuns, male lay vow holders, or female lay vow holders keep in mind the various teachings of the Dharma with faith in the Tathāgata, worship them, copy them or commission their copying, and teach them correctly,
དེས་ཡོན་ཏན་ཆེན་པོ་བརྒྱད་ཐོབ་པར་འགྱུར་ཏེ ||| they will attain the eight great qualities.
བརྒྱད་གང་ཞེ་ན། ||| What are those eight great qualities?
གང་དག་འཇིག་རྟེན་ན་ནད་དང་གནོད་པ་དེ་དག་དེ་ལ་ཐམས་ཅད་ཀྱི་ཐམས་ཅད་དུ་མི་འབྱུང་བ་དང་། ||| None of the diseases or harm in the world will affect them at all.
གང་འཇིག་རྟེན་ན་གནོད་སྦྱིན་དང་། འབྱུང་པོ་དང་། ཤ་ཟ་མདངས་འཕྲོག་པ་དེ་དག་ཐམས་ཅད་བྱམས་པ་ལ་གནས་པར་འགྱུར་བ་དང་། ||| All yakṣas, bhūtas, and piśācas who rob people of their radiance will abide in loving-kindness.
གང་དག་གཤེད་བྱེད་དང་། བྱད་དང་། སྔགས་དང་། རོ་ལངས་གཞན་གྱི་གནོད་པ་དེ་དག་དེའི་ལུས་ལ་གནོད་པར་མི་འགྱུར་བ་དང་། ||| No harmful influences from kṛtyās, kākhordas, spell-casters, or vetālas will injure their body.
རྒྱལ་པོ་དང་། བློན་པོ་དང་། བྲམ་ཟེ་དང་། ཁྱིམ་བདག་དང་། དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་ཐམས་ཅད་དེ་ལ་དགའ་ཞིང་མགུ་བར་གྱུར་ནས་ ||| Having pleased all the kings, ministers, brahmins, householders, monks, nuns, and male and female lay vow holders,
དེའི་དོན་ཐམས་ཅད་འགྲུབ་པར་འགྱུར་བ་དང་། ||| they will accomplish all aims.
ལྷ་ཐམས་ཅད་ཀྱིས་ཡོངས་སུ་གང་བར་འགྱུར་བ་དང་། ||| All the gods will congregate before them.
བདེ་འགྲོར་འགྲོ་བར་འགྱུར་བ་དང་། ||| They will pass to pleasant forms of existence.
ལག་ན་རྡོ་རྗེས་ཡོངས་སུ་བཟུང་བར་འགྱུར་བ་དང་། ||| They will be accepted by Vajrapāṇi.
ཇི་ལྟར་འདོད་པའི་གནས་སུ་སྐྱེ་ཞིང་ཚེ་རབས་དྲན་པར་འགྱུར་བ་སྟེ། ||| They will be born wherever they might wish and will remember the succession of their former lives.
ཡོན་ཏན་ཆེན་པོ་དེ་བརྒྱད་ཐོབ་པར་འགྱུར་རོ། ། ||| In this way those sons or daughters of noble family, and the others, will attain the eight great qualities.
དེས་ནི་དེ་བཞིན་གཤེགས་པ་འདི་དག་ལ་དེ་བཞིན་གཤེགས་པའི་ལྷའི་མཆོད་པ་དང་། མངོན་སུམ་དུ་མཆོད་པས་ལོ་འབུམ་གྱི་བར་དུ་མཆོད་པར་འགྱུར་རོ། ། ||| Thus, for one hundred thousand years they will venerate these tathāgatas with the divine and manifest offerings meant for a tathāgata.
གང་ཡང་འཛམ་བུའི་གླིང་འདི་དེ་བཞིན་གཤེགས་པའི་རིང་བསྲེལ་གྱི་མཆོད་རྟེན་རིན་པོ་ཆེ་སྣ་བདུན་ལས་བྱས་པས་གང་བར་བྱས་ཏེ། ||| “Suppose someone were to fill Jambudvīpa with tathāgatas’ relic stūpas made of the seven precious substances, and then
ལྷའི་ཕྲེང་བ་དང་། བྱུག་པ་དང་། མེ་ཏོག་དང་། མར་མེ་དང་། རིན་པོ་ཆེའི་གདུགས་དང་། སིལ་སྙན་དང་། རྒྱལ་མཚན་དང་། བ་དན་རྣམས་ཀྱིས་ལོ་འབུམ་དུ་བཀུར་སྟི་བྱས་ཏེ་ ||| venerate, revere, and worship them for one hundred thousand years with divine garlands, salves, flowers, lamps, precious umbrellas, cymbals, royal banners, and flags—
རྗེད་ཅིང་མཆོད་པ་བས་གང་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཆང་བ་དང་། ཀློག་པ་དང་། མཆོད་པ་དང་། འདྲི་བ་དང་། འདྲིར་འཇུག་པ་དང་། གཞན་དག་ལ་ཡང་དག་པར་རབ་ཏུ་བསྟན་ན་ ||| [compared to such a person,] someone who keeps in mind the various teachings of the Dharma with faith in the Tathāgata and who reads them, worships them, copies them or commissions their copying, and teaches them correctly to others [will have a vastly greater increase in merit].
དེ་བས་འདི་ཆེས་བསོད་ནམས་མང་དུ་འཕེལ་ལོ། ། ||| compared to such a person, [someone who keeps in mind the various teachings of the Dharma with faith in the Tathāgata and who reads them, worships them, copies them or commissions their copying, and teaches them correctly to others] will have a vastly greater increase in merit.
རིགས་ཀྱི་བུ་གང་ལ་ལ་ཞིག་གིས་འཛམ་བུའི་གླིང་གི་སེམས་ཅན་དེ་དག་འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པ་ལ་གཞོག་ཅིང་། བཞག་ནས་ཀྱང་ ||| Son of noble family, suppose someone were to set the beings of Jambudvīpa on the noble eightfold path and, after having done so,
ལྷའི་ལོ་སྟོང་དུ་ཡོ་བྱད་ཐམས་ཅད་ཀྱིས་མི་བྲེལ་བར་རྗེད་ཅིང་མཆོད་པ་བས། ||| venerated and worshipped the Tathāgata for a hundred thousand divine years with all the necessities of life there might be—
གང་གིས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལས་ཚིག་བཞི་པའི་ཚིགས་སུ་བཅད་པ་ཙམ་ཡང་ཉན་པ་དང་། འཆང་བ་དང་། འདྲི་བ་དང་། འདྲིར་འཇུག་པ་དང་། གཞན་ལ་རྒྱས་པར་བྱེད་ན་ ||| [compared to such a person,] someone who listens to just one four-line stanza drawn from the various teachings of the Dharma, keeps it in mind, copies it or commissions it to be copied, and promulgates it to others [will have a vastly greater increase in merit.]”
དེ་བས་འདི་ཆེས་བསོད་ནམས་མང་དུ་འཕེལ་ལོ། ། ||| compared to such a person, [someone who listens to just one four-line stanza drawn from the various teachings of the Dharma, keeps it in mind, copies it or commissions it to be copied, and promulgates it to others] will have a vastly greater increase in merit.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དོན་འདི་ཉིད་རྒྱ་ཆེར་བརྗོད་པར་བྱ་བའི་ཕྱིར་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསུངས་སོ། ། ||| When the Blessed One had explained in detail the significance of the various teachings of the Dharma, he then spoke the following verses:
