ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| I prostrate to the All-Knowing One.
ཁ་ཅིག་གིས་ནི་རྒྱུན་དུ་ཞུགས་པའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱས་སོ། ། ||| Some manifested the resultant state of stream entry.
ཁ་ཅིག་གིས་ནི་ལན་ཅིག་ཕྱིར་འོང་བའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱས་སོ། ། ||| Some manifested the resultant state of once-return.
ཁ་ཅིག་གིས་ནི་ཕྱིར་མི་འོང་བའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱས་སོ། ། ||| Some manifested the resultant state of non-return.
ཁ་ཅིག་གིས་ནི་རབ་ཏུ་བྱུང་ནས་དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བྱས་སོ། ། ||| Some went forth and manifested arhatship.
ཁ་ཅིག་གིས་ནི་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོར་འགྱུར་བའི་ས་བོན་བསྐྱེད་དོ། ། ||| Some sowed the seeds to become universal monarchs,
ཁ་ཅིག་གིས་ནི་སྟོབས་ཀྱི་འཁོར་ལོས་སྒྱུར་བ་དང་། ||| some to become great universal monarchs,
ཁ་ཅིག་གིས་ནི་བརྒྱ་བྱིན་དུ་འགྱུར་བ་དང་། ||| some to become Indra,
ཁ་ཅིག་གིས་ནི་ཚངས་པར་འགྱུར་བ་དང་། ||| some to become Brahmā,
ཁ་ཅིག་གིས་ནི་ཉན་ཐོས་ཀྱི་བྱང་ཆུབ་དང་། ||| some for the enlightenment of the listeners,
ཁ་ཅིག་གིས་ནི་རང་སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་དང་། ||| some for the enlightenment of the solitary buddhas,
ཁ་ཅིག་གིས་ནི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་ས་བོན་བསྐྱེད་དོ། ། ||| and some for unexcelled, total, and complete enlightenment.
འཁོར་དེ་དག་གི་ནང་ནས་ཕལ་ཆེར་ནི་སངས་རྒྱས་ལ་གཞོལ། ཆོས་ལ་འབབ། དགེ་འདུན་ལ་བབ་པར་བྱས་ཏེ་བཀོད་ནས། གཙུག་ལག་ཁང་དུ་གཤེགས་སོ། ། ||| Among the assembled, most found themselves drawn to the Buddha, intent on the Dharma, and favoring the Saṅgha. With this accomplished, the Blessed One returned to the monastery.
དེ་ནས་དགེ་སློང་རྣམས་ཀྱིས་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་ཞུས་པ། བཙུན་པ་བྲམ་ཟེ་འདི་རྣམས་ཀྱིས་ལས་ཅི་བགྱིས་ན། ལས་དེའི་རྣམ་པར་སྨིན་པས་ཁ་ཅིག་གིས་ནི་བཅོམ་ལྡན་འདས་མཉེས་པར་བགྱིས་ཏེ། མི་མཉེས་པར་མ་བགྱིས། ||| “Lord,” the monks inquired of the Blessed Buddha, “what action did the brahmins take that ripened into some of them pleasing the Blessed One, and not displeasing him,
ཁ་ཅིག་གིས་ནི་རབ་ཏུ་བྱུང་ནས་ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ཏེ། དགྲ་བཅོམ་པ་ཉིད་དུ་མངོན་སུམ་དུ་བགྱིས་ལགས། ||| and that some of them went forth, cast away all afflictive emotions, and manifested arhatship?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་གི་གསུང་རབ་ལ། འདི་རྣམས་ལས་ཁ་ཅིག་ནི་དགེ་བསྙེན་དུ་གྱུར་ཏོ། ། ||| “Some had been lay vow holders in the teaching of the totally and completely awakened Buddha Kāśyapa.
ཁ་ཅིག་ནི་རབ་ཏུ་བྱུང་ནས་དེར་དེ་དག་གི་ཚེ་གཅིག་ཏུ་སྐྱབས་སུ་འགྲོ་བ་དང་། བསླབ་པའི་གཞི་རྣམས་བསྲུངས་ཏེ། ||| At that time some went forth, took refuge, and maintained the fundamental precepts.
དབང་པོ་རྣམས་ཡོངས་སུ་སྨིན་པར་བྱས་པ་དེས་ན། ||| As a result, their faculties ripened,
ད་ལྟར་རྣམ་པར་གྲོལ་བར་གྱུར་ཏོ།། །། ||| and now they have been liberated.”
ཁྱབ་འཇུག་ཅེས་བྱ་བ་ནི། ||| The Story of the Householder Govinda
བཅོམ་ལྡན་འདས་ཡུལ་མ་ག་དྷཱར་ལྗོངས་རྒྱུ་ཞིང་གཤེགས་པ་ན། དགེ་སློང་གི་དགེ་འདུན་མང་པོ་དགེ་སློང་སྟོང་དང་ཐབས་ཅིག་སྟེ། ཐམས་ཅད་ཀྱང་སྔོན་གྱི་རལ་པ་ཅན་ཤ་སྟག་གོ། ། ||| As the Blessed One was traveling through Magadha, he was accompanied by a saṅgha of numerous monks including the thousand monks who had all previously been the matted-hair ascetics.
དེ་དག་ཐམས་ཅད་ཀྱང་དགྲ་བཅོམ་པ། ཟག་པ་ཟད་པ། བྱ་བ་བྱས་པ། བྱེད་པ་བྱས་པ། རང་གི་དོན་རྗེས་སུ་ཐོབ་པ། སྲིད་པར་ཀུན་ཏུ་སྦྱོར་བ། ཡོངས་སུ་ཟད་པ། ཡང་དག་པའི་ཤེས་པས། སེམས་རྣམ་པར་གྲོལ་བ་ཤ་སྟག་དང་ ||| They were also all arhats who had exhausted the outflows, done what was before them, carried out their activities, subsequently fulfilled their ambitions, completely eradicated that which bound them to saṃsāra, and with right cognition liberated their minds.
ལྷན་ཅིག་ཏུ་ཡུལ་མ་ག་དྷཱར་ལྗོངས་རྒྱུ་ཞིང་གཤེགས་པ་ལས། ཡུལ་མ་ག་དྷཱ་པ་རྣམས་ཀྱི་མཆོད་རྟེན་རབ་བརྟན་ཞེས་བྱ་བ་ན་སྨྱིག་མའི་ནགས་ཁྲོད་ཀྱི་རྒྱུད་ཐོག་ཐག་གཤེགས་ནསདེའི་ཚེ་བཅོམ་ལྡན་འདས་རབ་བརྟན་དུ་བྱོན་ནས། མ་ག་དྷཱ་པ་རྣམས་ཀྱི་མཆོད་རྟེན་རབ་བརྟན་གྱི་ཕྱོགས་དེར་བཞུགས་སོ། ། ||| They made their way with him across the breadth of Forest of Reeds, proceeding directly to the stūpa of the Magadha people called Very Steady. As they arrived at the stūpa Very Steady, the Blessed One seated himself at the base of the stūpa.
དེ་ནས་ཡུལ་མ་ག་དྷཱའི་རྒྱལ་པོ་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོས། བཅོམ་ལྡན་འདས་དགེ་སློང་གི་དགེ་འདུན་མང་པོ་དགེ་སློང་སྟོང་དང་ཐབས་ཅིག་ཏུ་ཡུལ་མ་ག་དྷཱར་ལྗོངས་རྒྱུ་ཞིང་གཤེགས་ཏེ། ཡུལ་མ་ག་དྷཱ་པ་རྣམས་ཀྱི་མཆོད་རྟེན་རབ་བརྟན་ཞེས་བྱ་བ་ན། སྨྱིག་མའི་ནགས་ཁྲོད་དུ་བྱོན་ཏོ་ཞེས་ཐོས་སོ། ། ||| Bimbisāra, the king of Magadha, heard that the Blessed One and a saṅgha of numerous monks including the thousand monks had made their way across the country to arrive at the Magadha stūpa called Very Steady, near Forest of Reeds.
ཐོས་ནས་ཀྱང་རྒྱལ་པོའི་འབྱོར་པ་ཆེན་པོ་དང་། རྒྱལ་པོའི་མཐུ་ཆེན་པོ་དང་། ||| Upon hearing this, he emerged from Rājagṛha in a display of great opulence and royal power,
ཤིང་རྟ་ཁྲི་ཉིས་སྟོང་དང་། རྒོད་མ་སྟོང་བརྒྱད་བརྒྱ་དང་། ཡུལ་མ་ག་དྷཱ་ན་གནས་པའི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་སྟོང་ཕྲག་དུ་མ་དག་དང་ཐབས་ཅིག་ཏུ་རྒྱལ་པོའི་ཁབ་ནས་བྱུང་སྟེབཅོམ་ལྡན་འདས་ལ་བལྟ་བ་དང་། བཅོམ་ལྡན་འདས་ལ་བསྙེན་བཀུར་བྱ་བའི་ཕྱིར་བཅོམ་ལྡན་འདས་ཀྱི་ཐད་དུ་སོང་བ་ལས། གྲོང་ཁྱེར་གྱི་སྒོར་བྱུང་བ་ན་དེའི་མགོ་བོ་ལས་ཅོད་པན་ལྷུང་ནས ||| with two thousand chariots and 1,800 mares, accompanied by thousands upon thousands of brahmins and householders who lived in Magadha. As he was coming out of the city gates to go before the Blessed One, see him, and venerate him, the crown fell off his head,
དེ་འདི་སྙམ་དུ་སེམས་ཏེ་བདག་གིས་བཅོམ་ལྡན་འདས་བལྟ་བ་མ་ལེགས་པ་ཞིག་ཏུ་མི་འགྱུར་གྲང་སྙམ་མོ། ། ||| and the thought occurred to him, “Perhaps this bodes ill for my visit to the Blessed One?”
དེ་ནས་ལྷ་རྣམས་ཀྱིས་སྦྲན་པ། འདི་ནི་ལེགས་པར་འགྱུར་ཏེ། ||| The gods called out to him, “Good shall come of this!
ཁྱོད་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་བལྟ་བ་དང་། བཅོམ་ལྡན་འདས་ལ་བསྙེན་བཀུར་བྱ་བ་ནི་ལེགས་པར་འགྱུར་བ་ཡིན་ནོ། ། ||| Good shall come of you seeing the Blessed One and venerating him.
དེ་ལྟ་མོད་ཀྱིས་ཁྱོད་གང་དག་དང་དགེ་བའི་རྩ་བ་བསྐྲུན་པ་དེ་དག་ཁ་ཅིག་ནི་ཁྲི་མོན་དུ་བཅུག་ཅིང་འདུག ། ||| However, some of the people you have imprisoned have produced roots of virtue.
ཁ་ཅིག་ནི་ཡུལ་དག་ན་འདུག་གི །རྒྱལ་པོ་ཁྱོད་ཀྱིས་བཙོན་རྣམས་གཏང་བའི་རིགས་སོ། ། ||| It would be right for you to release these prisoners who yet remain in your country, king,
ལྗོངས་དག་ཏུ་ཡང་དྲིལ་བསྒྲགས་ཏེ། དེ་དག་དང་ལྷན་ཅིག་ཏུ་བཅོམ་ལྡན་འདས་ལ་བལྟ་བ་དང་། བསྙེན་བཀུར་བྱ་བའི་ཕྱིར་དེང་ཤིག་ཅེས་བྱས་སོ། ། ||| and proclaim throughout the country that they too should come along to see the Blessed One and venerate him.”
དེ་ནས་དེ་ཐོས་མ་ཐག་ཏུ་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོས་བཙོན་རྣམས་བཏང་ནས། ཡུལ་ན་གནས་པའི་སྐྱེ་བོ་མང་པོ་ཐམས་ཅད་བསྡུས་ཏེ། ||| No sooner had King Bimbisāra heard this than he released the prisoners, calling together all the many people who lived in his country.
སྐྱེ་བོ་ཕལ་པོ་ཆེ་དེ་དག་དང་ལྷན་ཅིག་ཏུ་ཡུལ་མ་ག་དྷཱ་པ་རྣམས་ཀྱི་མཆོད་རྟེན་རབ་བརྟན་ཞེས་བྱ་བ་ན། ||| As he was traveling in the company of this great crowd of people all the way to the Magadha stūpa called Very Steady,
སྨྱིག་མའི་ནགས་ཁྲོད་ཀྱི་རྒྱུད་ཐོག་ཐག་ཏུ་སོང་ནས། ||| near Forest of Reeds, he looked back at his assembled army.
དེས་རང་གི་དཔུང་གི་ཚོགས་རྣམས་ལ་ཕྱིར་བལྟས་ཏེ། དེས་དམག་ཚོགས་ཆེན་པོ་མཐོང་ནས་རྒྱགས་པ་སྐྱེས་ཏེ། ||| When he saw his entire army assembled he became arrogant and thought,
བྱད་གཟུགས་དང་མཐུ་དབང་ང་དང་མཚུངས་པ་མེད་དོ་སྙམ་མོ། ། ||| “No one can equal me in appearance and might.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོའི་སེམས་ཐུགས་ཀྱིས་མཁྱེན་ནས་དེ་བས་ཀྱང་ཆེས་བལྟ་ན་ ||| The Blessed One directly apprehended what King Bimbisāra was thinking,
སྡུག་པ་དང་། ཆེས་བྱད་གཟུགས་བཟང་པོའི་རྒྱལ་པོ་ལྔ་བརྒྱ་མངོན་པར་སྤྲུལ་ནསདེ་དག་ལ་ཆོས་སྟོན་ཅིང་བཞུགས་སོ། ། ||| so he emanated five hundred kings, gorgeous and statuesque, to whom he began teaching the Dharma.
དེ་ནས་ཡུལ་མ་ག་དྷཱའི་རྒྱལ་པོ་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་ནས། ||| King Bimbisāra of Magadha approached the Blessed One.
དེ་ཇི་སྲིད་བཞོན་པས་འགྲོ་བར་བྱ་བའི་ས་དེ་སྲིད་དུ་བཞོན་པ་ལ་ཞོན་ཏེ་སོང་ནས། རྒྱལ་ཐབས་རྣམ་པ་ལྔ་སྟེ། གཙུག་ཏོར་དང་། གདུགས་དང་། རལ་གྲི་དང་། ནོར་བུ་དང་། རྔ་ཡབ་རྣམས་དང་། ལྷམ་ཁྲ་བོ་རྣམས་བཞག་ནས། ||| The king went as far as he could go by vehicle and then left behind the five signs of his consecration—crown, parasol, sword, jewel, and tail fan—as well as his colorful boots,
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ། ||| and approached the Blessed One.
རྒྱལ་པོ་གཟུགས་ཅན་སྙིང་པོས་བཅོམ་ལྡན་འདས་ཀྱི་སྤྱན་སྔ་ན། རྒྱལ་པོ་ཆེས་གཟུགས་བཟང་ཞིང་ཆེས་མཛེས་པ་ལྔ་བརྒྱ་ཆོས་ཉན་ཅིང་ ||| There he saw the five hundred kings, gorgeous and statuesque, sitting before the Blessed One listening to the Dharma.
འཁོད་པ་མཐོང་ནས་དེའི་བྱད་གཟུགས་ཀྱིས་རྒྱགས་པ་གང་ཡིན་པ་དེ་མེད་པར་གྱུར་ཏོ། ། ||| When he saw them, all his arrogance about his appearance vanished,
དེ་ནས་དེ་འདི་སྙམ་དུ་སེམས་ཏེ། ||| and he thought,
གལ་ཏེ་བདག་གིས་བདག་གི་མིང་དང་རུས་ནས་མ་སྨོས་ན། བདག་བཅོམ་ལྡན་འདས་ཀྱིས་མི་དགོངས་སོ་སྙམ་ནས། ||| “If I do not state my name and my lineage, the Blessed One will take no interest in me.”
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| So he approached the Blessed One,
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ཏེ། ||| drew down the right shoulder of his upper garment,
པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ནས། ||| knelt down on his right knee,
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། ||| bowed toward the Blessed One with palms pressed together,
རང་གི་མིང་རུས་ལན་གསུམ་གྱི་བར་དུ་སྨོས་ཏེ། ||| and three times stated his name and lineage.
བཙུན་པ་བདག་ནི་ཡུལ་མ་ག་དྷཱའི་བདག་པོ་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ་ལགས་སོ། ། ||| “Lord, I am King Bimbisāra of Magadha.
བཙུན་པ་བདག་ནི་ཡུལ་མ་ག་དྷཱའི་རྒྱལ་པོ་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ་ལགས་སོ་ཞེས་བྱས་སོ། ། ||| Lord, I am King Bimbisāra of Magadha . . . .”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| Thereupon the Blessed One spoke, saying,
རྒྱལ་པོ་ཆེན་པོ་དེ་ནི་དེ་ཡིན་ཏེ། ||| “So it is, Great King.
ཁྱོད་ནི་ཡུལ་མ་ག་དྷཱའི་རྒྱལ་པོ་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ་ཡིན་ནོ། ། ||| You are King Bimbisāra of Magadha.
རྒྱལ་པོ་ཆེན་པོ་རང་གི་སྟན་གང་ཡིན་པ་ལ་འདུག་ཅིག ། ||| Please take your seat, Great King.”
དེ་ནས་ཡུལ་མ་ག་དྷཱའི་རྒྱལ་པོ་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས། ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| Then King Bimbisāra of Magadha touched his head to the Blessed One’s feet and took a seat at one side.
ཡུལ་མ་ག་དྷཱའི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་ཁ་ཅིག་ནི་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས། ||| Some of the brahmins and householders of Magadha also touched their heads to the Blessed One’s feet
ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| and took seats to one side.
ཁ་ཅིག་ནི་བཅོམ་ལྡན་འདས་དང་མངོན་སུམ་དུ་ཡང་དག་པར་དགའ་བར་འགྱུར་བ་དང་། ཡང་དག་པར་མགུ་བར་འགྱུར་བའི་གཏམ་རྣམ་པ་སྣ་ཚོགས་བྱས་ནས། ||| Some made all manner of entertaining and jovial conversation with the Blessed One
ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| and took seats to one side.
ཁ་ཅིག་ནི་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| Some bowed toward the Blessed One with palms pressed together and took seats to one side.
ཁ་ཅིག་ནི་ཐག་རིང་པོ་ཞིག་ནས། བཅོམ་ལྡན་འདས་མཐོང་ནས་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ། ||| Some saw the Blessed Buddha from a distance, and upon seeing the Blessed One, took seats to one side.
དེའི་ཚེ་ཚེ་དང་ལྡན་པ་ལྟེང་རྒྱས་འོད་སྲུང་རལ་པ་ཅན་ཡང་འཁོར་དེ་ཉིད་དུ་འདུས་ཏེ་འདུག་གོ། ། ||| At that time the dreadlocked ascetic Venerable Uruvilvā Kāśyapa was also seated among the company.
དེ་ནས་ཡུལ་མ་ག་དྷཱའི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་རྣམས་འདི་སྙམ་དུ་སེམས་ཏེ། ||| The brahmins and householders of Magadha thought,
ཅི་དགེ་སྦྱོང་ཆེན་པོ་དེ་འོད་སྲུང་གི་ཐད་ན་ཚངས་པར་སྤྱད་པ་སྤྱོད་དམ། ||| “Does the Great Ascetic practice Kāśyapa ’s code of conduct,
འོན་ཏེ་ལྟེང་རྒྱས་འོད་སྲུང་རལ་པ་ཅན་དགེ་སྦྱོང་ཆེན་པོའི་ཐད་ན་ཚངས་པར་སྤྱད་པ་སྤྱོད་ཞིག་གུ་སྙམ་མོ། ། ||| or does the dreadlocked ascetic Venerable Uruvilvā Kāśyapa practice the Great Ascetic’s code of conduct?”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡུལ་མ་ག་དྷཱའི་བྲམ་ཟེ་དང་། ཁྱིམ་བདག་རྣམས་ཀྱི་སེམས་ཐུགས་ཀྱིས་མཁྱེན་ནས། ||| The Blessed One directly apprehended what the brahmins and householders of Magadha were thinking,
ཚེ་དང་ལྡན་པ་ལྟེང་རྒྱས་འོད་སྲུང་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་པ། ||| and he addressed Venerable Kāśyapa in verse:
ལྟེང་རྒྱས་གནས་པ་ཁྱོད་ཀྱིས་ཅི་མཐོང་ན། ། ||| “Inhabitant of Uruvilvā, what do you see?
འདིར་ནི་མེ་སྤངས་དྲང་སྲོང་བརྟུལ་ཞུགས་སྤངས། ། ||| Here there is no fire, sage, or observance.
འོད་སྲུང་ཁྱོད་ཀྱིས་སྦྱིན་སྲེག་ཅིའི་ཕྱིར་སྤངས། ། ||| Kāśyapa , why have you given up the fire sacrifice?
དོན་དེ་ང་ལ་ཀུན་ནས་བརྗོད་པར་གྱིས། ། ||| Please, tell me all the reasons why.”
གསོལ་པ། ||| He replied:
འདི་ན་ཁ་ཅིག་ཟས་དང་བཏུང་བ་རྣམས། ། ||| “Some here praise food and drink,
ཁུ་བཅུད་འཁོར་དང་བུད་མེད་བསྔགས་པར་བགྱིད། ། ||| Others retinue, or women.
དེ་རྣམས་ཕུང་པོའི་དྲི་མ་མཐོང་བས་ན། ། ||| Since I’ve seen the impurity of these heaps,
བདག་ནི་མཆོད་སྦྱིན་མེ་ལ་དགའ་མ་མཆིས། ། ||| I find no joy in the sacrificial fire.”
བཀའ་སྩལ་པ། ||| The Blessed One inquired:
ཁྱོད་ནི་འདོད་པ་རྣམས་ལ་མི་དགའ་ཞིང་། །ཟས་སྐོམ་སྟན་རྣམས་ལ་ཡང་མི་དགའ་ན། །ཁྱོད་ནི་ཇི་ལྟར་ལྷ་མིའི་འཇིག་རྟེན་ན། །ཡིད་དགའ་འོད་སྲུང་དྲིས་པའི་ལན་ཐོབ་ཤིག ། ||| “If you’ve no taste for lusting, nor for food, Nor for drink, nor for a high, haughty seat, How is it that you—among all on earth— Could be happy, Kāśyapa ? Answer this question for me.”
གསོལ་པ། ||| He replied:
ཕུང་པོ་མེད་པ་ཞི་བཅོམ་ཅི་ཡང་མེད། ། ||| “There is no greater peace than being free of heaps,
འདོད་དང་སྲིད་ལ་མ་ཆགས་གཞན་མི་འགྱུར། ། ||| Nothing like non-attachment to sense pleasures and existence.
གཞན་གྱིས་དཀྲིར་མེད་གོ་འཕང་མཐོང་བས་ན། ། ||| Having seen the state that another cannot induce,
བདག་ནི་མཆོད་སྦྱིན་མེ་ལ་དགའ་མ་མཆིས། ། ||| I find no joy in the sacrificial fire.
མཆོད་སྦྱིན་རྣམས་དང་བརྟུལ་ཞུགས་མེ་རྣམས་ཀྱིས། །གྲོལ་བར་འགྱུར་སྙམ་བདག་གི་ཡིད་ཀྱང་རྨོངས། ། ||| “My deluded mind thought I’d be liberated By sacrifices and fire observances.
འཆི་འཕོ་མ་མཆིས་གནས་མཆོག་མ་མཐོང་བས། །སྐྱེ་འཆིའི་རྗེས་འབྲང་བདག་ནི་ལོང་བར་གྱུར། ། ||| Since I hadn’t seen the supreme state free of death, Birth followed death and I remained blind.
མི་མཆོག་སྐྱོབ་པས་ལེགས་གསུངས་འདུས་མ་བྱས། །གོ་འཕང་དེ་ནི་བདག་གིས་ད་མཐོང་ངོ་། ། ||| “Now I’ve seen the uncompounded state The best of humans and protector taught so well.
ཐུབ་པ་རྣམ་འདྲེན་གཽ་ཏམ་བདེན་པའི་རྩལ། །ཁྱོད་ནི་སྐྱེ་བོ་མང་ཕྱིར་བྱུང་བ་ལགས། ། ||| You, Gautama—foremost of sages, well versed in truth— Truly were born to benefit many beings.”
བཀའ་སྩལ་པ། ||| The Blessed One said:
རབ་ཏུ་རྣམ་པར་ཕྱེ་བའི་ཆོས་རྣམས་ལ། །གནས་ཀྱིས་གཤེགས་སུ་བབ་པ་གང་ཡིན་པ། དེ་ནི་ཁྱོད་ཀྱིས་ལེགས་པར་བསམས་པ་ཡིན། ། ||| “You have reflected well upon What strikes to the vital point As you dwelt upon phenomena, so finely distinguished—
ཁྱོད་ཀྱིས་གཏན་ལ་ཕེབས་པས་ལེགས་པར་འོངས། ། ||| You are welcome to resolve it once and for all.
འོད་སྲུང་འཁོར་རྣམས་སྐྱོ་བ་རབ་བསྐྱེད་ཅིག ། ||| “O Kāśyapa , may you fill those in your retinue with sorrow for saṃsāra!”
དེ་ནས་ཚེ་དང་ལྡན་པ་ལྟེང་རྒྱས་འོད་སྲུང་རལ་པ་ཅན་གྱིས་ཇི་ལྟར་སེམས་མཉམ་པར་བཞག་པ་དེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་ཏེ། ||| Then, just as the dreadlocked ascetic Venerable Uruvilvā Kāśyapa placed his mind in equipoise and entered into meditative stabilization ,
ཤར་ཕྱོགས་ཀྱི་སྟེང་གི་ནམ་མཁའ་ལ་མངོན་པར་འཕགས་ནས། སྤྱོད་ལམ་རྣམ་པ་བཞི་བྱེད་དེ། ||| rising up into the eastern sky, he began to carry out the four activities—
འཆག་པ་དང་། སྡོད་པ་དང་། འདུག་པ་དང་། ཉལ་བར་བྱེད་དོ། ། ||| walking, sitting, standing, and sleeping—
མེའི་ཁམས་ལ་སྙོམས་པར་འཇུག་པར་བྱེད་དེ། ||| and entered into equipoise on the element of fire.
ཚེ་དང་ལྡན་པ་ལྟེང་རྒྱས་འོད་སྲུང་རལ་པ་ཅན་མེའི་ཁམས་ལ་སྙོམས་པར་ཞུགས་པའི་ལུས་ལས་འོད་ཟེར་རྣམ་པ་སྣ་ཚོགས་བྱུང་སྟེ། སྔོན་པོ་དང་། སེར་པོ་དང་། དམར་པོ་དང་། དཀར་པོ་དང་། བཙོད་ཀ་དང་། ཤེལ་གྱི་ཁ་དོག་ལྟ་བུ་རྣམས་བྱུང་ངོ་། ། ||| Now in equipoise on the element of fire, from his body the dreadlocked ascetic Venerable Uruvilvā Kāśyapa emitted rays of light in various hues such as blue, gold, red, white, rose madder, and crystalline,
ཆོ་འཕྲུལ་ཟུང་དུ་ཡང་སྟོན་པར་བྱེད་དོ། ། ||| then made a further display of miracles:
ལུས་ཀྱི་སྟོད་ནས་ནི་མེ་འབར་ལ། ||| fire blazed from his upper body while
ལུས་ཀྱི་སྨད་ནས་ནི་ཆུ་གྲང་མོའི་རྒྱུན་འབབ་བོ། ། ||| a stream of cool water flowed from his lower body;
ལུས་ཀྱི་སྨད་ནས་ནི་མེ་འབར་ལ། ||| then fire blazed and from his lower body while
ལུས་ཀྱི་སྟོད་ནས་ནི་ཆུ་གྲང་མོའི་རྒྱུན་འབབ་བོ། ། ||| a stream of cool water flowed from his upper body.
ཤར་ཕྱོགས་སུ་ཇི་ལྟ་བ་དེ་བཞིན་དུ་ལྷོ་ཕྱོགས་དང་། ནུབ་ཕྱོགས་དང་། བྱང་ཕྱོགས་སུ་ཡང་དེ་དང་འདྲ་བར་བྱས་སོ། ། ||| He then performed the same miracles in the south, the west, and the north that he performed in the east.
དེ་ནས་ཚེ་དང་ལྡན་པ་ལྟེང་རྒྱས་འོད་སྲུང་རལ་པ་ཅན་གྱིས་ཕྱོགས་བཞིར་རྫུ་འཕྲུལ་གྱི་ཆོ་འཕྲུལ་རྣམ་པ་བཞི་བཞི་བསྟན་ནས། རྫུ་འཕྲུལ་མངོན་པར་འདུ་བྱེད་པ་བསྡུས་ཏེ། ||| Having displayed miracles in each of the four cardinal directions the dreadlocked ascetic Venerable Uruvilvā Kāśyapa concluded his miraculous display,
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས། ||| drew down the right shoulder of his upper garment,
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། ||| bowed toward the Blessed One with palms pressed together,
བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| and declared to the Blessed One,
བཅོམ་ལྡན་འདས་ནི་བདག་གི་སྟོན་པ་ལགས་སོ། ། ||| “Blessed One, you are my teacher.
བདག་ནི་བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་ལགས་སོ། ། ||| I am a disciple of the Blessed One.
བདེ་བར་གཤེགས་པ་ནི་བདག་གི་སྟོན་པ་ལགས་སོ། ། ||| The Sugata is my teacher.
བདག་ནི་བདེ་བར་གཤེགས་པའི་ཉན་ཐོས་ལགས་སོ། ། ||| I am a disciple of the Sugata.”
