འཕགས་པ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འཛིན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Upholding the Roots of Virtue
དེར་ནི་ཚོང་དཔོན་ནོར་ཆེན་པོ། །དེ་ཡང་འཆི་བའི་དུས་བྱས་ནས། ། ||| “After the rich merchant Had died there,
སངས་རྒྱས་མང་པོ་མཉེས་པར་བྱེད། །ནམ་ཡང་ངན་འགྲོར་སོང་མ་ཡིན། ། ||| He never migrated to unpleasant destinies Since he had pleased many buddhas.
དེ་ནི་དགེ་བའི་རྩ་བ་དེས། །བསྐལ་པ་བྱེ་ཕྲག་བརྒྱད་ཅུར་ནི། །རྟག་ཏུ་དེ་ནི་ཚངས་པར་འགྱུར། །རྟག་པར་རྒྱུན་དུ་སངས་རྒྱས་མཐོང་། ། ||| “By his roots of virtue, For eight hundred million eons He continually became Brahmā And constantly beheld buddhas.
བསྐལ་པ་བྱེ་ཕྲག་བརྒྱད་ཅུར་ནི། །རྟག་ཏུ་སུམ་ཅུ་རྩ་གསུམ་གྱི། །ལྷ་ཡི་རྒྱལ་པོ་བྱས་པར་གྱུར། །དེ་ནི་རྟག་ཏུ་སངས་རྒྱས་མཐོང་། ། ||| “For eight hundred million eons He continually served as king of the gods In the Heaven of the Thirty-Three, And constantly beheld buddhas.
བསྐལ་པ་བྱེ་ཕྲག་བརྒྱད་ཅུར་ནི། །རྟག་ཏུ་འཁོར་ལོས་སྒྱུར་བར་གྱུར། །སངས་རྒྱས་ཀྱང་ནི་རྟག་པར་མཐོང་། །དེ་མཐོང་ནས་ཀྱང་བསྟི་སྟང་བྱེད། ། ||| “For eight hundred million eons, He continually became a universal monarch, Constantly beheld buddhas, And upon seeing them, also honored them.
སངས་རྒྱས་བྱེ་བ་ཕྲག་མང་དང་། །བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་བརྒྱད་ཅུ། །དེ་ཚེ་ཚོང་དཔོན་བཟང་ལྡན་ཞེས། །རྣམ་པར་གྲགས་པས་མཉེས་པར་བྱེད། ། ||| “During that time, The merchant known as Rūpavati Pleased many tens of millions of buddhas— Eight hundred quadrillion of them.
དེར་ནི་རྒྱལ་བ་མཉེས་བྱས་ནས། །མཆོད་པ་མཐའ་ཡས་བྱས་ནས་སུ། ། ||| “Pleasing the victorious ones, He made infinite offerings on those occasions.
དེ་ཚེ་ཆོས་ནི་ཞུས་ནས་ཀྱང་། ། ||| Then after receiving the Dharma,
ཆུང་མའི་ཐད་སོང་སྟོན་པར་བྱེད། ། ||| He went before his wife to teach her.
རྒྱལ་ཁྱིམ་མེ་ཏོག་ཅན་དུ་ནི། །དེ་ཚེ་བཟང་ལྡན་རྣམ་པར་གྲགས། །ཁྱིམ་བདག་བྱུང་དེ་གཞན་ཡིན་སྙམ། །ཀུན་དགའ་ཁྱོད་ནི་སེམས་གྱུར་ན། ། ||| “If you think, Ānanda, That the householder Then known as Rūpavati, Who appeared in the royal house of Puṣpavati, was someone else,
དེ་ནི་དེ་ལྟར་བལྟ་མི་བྱ། ། ||| “Do not see it that way!
དགེ་སློང་མཛངས་པ་ཆོས་སྨྲ་བ། །དེ་ལ་མཆོད་བྱེད་གང་ཡིན་པ། །བཟང་ལྡན་དེ་ནི་ང་ཡིན་ནོ། ། ||| For that Rūpavati Who made offerings To the Dharma preacher, the monk Wise One, was me.
ཆོས་ནི་ཡོངས་སུ་གཟུང་དོན་ཕྱིར། ང་ཡིས་དེ་འདྲའི་མཆོད་པ་བྱས། ། ||| “I made such offerings In order to receive the Dharma.
དགེ་བའི་རྩ་བ་དེ་ཉིད་ཀྱིས། །འདིར་ནི་བྱང་ཆུབ་དེ་ཐོབ་ཡིན། ། ||| Through that very root of virtue, I attained awakening here.
མཛངས་པ་ཆོས་ནི་སྨྲ་བ་ལ། །གང་དག་བསོད་ནམས་ཆེ་བྱས་པའི། །བསོད་ནམས་ཕུང་པོའི་ཟད་པ་ནི། །ང་ལ་ད་དུང་ཡོད་མ་ཡིན། ། ||| “I have still not exhausted The heap of merit From the great merit that I performed Due to the Dharma preacher Wise One.
བསོད་ནམས་གྲངས་ཡོད་མ་ཡིན་པ། །དཔག་ཏུ་མེད་པས་ཐོབ་པ་ཡིན། ། ||| “Based on what I attained through Immeasurable and innumerable merits,
ང་ཡིས་སངས་རྒྱས་རྟག་པར་མཐོང་། །དེ་དག་ལ་ནི་ཆོས་ཀྱང་ཞུས། ། ||| I have continually beheld buddhas And received the Dharma from them.
དེ་ལྟར་ཇི་ལྟར་བསྟན་པ་ལྟར། །ཀུན་ཀྱང་ང་ལ་དེ་སྐད་སྟོན། ། ||| “Precisely as they have been taught, So too do they all teach me.
བྱང་ཆུབ་ལམ་ནི་དེ་ཡིན་གྱིས། །དེ་ཕྱིར་དེ་ལ་བསྟེན་པར་བྱོས། ། ||| Since that is the path to awakening You should rely on that!”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The venerable Ānanda then said to the Blessed One,
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ནི་འདི་ལྟར་བསོད་ནམས་འབྱུང་བ་ཤིན་ཏུ་ཡོངས་སུ་བརྙེས་པ་ལགས་ན། ||| “Blessed One, given that the Thus-Gone One, the Worthy One, the perfect Buddha acquired such an abundance of merit,
བཅོམ་ལྡན་འདས་ཀྱི་སྔོན་གྱི་སྐུ་རྣམས་ཀྱང་ཐམས་ཅད་དུ་ཁྱད་པར་ཅན་དུ་གྱུར་པ་ནི་ངོ་མཚར་ལགས་སོ། ། ||| it is wonderful that the Blessed One’s previous bodies would also be so exalted.
བཅོམ་ལྡན་འདས་དགེ་སློང་མཛངས་པ་ཞེས་བགྱི་བ་བྱུང་བར་གྱུར་པ་དེ། བཅོམ་ལྡན་འདས་ཡོངས་སུ་མྱ་ངན་ལས་འདས་ལགས་སམ། ||| Blessed One, has the monk called Wise One who appeared then passed into nirvāṇa?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| said the Blessed One,
ཀུན་དགའ་བོ་དགེ་སློང་དེ་ནི་ད་དུང་ཡོངས་སུ་མྱ་ངན་ལས་མ་འདས་ཏེ། ||| “No, Ānanda,” “that monk has still not passed into nirvāṇa. For,
ཀུན་དགའ་བོ་དགེ་སློང་དེ་ནི་ངའི་བསྟན་པ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་དོ། ། ||| Ānanda, he is practicing bodhisattva conduct under this teaching of mine.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The venerable Ānanda then said to the Blessed One,
བཅོམ་ལྡན་འདས་ཚོང་དཔོན་བཟང་ལྡན་ཆོས་སྨྲ་བ་མཛངས་པ་ལ་རིམ་གྲོ་དང་བསྙེན་བཀུར་བགྱིས་ནས་དགེ་བའི་རྩ་བའི་ཚོགས་དེས་དེ་ལ་བརྟེན་ནས། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ལགས་ཀྱང་། དགེ་སློང་མཛངས་པ་ད་དུང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་མ་རྒྱས་པ་ནི་ངོ་མཚར་ལགས་སོ། ། ||| “Blessed One, how wonderful it is that, although the merchant Rūpavati has fully awakened to unexcelled and perfect buddhahood based on the collection of roots of merit he gained by serving and honoring the Dharma preacher Wise One, the monk Wise One has still not fully awakened to unexcelled and perfect buddhahood.”
བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One said to the venerable Ānanda,
ཀུན་དགའ་བོ་དགེ་སློང་མཛངས་པ་ནི་ཇི་ལྟར་ང་ཡང་དག་པར་ཞུགས་པ་དེ་ལྟར་ཡང་དག་པར་ཞུགས་པ་མ་ཡིན་ཏེ། ||| “Ānanda, the monk Wise One did not perfectly embark as I perfectly embarked. For,
ཀུན་དགའ་བོ་དགེ་སློང་མཛངས་པ་ནི་བདེ་བའི་ཐེག་པས་ཡང་དག་པར་ཞུགས་ཀྱི་སྡུག་བསྔལ་གྱི་ཐེག་པས་ཡང་དག་པར་ཞུགས་པ་མ་ཡིན་ལ། ||| Ānanda, the monk Wise One perfectly embarked through the vehicle of pleasure, not through the vehicle of suffering, whereas
ཀུན་དགའ་བོ་འདི་ལ་ང་ནི་ཡུན་རིང་པོ་ནས་སྡུག་བསྔལ་གྱི་ཐེག་པས་ངེས་པར་བྱུང་བ་ཡིན་ནོ། ། ||| I, Ānanda, reached perfection over a long period of time through the vehicle of suffering.
ཀུན་དགའ་བོ་ང་སྔོན་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་པ་ན་ཡང་འདི་སྙམ་དུ་སེམས་ཏེ། གང་གི་ཚེ་སེམས་ཅན་རྣམས་སྡུག་བསྔལ་བར་གྱུར་ཅིང་གང་ཕལ་ཆེར་ངན་སོང་ལས་གཞོལ། ངན་སོང་ལ་འབབ། ངན་སོང་ལ་བབ་པར་གྱུར་པ་ན། ང་དེའི་ཚེ་དེའི་དུས་ན་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སངས་རྒྱས་ནས་སེམས་ཅན་དེ་དག་སྡུག་བསྔལ་རྣམས་ལས་ཡོངས་སུ་ཐར་བར་བྱའོ་སྙམ་སྟེཀུན་དགའ་བོ་ང་ནི་ཡུན་རིང་པོ་ནས་སྨོན་ལམ་དེ་སྐད་བཏབ་པོ། ། ||| Moreover, Ānanda, while I was previously practicing bodhisattva conduct over a long period of time I made the aspiration, ‘As long as beings suffer and most of them are inclined toward negative destinies, fall into negative destinies, and have fallen into negative destinies, I will, having awakened to unexcelled and perfect buddhahood, completely free those beings from suffering!’
ཀུན་དགའ་བོ་དགེ་སློང་མཛངས་པས་ཇི་ལྟར་ཡང་དག་པར་བླང་བ་བརྩམས་པ་དང་། ཡང་དག་པར་བླངས་པ་དང་། དོན་དུ་གཉེར་བ་དང་། སྨོན་པ་དང་། ཀུན་དགའ་བོ་དགེ་སློང་མཛངས་པ་ཇི་ཙམ་དུ་ཡང་དག་པར་བླང་བ་ཆེན་པོ་དེ་འདྲ་བས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡང་དག་པར་ཞུགས་པ་ནི་དཔེས་བསྟན་པར་མི་ནུས་ཏེ ||| “Ānanda, I cannot even illustrate with any analogy how the monk Wise One initiated a vow, made a vow, persevered, and aspired, nor for how long, Ānanda, the monk Wise One has journeyed toward unexcelled and perfect awakening through such a great vow. Yet
དགེ་སློང་འཛངས་པ་ནི་དེ་ལྟར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡང་དག་པར་ཞུགས་ལ། ||| the monk Wise One has perfectly set out for unexcelled and perfect awakening, for
དེས་ནི་ཅི་ནས་བདག་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་པ་ན། སེམས་ཅན་གང་དག་གིས་མཐོང་བ་དེ་དག་ཐམས་ཅད་ཐེག་པ་ཆེན་པོའམ། ཉན་ཐོས་དང་རང་སངས་རྒྱས་ཀྱི་ཐེག་པ་དག་གིས་ངེས་པར་འབྱུང་བར་གྱུར་ཅིག་སྙམ་ནས། དགེ་བའི་རྩ་བ་བསགས་པ་བྱས་ཤིང་བྱེད་པ་ཡང་ཡིན་ནོ། ། ||| he has accumulated and is still accumulating roots of virtue with the thought, ‘May all the beings who behold me while I am practicing bodhisattva conduct resolutely go forth through the Great Vehicle, or the vehicles of the hearers or solitary buddhas.’ ”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The venerable Ānanda then asked the Blessed One,
བཅོམ་ལྡན་འདས་གང་དེའི་ཚེ་བྱུང་བར་གྱུར་པའི་དགེ་སློང་མཛངས་པ་དེ་འཁོར་འདི་ན་མཆིས་ལགས་སམ། ||| “Blessed One, is the monk Wise One who appeared back then present in this retinue?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| said the Blessed One.
ཀུན་དགའ་བོ་གང་དེའི་ཚེ་མཛངས་པ་ཞེས་བྱ་བ་བྱུང་བར་གྱུར་པའི་དགེ་སློང་དེ་ནི་འདི་ཉིད་ན་འདུག་སྟེ ||| “Ānanda, the monk who was called Wise One then is present right here,”
ངའི་མདུན་ན་འདུག་པ་འདི་ཡིན་ནོ། ། ||| “He is this one seated before me.”
བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| the venerable Ānanda exclaimed.
བཅོམ་ལྡན་འདས་ཇི་ཙམ་དུ་སེམས་ཅན་དག་པའི་འདུས་པ་འདི་ནི་བཅོམ་ལྡན་འདས་ངོ་མཚར་ལགས་སོ། ། ||| “Blessed One, how amazing this assembly of pure beings is!”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| agreed the Blessed One,
ཀུན་དགའ་བོ་དེ་དེ་བཞིན་ནོ། །དེ་དེ་བཞིན་ཏེ། ||| “Indeed, Ānanda, indeed,”
ཀུན་དགའ་བོ་སེམས་ཅན་ཆེན་པོ་སེམས་ཅན་དག་པ་རྣམས་ཀྱི་འཁོར་འདུས་པ་དེ་ནི་འདི་ལྟ་སྟེ། བྱང་ཆུབ་སེམས་དཔའི་འདུས་པ་ཡིན། སེང་གེའི་འདུས་པ་ཡིན། བག་ཚ་བ་མེད་པའི་འདུས་པ་ཡིན། གླང་པོ་ཆེན་པོའི་འདུས་པ་ཡིན་ནོ། ། ||| “Ānanda, the assembled retinue of great and pure beings is, accordingly, an assembly of bodhisattvas, an assembly of lions, an assembly of fearless ones, and an assembly of great elephants.”
ཀུན་དགའ་བོས་གསོལ་པ། ||| asked Ānanda.
བཅོམ་ལྡན་འདས་ཅིའི་སླད་དུ་འདི་སྐད་དུ་འདུས་པ་ཆེན་པོ་དང་། སེང་གེའི་འདུས་པ་ཞེས་བགྱི་ལགས། ||| “Blessed One, why is this called a great assembly and an assembly of lions?”
ཀུན་དགའ་བོ་མ་རིག་པའི་མུན་པ་ཆེན་པོ་འཇོམས་པ་ཉིད་ཀྱི་ཕྱིར་སེམས་ཅན་གྲངས་མེད་དཔག་ཏུ་མེད་པའི་གོ་ཆ་བགོས་པས་དེའི་ཕྱིར་འདུས་པ་ཆེན་པོ་དང་སེང་གེའི་འདུས་པ་ཞེས་བྱའོ། ། ||| “Ānanda,” replied the Blessed One, “it is called a great assembly and an assembly of lions because it dons the armor of immeasurable, innumerable beings to vanquish the great darkness of ignorance.
ཀུན་དགའ་བོ་འདི་ལྟ་སྟེ། དཔེར་ན་རི་དགས་ཀྱི་རྒྱལ་པོ་སེང་གེ་གང་དུ་གནས་འཆའ་བར་བྱེད་པ་དང་། གང་དུ་གནས་པར་བྱེད་པའི་ས་ཕྱོགས་དེ་ནི་མི་ནོན་པ་ཡིན་ཏེ། ||| “Ānanda, it is like this, as a simile: Wherever the lion, the king of beasts, settles and resides no one else can settle.
དེ་ལས་གཞན་པའི་རི་དགས་ཕྲ་མོ་དག་གིས་དྲི་ཡང་མི་བཟོད་པས་ཡོངས་སུ་སྤོང་བར་བྱེད་ལ། ||| Lesser creatures, unable to withstand the odor, will flee, and
གང་གི་ཚེ་ས་ཕྱོགས་དེ་གནོན་པ་དེའི་ཚེ། དྲི་དེ་ལ་བསྣམས་ནས་ས་ལ་ཁས་བུབ་ཏུ་བུབ་པར་འགྱུར་རོ། ། ||| when they happen to cross that place, they will fall to the ground on their backs upon smelling that odor.
ཀུན་དགའ་བོ་དེ་བཞིན་དུ་གང་ན་སེང་གེ་ཆེན་པོའི་འདུས་པ་གནས་པའི་ས་ཕྱོགས་དེ་ནི་ཀུན་དགའ་བོ་བདུད་དང་བདུད་ཀྱི་རིས་ཀྱི་ལྷ་རྣམས་དང་། དེ་ལས་གཞན་པའི་སེམས་ཅན་བདུད་ཀྱིས་བྱིན་གྱིས་བརླབས་པ་རྣམས་ཀྱིས་མི་ནོན་པ་ཡིན་ནོ། ། ||| Likewise, Ānanda, wherever the assembly of great lions resides, Ānanda, no others—such as Māra, the gods from the realm of Māra, or any other beings under Māra’s spell—can settle.
གལ་ཏེ་གནོན་དུ་ཟིན་ཀྱང་འོན་ཀྱང་སྡུག་བསྔལ་ཞིང་ཡིད་མི་བདེ་བས་འཁོར་དེ་ནས་ཕྱིར་འདོང་ཞིང་དེ་ཉིད་དུ་ཡང་མི་སྣང་བར་འགྱུར་ལ། ||| If they should happen to set foot in that place, they will feel pain and unhappiness and will have to leave the entourage and disappear right at that very moment.
བག་ཚ་བ་མེད་པ་སེང་གེ་ཆེན་པོ་དེ་དག་ཉིད་ཀྱི་གཟི་བརྗིད་ཀྱང་མི་བཟོད་པས་དེ་ཉིད་ནས་ཕྱིར་འདོང་བ་ཡིན་ནོ། ། ||| Unable to withstand the charisma of those fearless great lions, they take their leave from them.
ཀུན་དགའ་བོ་འདི་ལྟ་སྟེ། དཔེར་ན་རི་དགས་ཀྱི་རྒྱལ་པོ་སེང་གེ་རལ་པ་ཅན་གཟི་བརྗིད་དང་ལྡན་པ་དེ་ཉིད་ལན་གསུམ་དུ་སེང་གེའི་སྒྲ་སྒྲོགས་པ་ན་དཔག་ཚད་ཁོར་ཡུག་ཏུ་སྒྲ་འབྱིན་པར་བྱེད་ལ། ||| “Ānanda, it is also like this, as a simile: When a lion, the king of beasts, with his mane and charisma, roars three times, it can be heard as far as a league away.
དེ་ནས་ཕྱིས་ཀྱང་ཕྱོགས་ཐམས་ཅད་དུ་བར་དེ་ན་སེང་གེ་ཕལ་པ་གང་དག་ཡོད་པ་དེ་དག་ཀྱང་དེའི་ཚེ་སྐྲག་པར་འགྱུར་ནདེ་ལས་གཞན་པའི་རི་དགས་ཀྱི་རིགས་ཁོ་རེ་ཆུང་བ་རྣམས་ལྟ་ཅི་སྨོས་ཤིང་། ||| Then even ordinary lions present throughout that distance are frightened, let alone other, lesser kinds of wild animals.
སྤོས་ཀྱི་གླང་པོ་ཆེ་གང་དག་ཡོད་པ་དེ་དག་ཀྱང་སྒྲ་ཐོས་པས་གཅིན་རྟུག་གཏོར་ཅིང་འགྱེས་པར་ཡང་འགྱུར་ལ། གཅིག་ལ་གཅིག་ཀྱང་ཤིན་ཏུ་འབོད་པར་བྱེད་པར་འགྱུར་རོ། ། ||| Even when the elephants in musth hear that sound, they urinate and defecate, and then disband, trumpeting loudly to one another.
ཀུན་དགའ་བོ་དེ་བཞིན་དུ་སེང་གེ་ཆེན་པོའི་འདུས་པ། རིགས་བཙུན་པའི་འདུས་པ། བག་ཚ་བ་མེད་པའི་འདུས་པའི་འདུས་པ་དེ་ན། བྱང་ཆུབ་སེམས་དཔའ་དམུ་རྒོད་གང་དག་ཡོད་པ་ནི་མིང་གཅིག་པར་གཏོགས་པ་ཡིན་ནོ། ། ||| “Likewise, Ānanda, in the assembly of great lions, the assembly of those of venerable family, the assembly of the fearless, bodhisattvas who are unruly are included in name alone.
འདི་ལྟ་སྟེ་དཔེར་ན་སེང་གེ་ཕལ་པ་དེ་དག་ནི་སེང་གེའི་སྒྲ་ཡང་ཉན་པར་བྱེད་ལ། སྒྲ་དེ་ཐོས་ནས་ཀྱང་རི་སུལ་དུ་འཇུག་པར་བྱེད་དོ། ། ||| Thus, for instance, when ordinary lions hear the lion’s roar, they feel compelled to hide in mountain fissures.
ཀུན་དགའ་བོ་དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའི་འདུས་པའི་འདུས་པ་དེ་ན། བྱང་ཆུབ་སེམས་དཔའ་དམུ་རྒོད་སྤྱོད་ལམ་ངན་པ་གྲགས་པ་དང་། སྒྲ་དང་། ཚིགས་སུ་བཅད་པ་ལྷུར་ལེན་པ། བདག་གི་མིང་དང་། དབྱངས་དང་། སྒྲ་ལྷུར་ལེན་པ་གང་དག་ཡོད་པ་དེ་དག་ནི་སྐྲག་ཅིང་དངང་ལ་འབྲོས་པར་འགྱུར་ཞིང་གཡང་ས་ཆེན་པོར་ཡང་ལྟུང་བར་འགྱུར་རོ། ། ||| Likewise, Ānanda, unruly bodhisattvas with poor conduct, who chase after renown, fame, and praise, and who revere the name, cadence, and sound of ‘self,’ will flee, frightened and scared, and thus fall off steep cliffs.
ཀུན་དགའ་བོ་སྟོང་པའི་སྒྲ་དང་། མཚན་མ་མེད་པའི་སྒྲ་དང་། སྨོན་པ་མེད་པའི་སྒྲ་ནི་དེ་ལས་གཞན་པའི་བྱང་ཆུབ་སེམས་དཔའ་དམིགས་པ་ལ་སྤྱོད་པ། བདག་ལ་མངོན་པར་ཞེན་པ། ཕུང་པོ་ལ་མངོན་པར་ཞེན་པ། ཁམས་ལ་མངོན་པར་ཞེན་པ། སྐྱེ་མཆེད་ལ་མངོན་པར་ཞེན་པ། ཚུལ་ཁྲིམས་ལ་མངོན་པར་ཞེན་པ། ཏིང་ངེ་འཛིན་ལ་མངོན་པར་ཞེན་པ། ལམ་དང་མྱ་ངན་ལས་འདས་པ་དང་། འབྲས་བུ་ལ་མངོན་པར་ཞེན་པ། སངས་རྒྱས་ཀྱི་བྱང་ཆུབ་ཀྱི་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ལ་མངོན་པར་ཞེན་པ་དག་གིས་བཟོད་པར་བྱ་བ་མ་ཡིན་པའི་ཕྱིར་ཏེ། ||| This is because, Ānanda, bodhisattvas who engage in perceptions other than the words empty, signless , and wishless , and who are strongly attached to self, the aggregates, the elements, the sense sources, discipline, absorption, the path, nirvāṇa, the fruition, and the great nirvāṇa of a buddha’s awakening, will not be able to bear them. For,
ཀུན་དགའ་བོ་འདི་ལྟ་སྟེ། སྟོང་པ་ཉིད་དང་། མཚན་མ་མེད་པ་དང་། སྨོན་པ་མེད་པའི་སྒྲ་དེ་ནི་སྒྲ་ཆེན་པོ་ཡིན་ནོ། ། ||| Ānanda, the words emptiness, signlessness , and wishlessness are words with magnitude.
ཀུན་དགའ་བོ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པས་ཆོས་ཐམས་ཅད་སྟོང་པའོ་ཞེས་ཆོས་བསྟན་ཀྱང་གང་ཡང་སྟོང་པ་མེད་དོ། ། ||| “Ānanda, although the Thus-Gone One teaches the Dharma, ‘All phenomena are empty,’ there is no emptiness whatsoever—
གང་གི་ཡང་སྟོང་པ་མེད་དོ། ། ||| there is no emptiness belonging to anything whatsoever,
གང་གིས་ཀྱང་སྟོང་པ་མེད་དོ། ། ||| there is no emptiness of anything whatsoever, and
གང་ལ་ཡང་སྟོང་པ་མེད་དོ། ། ||| there is no emptiness in anything whatsoever.
ཀུན་དགའ་བོ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པས་ཆོས་རྣམས་མཚན་མ་མེད་པའོ་ཞེས་བསྟན་ཀྱང་དེ་དག་ནི་གང་ཡང་མཚན་མ་མེད་པ་མེད་དོ། ། ||| “Ānanda, although the Thus-Gone One teaches the Dharma, ‘All phenomena are signless,’ there is no signlessness whatsoever—
གང་གི་ཡང་མཚན་མ་མེད་པ་མེད་དོ། ། ||| there is no signlessness belonging to anything whatsoever,
གང་གིས་ཀྱང་མཚན་མ་མེད་པ་མེད་དོ། ། ||| there is no signlessness with anything whatsoever, and
གང་ལ་ཡང་མཚན་མ་མེད་པ་མེད་དོ། ། ||| there is no signlessness in anything whatsoever.
ཀུན་དགའ་བོ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པས་ཆོས་ཐམས་ཅད་སྨོན་པ་མེད་པའོ། །ཞེས་བསྟན་ཀྱང་གང་ཡང་ཐོབ་པར་བྱ་བ་མེད་དོ། ། ||| “Ānanda, although the Thus-Gone One teaches the Dharma, ‘All phenomena are wishless,’ there is nothing to be attained whatsoever—
གང་གི་ཡང་ཐོབ་པར་བྱ་བ་མེད་དོ། ། ||| there is nothing to be attained of anything whatsoever,
གང་གིས་ཀྱང་ཐོབ་པར་བྱ་བ་མེད་དོ། ། ||| there is nothing to be attained by anyone whatsoever, and
གང་ལ་ཡང་ཐོབ་པར་བྱ་བ་མེད་དོ། ། ||| there is nothing to be attained in anything whatsoever.
ཀུན་དགའ་བོ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པས་ཆོས་མངོན་དུ་བྱའོ་ཞེས་བསྟན་ཀྱང་གང་ཡང་མངོན་དུ་བྱ་བ་མེད་དོ། ། ||| “Ānanda, although the Thus-Gone One teaches that ‘the Dharma should be actualized,’ there is nothing to actualize whatsoever—
གང་གི་ཡང་མངོན་དུ་བྱ་བ་མེད་དོ། ། ||| there is nothing to actualize belonging to anything whatsoever,
གང་གིས་ཀྱང་མངོན་དུ་བྱ་བ་མེད་དོ། ། ||| there is nothing to actualize by anyone whatsoever, and
གང་ལ་ཡང་མངོན་དུ་བྱ་བ་མེད་དོ། ། ||| there is nothing to actualize in anything whatsoever.
ཀུན་དགའ་བོ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པས་ཆོས་བསྒོམ་པར་བྱའོ་ཞེས་བསྟན་ཀྱང་གང་ལ་ཡང་བསྒོམ་པར་བྱ་བ་མེད་དོ། ། ||| “Ānanda, although the Thus-Gone One teaches that ‘the Dharma should be cultivated,’ there is nothing to cultivate whatsoever—
གང་གི་ཡང་བསྒོམ་པར་བྱ་བ་མེད་དོ། ། ||| there is nothing to cultivate belonging to anything whatsoever,
གང་གིས་ཀྱང་བསྒོམ་པར་བྱ་བ་མེད་དོ། ། ||| there is nothing to cultivate by anyone whatsoever, and
གང་ལ་ཡང་བསྒོམ་པར་བྱ་བ་མེད་དོ། ། ||| there is nothing to cultivate in anything whatsoever.
ཀུན་དགའ་བོ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པས་ཆོས་རྣམ་པར་བསྒོམས་སོ་ཞེས་བསྟན་ཀྱང་གང་ཡང་རྣམ་པར་བསྒོམས་པ་མེད་དོ། ། ||| “Ānanda, although the Thus-Gone One teaches that ‘the Dharma should be developed,’ there is nothing to be developed whatsoever—
གང་གི་ཡང་རྣམ་པར་བསྒོམས་པ་མེད་དོ། ། ||| there is nothing developed belonging to anything whatsoever,
གང་གིས་ཀྱང་རྣམ་པར་བསྒོམས་པ་མེད་དོ། ། ||| there is nothing to be developed by anyone whatsoever, and
གང་ལ་ཡང་རྣམ་པར་བསྒོམས་པ་མེད་དོ། ། ||| there is nothing to be developed in anything whatsoever.
ཀུན་དགའ་བོ་དེ་ལྟར་ན་དེ་བཞིན་གཤེགས་པས་ཆོས་འདུས་བྱས་སོ་ཞེས་བསྟན་ཀྱང་གང་ཡང་འདུས་བྱས་མེད་དོ། ། ||| “Ānanda, although the Thus-Gone One teaches that ‘phenomena are conditioned,’ there is nothing conditioned whatsoever—
