༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་པཉྩ་པཱ་ར་མི་ཏཱ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Teaching the Five Perfections The Perfection of Generosity
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཇི་ཙམ་དུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དཀའ་བ་བགྱིད་པ་ལགས་པར་རིག་པར་བགྱི་བ་ནི་ངོ་མཚར་ལགས་སོ། ||| Venerable Pūrṇa Maitrāyaṇīputra said to the Blessed One, “Blessed One, this understanding of how bodhisattva great beings undergo hardships is amazing!
།འདི་ནི་བཅོམ་ལྡན་འདས་ཀྱིས་ལེགས་པར་གསུངས་ཏེ། ||| Blessed One, you have explained it so well!
གང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ནས། སེམས་ཅན་དཔག་ཏུ་མ་མཆིས་ཤིང་གྲངས་མ་མཆིས་པ་རྣམས་ཀྱི་མི་ཤེས་པ་སྤང་བའི་སླད་དུ་ཆོས་སྟོན་ལ་མི་ཤེས་པ་དེ་ཡང་སུའི་ཡང་མ་ལགས་ཏེ། ||| When someone awakens to unsurpassed and perfect buddhahood, they teach the Dharma in order to eradicate the ignorance of limitless and countless beings. However, that ignorance does not actually belong to anyone. ‘
བདག་ཅེས་བགྱི་བའམ། བདག་གི་ཞེས་བགྱི་བ་ནི་རང་གི་སེམས་ཀྱི་མི་ཤེས་པའི་བདག་ཏུ་འཛིན་པས་ཟིན་པའི་སེམས་ཅན་རྣམས་དེ་ལྟར་སེམས་པར་བས་སོ། ||| I’ and ‘mine’ are merely conceptualizations made by beings who cling to a personal self, due to their own ignorance.
།མི་ཤེས་པ་དེ་ནི་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་ལགས་ཏེ། སུས་ཀྱང་མ་བསྐྱེད་ལགས་སོ། ||| This ignorance emerges in dependent origination; it is not created by anyone.
།རྒྱུ་ཚོགས་ཤིང་འདུས་པ་ལས་འབྱུང་ལ། རྒྱུ་མ་མཆིས་པར་གྱུར་པས་ནི་འགག་པར་འགྱུར་རོ། ||| It arises when its causes come together, and when the causes are no longer present, it will cease once again.
།ཆོས་རྣམས་ནི་རང་གི་ངང་གིས་འགག་པས་ན་སུས་ཀྱང་བཀག་པ་མ་མཆིས་སོ། ||| And since phenomena naturally come to an end by themselves, no one can terminate them.”
།བཀའ་སྩལ་པ། གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་ལྟར་རྩི་བས་འཇུག་ཅིང་དེ་ལས་སེམས་ཕྱིར་མི་ལྡོག་ན་དེ་ཉིད་བྱང་ཆུབ་སེམས་དཔའི་བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡིན་ཏེ། ||| The Blessed One said, “If bodhisattva great beings can reflect in this manner and apply it accordingly without changing their minds, then that is the perfection of diligence of bodhisattvas.
དེ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བརྩོན་འགྲུས་བརྩམས་པ་ཡིན་པར་རིག་པར་བྱའོ། ||| As such, these are bodhisattvas who practice diligence.
།གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་འདི་སྙམ་དུ་གལ་ཏེ་ཆོས་འདི་དག་སྟོང་པ་ཡིན་ན་ནི། བདག་གི་བརྩོན་འགྲུས་བརྩམས་པ་མཐུ་མེད་པར་འགྱུར་རོ་སྙམ་དུ་སེམས་ན་བྱང་ཆུབ་སེམས་དཔའ་ལེ་ལོ་ཅན་ཡིན་པར་རིག་པར་བྱའོ། ||| However, lazy bodhisattvas think, ‘If these phenomena are empty, my practice of diligence will lose its power.’
།གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་འདི་སྙམ་དུ་གང་གི་ཕྱིར་ཆོས་འདི་དག་སྟོང་པ་དེའི་ཕྱིར་སྟོང་པས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་ནུས་སོ། ||| On the other hand, the perfection of diligence of bodhisattva great beings is to think, ‘It is because these phenomena are empty that I am able to awaken to unsurpassed and perfect buddhahood by means of emptiness.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
འགྲོ་བ་ལྔའི་སེམས་ཅན་འདི་དག་ནི་སྟོང་པ་ཉིད་ཀྱིས་བཅིངས་པས་འཁོར་བ་ལས་མི་འདའ་སྟེ། ||| Because all beings within the five types of existence are bound by emptiness, which prevents them from passing beyond saṃsāra.
བདག་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་ན་འགྲོ་བ་ལྔའི་སེམས་ཅན་འདི་དག་འཁོར་བ་ལས་རབ་ཏུ་རྣམ་པར་ཐར་བར་བྱ་བའི་ཕྱིར་ཆོས་བཤད་པར་བྱའོ། ||| However, when I awaken to unsurpassed and perfect buddhahood, I will teach the Dharma to these beings within the five types of existence, so that they can be freed from saṃsāra.
།རྒྱས་པར་རབ་ཏུ་བསྟན་པར་བྱའོ་སྙམ་དུ་སེམས་ན་འདི་ཡང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡིན་པར་རིག་པར་བྱའོ། །གལ་ཏེ་དེ་འདི་སྙམ་དུ་འཁོར་བ་ཐོག་མ་དང་ཐ་མ་མེད་པ་འདིར་སུ་ཞིག་འཁོར་ཞིང་འདུག་སྟེ། བདག་ནི་སྤྲོ་བ་མེད་ཀྱིས་བདག་ནི་འདི་ཉིད་དུ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་བྱའོ་སྙམ་དུ་སེམས་ན། བྱང་ཆུབ་སེམས་དཔའ་ལེ་ལོ་ཅན་ཡིན་པར་རིག་པར་བྱའོ། ། ||| I will teach them extensively.’ “Lazy bodhisattvas will think, ‘If saṃsāra has neither beginning nor end, how could anyone be circling there? This leaves me no joy, so I will pass into nirvāṇa.’
གལ་ཏེ་དེ་འདི་སྙམ་དུ་བདག་ཇི་སྲིད་དུ་མཚམས་སྦྱར་ཅིང་འཁོར་བ་དེ་སྲིད་དུ། གཞན་དུ་ཡང་མཚམས་སྦྱར་ཞིང་འཁོར་བར་འགྱུར་ཏེ། ||| Rather than that, they should think, ‘As long as I take rebirth and circle in saṃsāra, for that long others will also transition and circle in saṃsāra.
དེ་ཡང་མཚམས་སྦྱར་ཞིང་འཁོར་བར་བྱ་དགོས་ལ། ||| So I will have to continue taking rebirth and circling in saṃsāra.
འོན་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་ཡང་མི་འགྱུར་གྱིས། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་བྱའོ་སྙམ་དུ་སེམས་ལ། ||| However, while they will not awaken to unsurpassed and perfect buddhahood, I will awaken to unsurpassed and perfect buddhahood.’
ཡང་དེ་འདི་སྙམ་དུ་ཇི་ལྟར་སེམས་བསྐྱེད་པ་འདི་ལྟར་འགྲོ་བ་བཞིན་དུ། ||| They may also think, ‘Actions follow after intentions.
ཉི་མ་ཡང་སེམས་བསྐྱེད་པ་ཙམ་དུ་སྣང་ངོ་སྙམ་དུ་སེམས་ཤིང་། ||| Even the sun appears through a mere wish.’
དེའི་ཡིད་ལ་བྱེད་པ་རྣམས་ཀྱང་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དང་ལྡན་ཏེ། དུས་ཚིགས་དང་། ལོ་དང་། ཟླ་བ་དང་། ཟླ་བ་ཕྱེད་པ་ཐམས་ཅད་འདའ་ཡང་མི་ཚོར་མི་ཤེས་ཏེ། ||| Those who think in this way will come to possess the state of omniscience and not even notice or realize the passing of the seasons, years, months, or fortnights.
འདི་ལྟར་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པས་སེམས་ཡོངས་སུ་དག་པར་བྱས་པ་དང་། ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་དང་། བཟོད་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་དང་། བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་དང་། བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་དང་། ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པས་སེམས་ཡོངས་སུ་དག་པར་བྱས་པས་དེའི་ཕྱིར་དུས་ཚིགས་དང་། ལོ་དང་། ཟླ་བ་དང་། ཟླ་བ་ཕྱེད་རྣམས་ཡིད་ལ་མི་སེམས་སོ། ། ||| As they purify their minds by means of the perfections of generosity, discipline, patience, diligence, concentration, and insight, they do not notice or realize the passing of the seasons, years, months, or fortnights.
དཔེར་ན་ཚོང་དཔོན་ཞིག་གིས་འབུམ་ཕྲག་མང་པོ་རི་བའི་རིན་པོ་ཆེ་ཐོབ་ན། དེ་ཁྱིམ་གྱི་བྱ་བ་རྣམས་དང་། དེ་ལས་གཞན་པ་བུན་སྐྱིན་བཏང་བ་དང་། འདུ་བ་གང་ཅི་ཡང་རུང་བ་རྣམས་ཀྱང་ཡིད་ལ་མི་སེམས་སོ། ||| As an analogy, when a merchant obtains a jewel worth many hundreds of thousands of coins, he will forget all about his domestic chores, his finances, as well as any meetings he may have.
།གལ་ཏེ་འབུམ་ཕྲག་མང་པོ་རི་བའི་རིན་པོ་ཆེ་དེ་གདོད་ཐོབ་པར་འགྱུར་དུ་རེ་བ་ཞིག་ཡོད་ན་ནི་ཁ་ཟས་བཟའ་བའང་ཡིད་ལ་མེད་དོ། ||| If there is any chance that he can obtain that jewel worth so many hundreds of thousands of coins, he will even forget to eat.
།དེ་བཞིན་དུ་བྱང་ཆུབ་སེམས་དཔའ་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྣམས་ཀྱིས་སེམས་ཡོངས་སུ་དག་པར་གྱུར་པའང་། དུས་ཚིགས་དང་། ལོ་དང་། ཟླ་བ་དང་། ཟླ་བ་ཕྱེད་རྣམས་ཡིད་ལ་མི་བྱེད་དེ། ||| Likewise, as bodhisattvas purify their minds by means of the perfections, they have no concern for the passing of the seasons, years, months, or fortnights.
ནམ་ཞིག་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཀྱི་རིན་པོ་ཆེ་ཐོབ་པར་འགྱུར་སྙམ་པ་འབའ་ཞིག་ཡིད་ལ་བྱེད་དོ། ། ||| Instead, they will only think, ‘When will I attain the jewel of omniscience?’ ”
གསོལ་པ། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་དག་ཡོན་ཏན་འདི་དག་ཡོངས་སུ་སྒྲོགས་པ་ནི་བརྩོན་འགྲུས་ཀྱི་གོ་ཆ་ཆེན་པོ་བགོས་པ་ལགས་སོ། ||| Venerable Pūrṇa said, “Blessed One, if bodhisattvas wish to proclaim all these qualities, they must have a strong armor of diligence.”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། གང་པོ་དེ་དེ་བཞིན་ཏེ། ||| The Blessed One said, “Pūrṇa, that is correct.
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དག་ཡོན་ཏན་འདི་དག་ཡོངས་སུ་སྒྲོགས་པ་ནི་བརྩོན་འགྲུས་ཀྱི་གོ་ཆ་ཆེན་པོ་བགོས་པ་ཡིན་ནོ། ||| Bodhisattva great beings who proclaim all these qualities have a strong armor of diligence.
།གང་པོ་ལྷ་དང་མི་དང་ལྷ་མ་ཡིན་དུ་བཅས་པའི་འཇིག་རྟེན་གྱི་ནང་ན། དེ་བཞིན་གཤེགས་པ་མ་གཏོགས་པར་བྱང་ཆུབ་སེམས་དཔའི་ཡོན་ཏན་འདི་དག་དང་ལྡན་པ་གང་ཡིན་པ་དང་། གང་ལ་ཡོན་ཏན་འདི་དག་ཡོད་པ་ངས་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ངོ་། ||| Pūrṇa, within the world of gods, humans, and asuras, I do not see anyone who possesses these qualities of a bodhisattva or anyone in whom such qualities are present, apart from the Thus-Gone One.”
།དེ་ནས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོ་སྟན་ལས་ལངས་ཏེ། ཆོས་གོས་ཕྲག་པ་གཅིག་ཏུ་བགོས་ནས། པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| Venerable Pūrṇa Maitrāyaṇīputra rose up from his seat, draped his shawl over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་ཚིག་ཏུ་སྨྲས་པ། ཤར་ཕྱོགས་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་དཔག་ཏུ་མེད་པ་དག་ན། ཐེག་པ་ལ་གསར་དུ་ཞུགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དག་གནས་པ་དེ་དག་ཕྱིར་མི་ལྡོག་པར་གྱུར་ཅིག ། ||| With his palms together he bowed toward the Blessed One, and supplicated, “Blessed One, in all of the boundless worlds in the eastern direction, may all bodhisattva great beings who have newly entered this vehicle reach the state of nonregression!
ཕྱིར་མི་ལྡོག་པ་གང་དག་ཡིན་པ་དེ་དག་ནི་མྱུར་དུ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡོངས་སུ་རྫོགས་པར་གྱུར་ཅིག ། ||| And may all non-returning bodhisattva great beings swiftly perfect the state of omniscience!
དེ་བཞིན་དུ་ལྷོ་ཕྱོགས་དང་། ནུབ་དང་། བྱང་དང་། འོག་དང་། སྟེང་གི་ཕྱོགས་དང་། དེ་བཞིན་དུ་ཕྱོགས་མཚམས་དང་ཕྱོགས་བཅུ་དག་ན་ཐེག་པ་ལ་གསར་དུ་ཞུགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དག་གནས་པ་དེ་དག་ཕྱིར་མི་ལྡོག་པར་གྱུར་ཅིག ། ཕྱིར་མི་ལྡོག་པ་གང་དག་ཡིན་པ་དེ་དག་ནི། ||| Likewise, in the south, west, north, below, above, and in all the intermediate directions, may all bodhisattva great beings who have newly entered this vehicle reach the state of nonregression!
མྱུར་དུ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡོངས་སུ་རྫོགས་པར་གྱུར་ཅིག་ཅེས་ཚིག་ཏུ་སྨྲས་སོ། ||| And may all nonreturning bodhisattva great beings swiftly perfect the state of omniscience!”
།དེ་སྐད་ཅེས་སྨྲས་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །གང་པོ་ཁྱོད་ཀྱིས་དོན་གྱི་དབང་གང་ཡང་དག་པར་མཐོང་བས་ཚིག་འདི་སྐད་དུ། བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་མྱུར་དུ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡོངས་སུ་རྫོགས་པར་གྱུར་ཅིག་ཅེས་སྨྲས། ||| The Blessed One said to Venerable Pūrṇa Maitrāyaṇīputra, “Pūrṇa, it is because you understand the implications that you say, ‘May those bodhisattvas swiftly perfect the state of omniscience.’ ”
གསོལ་པ། བཙུན་པ་བཅོམ་ལྡན་འདས་གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་མ་མཆིས་ན། འཇིག་རྟེན་དུ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་འབྱུང་བར་མི་འགྱུར་ལ། ||| Venerable Pūrṇa said, “Honorable Blessed One, if there were no bodhisattvas, no buddhas would appear in the world.
སངས་རྒྱས་འབྱུང་བ་མ་མཆིས་ན། བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་ཀྱི་དགེ་འདུན་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཡང་མ་མཆིས་ཏེ། ||| And if no buddhas appear, there can be no saṅgha of the Blessed One’s hearers, nor can there be any bodhisattvas.
བཅོམ་ལྡན་འདས་དེའི་སླད་དུ། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་མཆིས་ན། འདི་ལྟར་འཇིག་རྟེན་དུ་སངས་རྒྱས་འབྱུང་བ་མཆིས་ལ། ||| Blessed One, therefore, if there are bodhisattva activities, the buddhas will appear in the world.
སངས་རྒྱས་འབྱུང་བ་མཆིས་ན། བཅོམ་ལྡན་འདས་ཀྱི་ཉན་ཐོས་རྣམས་དང་། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་མཆིས་སོ། ||| If buddhas appear, the saṅgha of the Blessed One’s hearers can also appear, as can the bodhisattvas.
།བཅོམ་ལྡན་འདས་དཔེར་བགྱི་ན། ཤིང་ཆེན་པོ་སྡོང་པོ་དང་ལྡན་ཞིང་སྙིང་པོ་དང་ལྡན་ན། མེ་ཏོག་རྣམས་མཆིས་ལ། མེ་ཏོག་ལས་འབྲས་བུ་རྣམས་མཆིས་པར་གྱུར་ཏེ། ||| Blessed One, as an analogy, a tree that has a trunk with sap running through it can grow flowers, and from those flowers fruits can appear.
འབྲས་བུ་ལས་ཀྱང་ཤིང་ཆེན་པོ་འབྱུང་བར་འགྱུར་ལགས་སོ། ||| From those fruits other tall trees can grow.
།བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་སངས་རྒྱས་བཞུགས་ན། ཉན་ཐོས་རྣམས་དང་། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་མཆིས་ཏེ། ||| Blessed One, likewise, when a buddha is present, there can also be activities of the hearers and the bodhisattvas.
དེ་ལས་ཀྱང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འབྱུང་བར་འགྱུར་ལགས་སོ། ||| From them the thus-gone, worthy, perfect buddhas will also appear.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོས་བཤད་པ་ལ་མངོན་པར་བསྟོད་དེ། གང་པོ་ལེགས་སོ། །ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ནོ། ། ||| At this point the Blessed One praised Venerable Pūrṇa Maitrāyaṇīputra’s comments: “Pūrṇa, excellent, excellent!”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བརྩོན་འགྲུས་ཀྱིས་གོ་ཆ་ཆེན་པོ་བགོས་པ་རྣམས་ཀྱི་བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟུང་ཤིག །ཀུན་ཆུབ་པར་གྱིས་ཤིག ། ||| He then said to Venerable Ānanda, “Ānanda, please remember and understand the perfection of diligence, which is for those bodhisattva great beings who wear a great armor of diligence.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོ་དང་། ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་དང་། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་དང་། ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། ||| When the Blessed One had spoken, Venerable Pūrṇa Maitrāyaṇīputra, Venerable Śāradvatīputra, Venerable Ānanda, the entire retinue, and the world, including its gods, humans, asuras, and gandharvas, rejoiced and praised what the Blessed One had said.
།བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྫོགས་སོ།། །། ||| This concludes “The Perfection of Diligence.”
བམ་པོ་དྲུག་པ་སྟེ་ཐ་མ།
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ན། བྱ་རྒོད་ཀྱི་ཕུང་པོའི་རི་ལ་དགེ་སློང་སྟོང་ཉིས་བརྒྱ་ལྔ་བཅུའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was staying in the Jeta Grove, Anāthapiṇḍada’s park at Śrāvastī, along with a great saṅgha of 1,250 monks.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འཚལ་བས་བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་ཇི་ལྟར་བསླབ་པར་བགྱི། ||| At that time Venerable Śāradvatīputra asked the Blessed One, “Blessed One, when bodhisattva great beings strive to awaken to unsurpassed and perfect buddhahood, how should they train in the perfection of concentration?
བཅོམ་ལྡན་འདས་ཇི་ལྟར་བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བསྒོམ་པར་བགྱི། ||| Blessed One, how should they practice the perfection of concentration?”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཤ་ར་དྭ་ཏིའི་བུ་འདི་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འདོད་པས་བསམ་གཏན་དང་པོ་ལ་མཉམ་པར་འཇོག་པ་ན། འདི་ལྟར་བསམ་གཏན་འདི་ལ་བདག་གིས་སྔོན་ཡང་སྙོམས་པར་ཞུགས་ཏེ། བསམ་གཏན་དང་པོ་འདི་ལ་སྔོན་འཁོར་བ་ཐོག་མ་དང་ཐ་མ་མེད་པའི་སྐྱེ་བར་སྙོམས་པར་ཞུགས་སོ་སྙམ་དུ་མཉམ་པར་གཞག་པར་མི་བྱའི། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བའི་རྟེན་དུ་འགྱུར་རོ། ||| The Blessed One said to Venerable Śāradvatīputra, “Śāradvatīputra, when bodhisattva great beings who wish to awaken to unsurpassed and perfect buddhahood rest evenly in the first concentration, they should think to themselves, ‘Previously I have also rested in this concentration, and as I rested in this first concentration, I nevertheless took birth in saṃsāra, which is without beginning or end.’ Contemplating in this manner, they should refrain from resting in this equipoise and instead use it as a basis for awakening to unsurpassed and perfect buddhahood.
།དེ་བཞིན་དུ་བསམ་གཏན་གཉིས་པ་དང་། གསུམ་པ་དང་། བཞི་པ་ལ་མཉམ་པར་འཇོག་པ་ན། འདི་ལྟར་བསམ་གཏན་བཞི་པ་འདི་ལ་བདག་གིས་སྔོན་ཡང་སྙོམས་པར་ཞུགས་ཏེ། བསམ་གཏན་བཞི་པ་འདི་ལ་སྔོན་འཁོར་བ་ཐོག་མ་དང་ཐ་མ་མེད་པའི་སྐྱེ་བར་སྙོམས་པར་ཞུགས་ཏེ། ||| Likewise, when resting evenly in the second, third, and fourth concentrations, those bodhisattvas should think, ‘In the past I likewise rested in this concentration and, although I did so, I nevertheless took birth in saṃsāra, which is without beginning or end.
སྔོན་ཡང་བདག་གིས་བསམ་གཏན་འདི་དག་བསྐྱེད་དོ་སྙམ་དུ་མཉམ་པར་གཞག་པར་མི་བྱའི། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བ་ལ་ཕན་འདོགས་པར་འགྱུར་ཞིང་བསམ་གཏན་བཞི་པ་ལ་བརྟེན་ནས། མངོན་པར་ཤེས་པ་ལྔ་མངོན་པར་བསྒྲུབ་པར་བྱ་དགོས་ཏེ། ||| In the past I already developed these concentrations.’ As they consider this, they should avoid resting in these concentrations and instead utilize them for awakening to unsurpassed and perfect buddhahood. Based on the fourth concentration, they must then accomplish the five superknowledges. “
བྱང་ཆུབ་སེམས་དཔའ་སྔ་མ་རྣམས་ཀྱིས་ཀྱང་འདི་ལྟར་བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་མཉམ་པར་བཞག་ཅིང་བསྒོམས་ཏེ། དེ་བས་ན་བདག་གིས་ཀྱང་འདི་ལ་བསླབ་པར་བྱའོ། ||| Furthermore, bodhisattvas should think, ‘Just as the bodhisattvas of the past trained by resting evenly in the perfection of concentration, so I will also train now.’
།བྱང་ཆུབ་སེམས་དཔའ་བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་གནས་པར་འདོད་ན་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡང་མངོན་པར་བསྒྲུབ་བོ། ||| When bodhisattvas wish in this way to practice the perfection of concentration, they must also accomplish the perfection of insight.
