༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་གུཔྟ་ནཱ་མ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་དཔལ་སྦས་ཞེས་བྱ་བའི་མདོ། ||| The Noble Śrīgupta Sūtra
ང་དེའི་ཚེ་དེའི་དུས་ན་རིའི་རྒྱལ་པོ་གངས་རིའི་ལྷོ་ཕྱོགས་ཀྱི་ངོས་ལ་གནས་པ་རྨ་བྱའི་རྒྱལ་པོ་གསེར་དུ་སྣང་བ་ཞེས་བྱ་བར་གྱུར་ཏོ། ||| I myself, at that time, was Suvarṇāvabhāsa, the peacock king who lived on the southern slope of the snowy king of mountains.
།ཁྱིམ་བདག་དེའི་ཚེ་དེའི་དུས་ན་རྨ་བྱ་ལྔ་བརྒྱར་གྱུར་པ་དེ་དག་གཞན་ཞིག་ཡིན་པ་སྙམ་དུ་ཁྱོད་དོགས་ཤིང་ཐེ་ཙོམ་ཟ་ན་དེ་ལྟར་མི་བལྟ་སྟེ། ||| Householder, if you suspect or have doubts that the five hundred peacocks were some other beings, reconsider.
དགེ་སློང་མཆོག་ལྔ་བརྒྱ་པོ་འདི་དག་དེའི་ཚེ་དེའི་དུས་ན་རྨ་བྱ་ལྔ་བརྒྱར་གྱུར་ཏོ། ||| The five hundred excellent monks in my retinue here were the five hundred peacocks at that time.
།ཁྱིམ་བདག་ང་དུད་འགྲོའི་སྐྱེ་གནས་སུ་གྱུར་པ་དེའི་ཚེ་ཡང་ལུས་ལ་དུག་གིས་མ་ཚུགས་ན། ||| “Householder, poison could not physically affect me even then, when I was born as an animal;
ད་ལྟར་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པ་ལྟ་ལ་སྨོས་ཀྱང་ཅི་དགོས་ཏེ། ||| how much less so now that I am a completely awakened buddha?
ངའི་ལུས་ལ་དུག་གིས་ཚུགས་པར་འགྱུར་བ་འདི་ནི་གནས་མེད་དོ། ||| There is no basis for poison to physically affect me.
།དེ་བས་ན་ཁྱིམ་བདག་ཚིགས་སུ་བཅད་པ་བརྗོད་པ་བྱས། ||| Therefore, householder, listen carefully and retain the following verses.
དེ་ལེགས་པར་རབ་ཏུ་ཉོན་ལ་ཡིད་ལ་ཟུང་ཤིག་དང་། ངས་ཁྱོད་ལ་བཤད་ཀྱིས་ལེགས་པར་རབ་ཏུ་ཟུང་ལ་ཟས་ལ་ལན་གསུམ་བཟླས་པ་གྱིས་ཏེ། ||| I will teach them to you; remember them carefully and recite them three times over the food, and then distribute it to the assembly of monks.
དགེ་སློང་གི་དགེ་འདུན་ལ་བྲིམས་ཤིག །འདོད་ཆགས་ཞེ་སྡང་གཏི་མུག་རྣམས། ||| “Attachment, anger, and delusion:
།དེ་དག་འཇིག་རྟེན་དུག་གསུམ་སྟེ། ||| These are the three worldly poisons.
།བཅོམ་ལྡན་སངས་རྒྱས་དུག་མེད་པ། ||| The blessed Buddha is without poison;
།སངས་རྒྱས་བདེན་པས་དུག་བཅོམ་མོ། ||| The Buddha’s truth conquers poison.
།འདོད་ཆགས་ཞེ་སྡང་གཏི་མུག་རྣམས། ||| “Attachment, anger, and delusion:
།དེ་དག་འཇིག་རྟེན་དུག་གསུམ་སྟེ། ||| These are the three worldly poisons.
།བཅོམ་ལྡན་ཆོས་ནི་དུག་མེད་པ། ||| The blessed Dharma is without poison;
།ཆོས་ཀྱི་བདེན་པས་དུག་བཅོམ་མོ། ||| The Dharma’s truth conquers poison.
།འདོད་ཆགས་ཞེ་སྡང་གཏི་མུག་རྣམས། ||| “Attachment, anger, and delusion:
།དེ་དག་འཇིག་རྟེན་དུག་གསུམ་སྟེ། ||| These are the three worldly poisons.
།བཅོམ་ལྡན་དགེ་འདུན་དུག་མེད་པ། ||| The blessed Saṅgha is without poison;
།དགེ་འདུན་བདེན་པས་དུག་བཅོམ་མོ། ||| The Saṅgha’s truth conquers poison.
།བདེན་པ་གང་གིས་ང་སངས་རྒྱས། །འཇིག་རྟེན་ཀུན་ལ་བླ་ན་མེད། ། ||| “By the truth of these words—The truth that I am a buddha,
བདེན་པའི་ཚིག་ནི་དེ་ཡིས་སུ། །ང་ལུས་དུག་གིས་མི་ཚུགས་ཤོག ། ||| Unsurpassed in the world—May poison not harm me!
བདེན་པ་གང་གིས་ང་ཡི་ཆོས། །འཇིག་རྟེན་ཀུན་ལ་བླ་ན་མེད། །བདེན་པའི་ཚིག་ནི་དེ་ཡིས་སུ། །ང་ལུས་དུག་གིས་མི་ཚུགས་ཤོག ། ||| “By the truth of these words— The truth that my Dharma Is unsurpassed in the world— May poison not harm me!
བདེན་པ་གང་གིས་ངའི་དགེ་འདུན། །འཇིག་རྟེན་ཀུན་ལ་བླ་ན་མེད། །བདེན་པའི་ཚིག་ནི་དེ་ཡིས་སུ། །ང་ལུས་དུག་གིས་མི་ཚུགས་ཤོག ། ||| “By the truth of these words—The truth that my Saṅgha Is unsurpassed in the world—May poison not harm me!
ཤིང་གང་དུག་དང་བཅས་རྣམས་དང་། །སྲོག་ཆགས་གང་དག་དུག་བཅས་པ། ||| “All the poisonous trees And all the poisonous animals
།དེ་ཀུན་འདོད་ཆགས་དུག་ལས་བྱུང་། །འདོད་ཆགས་འདི་ནི་དུག་གི་མཆོག ། ||| Arise from the poison of desire; Desire is the worst poison.
ཤིང་གང་དུག་དང་བཅས་རྣམས་དང་། །སྲོག་ཆགས་གང་དག་དུག་བཅས་པ། །དེ་ཀུན་ཞེ་སྡང་དུག་ལས་བྱུང་། །ཞེ་སྡང་འདི་ནི་དུག་གི་མཆོག ། ||| “All the poisonous trees And all the poisonous animals Arise from the poison of anger; Anger is the worst poison.
ཤིང་གང་དུག་དང་བཅས་རྣམས་དང་། །སྲོག་ཆགས་གང་དག་དུག་བཅས་པ། །དེ་ཀུན་གཏི་མུག་དུག་ལས་བྱུང་། །གཏི་མུག་འདི་ནི་དུག་གི་མཆོག ། ||| “All the poisonous trees And all the poisonous animals Arise from the poison of delusion; Delusion is the worst poison.
དྲག་པོའི་དུག་གིས་དུག་བཅོམ་སྟེ། །བསྲུང་དང་ཡོངས་སུ་གཟུང་བ་བྱས། ||| “The buddhas have conquered the fiercest poisons; They have protected and shielded us from them.
།སངས་རྒྱས་ཀུན་གྱིས་དུག་བཅོམ་པས། །རྫོགས་སངས་རྒྱས་ལ་སྐྱབས་སུ་དོང་། ||| Because all buddhas have conquered poisons, I take refuge in the perfectly awakened ones.
།དེ་དེ་བཞིན་བགྱིའོ་ཞེས་ཏེ་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་ཚིགས་སུ་བཅད་པ་དེ་དག་ལེགས་པར་རབ་ཏུ་བླངས་ཏེ། བླངས་ནས་ཟས་དེ་དག་ལ་ལན་གསུམ་བཟླས་ཏེ། ||| “Perform it in that manner.” The householder Śrīgupta accepted these verses in the presence of the Blessed One and recited them three times over the food.
རང་གི་ལག་གིས་ཞལ་ཟས་བསོད་པ་མང་པོ་དགེ་སློང་གི་དགེ་འདུན་ལ་བསྟབས་ཏེ་ཚིམ་པར་བྱས་སོ། ||| He then served many pleasing dishes to the assembled monks with his own hands, so that they were satisfied.
།དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་བཅོམ་ལྡན་འདས་དང་། དགེ་སློང་གི་དགེ་འདུན་བཤོས་གསོལ་ཟིན་ཏེ། ཕྱག་བཅབས་ལྷུང་བཟེད་གྱུ་བར་རིག་ནས་སྟན་ཞིག་བླངས་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ||| When the householder Śrīgupta learned that the Blessed One and the assembled monks had finished their meals and had washed their hands and put their alms bowls away, he rose from his seat and sat to one side.
།ཁྱིམ་བདག་དཔལ་སྦས་ཕྱོགས་གཅིག་ཏུ་འདུག་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱི་གཏམ་རིམ་གྱིས་མཛད་པ་འདི་ལྟ་སྟེ། ||| With Śrīgupta seated to the side, the Blessed One spoke to him about the following subjects in sequence:
གང་འདི་སྦྱིན་པའི་གཏམ་དང་། ཚུལ་ཁྲིམས་ཀྱི་གཏམ་དང་། མཐོ་རིས་ཀྱི་གཏམ་དང་། འདོད་པའི་ཉེས་དམིགས་དང་། དེའི་འོག་ཏུ་ཟག་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པ་དང་། མངོན་པར་འབྱུང་བའི་ཕན་ཡོན་དང་། རྣམ་པར་བྱང་བའི་ཕྱོགས་སོ། ||| generosity, moral discipline, higher rebirth, the faults of desire and the pollutions that flow from it, impurity, the benefits of renunciation, and purity.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཁྱིམ་བདག་དཔལ་སྦས་ལ་རྒྱ་ཆེར་རབ་ཏུ་བསྟན། ||| The Blessed One then instructed the householder Śrīgupta in greater detail;
རབ་ཏུ་འཇོག །རྣམ་པར་འགྲེལ། རྣམ་པར་འབྱེད། གསལ་བར་མཛད་དོ། ||| he set forth, explained, classified, and clarified.
།བཅོམ་ལྡན་འདས་ཀྱིས་གང་གི་ཚེ་ཁྱིམ་བདག་དཔལ་སྦས་སེམས་དགའ་བ་དང་། སེམས་མཉེན་པ་དང་། སེམས་དགེ་བ་དང་། སྒྲིབ་པ་མེད་པའི་སེམས་སུ་གྱུར་པར་མཁྱེན་པ་དེའི་ཚེ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཡང་དག་ཕུལ་གྱི་ཆོས་གང་སྟོན་པ་དེ་བཅོམ་ལྡན་འདས་ཀྱིས་ཁྱིམ་བདག་དཔལ་སྦས་ལ་རྒྱ་ཆེར་རབ་ཏུ་བསྟན། རབ་ཏུ་བཞག །རྣམ་པར་བཀྲོལ། རྣམ་པར་ཕྱེ། གསལ་བར་མཛད། རབ་ཏུ་བཤད་དོ། ||| When he realized that the householder Śrīgupta’s mind had become joyful, flexible, virtuous, and unpolluted, the Blessed One instructed, set forth, explained, classified, clarified, and explained in still greater detail the most sublime teachings taught by the blessed buddhas.
།དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་སྟན་དེ་ལ་འདུག་བཞིན་དུ་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་སྐྱེས་ཏེ། ||| While still on his seat, the householder Śrīgupta developed the dustless and unobscured Dharma eye.
འདི་ལྟ་སྟེ། དཔེར་ན་རས་ནག་པོའི་བག་མེད་པ། ཁ་བསྒྱུར་བར་འོས་པ་ཚོན་གྱི་ནང་དུ་བཅུག་ན་ཚོན་ལེགས་པར་འཇེན་པ་དེ་བཞིན་དུ་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱང་སྟན་དེ་ལ་འདུག་བཞིན་དུ་ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་སྐྱེས་སོ། ||| Just as a piece of fabric that has carelessly become stained but is fit to be dyed will thoroughly absorb the color it is soaked in, so did the householder Śrīgupta, seated on his seat, develop the dustless and unobscured Dharma eye in connection with the teachings.
།དེ་ནས་ཁྱིམ་བདག་དཔལ་སྦས་ཀྱིས་ཆོས་མཐོང་། ཆོས་ཐོབ། ཆོས་ཡོངས་སུ་བསྐྱེད། མངོན་དུ་ཡང་དག་པར་རྟོགས། ནེམ་ནུར་མེད། ཐེ་ཙོམ་དང་བྲལ། སོམ་ཉི་དང་བྲལ། གཞན་གྱི་དྲིང་མི་འཇོག །སྟོན་པའི་བསྟན་པ་ཀུན་ཏུ་ཤེས། ||| The householder Śrīgupta then perceived, attained, generated, and perfectly realized the Dharma. Without uncertainty, hesitation, or doubt, and without relying on anyone else, he completely understood the Teacher’s teachings.
མི་འཇིགས་པ་ཐོབ་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཙུན་པ་བཅོམ་ལྡན་འདས་བདག་སངས་རྒྱས་དང་། ཆོས་དང་། དགེ་སློང་གི་དགེ་འདུན་ལ་སྐྱབས་སུ་མཆིའོ། ||| He became fearless, and said to the Blessed One, “Noble sir, Blessed One, I go for refuge in the Buddha, Dharma, and monastic community.
།བཙུན་པ་བཅོམ་ལྡན་འདས་བདག་ལ་དགེ་བསྙེན་དུ་གཟུང་དུ་གསོལ། ||| Noble sir, Blessed One, please accept me as a lay devotee.
།དེང་ནས་ཇི་སྲིད་འཚོའི་བར་དུ་བདག་གི་སྐྱབས་ཁྱོད་ལགས་ཏེ་སྐྱབས་སུ་མཆིའོ། ||| From today, for as long as I live, you will be my refuge. I take refuge in you.”
།དེ་ནས་དགེ་སློང་དེ་དག་ངོ་མཚར་དུ་གྱུར། རྨད་དུ་བྱུང་བར་གྱུར་ཏེ། འདི་ལྟར་ཁྱིམ་བདག་དཔལ་སྦས་བཅོམ་ལྡན་འདས་མེ་དོང་དུ་བསྲེག་པ་དང་། སེམས་ཅན་དམྱལ་བ་ཆེན་པོར་ལྟུང་བར་འདོད་པ་དེ་བཅོམ་ལྡན་འདས་ཀྱིས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་ནས་བཟློག་སྟེ། ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་སྐྱེས་པ་འདི་ནི་ངོ་མཚར་རྨད་དུ་བྱུང་བའོ་སྙམ་པ་དང་། ||| The monks were astonished and amazed at how the householder Śrīgupta—who had wished to burn the Blessed One in a pit of fire and was destined to fall into the great hells—had been turned away from the great hells by the Blessed One, and had developed the dustless and unobscured Dharma eye in connection with the teachings.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགེ་སློང་དག་ཁྱིམ་བདག་དཔལ་སྦས་ད་ལྟར་འབའ་ཞིག་ང་མེ་དོང་དུ་བསྲེག་པ་དང་། སེམས་ཅན་དམྱལ་བ་ཆེན་པོར་ལྟུང་བར་འདོད་ལ། ངས་དེ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་དེ་ལས་བཟློག་སྟེ། ཆོས་རྣམས་ལ་ཆོས་ཀྱི་མིག་རྡུལ་མེད་ཅིང་དྲི་མ་དང་བྲལ་བ་སྐྱེས་པར་ཡང་མ་ཟད་དེ། ||| When he perceived their surprise and wonder, the Blessed One said, “Monks, this is not the only time the householder Śrīgupta wished to burn me in a pit of fire and was destined to fall into the great hells until I turned him away from the great hells so that he would develop the dustless and unobscured Dharma eye in connection with the teachings.
དགེ་སློང་དག་གཞན་གྱི་ཚེ་ཡང་ཁྱིམ་བདག་དཔལ་སྦས་ང་མེ་དོང་དུ་བསྲེག་པ་དང་། སེམས་ཅན་དམྱལ་བ་ཆེན་པོར་ལྟུང་བར་འདོད་དེ། ||| Monks, in another life as well, the householder Śrīgupta wished to burn me in a pit of fire and was destined to fall into the great hells;
ངས་དེ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་དེ་ལས་བཟློག་གོ། ||| then, too, I turned him away from the great hells.”
།དགེ་སློང་དེ་དག་གིས་གསོལ་པ། བཙུན་པ་བཅོམ་ལྡན་འདས། ཁྱིམ་བདག་དཔལ་སྦས་གཞན་གྱི་ཚེ་བཅོམ་ལྡན་འདས་ཞུགས་ཀྱི་དོང་དུ་བསྲེགས་ཏེ། སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་མནར་མ་མཆིས་པར་ལྟུང་བར་འཚལ་ལ། བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་དེ་ལས་ཐར་བར་མཛད་པ་ཇི་ལྟ་བུ་ལགས། ||| The monks asked, “Noble sir, Blessed One, how did it happen that, in another life, the householder Śrīgupta sought to burn the Blessed One in a pit of fire, and was thus destined to fall into the great Avīci hell, only to have the Blessed One save him from falling into that hell?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དགེ་སློང་དག་སྔོན་བྱུང་བ་འདས་པའི་དུས་ན་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཅེས་བྱ་བ་ཚུལ་ཁྲིམས་དང་ལྡན་པ། ཡོན་ཏན་དང་ལྡན་པ། ||| The Blessed One replied, “Monks, in the past there lived a brahmin boy named Dharmakāma. He was morally disciplined and full of good qualities.
འདོད་པ་ཆུང་བ། ཆོག་ཤེས་པ། རབ་ཏུ་དབེན་པ། དགེ་བའི་ཆོས་ཅན་ཞིག་བྱུང་སྟེ། ||| Content, and with little desire, he lived a virtuous life in seclusion.
བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ནི་གཟུགས་བཟང་བ། མཛེས་པ། བལྟ་ན་སྡུག་པ། ཁ་དོག་བཟང་པོ་རྒྱས་པ་མཆོག་དང་ལྡན་པའོ། ||| The brahmin boy Dharmakāma had a fine figure and was handsome and attractive, with a clear and hearty complexion.
།བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་དེ་བྲམ་ཟེ་དང་། རྒྱལ་རིགས་དང་། ཁྱིམ་བདག་རྣམས་ཀྱིས་བཀུར་སྟི་བྱས། ||| Brahmins, warriors, and householders all held Dharmakāma in high regard and venerated him;
བླ་མར་བྱས་ཏེ་མཆོད་ནས་གོས་དང་། ཟས་དང་། མལ་ཆ་དང་། ན་བའི་གསོས་སྨན་དང་། ཡོ་བྱད་བཟང་པོ་མང་པོ་རྙེད་པར་གྱུར་ཏོ། ||| from them he received abundant offerings of high-quality clothing, food, bedding, and medicines.
།བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ནི་སྟོང་ཕྲག་བརྒྱས་ཚིགས་སུ་བཅད་པ་གཅིག་ཚོལ་ལོ། ||| The brahmin boy Dharmakāma would refine a single verse a hundred thousand times.
།དེ་ནས་བྲམ་ཟེ་ཞིག་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱི་རྙེད་པ་དང་། བཀུར་སྟི་དང་། ཚིགས་སུ་བཅད་པ་མ་བཟོད་ནས་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ངས་བྲམ་ཟེའི་ཁྱེའུ་ཁྱོད་ལ་ལེགས་པར་བཤད་པ་བསྒྲག་པར་བྱའོ། ||| “A certain brahmin was not able to bear Dharmakāma’s possessions, honor, and literary ability, so he approached him and said, ‘Dharmakāma, there is an eloquent expression I would like to share with you.’
།བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་སྨྲས་པ། འཕགས་པ་ལེགས་པར་བཤད་པ་བདག་ལ་ལེགས་པར་བསྒྲག་ཏུ་གསོལ། ||| “Dharmakāma replied, ‘Noble one, please share this eloquent expression with me.’
བྲམ་ཟེས་སྨྲས་པ། ཆོས་འདོད་ངས་ཁྱོད་ལ་དེ་བཞིན་དུ་ལེགས་པར་བཤད་པ་བསྒྲག་ཏུ་མི་རུང་ངོ་། ||| “The brahmin replied, ‘Dharmakāma, this is not the setting for me to share this eloquent expression with you.”
།ཆོས་འདོད་ཀྱིས་སྨྲས་པ། འཕགས་པ་འོ་ན་ཁྱོད་ཀྱིས་ལེགས་པར་བཤད་པ་བདག་ལ་ཇི་ལྟར་བསྒྲག་པར་བགྱི། ||| “Dharmakāma said, ‘Well then, noble sir, how would you share this eloquent expression with me?’
བྲམ་ཟེས་སྨྲས་པ། གལ་ཏེ་ཆོས་འདོད་ཁྱོད་ཀྱིས་དོང་ཆེན་པོ་རྐོར་བཅུག་ལ། བརྐོས་ནས་མེས་འགེངས་སུ་བཅུག་སྟེ། ||| “The brahmin said, ‘Dharmakāma, have a deep pit dug, and then fill it with fire that is flameless and smokeless.
མེ་མི་འབར་ཞིང་དུ་བ་མི་འཐུལ་བས་བཀང་ནས་མཆོད་སྡོང་མཐོན་པོ་འཛུགས་སུ་ཆུག་ལ། ||| Erect a tall sacrificial post in front of the pit, and then hurl yourself into the fire.
འཛུགས་སུ་བཅུག་ནས་མེ་དོང་དེར་བདག་ཉིད་མཆོངས་ན་དེ་ལྟ་ན་ངས་ཁྱོད་ལ་ལེགས་པར་བཤད་པ་བསྒྲག་པར་བྱའོ། ||| If you do this, I will share the eloquent expression with you.’
།བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་སྨྲས་པ། འཕགས་པ་བདག་འདི་ན་ལེགས་པར་བཤད་པ་གང་ཅི་ཚོལ་བ་དེ་ཐམས་ཅད་ནི་སེམས་ཅན་རྣམས་ཀྱི་དོན་གྱི་སླད་དུ་ལགས་ན། ||| “Dharmakāma replied, ‘Noble one, all my efforts in seeking eloquent expressions have been dedicated to the benefit of beings.
སློབ་དཔོན་བདག་གིས་ལེགས་པར་བཤད་པ་སེམས་ཅན་རྣམས་ལ་མ་བསྒྲགས་པར་ཇི་ལྟར་མེ་དོང་དུ་མཆོང་བར་བགྱི། ||| So, master, how can I hurl myself into a fire pit without having shared an eloquent expression with beings?’
དེ་ནས་བྲམ་ཟེ་དེས་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ལ་ཚིགས་སུ་བཅད་དེ་སྨྲས་པ། ||| “The brahmin then recited this verse to Dharmakāma:
སྔགས་ཚོལ་བདེ་བ་ག་ལ་ཡོད། ||| “ ‘Where one seeks mantras there is happiness;
།ག་ལ་བདེ་ཡོད་སྔགས་ཚོལ་བ། ||| Where there is happiness one seeks mantras.
།སྔགས་བཙལ་ཕྱིར་ནི་བདེ་བ་འོར། ||| In order to find mantras, give up happiness.
།བདེ་བ་འོར་ཅིག་སྔགས་བཙལ་ཕྱིར། ||| Give up happiness in order to find mantras.’
།དེ་ནས་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་བྲམ་ཟེ་དེ་ལ་ཚིགས་སུ་བཅད་དེ་སླར་སྨྲས་པ། ||| “Dharmakāma answered the brahmin with the following verse:
བྱང་ཆུབ་ཚོལ་བ་ག་ལ་བདེ། ||| “ ‘Where one seeks awakening there is happiness.
།ག་ལ་བདེ་ཡོད་བྱང་ཆུབ་ཚོལ། ||| One seeks awakening where there is happiness.
།བྱང་ཆུབ་བཙལ་ཕྱིར་བདེ་བ་འོར། ||| In order to find awakening, give up happiness.
།བདེ་འོར་བྱང་ཆུབ་བཙལ་བའི་ཕྱིར། ||| Give up happiness in order to find awakening.’
།དེ་ནས་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་བྲམ་ཟེ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །སློབ་དཔོན་བདག་ལ་ལེགས་པར་བཤད་པ་ལེགས་པར་བསྒྲགས་སུ་གསོལ། ||| “Then Dharmakāma said to the brahmin, ‘Master, please share an eloquent expression with me.
འོན་ཏང་ཁྱོད་གང་བཞེད་པ་དེ་བགྱིའོ། ||| In any case, I will do as you instruct.’
།བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ལེགས་པར་བཤད་པའི་དོན་གྱི་ཕྱིར་བདག་ཉིད་དོར་བར་འདོད་དོ་ཞེས་བྲམ་ཟེ་དང་ཁྱིམ་བདག་རྣམས་ཀྱིས་ཐོས་ནས་དེ་དག་ཐམས་ཅད་ངུ་ཞིང་གདོང་ལ་མཆི་མ་ཟག་བཞིན་དུ་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ག་ལ་བ་དེར་དོང་སྟེ་ཕྱིན་ནས་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| “Once they learned that the brahmin boy Dharmakāma intended to sacrifice himself in pursuit of an eloquent expression, the brahmins and householders came to where Dharmakāma lived, all of them weeping, with tears streaming down their faces.
།ཆོས་འདོད་ཁྱོད་བདག་ཉིད་མ་དོར་ཅིག །ཆོས་འདོད་ཁྱོད་ནི་ཁྱིམ་ན་འདུག་བཞིན་སྦྱིན་པ་སྦྱིན་པ་དང་། བསོད་ནམས་བྱ་བར་ནུས་སོ། ||| Upon arriving, they said to the brahmin boy Dharmakāma, ‘Dharmakāma, do not sacrifice yourself. Dharmakāma, you can practice generosity and make merit while living as a householder.’
།བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་བྲམ་ཟེ་དང་ཁྱིམ་བདག་དེ་དག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཙུན་པ་དག་དེ་སྐད་མ་གསུང་ཤིག །བདག་གིས་སློབ་དཔོན་གྱི་དགོངས་པ་ངེས་པར་བསྐང་བར་བགྱིའོ། ||| “The brahmin boy Dharmakāma replied to the brahmins and householders, ‘Gentlemen, do not say that. I will fulfill the wishes of my master.’
།དེ་ནས་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་མཆོད་སྡོང་ཆེན་པོ་འཛུགས་སུ་བཅུག་སྟེ། མཆོད་སྡོང་ཆེན་པོ་བཙུགས་ནས་དེའི་དྲུང་དུ་དོང་ཆེན་པོ་རྐོར་བཅུག་སྟེ། ||| “Then the brahmin boy Dharmakāma had a tall sacrificial post erected, and had a deep pit dug in front of it.
བརྐོས་ནས་མེས་འགེངས་སུ་བཅུག་གོ། །མེ་མི་འབར་ཞིང་དུ་བ་མི་འཐུལ་བས་བཀང་ནས་བྲམ་ཟེ་དེ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །སློབ་དཔོན་བདག་ལ་ལེགས་པར་བཤད་པ་ལེགས་པར་བསྒྲག་ཏུ་གསོལ། ||| He had the pit filled with a flameless and smokeless fire, and said to the brahmin, ‘Master, please share an eloquent expression with me.’
དེ་ནས་བྲམ་ཟེ་དེས་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ལ་ཚིགས་སུ་བཅད་པ་འདི་ལྟ་བུ་བསྟན་ཏོ། ||| “The brahmin then taught the brahmin boy Dharmakāma verses such as this one:
།སྦྱིན་པ་ལ་ནི་རྟག་ཏུ་དགའ་བར་གྱིས། ||| “ ‘Always take joy in generosity;
།རྟག་ཏུ་ཚུལ་ཁྲིམས་ཡོངས་སུ་རྫོགས་པར་སྤྱོད། །བརྩོན་འགྲུས་མཆོག་གི་གནས་ནི་བརྩམ་པར་གྱིས། ||| Always practice perfect moral conduct; Always apply supreme diligence—
།ཤེས་རབ་ཀྱིས་ནི་ཆོས་མཆོག་དམ་པ་ཐོབ། ||| With wisdom, attain the supreme and holy Dharma.’
།དེ་ནས་བྲམ་ཟེའི་ཁྱེའུ་ཆོས་འདོད་ཀྱིས་བྲམ་ཟེ་དེ་ལ་ཚིགས་སུ་བཅད་པ་འདི་ལེགས་པར་རབ་ཏུ་བཟུང་སྟེ། སྐྱེ་བོ་ཕལ་པོ་ཆེ་བསོགས་སོ། ||| “When the brahmin boy Dharmakāma had memorized this verse from the brahmin, a large crowd of people gathered.
།སྐྱེ་བོ་ཕལ་པོ་ཆེ་བསོགས་ནས་མཆོད་སྡོང་མཐོན་པོའི་ཁར་འཛེགས་ཏེ། སྐྱེ་བོ་ཕལ་པོ་ཆེ་ལ་ཚིགས་སུ་བཅད་པ་འདི་བསྒྲགས་སོ། ||| He then climbed up onto the tall sacrificial post to share the verse with the crowd:
།སྦྱིན་པ་ལ་ནི་རྟག་ཏུ་དགའ་བར་གྱིས། ||| “ ‘Always take joy in generosity;
