༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སཱུརྱ་གརྦྷ་ནཱ་མ་མ་ཧཱ་བཻ་བུ་ལྱཾ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་སྡེ་ཉི་མའི་སྙིང་པོ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Very Extensive Sūtra The Quintessence of the Sun
།ཇི་སྲིད་དུ་སྔོན་གྱི་མཐའི་འཁོར་བར་འཁོར་བ་དེ་སྲིད་དུ་སླད་ཀྱིས་ཕྱི་མའི་མཐའི་མུར་སེམས་ཅན་དམྱལ་བར་གནས་པར་སྤྲོ་ལགས་ཀྱི། བླ་ན་མ་མཆིས་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་སེམས་ལྡོག་པར་ནི་མི་བགྱིད་ལགས་སོ། ||| He then exclaimed, “From now on I would rather remain in the hell realms for as long as I have so far been circling in saṃsāra than let my mind stray from unsurpassed and perfect awakening!”
།བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་ལེགས་སོ་ལེགས་སོ། ||| The Blessed One replied, “Excellent, noble son!
།གང་ལ་ལ་སྙིང་རྗེའི་སེམས་ཀྱིས་བྱང་ཆུབ་ཏུ་སེམས་གཞོལ་བར་བྱེད་ན། འདི་ནི་འདྲེན་པ་རྣམས་ལ་མཆོད་པ་མཆོག་དང་ཕུལ་ཡིན་ཏེ། ||| Those who dedicate themselves to the mind set on awakening with a compassionate attitude are making the most outstanding gift to the great guides.
འདྲེན་པའི་སྤྱན་སྔར་ལ་ལ་མར་མེ་རི་རབ་ཙམ་དུ་འབར་བར་བྱེད་ཀྱང་བསོད་ནམས་ཀྱི་ཕུང་པོ་དེ་སྙེད་ཡོངས་སུ་བཟུང་བ་མ་ཡིན་གྱིས་ཁྱོད་ལོངས་ཤིག །ང་ལ་སྡིག་པའི་ལས་སྲ་བ་འོར་ཅིག །ཕུང་པོ་དང་ཁམས་འདི་དག་ལ་སྤྲོས་པ་དང་། མཚན་མ་མེད་པ་དང་། འདུས་བྱས་ཐམས་ཅད་དྲན་པར་བྱོས་ཤིག་དང་། ཁྱོད་ཡོན་ཏན་མཆོག་ཏུ་ཁ་ལོ་སྒྱུར་བར་འགྱུར་རོ། ||| Even the merit of lighting lamps as big as Mount Sumeru in front of the great guides would not match that heap of merit. Therefore, adopt this attitude! Surrender this strong negative karmic action to me! Remember that the aggregates and elements are devoid of concepts and marks—they are conditioned! Then you will become a leader with supreme qualities.”
།དེ་ནས་དེ་ཉིད་ཀྱི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཚུལ་ཁྲིམས་རྟེན་གྱིས་རྗེས་སུ་འཐུན་པའི་ཆོས་རྣམས་ལ་བཟོད་པ་ཐོབ་པར་གྱུར་ཏོ། །དེ་ནས་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཚུལ་ཁྲིམས་རྟེན་སྟན་ལས་ལངས་ཏེ། ||| At that very moment, the bodhisattva great being Support of Discipline achieved the concordant acceptance with respect to phenomena.
བཅོམ་ལྡན་འདས་ལ་རིན་ཐང་མེད་པའི་མུ་ཏིག་གི་རྒྱན་ཕྲེང་གིས་སྐུ་ལ་གཡོགས་ནས་གསོལ་པ། ||| Then, he stood up, draped the body of the Blessed One with garlands made of invaluable pearl jewelry, and asked,
གང་བདག་ཅག་གིས་ཆོས་ཐམས་ཅད་མྱུར་དུ་རྟོགས་ནས་དབུ་བ་དང་འདྲ་བའི་ལྟ་བ་ཐམས་ཅད་ཡང་དག་པར་འཇོམས་པར་བགྱིད་པ་དང་། ||| “What are the qualities that will cause us to quickly understand all phenomena and destroy all views as if they were water bubbles?
བྱང་ཆུབ་ཏུ་ནི་བཟོད་པ་མཆོག་ཐོབ་པར་འགྱུར་བ་དང་། ཡུན་རིང་པོ་མི་ཐོགས་པར་སེམས་ཅན་ཐམས་ཅད་ཐར་བར་བགྱིད་པའི་ཆོས་ནི་གང་ལགས། ||| What are the qualities that will cause us to achieve the supreme acceptance set on awakening and quickly liberate all beings?
གང་ཞིག་ནི་བྱང་ཆུབ་སེམས་དཔས་སྤང་བའི་སླད་དུ་བསྒོམ་པར་བགྱིད་པ་ལགས། ||| What should the bodhisattvas cultivate for the sake of abandonment?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཚུལ་ཁྲིམས་རྟེན་མཁས་པས་ཆོས་བཞི་མྱུར་དུ་བསྐྱེད་པར་བྱ་སྟེ། ||| The Blessed One replied, “Support of Discipline, the wise ones must quickly generate four qualities.
བཞི་གང་ཞེ་ན། ||| What are the four?
སེམས་ཅན་གྱི་ཕྱིར་སྡུག་བསྔལ་ཚད་མེད་པ་ཐམས་ཅད་ལ་སྤྲོ་བར་བྱ་བ་ཡིན། སངས་རྒྱས་ཀྱི་ཡུལ་གྱི་བསླབ་པ་དཔག་ཡས་པ་གཟུང་བར་བྱ་བ་ཡིན། མ་ཉམས་པར་གཟུང་བར་བྱ་བ་ཡིན། སངས་རྒྱས་ཀྱི་ཆོས་དཔག་ཏུ་མེད་པ་ཐམས་ཅད་མྱུར་དུ་ཡོངས་སུ་རྫོགས་པར་བྱ་བ་ཡིན་ནོ། ||| (1) Enthusiastically accepting boundless suffering for the sake of others, (2) undertaking the endless trainings of the buddhas’ domain, (3) undertaking them without letting them regress, and (4) quickly perfecting all the limitless buddha qualities.”
།ཡང་དེའི་ཚེ་ཚུལ་ཁྲིམས་རྟེན་གྱི་འཁོར་བདུད་ཀྱི་སྡེ་བརྒྱད་ཁྲི་བཞི་སྟོང་པོ་དེ་དག་གིས་ལུང་བསྟན་པ་དེ་ཐོས་ནས་དེ་བཞིན་གཤེགས་པ་ལ་དད་པ་དང་དང་བ་མཆོག་སྐྱེས་ཤིང་གུས་པ་སྐྱེས་ནས། བཅོམ་ལྡན་འདས་ལ་ལྷག་པའི་བསམ་པས་བཟོད་པ་གསོལ་བར་གྱུར་ཏོ། ||| When they heard that teaching, supreme trust, faith, and respect arose in the minds of the eighty-four thousand māras in the retinue of Support of Discipline, and they sincerely apologized to the Blessed One.
།དེའི་ཚེ་དེ་དག་གིས་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སྨོན་ལམ་བཏབ་སྟེ། དེ་དག་ཐམས་ཅད་ཀྱིས་བྱང་ཆུབ་ཀྱི་སེམས་མི་བརྗེད་པའི་ཏིང་ངེ་འཛིན་ཐོབ་བོ། ||| They also made aspirations to reach unsurpassed and perfect awakening, and they all achieved the absorption that does not forget the mind of awakening.
།བཅོམ་ལྡན་འདས་ལ་དེ་དག་གིས་རང་རང་གི་ལྷ་རྫས་ཀྱི་ཆོས་གོས་དག་སྐུ་ལ་གསོལ་ནས་ཕྱོགས་གཅིག་ཏུ་འཁོད་དོ། ||| They draped the body of the Blessed One with Dharma robes made of divine substances and then sat to one side.
།བདུད་སྡིག་ཅན་གྱིས་མཐོང་སྟེ། མཐོང་ནས་ཀྱང་ཡང་ཤས་ཆེར་འཁྲུགས་ཤིང་སྐྲག་ནས་འདི་སྐད་ཅེས་སྨྲས་སོ། །དགེ་སྦྱོང་གི་ནི་ལྟོར་ཆུད་པས། །འཁོར་དེ་དག་དང་བྲལ་བར་གྱུར། ||| When he saw this, the evil Māra became exceedingly distressed and scared. He shouted, “They have been consumed by the spiritual practitioner, so now I have lost those retinues!
།འདི་ནས་གང་དུ་དོང་བ་ནི། །ཐམས་ཅད་དེ་ཡི་དབང་དུ་སོང་། ||| All those who left from here have fallen under his power, so no one can go outside anymore!
།དེས་སུ་ཡང་ཕྱི་རོལ་དུ་མ་འབྱུང་ཤིག །བདུད་ཀྱི་སྤྱོད་ཡུལ་འདིར་བདག་ཅག་གནས་པར་བྱའོ་ཞེས་སྨྲས་ནས་མྱུར་དུ་གྲོང་ཁྱེར་གྱི་སྒོ་བཅད་དེ་གབ་ཏུ་བཅུག་གོ། ||| We must remain here in this domain of the māras!” As he shouted this, he quickly closed the city gates and had guards protect them.
།དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་ཇི་ལྟར་ནམ་མཁའི་སྤྱན་ལས་གསུངས་པ་བཞིན་དུ་དེ་དག་ལ་ཚངས་པའི་གནས་པ་རྣམ་པ་གསུམ་པོ་སེམས་ཅན་ལ་དམིགས་པ་དང་། ཆོས་ལ་དམིགས་པ་དང་། དམིགས་པ་མེད་པ་རྒྱ་ཆེར་བསྟན་པར་ཡང་དག་པར་བརྩམ་པ་མཛད་དོ། ||| Then, with his sky-like vision, the Blessed One began to give extensive teachings about the three pure abodes—the focus on sentient beings, the focus on phenomena, and the absence of focus.
།རི་ཁ་ལ་ཏི་ཡའི་རྩེ་མོ་དྲང་སྲོང་ཐུབ་པའི་གནས་སུ་ཀླུ་གང་དག་རྟེན་ཅིང་འདུས་པ་དེ་དག་ཐམས་ཅད་ཀྱིས་ཀྱང་རང་རང་གི་ལུས་ཆུང་ངུར་མཐོང་སྟེ། དཔེར་ན་མིག་སྨན་བསྐུ་བའི་ཐུར་མ་བཞིན་ནོ། །ཇི་ལྟར་སྔོན་གྱི་ལུས་བཞིན་དུ་ཡང་བཞག་པར་མ་ནུས་སོ། །སླར་འབྱུང་བར་ཡང་མ་ནུས་ཏེ། ||| All the nāgas who had found shelter and gathered at the sacred site of wise sages at the summit of Mount Kalatiya now noticed that their bodies had become as small as the pin used to apply ointment to the eyes, but they were unable to restore their bodies to their normal size.
དེ་དག་ཐམས་ཅད་འཇིགས་ཤིང་སྐྲག་ལ་སྤུ་ཟིང་ཞེས་བྱེད་པའི་བ་སྤུའི་ཁུང་བུ་བྱུང་ནས། ||| They became filled with fear and terror, and their hairs stood on end.
དེ་དག་ཐམས་ཅད་ཀྱིས་དགའ་བོ་དང་ཉེ་དགའ་ལ་རབ་ཏུ་བཏུད་ནས་འདི་སྐད་ཅེས་སྨྲས་སོ། །གང་གི་ཚེ་བདག་ཅག་གི་གྲོང་དུ་ཤ་སྦྲང་དང་། སྦྲང་བུ་མཆུ་རིངས་དང་། སྦྲང་བུ་གདུག་པ་རྣམས་ཀུན་ཏུ་བྱུང་བ་དེའི་ཚེ་བདག་ཅག་གནས་ཐམས་ཅད་བོར་ནས་བསྐྱབ་པའི་ཕྱིར་འདིར་ཞུགས་ནས་འདི་ནས་གང་དུ་ཡང་མཆི་བར་མ་ནུས་ཏེ། ||| So they all bowed toward Nanda and Upananda and supplicated, “When those flesh flies, mosquitoes, and hornets appeared in our towns, we all left our homes and entered this realm to find shelter.
ལུས་དག་ཀྱང་ཆུང་ངུར་གྱུར་ལགས་ན་གང་གིས་བདག་ཅག་གནས་སུ་མཆི་བར་བདག་ཅག་བསྐྱབ་ཏུ་གསོལ། ||| But now we are unable to leave again, and our bodies have become tiny. Please protect us so that we may return to our homes!
མི་འཇིགས་པ་སྩལ་བར་གསོལ། ||| Please grant us fearlessness!”
དགའ་བོ་དང་ཉེ་དགའ་གཉིས་ཀྱིས་ཀྱང་སྨྲས་པ། ||| Nanda and Upananda replied:
དགེ་སྦྱོང་འདི་ནི་གཡོ་སྒྱུ་ཅན་གྱིས་བློ། ||| “This spiritual practitioner is deceitful.
།ཤཱཀྱའི་བུ་ཕོ་སྒྱུ་མ་བྱེད་པ་ཡིན། ||| The son of the Śākyas is performing magical tricks.
།སངས་རྒྱས་ཞིང་འདིར་ཞུགས་པར་གྱུར་ནས་སུ། ||| He has entered this buddha realm
།ལུས་ཀུན་ལ་ནི་ཐམས་ཅད་ཆུད་པར་གྱུར། ||| And then absorbed it all into his body.
།དེས་ནི་ཀླུ་རྣམས་ཀུན་གྱི་གནས་དག་ཏུ། །ཤ་སྦྲང་སྦྲང་བུ་མཆུ་རིངས་སྦྲང་བུ་སྦྲུལ། ||| “He has manifested those flesh flies, mosquitoes, and hornets In all the abodes of the nāgas.
།ས་འདི་བསྐྱབ་ཕྱིར་ངེད་ཅག་ལྷགས་གྱུར་ཏེ། ||| We have come to this place to find shelter,
།ཐམས་ཅད་སྟོབས་རྣམས་ལས་ནི་ཉམས་པར་གྱུར། ||| And our strengths have declined.
།གཽ་ཏ་མ་ནི་བློ་གྲོས་གཡོན་ཅན་ཡང་། ||| “Although Gautama has a cunning intelligence,
།ལས་དེས་རྫུ་འཕྲུལ་དེ་ལས་ཉམས་གྱུར་ཅིང་། ||| Through his actions his magical powers have now declined,
།དེ་ནི་ལུས་ཀྱང་ཆུང་ངུར་གྱུར་ནས་སུ། ||| And his own body has also become small.
།སྟན་གྱི་སྟེངས་ན་དམངས་ནི་ཀུན་ཏུ་སྣང་། ||| This commoner now appears sitting on his seat.
།དེས་ནི་བདག་ཅག་ལུས་ཀྱང་ཆུང་ངུར་བྱས། ||| “He reduced the size of our bodies
།བཙོན་ར་འདིར་ནི་བཅིངས་པར་གྱུར་ནས་སུ། ||| And bound us inside this prison.
།ངེད་ཅག་ཅི་ཡང་བྱེད་པར་མི་ནུས་ཀྱིས། ||| We are unable to do anything,
།མི་འཇིགས་ལྷ་ལ་ཁྱེད་ཅག་ཕྱག་འཚོལ་ཅིག ། ||| So you must pay homage to the fearless god!”
འདོད་པའི་དབང་ཕྱུག་བདུད་སྡིག་ཅན་ལ་ཀླུ་དེ་དག་ཐམས་ཅད་ཀྱིས་ཕྱག་འཚལ་ཏེ་སྨྲས་པ། གང་བདག་ཅག་བཙོན་ར་དེ་ནས་འབྱེར་བ་དང་རང་རང་གི་གནས་རྣམས་སུ་གནས་པར་རྔོ་ཐོགས་པར་བདག་ཅག་བསྐྱབ་ཏུ་གསོལ། ||| So all the nāgas paid homage to the evil Māra, the lord of the desire realm, saying, “Please protect us, so that we may be able to escape from this prison and live again in our own homes!”
ཀླུའི་རྒྱལ་པོ་ས་སྲུང་གི་བུས་དེ་དག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| The nāga king Airāvaṇa then said to them:
།བདུད་དཔུང་བཅས་པ་རང་ཉིད་སྐྲག་ནས་སུ། ||| “Māra and his armies are themselves frightened
།གཽ་ཏ་མ་སྒྱུ་མ་གཡོ་སྒྱུ་ཅན་ལ་སྐྱོ། ||| And distressed by the cunning tricks of Gautama.
།འཁོར་དང་ལྟོ་གོལ་རྣམས་ཀྱང་གཡོ་ཡིས་སུ། །དེས་ནི་དེ་ཡི་སྐྱེ་བོ་མང་པོ་ཕྲོགས། ||| He has taken away many of his followers By deceiving his retinues and followers.
།བདུད་ལ་མཐུ་ནི་ཅི་ཡང་ཡོད་མ་ཡིན། ||| “Māra has no power whatsoever;
།འགྲོ་བ་དང་ནི་རྫུ་འཕྲུལ་དེ་ལས་ཉམས། ||| His movements and magical powers have declined.
།གཞན་ལ་ཁྱེད་ཅག་མྱུར་དུ་སྐྱབས་སུ་དེང་། །ལྷ་རྣམས་ལ་ནི་ཀུན་གྱིས་རྗེད་པར་བྱོས། ། ||| Quickly go and seek protection in other beings! All of you must honor the gods!”
དེ་ནས་ཀླུ་ཐམས་ཅད་ཀྱང་ཁ་ཅིག་ནི་རྒྱལ་པོ་ཆེན་པོ་བཞི་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །ཁ་ཅིག་ནི་བརྒྱ་བྱིན་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །ཁ་ཅིག་ནི་རབ་འཐབ་བྲལ་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །ཁ་ཅིག་ནི་ཡོངས་སུ་དགའ་ལྡན་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །ཁ་ཅིག་ནི་འཕྲུལ་དགའ་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །ཁ་ཅིག་ནི་ལྷའི་བུ་གཞན་འཕྲུལ་དབང་བྱེད་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །ཁ་ཅིག་ནི་ཚངས་པ་ཆེན་པོ་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། ||| Some of the nāgas then paid homage to the Four Great Kings, some paid homage to Śakra, some paid homage to the supreme god in the Heaven Free from Strife, some paid homage to the supreme god in the Heaven of Joy, some paid homage to the gods in the Heaven of Delighting in Emanations, some paid homage to the gods in the Heaven of Making Use of Others’ Emanations, and some paid homage to the mahābrahmās.
།ཀླུའི་རྒྱལ་པོ་ཐམས་ཅད་ལ་ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོས་འདི་སྐད་ཅེས་སྨྲས་སོ། ||| The nāga king Sāgara then said to all the other nāga kings:
།ལྷ་དང་ལྷ་དབང་འདི་ཀུན་འཁོད་ནས་སུ། །མཆོད་པ་རྣམ་པ་སྣ་ཚོགས་བྱེད་པ་དང་། །གཽ་ཏམ་དམངས་ལ་ཐམས་ཅད་སྐྱབས་གནས་པ། །ཁྱེད་ཅག་གི་ནི་ཅི་ཡི་ཕྱིར་མ་མཐོང་། ||| “Why do you not see That all the gods and their rulers are sitting around Gautama? They make various offerings to him, And they have all taken refuge in this śūdra!
།དཀའ་ཐུབ་དྲག་པོ་དྲང་སྲོང་ཆེན་པོ་དག །གཞན་རྣམས་ལ་ནི་གྲོགས་དག་ཁྱེད་ཕྱག་འཚོལ། ||| “Friends, instead pay homage to other great sages Who undergo intense ascetic practices!
།རྟས་བསྲུངས་མཐོན་འཕུར་སྐར་མ་དགའ་བ་དང་། །ངན་སྤོང་བུ་ལ་ཅི་ཕྱིར་ཕྱག་མི་འཚལ། ||| Why not pay homage to Protecting Guardian, High Flier, Jyotīrasa, and Bhārgava?”
།དེ་ནས་ཀླུ་དེ་དག་ཐམས་ཅད་ཁ་ཅིག་ནི་དྲང་སྲོང་རབ་ཏུ་དཔལ་ལྡན་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །ཁ་ཅིག་ནི་བརྟེན་པོ་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །ཁ་ཅིག་ནི་རྟས་བསྲུངས་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །ཁ་ཅིག་ནི་མཐོན་པོར་འཕུར་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །ཁ་ཅིག་ནི་སྐར་མ་ལ་དགའ་བ་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། ||| Some of the nāgas then paid homage to the sage Utterly Glorious, some paid homage to the sage Stable, some paid homage to Protecting Guardian, some paid homage to High Flier, some paid homage to Jyotīrasa, and some paid homage to Bhārgava.
།ཁ་ཅིག་ནི་དྲང་སྲོང་ངན་སྤོང་གི་བུ་ལ་ཕྱག་འཚལ་བར་བྱེད་དོ། །མངོན་པར་ཤེས་པ་ལྔ་དང་ལྡན་པ་དེ་དག་ལ་སྐྱབས་སུ་ཉེ་བར་དོང་ངོ་། ||| Then, in search of protection, they approached those beings endowed with the five higher perceptions.
།ཡང་དེའི་ཚེ། དྲང་སྲོང་མངོན་པར་ཤེས་པ་ལྔ་དང་ལྡན་པ་དེ་དག་གངས་ཀྱི་ནུབ་ཕྱོགས་ཀྱི་ངོས་ལ་དྲང་སྲོང་སྐར་མ་ལ་དགའ་བའི་མདུན་ན། ཤཱཀྱ་ཁྱུ་མཆོག་གི་ཡོན་ཏན་བསྔགས་པ་ཉན་ཅིང་འཁོད་དེ། དྲང་སྲོང་དེ་དག་གིས་ཀླུ་ཐམས་ཅད་འོ་དོད་འབོད་པ་ཐོས་སོ། ། ||| At that time, those sages endowed with the five higher perceptions were sitting on the western slope of the snow mountain, listening to the praises of the leader of the Śākyas in front of the sage Jyotīrasa.
ཐོས་ནས་ཀྱང་དྲང་སྲོང་ལྔ་པོ་དེ་དག་སྟན་ལས་ལངས་ཏེ། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྐར་མ་ལ་དགའ་བ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཅོམ་ལྡན་འདས་དྲང་སྲོང་ཐུབ་པའི་གནས་རྟེན་དུ་ཀླུ་ཐམས་ཅད་གནོད་པར་གྱུར་ཅིང་བདག་ཅག་ལ་སྐྱབས་སུ་ཉེ་བར་གནས་པ་གཟིགས་སམ། ||| When they heard the lamenting calls of all those nāgas, the five sages stood up and said to the bodhisattva great being Jyotīrasa, “Do you see that the Blessed One is harming all the nāgas in that sacred site of wise sages and that they are approaching us in search of protection?
བཞེངས་ཏེ་དེར་བཞུད་ལ་ཀླུའི་སྡེ་ཐམས་ཅད་ཡོངས་སུ་ཐར་བར་མཛོད་ཅིག །དེས་སྨྲས་པ། ||| Please get up, go there, and liberate all those groups of nāgas!” Jyotīrasa replied,
ཁྱེད་དེང་ཤིག །ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་བརྒྱ་སྟོང་ཕྲག་མང་པོ་འདི་དག་ངའི་མདུན་དུ་འཁོད་ནས་ཚངས་པའི་གནས་པ་དམིགས་པ་མེད་པ་ཡོངས་སུ་འདྲི་བར་བྱེད་དེ། ངས་དེ་དག་གི་སེམས་ཡོངས་སུ་མགུ་བར་བྱའོ། ། ||| “Go meet them! Once those many hundreds of thousands of gods, nāgas, and yakṣas sit in front of me, they will ask questions about the sublime states devoid of reference point, and I will satisfy their minds.”
དེ་ནས་སྐར་མ་ལ་དགའ་བའི་རྐང་པ་གཉིས་ལ་དྲང་སྲོང་དེ་དག་ཐམས་ཅད་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ལན་གསུམ་བསྐོར་བ་བྱས་ནས་རྫུ་འཕྲུལ་གྱིས་དོང་སྟེ་དྲང་སྲོང་ཐུབ་པའི་གནས་ཀྱི་གཞི་རྟེན་དུ་འཁོད་དོ། ། ||| All the sages prostrated to the feet of Jyotīrasa, circumambulated him three times, and departed using their miraculous powers.
དེ་ནས་དེ་དག་ལ་ཀླུ་དེ་དག་མགོ་བོས་ཕྱག་འཚལ་ཏེ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཁྱེད་བསོད་ནམས་ཅན་ཤེས་རབ་དང་ལྡན་པ་ཐབས་ཐམས་ཅད་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲང་སྲོང་ཆེན་པོ་ལགས་ན་བདག་ཅག་ཡོངས་སུ་བསྐྱབ་པར་གསོལ། །བཙོན་རའི་འཇིགས་པ་འདི་ལས་བདག་ཅག་ཡོངས་སུ་དགྲོལ་བར་གསོལ། ||| When they arrived at the sacred site of wise sages, the nāgas prostrated to them and supplicated, “If you are great sages endowed with merit and insight who have mastered all methods, please protect us and release us from the fears of this prison!”
དེ་ནས་དྲང་སྲོང་དེ་དག་གིས་འདི་སྐད་ཅེས་སྨྲས་སོ། །ངེད་ཀྱིས་ནི་ཁྱེད་འདི་ནས་ཡོངས་སུ་གྲོལ་བར་བྱེད་པར་མི་ནུས་སོ། ||| The sages replied, “We are not able to liberate you from this place.
།ལག་འགྲོའི་བདག་པོ་དག་གངས་ཀྱི་ནུབ་ཕྱོགས་ཀྱི་ངོས་ལ་དྲང་སྲོང་ཐམས་ཅད་ཀྱི་བླ་མ་དབང་ཆེ་བར་གྲགས་པ། ||| Nāga lords, on the western slope of the snow mountain lives the master of all the sages. He is called Jyotīrasa.
ཤེས་རབ་དང་། ཐབས་དང་། གཟི་བརྗིད་ཆེན་པོས་རྒྱས་པ་སྐར་མ་ལ་དགའ་བ་ཞེས་བྱ་བ་ཡོད་དེ། ||| He is renowned for his great power and has developed great insight, skill, and majesty.
དེས་ཁྱེད་འདི་ནས་ཡོངས་སུ་གྲོལ་བར་བྱེད་པར་འགྱུར་རོ། ||| He will liberate you from this place.
།དེ་ལ་ཕྱག་འཚོལ་ཅིག །དེ་ཐོས་ནས་ཀླུ་ཐམས་ཅད་དྲང་སྲོང་སྐར་མ་ལ་དགའ་བ་ལ་ཐལ་མོ་རབ་ཏུ་སྦྱར་བ་བྱས་ནས་དབྱངས་གཅིག་གིས་འོ་དོད་བོས་སོ། ||| Go pay homage to him!” When they heard those words, all the nāgas joined their palms in the direction of the sage Jyotīrasa and called for help in unison.
།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་དྲང་སྲོང་གི་ཆ་བྱད་ཅན་དྲང་སྲོང་སྐར་མ་ལ་དགའ་བས་ལྷ་དང་། མི་འམ་ཅི་དང་། གནོད་སྦྱིན་བརྒྱ་སྟོང་ཕྲག་མང་པོས་མདུན་དུ་བདར་ཅིང་ཡོངས་སུ་བསྐོར་ཏེ། དེ་ནས་རྫུ་འཕྲུལ་གྱིས་ཆས་ནས་དྲང་སྲོང་ཐུབ་པའི་གནས་དེར་ཡང་ཕྱིན་པར་གྱུར་ཏེ། ||| Then, with the appearance of a sage, the bodhisattva sage Jyotīrasa miraculously left his place and arrived at the sacred site of wise sages, surrounded and attended by many hundreds of thousands of gods, kinnaras, and yakṣas.
དེ་ལ་ཀླུ་ཐམས་ཅད་མགོ་བོས་ཕྱག་འཚལ་ཏེ་གུས་པ་མཆོག་སྐྱེས་ནས་འདི་སྐད་ཅེས་སྨྲས་སོ། །གང་བདག་ཅག་རང་གི་གནས་སུ་མཆིས་ནས་དགའ་བར་འགྱུར་བར་བདག་ཅག་ཡོངས་སུ་བསྐྱབ་པར་གསོལ། ||| All the nāgas prostrated to him and supplicated him with utmost respect, “Please protect us so that we may return to our residences and live happily!
གནས་འདི་ནས་བདག་ཅག་ཡོངས་སུ་དགྲོལ་བར་གསོལ། ||| Please liberate us from this place!”
དུས་ཤེས་པ། དུས་ལ་བལྟ་བ་དྲང་སྲོང་ཆེན་པོ་དེས་ཀྱང་རྐྱེན་གྱི་དབང་གིས་དེ་དག་ལ་རྒྱུ་སྐར་གྱི་གོ་རིམས་ཀྱི་གཏམ་བརྩམས་པ། ||| Through the power of circumstances, the great sage, who was observing time and had knowledge about it, started to talk to them about the order of the lunar mansions:
ཇི་ལྟར་ཐམས་ཅད་ཐར་འགྱུར་བ། །དེ་བཞིན་དུ་ནི་བཤད་པར་བྱ། ||| “I will explain to you how You can all be free.
།ཁྱེད་ལ་ཕན་པ་གཞན་མེད་ཀྱིས། །མཐར་གྱིས་སུ་ནི་མཉན་པར་གྱིས། ||| Nothing else will be of benefit to you, So listen to this attentively!
།འདིར་ནི་ནབ་སོ་གང་གནས་པ། ། ||| “We are now in Punarvasu,
དེ་ནི་དབྱར་ཟླ་ཐ་ཆུངས་ཏེ། ||| And it is the last month of the summer.
།དེ་ནི་ཉི་མ་ལྷ་ཡིན་ཞིང་། ||| It is the solar deity,
།ཀླུ་རྣམས་ཀུན་དང་འབྲེལ་པ་ཡིས། ||| And it is connected to all the nāgas.
།སྐར་མའི་དཔྱད་ནི་ཕོངས་པ་དང་། །སྙིང་པོར་དྲང་སྲོང་སྦྱོར་བས་བསྟན། ། ||| “Since you do not engage In the observation of the stars, This sage will teach you By condensing this topic to its essence.”
གཟའ་དང་རྒྱུ་སྐར་སྐར་མ་རྣམས། །ནམ་མཁའ་ལ་ནི་སུ་ཡིས་བཞག ། ||| The nāgas said: “Who placed the planets And the stars of the lunar mansions in the sky?
མཁས་པ་རྣམས་ནི་དགའ་བགྱིད་པ། །ལོ་སྐོར་ཤེས་པ་བཤད་དུ་གསོལ། ། ||| Please expound to us the knowledge Of the yearly cycle that delights the wise ones!
ཟླ་བ་ཉི་མ་རྒྱུ་སྐར་དང་། །གཟའ་རྣམས་འགྲོ་བ་ཇི་ལྟར་ལགས། ||| “How are the moon, the sun, The lunar mansions, and the planets coursing?
