འཕགས་པ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratnajālin
བརྗོད་བྱས་ཟླ་བ་གསུམ་དག་ཏུ། །ཚང་བར་ཤིན་ཏུ་ཡང་བརྗོད་ན། ། ||| “If they can perfect the meaning of this discourse, Entirely within three months,
ཆོས་རྣམས་ཐམས་ཅད་འཛིན་བྱེད་པའི། །གཟུངས་ཀྱི་ཡེ་ཤེས་ཐོབ་པར་འགྱུར། ། ||| They shall attain the wisdom of recall That recollects all teachings.”
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་བཅོམ་ལྡན་འདས་ཀྱིས་ལེགས་པར་གསུངས་པར་རིག་ནས་རིན་ཐང་མེད་པའི་རས་བཅོས་བུ་གསེར་གྱིས་བརྒྱན་པ་ཟུང་གཅིག་བཅོམ་ལྡན་འདས་ལ་མངོན་པར་གསོལ་ཏོ། ། ||| Once the Young Licchavi Ratnajālin had heard these well-spoken teachings of the Blessed One, he draped the Blessed One in priceless fabrics ornamented with gold.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་རྫུ་འཕྲུལ་མངོན་པར་འདུ་མཛད་པ་ཇི་ལྟ་བུས་བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ཐམས་ཅད་ཀྱི། བ་སྤུའི་ཁུང་བུ་ཐམས་ཅད་ནས་འོད་ཟེར་དག་བྱུང་སྟེ། ||| Then the Blessed One performed a miracle such that from every pore of the Blessed One’s body, light streamed forth,
ཤར་ཕྱོགས་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་དཔག་ཏུ་མེད་གྲངས་མེད་པ་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་སྣང་བར་གྱུར་པ་དང་། ||| illuminating all the countless, infinite worlds in the east.
སངས་རྒྱས་ཀྱི་ཞིང་དེ་དག་ན་སེམས་ཅན་གང་དག་སྐྱེས་པ་དེ་དག་གིས་སངས་རྒྱས་ཀྱི་ཞིང་མཐོང་བ་དང་། ||| All the beings born in those buddha realms beheld this buddha realm, and
སངས་རྒྱས་ཀྱི་ཞིང་འདི་ན་དེ་བཞིན་གཤེགས་པའི་འཁོར་གྱི་དཀྱིལ་འཁོར་དུ་སེམས་ཅན་གང་དག་འདུས་པ་དེ་དག་གིས་ཀྱང་སངས་རྒྱས་ཀྱི་ཞིང་དེ་མཐོང་བ་དང་། ||| all the beings gathered in the Thus-Gone One’s assembly in this buddha realm also beheld this buddha realm.
དེའི་ཚེ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དགུ་བཅུ་རྩ་དགུ་སྙེད་ཀྱི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་འཁོར་བཞི་པོ་ལ་སྣང་བར་གྱུར་པ། ||| At that moment as many blessed buddhas, including their fourfold assemblies, were illuminated as ninety-nine times the number of grains of sand in the Ganges.
དེ་ལྟ་བུའི་རྫུ་འཕྲུལ་མངོན་པར་འདུ་མཛད་པས་མངོན་པར་འདུ་མཛད་དོ། ། ||| Such was the miracle that he performed.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་ལ་བཀའ་སྩལ་པ། ||| The Blessed One then asked the young Licchavi Ratnajālin,
གཞོན་ནུ་ཁྱོད་ཀྱིས་སྟེང་གི་ཕྱོགས་ལོགས་ན་སངས་རྒྱས་བཅོམ་ལྡན་འདས་འདི་ལྟར་བསམ་གྱིས་མི་ཁྱབ་པ། འདི་ལྟར་གཞལ་གྱིས་མི་ལང་བ། འདི་ལྟར་ཐུག་པ་མེད་པ། འདི་ལྟར་ཚད་མེད་པ། འདི་ལྟར་བརྗོད་ཀྱིས་མི་ལང་བ་དེ་དག་མཐོང་ངམ། ||| “Young man, when you look above, do you see all the blessed buddhas, who are so unfathomably, innumerably, limitlessly, immeasurably, and indescribably many?”
གསོལ་པ། བཅོམ་ལྡན་འདས་མཐོང་ལགས་སོ། ། ||| “Blessed One, I see them.
བདེ་བར་གཤེགས་པ་མཐོང་ལགས་སོ། ། ||| Blissful One, I see them.”
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ན་ལྷ་དང་མི་རྣམས་ཀྱི་མིང་གི་ཚོགས་པས་ནི་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་མཚན་ཆེས་མང་སྟེ། ||| “Noble son, the names of these thus-gone ones vastly outnumber the names of the gods and humans gathered in the worlds of the great trichiliocosm.
རེ་རེ་ལ་ཡང་མཚན་གྱི་ཚོགས་གྲངས་མེད་བསམ་གྱིས་མི་ཁྱབ་པ་ཡོད་དེ། ||| Each of them has an inconceivable and boundless agglomeration of names.
འདི་ལྟར་ཤར་ཕྱོགས་ན་དེ་བཞིན་གཤེགས་པ་ལེགས་པར་རབ་ཏུ་ཞི་བའི་དཔལ་དབྱངས་ཀྱི་དབང་ཕྱུག་གི་རྒྱལ་པོ་ཞེས་བྱ་བ་རྣམས་དང་། དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པ་ཟླ་བའི་དཀྱིལ་འཁོར་རྣམ་དག་ཅེས་བྱ་བ་རྣམས་དང་། དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པ་མེ་ཏོག་གི་འོད་ཀྱིས་རྣམ་པར་རོལ་པ་མངོན་པར་མཁྱེན་པའི་རྒྱལ་པོ་ཞེས་བྱ་བ་རྣམས་དང་། དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པ་མེ་ཏོག་རྒྱས་པ་སཱ་ལའི་རྒྱལ་པོ་ཞེས་བྱ་བ་རྣམས་དང་། དེ་བཞིན་དུ་དེ་བཞིན་གཤེགས་པ་རིན་ཆེན་འོད་ཟེར་ཟླ་བས་བརྒྱན་པ་མཁས་པའི་གཟི་བརྗིད་དབྱངས་ཀྱི་དབང་ཕྱུག་གི་རྒྱལ་པོ་ཞེས་བྱ་བ་རྣམས་ཏེ། ||| This also applies to the thus-gone one Majestic King with the Elegant Peaceful Voice in the east, and likewise to the thus-gone one Pure Moon Disk, the thus-gone one King of Knowledge of Floral Light Displays, the thus-gone one King of Blossoming Sal Tree Flowers, and the thus-gone one Majestic King with the Splendorous Voice of Learning Adorned by Precious Moonlight.
དེ་བཞིན་གཤེགས་པ་གཅིག་གི་མཚན་ཇི་ལྟ་བར་དེ་བཞིན་གཤེགས་པ་སོ་སོའི་མཚན་ཡང་དེ་དང་འདྲ་བར་མཐོང་ངམ། ||| Just as it is with the name of a single thus-gone one, so it is with that of any thus-gone one. Do you see that?”
གསོལ་པ། བཅོམ་ལྡན་འདས་མཐོང་ལགས་སོ། ། ||| “Blessed One, I see it.
བདེ་བར་གཤེགས་པ་མཐོང་ལགས་སོ། ། ||| Blissful One, I see it.
དེ་བཞིན་དུ་ལྷོ་ཕྱོགས་དང་། ནུབ་ཕྱོགས་དང་། བྱང་ཕྱོགས་དང་། དེ་བཞིན་དུ་འོག་གི་ཕྱོགས་དང་། དེ་བཞིན་དུ་སྟེང་གི་ཕྱོགས་ཏེདེ་ལྟར་ཕྱོགས་བཅུ་ཀུན་གྱི་ཕྱོགས་རེ་རེ་ན་དེ་བཞིན་གཤེགས་པའི་མཚན་གཅིག་པ་ཡང་གྲངས་མ་མཆིས་ལ། དེ་བཞིན་གཤེགས་པའི་མཚན་ཐ་དད་པ་ཡང་བཞུགས་སོ། ། ||| So it is in the south, in the west, in the north, below, and above—in each of the ten directions there are countless names of the individual thus-gone ones and myriad different names of the thus-gone ones.”
གཞོན་ནུ་ཁྱོད་ཀྱིས་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་སྲིད་ལ་གནས་པ་དེ་བས་ཀྱང་ཆེས་ལྷག་པའི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དག་མཐོང་ངམ། ||| “Young man, do you see how the blessed buddhas vastly exceed those who abide in the realm of a universal monarch?”
གསོལ་པ། བཅོམ་ལྡན་འདས་མཐོང་ལགས་སོ། ། ||| “Blessed One, I see it.
བདེ་བར་གཤེགས་པ་མཐོང་ལགས་སོ། ། ||| Blissful One, I see it.”
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་མགུ་ཞིང་དགའ་ལ་ཡི་རངས། རབ་ཏུ་དགའ་ཞིང་དགའ་བ་དང་ཡིད་བདེ་བ་སྐྱེས་ནས་ ||| The young Licchavi Ratnajālin became pleased, delighted, joyful, and happy.
དེའི་ཚེ་ས་ཆེན་པོ་གཡོས་པར་གྱུར་ཏོ། ། ||| At that moment when he was happy and delighted the earth quaked.
སེམས་ཅན་ཐམས་ཅད་ལ་ཕན་པ་དང་། བདེ་བ་སྐྱེད་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ཀྱི་སེམས་རབ་ཏུ་དགའ་བ་དང་། དགེ་བའི་རྩ་བ་སྐྱེད་པའི་སྣང་བ་ཆེན་པོ་བྱུང་བར་གྱུར་ཏོ། ། ||| A great burst of light appeared that benefitted all beings, brought them happiness, pleased their minds, and aroused roots of virtue in them.
ལྷ་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དུ་མ་དག་ནམ་མཁའ་ལ་འཁོད་ནས། ལྷའི་འཛམ་བུ་ཆུ་བོའི་གསེར་གྱི་ཕྱེ་མ་རྣམས་གཏོར་ཏོ། ། ||| Trillions of gods stationed in the sky cast down powdered gold from the divine Jambu River.
ཚངས་པ་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དུ་མ་དག་གིས་ཀྱང་ལྷའི་ཙན་དན་དམར་པོའི་ཕྱེ་མ་རྣམས་ཀྱིས། བཅོམ་ལྡན་འདས་ལ་གཏོར། མངོན་པར་གཏོར། མངོན་པར་རབ་ཏུ་གཏོར་ཏོ། ། ||| Trillions of brahmā gods tossed, scattered, and sprinkled divine red sandalwood powder upon the Blessed One.
ལྷ་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དུ་མ་དག་གིས་ཀྱང་ལྷའི་མེ་ཏོག་ཨུད་པ་ལ་དང་། པད་མ་དང་། ཀུ་མུ་ད་དང་། པད་མ་དཀར་པོ་དང་། མན་དཱ་ར་བ་དང་། མན་དཱ་ར་བ་ཆེན་པོས་གཏོར། མངོན་པར་གཏོར། མངོན་པར་རབ་ཏུ་གཏོར་ཏོ། ། ||| Trillions of gods tossed, scattered, and sprinkled divine blue, pink, red, and white lotuses, as well as smaller and larger māndārava flowers.
ལྷ་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དུ་མ་དག་གིས་ཀྱང་རིན་པོ་ཆེའི་གདུགས་སྟོང་ཕུལ་ལོ། ། ||| Trillions of gods offered thousands of jeweled parasols.
ལྷ་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དུ་མ་དག་གིས་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་ངུས་ཏེ། གནས་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དུ་མ་དག་རྗེས་སུ་དྲན་ནོ། ། ||| Trillions of gods wept as they bowed their heads to the Blessed One’s feet, recalling trillions of their past lives.
འདི་ལྟ་སྟེ། སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱི་བྱིན་གྱི་རླབས་ཀྱིས་ཀྱང་ཆོ་འཕྲུལ་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དུ་མ་དག་རབ་ཏུ་བསྟན་ཏོ། ། ||| It was the blessings of the Blessed Buddha that allowed these trillions of miracles to occur.
དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| About this, it was said,
བྱེ་བ་བརྒྱ་ཕྲག་དུ་མ་ཡི། །ལྷ་རྣམས་ཁོ་ར་ཁོར་ཡུག་ནས། །ཙན་དན་དམར་པོ་ཞིབ་མོ་ཡིས། །རྫོགས་སངས་རྒྱས་ལ་འཐོར་བར་བྱེད། ། ||| Billions of gods Stationed in the periphery Tossed fine red sandalwood powder Upon the perfect Buddha.
བརྒྱ་བྱིན་བྱེ་བ་ཕྲག་སྟོང་དག །མཁའ་ལ་གནས་ནས་འཛམ་བུ་ཡི། །ཆུ་བོའི་གསེར་ཕྱེ་མང་པོ་ཡིས། །དེ་བཞིན་གཤེགས་ལ་འཐོར་བར་བྱེད། ། ||| Tens of billions of śakra gods Stationed in the sky Tossed much powdered gold from the Jambu River Upon the Thus-Gone One.
ཚངས་པ་བྱེ་བ་ཉེར་ལྷགས་ནས། །ཙན་དན་དམར་པོའི་ཕྱེ་མ་ཡིས། །རྫོགས་སངས་རྒྱས་ལ་འཐོར་བྱེད་ཅིང་། །སྒྲ་དབྱངས་སྙན་པ་ཀུན་དུ་སྒྲོགས། ། ||| Ten million brahmā gods arrived And tossed powdered red sandalwood Upon the perfect Buddha And sang melodious songs.
དྲི་མ་མེད་པའི་འོད་རིག་ནས། །ནམ་མཁའ་ལ་ནི་ལྷ་འཁོད་དོ། ། ||| Seeing the immaculate light, The gods arrayed themselves in the sky.
གླུ་དབྱངས་དཔག་ཏུ་མེད་པ་ལེན། ། ||| They sang countless songs And
མཁའ་ལ་རས་ཀྱིས་གཡོབ་པར་བྱེད། ། ||| waved fabrics in the sky.
ནམ་མཁའ་ལ་ནི་ལྷ་འཁོད་དེ། །པད་མ་བརྒྱ་ཕྲག་སྟོང་བླངས་ནས། ། ||| The gods arrayed in the sky, Holding thousands of lotus flowers,
འཇིག་རྟེན་གསལ་ལ་སྟོན་བྱེད་ཅིང་། །རྒྱལ་མཚན་ལ་སོགས་མཆོད་པ་བྱེད། ། ||| Displayed them to the World Illuminator And venerated him with banners and so forth.
ཟླ་མེད་རྒྱལ་མཆོག་ཐུབ་དབང་ལ། །རབ་ཏུ་ཡིད་དགས་ཕྱག་འཚལ་ཞིང་། ། ||| With minds filled with joy, They honored the unparalleled supreme Victor, the Lord of Sages.
བསྟོད་བྱེད་ནོར་བུ་རིན་ཆེན་དང་། །མུ་ཏིག་རྒྱན་ཕྲེང་འཐོར་བར་བྱེད། ། ||| They praised him and scattered upon him Garlands of precious jewels and pearls.
མི་ནི་བྱེ་བ་འབུམ་ཐམ་པ། །རྒྱལ་མཆོག་ཟླ་མེད་པ་ལ་མཆོད། ། ||| A trillion people Venerated the unparalleled supreme Victor.
སྔོན་གྱི་གནས་བརྒྱ་རྗེས་དྲན་ཞིང་། །ཐུབ་མཆོག་བླ་མེད་མགོས་ཕྱག་འཚལ། ། ||| They remembered hundreds of their past lives And bowed their heads to the unparalleled Lord of Sages.
དེ་ནས་འཇིག་རྟེན་སྣང་མཛད་པས། །ཆོས་ཀྱི་རྔ་ནི་རབ་བརྡུངས་ཏེ། ། ||| Then, the World Illuminator Beat the Dharma drum;
དེ་ཡིས་སྒྲས་ནི་ཞིང་རབ་མང་། །བྱེ་བ་དག་ཏུ་གོ་བར་བྱས། ། ||| Its sound was heard throughout many billions Of buddha realms.
དེ་ཡི་ཚེ་ན་སེམས་ཅན་ནི། །བྱེ་བ་གྲངས་མེད་ཀུན་ནས་ལྷགས། ། ||| At that moment, Countless millions of beings arrived from all directions.
དེ་དག་རྫོགས་པའི་སངས་རྒྱས་ཀྱིས། །སངས་རྒྱས་ཡེ་ཤེས་བླ་མེད་བཀོད། ། ||| They were established in the wisdom of buddhahood By the perfect Buddha.
དེ་ཚེ་གཞོན་ནུ་དགའ་གྱུར་ནས། ། ||| The young man was delighted;
ཙན་དན་སྦྲུལ་གྱི་སྙིང་པོ་ཡི། །གདན་འབུལ་རིན་ཆེན་ཕྱེ་མ་ཡིས། །གཞོན་ནུ་སངས་རྒྱས་གཙོ་ལ་མཆོད། ། ||| He offered a seat of uraga sandalwood And venerated the supreme Buddha With powdered gems.
ནོར་བུ་རིན་ཆེན་འོད་གཅིག་ནི། །འཇིག་རྟེན་སྟོང་དུ་གཏོང་བར་བྱེད། ། ||| The light of one precious gem Shone throughout thousands of worlds.
རིན་ཆེན་གཅིག་ལས་འོད་ཟེར་ནི། །སྟོང་ཕྲག་བྱེ་བར་གཏོང་བར་བྱེད། ། ||| The light of that single gem Radiated throughout billions of worlds.
དེ་བཞིན་རིན་ཆེན་མ་ལུས་ལས། །འོད་ཟེར་དག་ནི་བྱུང་བར་གྱུར། ། ||| In the same way, light sprang forth From every gem without exception.
དེ་དག་གིས་ནི་དེ་ཡི་ཚེ། །ཡངས་པ་ཅན་ཡང་སྣང་བར་བྱས། ། ||| At that moment, they also Illuminated Vaiśālī.
རིན་ཆེན་རྣམ་པ་དེ་སྙེད་ཀྱིས། །སངས་རྒྱས་གཙོ་ལ་མཆོད་བྱེད་ཅིང་། ། ||| All of these gems were used To venerate the principle Buddha.
རིན་པོ་ཆེ་ཡི་ཕུང་པོ་ཡང་། །ཐུབ་པ་ཆེ་ལ་འབུལ་བར་བྱེད། ། ||| A great pile of gems Also was offered to the Great Sage.
གདུགས་ནི་གང་དག་མུ་ཁྱུད་བྱས། །མུ་ཏིག་ཕྲེང་གིས་ཡོངས་བརྒྱན་པ། ། ||| Parasols adorned With pearl garlands surrounded him.
རེ་རེ་ལ་ཡང་མུ་ཁྱུད་ཅན། །སྟོང་ཕྲག་ཉི་ཤུ་རྩ་ལྔའོ། ། ||| Each had twenty-five thousand Surrounding layers.
འདི་འདྲའི་ལེགས་པ་དེ་ཡིས་ནི། །ཐུབ་པ་ཆེ་ལ་མཆོད་པ་བྱས། ། ||| They venerated the Great Sage Through such excellent means.
བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ། །གསེང་ཐགས་ཀྱི་ནི་གོས་ཕུལ་ལོ། ། ||| Woven fabrics were offered To all the bodhisattvas.
བྱང་ཆུབ་ཤིང་དག་སྤྲུལ་ནས་སུ། །དེའི་དྲུང་སེང་གེའི་ཁྲི་བཤམས་ལ། ། ||| Lion thrones were placed Before emanated trees of awakening.
སྟོང་ཕྲག་བྱེ་བ་ཉི་ཤུ་ལྔ། །དེ་རྣམས་ལ་ནི་འཁོད་གྱུར་པ། ། ||| All told, two hundred fifty million Were set out.
ལོ་ནི་བྱེ་བ་གྲངས་སྙེད་པར། །བགྲང་བ་དག་ཏུ་མི་ཆོད་པའི། །བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ནི། །བྱེ་བ་བརྒྱ་ཕྲག་ལྷགས་པར་གྱུར། ། ||| For millions of years, Countless bodhisattvas— Hundreds of millions in fact— Arrived there.
ཤར་གྱི་ཕྱོགས་ནས་བཟུང་ནས་སུ། །ལྷོ་ཕྱོགས་ནུབ་ཕྱོགས་བྱང་ཕྱོགས་དང་། །འོག་དང་སྟེང་དང་དེ་བཞིན་དུ། །ཕྱོགས་དག་གི་ཡང་མཚམས་ནས་ལྷགས། ། ||| They arrived first from the east, And then from the south, west, and north, From above and below, And from the intermediate directions.
ཇི་ཙམ་མིག་གིས་མཐོང་བའི་བར། །དེ་སྲིད་འཇིག་རྟེན་ཁམས་རྣམས་སུ། །སྐྱོབ་པ་འཇིག་རྟེན་མགོན་པོ་ཡི། །གསེར་གྱི་མདོག་འདྲའི་འོད་ཀྱིས་གང་། ། ||| The golden-colored light Of the Refuge, the World Protector, Filled as many realms As the eye could see.
སྟོན་པ་གང་ན་བཞུགས་པ་དང་། །ཆོས་ནི་གང་ན་འབར་བ་དེར། །འཇིག་རྟེན་ཁམས་ནི་ཐམས་ཅད་ནས། །བྱང་ཆུབ་སེམས་དཔའ་ཉེ་བར་ལྷགས། ། ||| Bodhisattvas arrived From all worlds To the place where the Teacher was sitting And the Dharma was shining.
དེ་ལྟར་མཐའ་ཡས་དཔག་ཏུ་མེད། །བསམ་གྱིས་མི་ཁྱབ་མཆོད་པ་ནི། །རིན་ཆེན་དྲ་བ་ལིཙྪ་བཱི། །གཞོན་ནུ་དེ་ཡི་ཚེ་ན་བྱས། ། ||| In this fashion, Ratnajālin, The young Licchavi, Performed boundless, Limitless, and inconceivable homage.
དེ་ནས་བདག་ཉིད་ཆེན་པོ་པ། །ལྷ་དང་ཀླུ་དང་མི་རྣམས་ཀྱིས། །མདུན་དུ་མི་མཆོག་ཤཱཀྱ་ཡི། །སེང་གེས་དབུགས་ནི་འབྱིན་པར་མཛད། ། ||| Then the great person, The supreme human, the Lion of the Śākyas, Brought comfort to the assembled Gods, nāgas, and humans:
ང་ཡི་མདུན་དུ་འདུག་ནས་སུ། །ཁྱོད་ཀྱིས་འདི་འདྲའི་མཆོད་བྱས་པ། །གང་གཱའི་བྱེ་མ་ཇི་སྙེད་པ། །དེ་སྙེད་མཆོད་པ་དག་གིས་མཆོད། ། ||| “Standing before me, You have performed such veneration. This veneration has been done with offerings As numerous as the grains of sand in the Ganges.
རིན་ཆེན་དྲ་བ་ཅན་གྱི་ཕྱིར། །མདོ་སྡེ་བཤད་པ་སུས་རིག་པ། །བྱང་ཆུབ་ལས་ནི་མི་ལྡོག་སྟེ། ། ||| “Those who hear this discourse, Which has been taught for the sake of Ratnajālin, Shall not turn back from awakening;
སངས་རྒྱས་སྨྲ་བའི་མཆོག་ཏུ་འགྱུར། ། ||| They will become supreme preachers of buddhahood.
གང་ཞིག་མདོ་སྡེ་འདི་འཛིན་པའི། །བསོད་ནམས་ཕུང་པོའི་ཚད་དག་ནི། །འདི་སྙེད་སོགས་པར་འགྱུར་རོ་ཞེས། །དེ་ལྟར་བཤད་པར་མི་ནུས་སོ། ། ||| “One cannot describe The measure of the mass of merit That ensues from remembering this discourse By saying, ‘It shall be this much.’
ཕྱོགས་བཅུའི་འཇིག་རྟེན་ས་དང་ཆུ། །མེ་དང་རླུང་གི་ཚད་དག་ནི། །འདི་ཙམ་ཞེས་ནི་བཤད་པར་ནུས། ། ||| “While one can describe the extent Of the earth, water, fire, and wind Throughout the ten directions,
བསོད་ནམས་ཕུང་པོ་བཤད་མི་ནུས། ། ||| It is impossible to describe this mass of merit.
དགེ་སློང་ངམ་ནི་དགེ་སློང་མ། །དགེ་བསྙེན་འམ་ནི་དགེ་བསྙེན་མ། །གང་གིས་མདོ་སྡེ་འདི་ཐོས་ནས། ། ||| “When a monk or nun, Or a novice monk or nun, Hears this discourse,
ལྷ་དང་ཀླུ་དང་ལྟོ་འཕྱེ་ཆེ། །སེམས་ཅན་ཐམས་ཅད་ཉེར་ལྷགས་པས། །དེ་ཡི་གཟི་བརྗིད་མི་བཟོད་དེ། ། ||| All beings including gods, nāgas, and mahoragas “Will arrive near them And find their splendor overwhelming.
མེ་ནི་བསིལ་བར་འགྱུར་སྲིད་ཀྱི། །དེ་ཡི་གཟི་བརྗིད་ཉམས་པ་མེད། ། ||| While it is possible that fire can turn cold, Their splendor will never diminish.
མདོ་སྡེ་འདི་ནི་གང་འཛིན་པ། །བྱང་ཆུབ་སྤྱད་པ་སྤྱོད་པའི་ཚེ། །སེམས་ཅན་ཀུན་གྱིས་བསྟེན་བྱ་ཞིང་། །བྱང་ཆུབ་སེམས་ལའང་མཆོད་པ་བྱེད། ། ||| “When someone who remembers this discourse Engages in the conduct of awakening, All beings will attend to them And venerate the mind of awakening.
གང་ཞིག་སྟོབས་དང་ལྡན་པའི་མིས། །བྱེ་བ་སྟོང་དུ་བཤད་པ་ཡི། །སྐྲ་རྩེས་སྟོང་གི་འཇིག་རྟེན་ཁམས། །བསྐལ་པ་བྱེ་བ་བཟུང་བ་བས། ། ||| “A powerful person Might hold up a thousand worlds For millions of eons On the tip of a hair that has been split a billion times.
གང་ཞིག་ཕྱི་མའི་དུས་དག་ཏུ། །སངས་རྒྱས་བྱང་ཆུབ་གླེང་གཞི་ནི། །འདི་འདྲའི་རྣམ་པས་ཐོས་ནས་སུ། །གཞན་དག་ལ་ཡང་སྟོན་བྱེད་ན ||| during the latter days One may teach to others A discourse of the buddhas’ awakening That one has heard in this fashion.
གང་ཞིག་སྔར་ནི་རབ་བསྒྲགས་པ། །འདི་ཡི་ངོ་མཚར་ཆེན་པོ་ཡི། །བརྒྱ་དང་གྲངས་དང་བགྲང་བ་དང་། །དཔེར་ཡང་འགྱུར་བ་མ་ཡིན་ནོ། ། ||| “In that case the great wonder Of the former example Shall not measure even a hundredth of that— As no number, figure, or example could suffice.
ཕྱི་མ་ཡི་ནི་དུས་དག་ཏུ། །འདི་འདྲའི་རྣམ་པ་སེང་གེའི་སྒྲ། །བསྟན་པ་བླ་མེད་ཐོས་གྱུར་ཀྱང་། །འགལ་མེད་དོན་མེད་འགྱུར་བར་འོང་། ། ||| “In the latter days, When people hear the unsurpassed teachings Of the lion’s roar in this manner, It will not be contradicted or opposed.
འཇིག་རྟེན་མགོན་པོ་རྫོགས་སངས་རྒྱས། །འོད་མཛད་གང་གིས་འདིར་མཐོང་བ། །ཕྱི་མའི་དུས་སུ་དེས་ཐོས་ནས། ། ||| “In the future, when people hear Of those who have seen the World Protector— The shining perfect Buddha—
ཞེ་ས་གུས་པར་བྱེད་པར་འགྱུར། ། ||| They will act with respect and reverence.
གལ་ཏེ་ཞིང་རྣམས་བྱེ་བ་ན། །སེམས་ཅན་གང་དག་འཁོད་དེ་དག །སངས་རྒྱས་ཡེ་ཤེས་ལྡན་གྱུར་ལ། །གང་གཱ་ཡི་ནི་བྱེ་མ་སྙེད། ། ||| “If all beings In millions of buddha realms Were endowed with the wisdom of buddhahood— As many of them as there are grains of sand in the Ganges—
བསྐལ་པ་དུ་མ་བརྒྱ་དག་ཏུ། །རིམ་གྲོ་དག་ནི་བྱེད་པ་དང་། ། ||| “One might perform service to them For many hundreds of eons,
ཇི་ལྟར་སྟོང་ཆེན་གྱི་ནི་འཇིག་རྟེན་ཁམས། །དེ་སྙེད་དག་གི་གཙུག་ལག་ཁང་མཆོག་ནི། །དབུལ་བྱ་ལྷ་ཡི་ཙན་དན་དག་ལས་བྱས། ། ||| And offer them as many fine temples As there are worlds in the great trichiliocosm. “The temples could be made of sandalwood;
ལྷ་ཡི་གཙུག་ལག་ཁང་མཆོག་རེ་རེ་ལའང་། །བྱེ་བ་ཕྲག་སྟོང་དག་གི་ཁང་བཟངས་བྱས། ། ||| And each supreme and divine temple Would have ten billion assembly halls.
བྱེ་བ་ཕྲག་སྟོང་དག་གི་ཁང་བཟངས་ཀྱང་། །དབུལ་བྱ་ལྷ་ཡི་རིན་ཆེན་དག་ལས་བྱས། །རེ་རེའི་ཁྲི་དག་བཤམས་ནས་རིམ་གྲོ་པ། །བྱེ་བ་ཕྲག་བརྒྱ་ཤིན་ཏུ་ཚང་བར་བཀོད། ། ||| “Each of the billion assembly halls Could be made from divine jewels as an offering. One could arrange thrones for everyone, Complete with a billion servants.
མཁས་པས་དེ་ནི་རིན་ཆེན་དྲ་བ་དག །བླངས་ནས་དེ་ཚེ་ཁྲི་དེ་བརྒྱན་པ་རྣམས། ། ||| “Skillfully, one could take nets of jewels And adorn the thrones.
གང་གཱའི་བྱེ་སྙེད་བསྐལ་པ་བྱེ་བ་བརྒྱར། །ཐུབ་ཆེན་འཇིག་རྟེན་སྤྱོད་པ་བཞུགས་པ་ཡི། ། ||| For eons as numerous as the grains of sand in the Ganges, The great sages who wander through the world could then abide there.
སངས་རྒྱས་གཅིག་ལ་འབུལ་བྱ་དབུལ་བ་དང་། ། ||| “One could offer all that is fit to be offered To each of those buddhas.
