འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་གཅིག་པ་སྟེ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷ་དྲ་མཱ་ཡཱ་ཀ་ར་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Prophecy for Bhadra the Illusionist
བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་ཐབས་ལ་མཁས་པ་ཡིན་པར་རིག་པར་བྱའོ། ། ||| When bodhisattvas have these four qualities, they will know they are skilled in means.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བྱམས་པ་སྒོམ་པ་ཡིན་ཏེ། ||| “Bhadra, these four are bodhisattvas’ meditations on loving-kindness.
བཞི་གང་ཞེ་ན། ||| What are the four?
བདག་གིས་སེམས་ཅན་ཐམས་ཅད་བསྐྱབ་པར་བྱའོ་སྙམ་དུ་བྱམས་པ་སྒོམ་པ་དང་། བདག་གིས་སེམས་ཅན་ཐམས་ཅད་བསྒྲལ་བར་བྱའོ་སྙམ་དུ་བྱམས་པ་སྒོམ་པ་དང་། བདག་གིས་སེམས་ཅན་ཐམས་ཅད་བསྐུལ་བར་བྱའོ་སྙམ་དུ་བྱམས་པ་སྒོམ་པ་དང་། བདག་གིས་སེམས་ཅན་ཐམས་ཅད་ཡོངས་སུ་མྱ་ངན་ལས་བཟླའོ་སྙམ་དུ་བྱམས་པ་སྒོམ་པ་སྟེ། ||| Meditating on loving-kindness thinking ‘May I protect all beings,’ meditating on loving-kindness thinking ‘May I liberate all beings,’ meditating on loving-kindness thinking ‘May I inspire all beings,’ and meditating on loving-kindness thinking ‘May I lead all beings completely beyond suffering.’
བཟང་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་བྱམས་པ་སྒོམ་པ་ཡིན་ནོ། ། ||| Bhadra, these are the bodhisattvas’ meditations on loving-kindness.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྙིང་རྗེ་ཡིན་ཏེ། ||| “Bhadra, these four are the compassions of bodhisattvas.
བཞི་གང་ཞེ་ན། ||| What are the four?
ངན་སོང་དུ་སྐྱེས་པ་རྣམས་བདེ་འགྲོའི་ལམ་ལ་འགོད་པའི་སྙིང་རྗེ་དང་། སྡིག་པའི་ལས་དང་ལྡན་པ་རྣམས་དགེ་བའི་ཆོས་ལ་སྦྱོར་བའི་སྙིང་རྗེ་དང་། ཐེག་པ་དམན་པ་ལ་མོས་པ་རྣམས་ཐེག་པ་ཆེན་པོ་ཡང་དག་པར་ལེན་དུ་འཇུག་པའི་སྙིང་རྗེ་དང་། སེམས་ཅན་ཐམས་ཅད་ཡོངས་སུ་མྱ་ངན་ལས་བཟླའོ་སྙམ་པའི་སྙིང་རྗེ་ནི་བཞི་པ་ཡིན་ཏེ། ||| The compassion of putting those born in lower realms onto the path to higher realms, the compassion of joining those with bad karma to virtuous qualities, the compassion of leading those inclined toward the Lesser Vehicle to correctly practice the Greater Vehicle, and, fourth, the compassion of thinking ‘May I lead all beings completely beyond suffering!’
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་མངོན་པར་ཤེས་པ་འཐོབ་པར་འགྱུར་ཏེ། ||| “Bhadra, when bodhisattvas have four qualities, they will obtain the superknowledges.
བཞི་གང་ཞེ་ན། ||| What are the four?
ལུས་དང་སེམས་ཡང་བ་དང་། སྒྱུ་མའི་རང་བཞིན་དུ་རྣམ་པར་འབྱེད་པ་དང་། སེམས་ཅན་ཐམས་ཅད་ལ་གུས་པ་དང་། རིམ་གྲོའི་སེམས་བསྐྱེད་པ་དང་། ཞི་གནས་ལ་རྩེ་གཅིག་ཏུ་གྱུར་པས་རྣམ་པར་གཡེང་བ་མེད་པ་ཡིན་ནོ། ། ||| Lightness of body and mind, discerning the illusory nature, cultivating a mind of respect and service toward all beings, and, with calm abiding having become single pointed, being without distraction.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་སོ་སོ་ཡང་དག་པར་རིག་པ་འཐོབ་པར་འགྱུར་ཏེ། ||| “Bhadra, when bodhisattvas have four qualities, they will obtain the correct discernments.
བཞི་གང་ཞེ་ན། ||| What are the four?
དོན་ལ་རྟོན་པ་ཡིན་གྱི་ཚིག་འབྲུ་ལ་མི་རྟོན་པ་དང་། ཆོས་ལ་རྟོན་པ་ཡིན་གྱི་གང་ཟག་ལ་མི་རྟོན་པ་དང་། ཆོས་ཐམས་ཅད་བདག་མེད་པའི་ངེས་པའི་ཚིག་དང་། ཡི་གེ་མི་ཟད་པར་ཤེས་ནས་ཆགས་པ་མེད་ཅིང་ཐོགས་པ་མེད་པར་སྟོན་པས་སྟོན་པར་བྱེད་པ་སྟེ་བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| Relying on the meaning and not on the words, relying on the Dharma and not on persons, knowing all phenomena to be without identity and to be language and words that are inexhaustible, and teaching without attachment or obstruction.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་གཟུངས་འཐོབ་པར་འགྱུར་ཏེ། ||| These are the four. “Bhadra, when bodhisattvas have four qualities, they obtain retention.
བཞི་གང་ཞེ་ན། ||| What are the four?
མང་དུ་ཐོས་པས་ངོམས་མི་ཤེས་པ་དང་། མང་དུ་ཐོས་པ་རྣམས་ལ་ཆོས་བཞིན་དུ་གུས་པར་བསྙེན་བཀུར་བྱེད་པ་དང་། རྟག་ཏུ་གཞན་དག་ལ་ཆོས་སྟོན་པར་བརྩོན་པ་དང་། ཚིག་དང་ཡི་གེ་ཐམས་ཅད་གཏན་ལ་དབབ་པའི་ཕྱིར་དེ་བཞིན་གཤེགས་པས་དགོངས་ཏེ་གསུངས་པ་ལ་འཇུག་པ་ཡིན་ནོ། ། ||| Not being satisfied even though they have learned a great deal, honoring and respecting those of great learning in accordance with the Dharma, always striving to teach the Dharma to others, and engaging with the teachings in accordance with the Tathāgata’s intentions in order to definitively determine the meaning of all its words and letters.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་བཟོད་པ་འཐོབ་པར་འགྱུར་ཏེ། ||| “Bhadra, when bodhisattvas have four qualities, they will obtain acceptance.
བཞི་གང་ཞེ་ན། ||| What are the four?
མོས་པ་དང་། ཕྱིར་མི་ལྡོག་པ་དང་། ཚོགས་པ་དང་། ཡོངས་སུ་མི་སྐྱོ་བ་སྟེ། ||| Faith, irreversibility, accumulation, and indefatigability.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་སྤོབས་པ་དག་པ་འཐོབ་པར་འགྱུར་ཏེ། ||| “Bhadra, when bodhisattvas have four qualities, they will acquire inspired speech.
བཞི་གང་ཞེ་ན། ||| What are the four?
ཆོས་སྨྲ་བ་གཞན་དག་གིས་བཤད་པ་དང་འགལ་བར་མི་བྱེད་པ་དང་། ཆོས་སྨྲ་བ་ལ་གུས་པ་དང་བཅས་ཤིང་ཞེ་ས་དང་བཅས་པར་ཆོས་ཉན་པ་དང་། ཐོས་པས་ཁེངས་པ་མེད་པ་དང་། ||| Not contradicting the explanations of other proponents of the Dharma, listening to the teachings of other proponents of Dharma with respect and commendation, being without conceit despite one’s learning, and not deprecating those of lesser learning.
ཐོས་པ་ཉུང་ངུ་རྣམས་ལ་བརྙས་པར་མི་བྱེད་པ་སྟེ་བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྒྱུར་བ་སྟེ། ||| “Bhadra, these four are the bodhisattvas’ transformations.
བཞི་གང་ཞེ་ན། འདོད་ཆགས་དང་། ||| What are the four?
ཞེ་སྡང་དང་། གཏི་མུག་སྒྱུར་བ་དང་། ཉན་ཐོས་ལས་སྒྱུར་བ་དང་། རང་སངས་རྒྱས་ལས་སྒྱུར་བ་དང་། དགེ་བའི་རྩ་བའི་ཆོས་ལ་འདུ་ཤེས་སྒྱུར་བ་སྟེ། ||| The transformation of desire, anger, and ignorance, the transformation from a śrāvaka, the transformation from a pratyekabuddha, and the transformation of perceptions into Dharmic roots of virtue.
བཞི་པོ་དེ་དག་ཡིན་ནོ། ། ||| These are the four.
བཟང་པོ་ཆོས་བཞི་པོ་འདི་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་དོན་ཟབ་མོ་ལ་སྦྱོར་བ་ཡིན་ཏེ། ||| “Bhadra, these four qualities are bodhisattvas’ engagement with profound meaning.
བཞི་གང་ཞེ་ན། ||| What are the four?
རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བར་རྟོགས་པར་བྱེད་པ་དང་། དགོངས་པ་རྟོགས་པར་བྱེད་པ་དང་། བདག་གི་ངོ་བོ་ཉིད་རྟོགས་པར་བྱེད་པ་དང་། འདི་ལྟར་སྟོང་པའི་དོན་དུ་ཆོས་དེ་དག་ཐམས་ཅད་དོན་གཅིག་པར་རྟོགས་པར་བྱེད་པ་སྟེ། ||| Understanding dependent arising, understanding the intent of the teachings, understanding the nature of identity, and likewise understanding that, from the perspective of emptiness, all these phenomena have the same meaning.
བཞི་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་དོན་ཟབ་མོ་ལ་སྦྱོར་བ་ཡིན་ནོ། ། ||| These four are bodhisattvas’ engagement with profound meaning.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་སྨོན་ལམ་འགྲུབ་པར་འགྱུར་ཏེ། ||| “Bhadra, when bodhisattvas have four qualities, they will realize their aspirations.
བཞི་གང་ཞེ་ན། ||| What are the four?
ཚུལ་ཁྲིམས་དང་བསླབ་པ་ཡོངས་སུ་དག་པ་དང་། ལས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་སྦྱོང་བ་དང་། གཡོ་སྒྱུ་མེད་པ་དང་། དགེ་བའི་རྩ་བ་བསྐྱེད་པ་ལ་སེམས་དབང་བྱེད་པ་སྟེ། ||| Observing perfect discipline and training, purifying karmic obscurations, being without deceit, and mastering their minds to generate roots of virtue.
བཞི་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་སྨོན་ལམ་འགྲུབ་པར་འགྱུར་བའོ། ། ||| With these four, the aspirations of bodhisattvas will be realized.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་དང་ལྡན་ན་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཐམས་ཅད་ཀྱིས་འཕགས་ཤིང་ཕྱིར་མི་ལྡོག་པའི་ཆོས་ཅན་དུ་འགྱུར་ཏེ། ||| “Bhadra, when bodhisattvas have four qualities, they will be exalted and will gain the quality of irreversibility through all the perfections.
བཞི་གང་ཞེ་ན། ||| What are the four?
ཐབས་མཁས་པ་དང་ལྡན་པས་ཕ་རོལ་ཏུ་ཕྱིན་པ་གཅིག་གི་ནང་དུ་ཕ་རོལ་ཏུ་ཕྱིན་པ་གཞན་ཐམས་ཅད་ཀྱང་སྡུད་པར་བྱེད་པ་དང་། ཐབས་མཁས་པ་དང་ལྡན་པས་སེམས་ཅན་གཅིག་གི་རང་བཞིན་རྟོགས་པས་དེ་ལས་གཞན་པའི་སེམས་ཅན་ཐམས་ཅད་ཀྱང་ཤེས་པ་དང་། ཐབས་མཁས་པ་དང་ལྡན་པས་ཆོས་རྣམ་པར་དག་པ་གཅིག་གི་ཚུལ་རྟོགས་པས་ཆོས་གཞན་དག་གི་རྣམ་པར་དག་པ་ཡང་ཤེས་པ་དང་། ཆོས་ཉིད་ཡིན་པས་སངས་རྒྱས་ཐམས་ཅད་སངས་རྒྱས་གཅིག་ཏུ་མོས་པ་སྟེ། ||| By being skilled in means, subsuming all the perfections within a single perfection; by being skilled in means, knowing all beings by realizing the nature of a single being; by being skilled in means, knowing the purity of other phenomena by realizing the purity of a single phenomenon; and, since all is the true nature, being devoted to all buddhas through a single buddha.
བཟང་པོ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཐམས་ཅད་ཀྱིས་འཕགས་ཤིང་ཕྱིར་མི་ལྡོག་པའི་ཆོས་ཅན་དུ་འགྱུར་རོ། ། ||| Bhadra, when bodhisattvas have these four qualities, they will be exalted and will gain the quality of irreversibility through all the perfections.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཞི་པ་སྒྲུབ་པ་འདི་བཤད་པ་ན་སྒྱུ་མ་མཁན་བཟང་པོ་མི་སྐྱེ་བའི་ཆོས་ལ་བཟོད་པ་ཐོབ་ནས་ཚིམ་ཞིང་མགུ་ལ་ཡི་རངས་ཏེ། ||| When the Blessed one had explained these sets of four accomplishments, Bhadra the illusionist attained the acceptance that phenomena are unborn.
རབ་ཏུ་དགའ་ཞིང་དགའ་བ་དང་། ཡིད་བདེ་བར་གྱུར་ནས་དགའ་བ་དང་། ||| He was utterly delighted and, rejoicing, became overjoyed and blissful.
མཆོག་ཏུ་དགའ་བ་དེ་ཉིད་ཀྱིས་ཤིང་ཏ་ལ་བདུན་སྲིད་ཙམ་གྱི་སྟེང་གི་ནམ་མཁའ་ལ་འཕགས་སོ། ། ||| He was so extremely happy that he rose into the sky to the height of seven palm trees.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་འཛུམ་པ་མཛད་དོ། ། ||| Then, the Blessed One smiled.
འཛུམ་པ་མཛད་པའི་ཞལ་གྱི་སྒོ་ནས་འོད་ཟེར་གྲངས་མེད་དཔག་ཏུ་མེད་པ་བཀྱེ་བས་སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་འོད་ཟེར་དེས་ཁྱབ་པར་བྱས་ནས་སླར་ཡང་བཅོམ་ལྡན་འདས་ཀྱི་དབུའི་གཙུག་ཏུ་ནུབ་བོ། ། ||| And from his smile radiated countless incalculable rays of light that, after suffusing all the buddhafields with light, returned once again and descended into the crown of the Blessed One’s head.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་སྟན་ལས་ལངས་ཏེ་ཆོས་གོས་ཕྲག་པ་གཅིག་ཏུ་བགོས་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| Venerable Ānanda then rose from his seat.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཙུན་པ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ནི་རྒྱུ་མ་མཆིས་པ་དང་། རྐྱེན་མ་མཆིས་པར་འཛུམ་པ་མི་མཛད་ན་འཛུམ་པ་མཛད་པའི་རྒྱུ་གང་ལགས། ||| Folding his Dharma robe over one shoulder, he placed his right knee on the ground, bowed in the direction of the Blessed One with his palms pressed together, and said, “As the honorable Blessed Tathāgata does not smile without a reason or condition, what was the reason for your smile?
རྐྱེན་གང་ལགས། ||| What was the condition?”
དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་ཀྱང་གསོལ་ཏོ། །ཡེ་ཤེས་འབྱུང་གནས་གཟི་བརྗིད་གཞལ་ཡས་ཤེས་རབ་གྲགས། །འཇིག་རྟེན་གསུམ་དུ་ཡོན་ཏན་ཕ་རོལ་ཕྱིན་བརྙེས་གྲགས། །རྒྱལ་བ་རང་བྱུང་གང་གི་སླད་དུ་འཛུམ་བསྟན་པ། ། ||| Then he spoke these verses: “O source of wisdom renowned for your measureless splendor and insight, Renowned in the three worlds as having perfected the qualities, Self-arisen Victor, why have you shown us this smile?
མི་ཡི་དབང་པོས་དེ་ནི་བདག་ལ་བཀའ་སྩལ་གསོལ། ། ||| May the lord among humans please answer me that.
ཕྱོགས་རྣམས་ན་ནི་འགྲོ་བ་སེམས་ཅན་ཇི་སྙེད་གནས། །དེ་དག་ཀུན་གྱི་སེམས་ཀྱི་སྤྱོད་པ་རྣམས་དང་ནི། །དམན་དང་མཆོག་དང་ཐ་མ་བར་མ་རྒྱུ་ལྡན་མཁྱེན། ། ||| “However many migrating beings there are in all directions, You know the mental activities of them all— Those of low and high, and finally of middling capacity.
ཇི་སླད་འཛུམ་པ་མཛད་པ་བདག་ལ་བསྟན་དུ་གསོལ། ། ||| For what purpose did you show me that smile?
ལྷ་དང་དེ་བཞིན་ཞུགས་འབར་སྒྲ་ནི་གང་ལགས་དང་། །མི་འམ་ཅི་དང་མི་དང་བརྒྱ་བྱིན་ལྷ་མིན་དང་། །མཁའ་ལྡིང་ལྟོ་འཕྱེ་ཚངས་པའི་སྒྲ་དང་སྒྲ་གཞན་རྣམས། །སངས་རྒྱས་རྡུལ་བྲལ་གསུང་སྒྲའི་ཆར་ཡང་ག་ལ་སྤྱོད། ། ||| “The voices of the gods and those who likewise blaze with fire, The voices of kinnaras, humans, Śakra, asuras, Garuḍas, uragas, and Brahmā, and all other sounds— How can they compare to even a portion of the Buddha’s immaculate voice?
འོད་བཟང་ཉི་མའི་འོད་དང་ནོར་བུའི་འོད་རྣམས་དང་། །བརྒྱ་བྱིན་འོད་དང་ཚངས་པའི་འོད་རྣམས་ཇི་སྙེད་པ། །ཇི་ལྟར་སངས་རྒྱས་འོད་ཀྱིས་ཁྱབ་པར་གདའ་བ་ལྟར། །འོད་རྣམས་དེ་དག་ཐམས་ཅད་རྣམ་པར་གསལ་མ་ལགས། ། ||| “The shining of the brilliant sun, the glittering of jewels, The light of Śakra and Brahmā—whatever light there is to be found— Compared to the Buddha’s suffusing radiance, Those lights do not shine at all.
སངས་རྒྱས་ཞིང་དེ་ཟབ་མོའི་ཆོས་ནི་རྗེས་སུ་ཐོབ། ། ||| “In this buddhafield you obtained the profound Dharma.
སྟོང་པ་བདག་མེད་སེམས་ཅན་གང་ཟག་མེད་མཁྱེན་ནས། །ཡོད་དང་མེད་པའི་མཐའ་གཉིས་རྣམ་པར་སྤངས་ནས་སུ། །དུས་གསུམ་ཆུ་ཟླ་འདྲ་བར་རབ་ཏུ་མཁྱེན་པ་པོ། ། ||| Knowing emptiness, selflessness, and that for beings no individual person exists, You have fully abandoned the two extremes of existence and nonexistence, And you know well that the three times are like the moon’s reflection on water.
དེང་འདིར་སུ་ཞིག་ཐེག་པའི་མཆོག་ལ་སེམས་བཏུད་དེ། ། ||| “Who here and now has a mind inclined toward the supreme vehicle?
སུ་ཞིག་སངས་རྒྱས་རིགས་དང་ཆོས་ཀྱི་རིགས་ལ་གནས། ། ||| Who belongs to the Buddha’s lineage and the lineage of the Dharma?
སུ་ཞིག་དཀོན་མཆོག་གསུམ་པོ་རྒྱ་ཆེར་སྐྱེད་པར་བགྱིད། ། ||| Who propagates the flourishing of the Three Jewels?
གང་གི་ཆེད་དུ་འཛུམ་པ་མཛད་པ་ལེགས་པར་གསུངས། ། ||| Please explain well the reason for your smile!
གལ་ཏེ་རྒྱལ་བ་ཉན་ཐོས་རྣམས་ལ་དོན་ལྡན་གསུང་། །དེ་ཚེ་བདེ་གཤེགས་འཛུམ་པ་ཞབས་ཀྱི་པུས་མོར་ནུབ། །གལ་ཏེ་རྐྱེན་གྱི་ཐེག་པ་གསུང་ན་ཕྲག་པར་ནུབ། །གལ་ཏེ་སངས་རྒྱས་ཐེག་གསུང་དེ་ཚེ་སྤྱི་བོར་ནུབ། ། ||| “If the meaning of the Victorious One’s teaching is intended for śrāvakas, Then the rays of light from the Sugata’s smile descend back into his knees; If taught for the Pratyekabuddha Vehicle, they descend into his shoulders; And if taught for the Buddha Vehicle, they descend into the crown of his head.
ཇི་ལྟར་ཁྱོད་ཀྱིས་འོད་ཟེར་འབུམ་སྙེད་རབ་བཏང་བ། །བདེ་བར་གཤེགས་ཀྱི་གཙུག་ཏུ་ནུབ་པར་གྱུར་ལགས་ན། །ཕན་མཛད་ལྷ་ཡི་ལྷ་སྟེ་ཕན་པ་མཛད་པ་པོ། །འདི་ནི་སངས་རྒྱས་ཐེག་པར་ལུང་སྟོན་དོགས་མ་མཆིས། ། ||| “Since the hundred thousand rays of light emitted by you Descended into the crown of the Well-Gone One, There is no doubt, O beneficent god of gods, O benefactor, That this is a prophecy for the Buddha Vehicle.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་བ། ཀུན་དགའ་བོ་ཁྱོད་ཀྱིས་རིགས་ཀྱི་བུ་བཟང་པོ་མཐོང་ངམ། ||| Then the Blessed One asked Venerable Ānanda, “Ānanda, do you see Bhadra, this son of noble family?”
གསོལ་པ། བཅོམ་ལྡན་འདས་མཐོང་ལགས་སོ། ། ||| “Blessed One, I see him,” replied Ānanda.
བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་རིགས་ཀྱི་བུ་བཟང་པོ་འདི་ནི་བསྐལ་པ་དགུ་ཁྲི་ཉིས་སྟོང་ན་བསྐལ་པ་ལེགས་པར་སྤྲུལ་པ་ལ་འཇིག་རྟེན་གྱི་ཁམས་བཀོད་པ་ཆེན་པོར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམ་པར་འཕྲུལ་པའི་རྒྱལ་པོ་ཞེས་བྱ་བར་འཇིག་རྟེན་དུ་འབྱུང་བར་འགྱུར་ཏེ། ||| “Ānanda, ninety-two thousand eons from now in the eon Excellent Manifestation, in the world system Great Array, Bhadra, this son of noble family, will appear in the world as a tathāgata, arhat, complete and perfect buddha named Vikurvāṇarāja.
ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམ་པར་འཕྲུལ་པའི་རྒྱལ་པོ་དེའི་འཇིག་རྟེན་གྱི་ཁམས་བཀོད་པ་ཆེན་པོ་ཞེས་བྱ་བ་དེ་ནི་འབྱོར་པར་འགྱུར། རྒྱས་པ་དང་། བདེ་བ་དང་། ལོ་ལེགས་པ་དང་། ཉམས་དགའ་བ་དང་། མི་དང་སྐྱེ་བོ་མང་པོས་གང་བར་འགྱུར་ཞིང་ལག་མཐིལ་ལྟར་མཉམ་པ་དང་། ||| “Ānanda, the tathāgata, arhat, complete and perfect Buddha Vikurvāṇarāja’s world system called Great Array will be rich, vast, happy, abundant with good harvests, pleasant, and filled with many people and beings.
ཀ་ཙ་ལིན་དི་ལྟར་རེག་ན་འཇམ་པ་དང་། མེ་ཏོག་གི་ཤིང་ལྗོན་པས་བརྒྱན་པ་དང་། རོལ་མོ་སྣ་ཚོགས་སྒྲོགས་པ་དང་། སྤོས་སྣ་ཚོགས་ཀྱིས་བདུགས་པ་དང་། རྟག་ཏུ་རྒྱུན་མི་འཆད་པར་གདུགས་དང་། ||| It will be flat and even like the palm of the hand, soft to the touch like kācilindika cloth, adorned with flowering trees, resounding with the music of various instruments, and made fragrant with various kinds of incense; it will continually, without cease, be filled with raised parasols, victory banners, and flags.
རྒྱལ་མཚན་དང་། བ་དན་བསྒྲེང་བར་འགྱུར་རོ། །ཀུན་དགའ་བོ་བཟའ་བ་དང་། བཏུང་བ་ནི་དཔེར་ན་སུམ་ཅུ་རྩ་གསུམ་པའི་ལྷ་རྣམས་ཀྱི་ལོངས་སྤྱོད་ལྟར་བསམས་པ་ཙམ་གྱིས་འགྲུབ་སྟེ། ||| “Ānanda, just as the gods of the Heaven of the Thirty-Three enjoy food and drinks merely by thinking of them, so will the people there enjoy and savor such enjoyments.
མི་དེ་དག་གིས་ཉེ་བར་སྤྱད་པ་དང་། ཡོངས་སུ་སྤྱད་པ་ནི་དེ་ལྟ་བུར་འགྱུར་རོ། །ཀུན་དགའ་བོ་དེའི་ཚེ་འཇིག་རྟེན་གྱི་ཁམས་བཀོད་པ་ཆེན་པོ་དེ་རྟག་ཏུ་བཀོད་པ་ཐམས་ཅད་ཉེ་བར་སྟོན་པར་བྱེད་དེ། དེས་ན་འཇིག་རྟེན་གྱི་ཁམས་དེ་བཀོད་པ་ཆེན་པོ་ཞེས་བྱའོ། ། ||| “Ānanda, at that time, the world system Great Array will constantly manifest all this array, and thus it will be called the world system Great Array.
ཀུན་དགའ་བོ་སངས་རྒྱས་ཀྱི་ཞིང་དེར་སེམས་ཅན་གང་དག་སྐྱེས་པ་དེ་དག་ཐམས་ཅད་ཀྱང་རྒྱ་ཆེན་པོ་ལ་མོས་པ། ཐེག་པ་ཆེན་པོ་ལ་ཡང་དག་པར་ཞུགས་པ་ཤ་སྟག་ཏུ་འགྱུར་རོ། ། ||| “Ānanda, all beings born in that buddhafield will be inclined toward greatness, and they will enter properly into the Great Vehicle (Mahāyāna) and nothing else.
ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་རྣམ་པར་འཕྲུལ་པའི་རྒྱལ་པོའི་ཚེའི་ཚད་ནི་ལོ་ཁྲིར་འགྱུར་རོ། །ཡོངས་སུ་མྱ་ངན་ལས་འདས་ནས་ཀྱང་དམ་པའི་ཆོས་ལོ་བྱེ་བར་གནས་པར་འགྱུར་རོ། ། ||| “Ānanda, the Tathāgata Vikurvāṇarāja will live for ten thousand years, and after his final nirvāṇa, his holy Dharma will remain for ten million years.
ཀུན་དགའ་བོ་གང་གི་ཚེ་དེ་བཞིན་གཤེགས་པ་རྣམ་པར་འཕྲུལ་པའི་རྒྱལ་པོ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་དེའི་ཚེ་ཡང་བྱང་ཆུབ་སེམས་དཔའ་སྒྲ་རྣམ་པར་གྲགས་པ་འདི་ངའི་འོག་ཏུ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀུན་གྱི་ཁྱབ་བདག་ཅེས་བྱ་བར་འཇིག་རྟེན་དུ་འབྱུང་བར་འགྱུར་རོ་ཞེས་བྱང་ཆུབ་སེམས་དཔའ་སྒྲ་རྣམ་པར་གྲགས་པ་ལུང་བསྟན་ནས་ཡོངས་སུ་མྱ་ངན་ལས་འདའོ། ། ||| “Ānanda, at that time when the Tathāgata Vikurvāṇarāja is about to pass into his final nirvāṇa, he will give the bodhisattva Resounding Voice a prophecy: ‘After me, the tathāgata, arhat, complete and perfect buddha known as All-Pervasive Lord will appear in the world.’ Having given the prophecy to bodhisattva Resounding Voice, he will pass into final nirvāṇa.”
