འཕགས་པ་ལྷག་པའི་བསམ་པ་བསྐུལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Inspiring Determination
དབང་བྱེད་པར་མི་འགྱུར་བ་དང་། ||| (9) are not in charge,
ཟློག་བྱེད་ཀྱི་ངང་ཚུལ་ཅན་ཡིད་སྨོན་མང་པོ་ལ་རྒྱུན་དུ་གནས་པ་དང་། ||| (10) are continually consumed with yearnings that are repugnant by nature,
ཁྱིམ་གྱི་བྱ་བ་དག་ལ་བརྩོན་པ་དང་། དེ་རོ་དག་ལ་ཤས་ཆེར་འདུན་ཅིང་ཆགས་པ་སྐྱེད་པ་དང་། ||| (11) invest themselves in domestic affairs, for the taste of which they develop more and more longing and attachment,
ལེན་པ་མེད་པར་མི་དགའ་བ་དང་། ||| (12) are upset when unable to acquire what they want,
ཀུན་ནས་མནར་སེམས་མང་བའི་ལས་ཀྱི་སྒྲིབ་པ་རྒྱུན་དུ་མངོན་པར་འདུ་བྱེད་པ་དང་། ||| (13) continually reproduce obscurations of karma that increase their mental torment,
དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་ལ་རྟོན་པར་འགྱུར་བ་དང་། ||| (14) become dependent upon male and female lay precept-holders,
དེ་ཟས་ཀྱི་རྣམ་པར་རྟོག་པས་ཉིན་མཚན་འདའ་བར་བྱེད་པ་དང་། ||| (15) spend their days and nights ruminating about food,
འཇིག་རྟེན་པའི་བྱ་བ་དག་རྒྱུན་དུ་འདྲི་བར་བྱེད་པ་དང་། ||| (16) are constantly curious about worldly affairs,
མི་རིགས་པའི་སྨྲ་བ་དག་ལ་མངོན་པར་དགའ་བར་འགྱུར་བ་དང་། ||| (17) enjoy improper conversation,
ཞལ་ཏ་བྱེད་པའི་རྒྱགས་པས་ཚངས་པ་མཚུངས་པར་སྤྱོད་པ་རྣམས་དབང་ཕྱུག་གིས་ཚར་གཅོད་པར་བྱེད་པ་དང་། ||| (18) abuse their administrative offices, bringing ruinous punishment by rulers upon those who practice monastic discipline,
ཕ་རོལ་གྱི་འཁྲུལ་པ་ལ་རྟོག་ཅིང་བདག་གི་འཁྲུལ་པ་ལ་མི་རྟོག་པར་འགྱུར་བ་དང་། ||| (19) think about others’ mistakes while never considering their own, and
དོན་དང་ལྡན་ཞིང་རྣམ་པར་ངེས་པའི་གཏམ་དག་ལ་སྐྱེན་པར་བརྙས་པར་འགྱུར་བ་སྟེ། ||| (20) dismiss out of hand reports that are both meaningful and properly verified.
བྱམས་པ་ཉི་ཤུ་པོ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔའ་ལས་ལ་དགའ་ཞིང་ཞལ་ཏ་བྱེད་པའི་སྦག་པས་སྦགས་པའི་ཉེས་དམིགས་ཡིན་ཏེ། ||| “Maitreya, those are the twenty faults of bodhisattvas who like to work and are soiled by the stains of performing administrative duties.
བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ལ་རྟོག་ན་འདོད་པ་ཆུང་ཞིང་བྱ་བ་ཉུང་བར་འགྱུར་ལ་ ||| If bodhisattvas reflect upon them, they will reduce their needs and limit their activities;
འཇིག་རྟེན་པའི་བྱ་བ་སྤངས་ནས་འཇིག་རྟེན་ལས་འདས་པའི་བྱ་བ་ལ་བརྩོན་པར་འགྱུར་རོ། ། ||| abandoning worldly affairs, they will dedicate themselves to spiritual matters.”
དེ་ནས་དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| At that point, the Blessed One spoke the following verses:
དེ་ནི་ལས་ངན་དག་ལ་གནས་འགྱུར་ཞིང་། །ལས་མཆོག་དག་ལས་དེ་ནི་རྒྱང་ཡང་རིང་། ། ||| “They remain involved in bad actions And keep their distance from superior actions.
འདིར་ནི་རྙེད་པ་ཆེ་ལས་རིང་བར་འགྱུར། ། ||| In this way, they wander far from great attainment.
རྣམ་པར་ཆགས་སེམས་ཉེས་པ་འདི་དག་ཡིན། ། ||| These are the faults of a desirous mind.
དགེ་སློང་ལུང་ནོད་ཁ་ཏོན་དགའ་རྣམས་ཀྱིས། །དེ་ལ་བརྙས་ཤིང་འདོད་པར་མི་བྱེད་ལ། །བསམ་གཏན་བྱེད་པ་རྣམས་ཀྱིས་སྨད་པར་འགྱུར། ། ||| “Monks who enjoy study and recitation Dislike and despise them, And those who meditate look down upon them.
རྟག་ཏུ་ལས་གནས་སྐྱོན་ནི་འདི་དག་ཡིན། ། ||| These are the faults of always holding a job.
འཁོར་བའི་ལས་ལ་མངོན་པར་བརྩོན་པ་དང་། །ཐར་པ་ལས་ནི་རྒྱང་རིང་བཅིངས་པར་གནས། ། ||| “Laboring hard at saṃsāra's work, They are detained a great distance from liberation.
དེ་ནི་ཡུལ་འཁོར་ཟས་ལ་མི་རིགས་སྤྱོད། ། ||| They partake of unsavory food and company.
ཉེས་པ་འདི་དག་ལས་ལ་ཆགས་པའི་ཡིན། ། ||| These are the faults of attachment to work.
རྟག་ཏུ་དངོས་པོ་དག་ནི་ལེན་པར་བྱེད། ། ||| “They are always acquiring things
ཡོངས་སུ་འཛིན་པ་མེད་ལ་དགའ་མི་སྐྱེད། ། ||| And are displeased when they cannot have them.
ནོར་མེད་ནོར་ནི་དོན་དུ་གཉེར་བར་བྱེད། ། ||| They pursue wealth that is worthless.
ཉེས་པ་འདི་དག་ལས་ལ་ཆགས་པའི་ཡིན། ། ||| These are the faults of attachment to work.
ཁྱིམ་དུ་རྒྱུ་བ་དག་ལ་ཆགས་པར་འགྱུར། ། ||| “They are attracted to those at leisure in their homes,
འདུ་འཛི་དགའ་བས་ཐམས་ཅད་འཇིག་པར་བྱེད། ། ||| And their love for social activity destroys them entirely.
གཟེབ་ཀྱི་ནང་དུ་བྱ་བཅུག་བཞིན་དུ་འགྱུར། ། ||| They become like birds stuck in their cages.
ཉེས་པ་འདི་དག་ལས་ལ་ཆགས་པའི་ཡིན། ། ||| These are the faults of attachment to work.
ཁྱིམ་པའི་ལས་ལ་དེ་རྟག་མྱ་ངན་བྱེད། །ཡོངས་སུ་གདུངས་པར་གྱུར་ཀྱང་ཡིད་མི་འབྱུང་། ། ||| “Householders’ work always makes them miserable; Yet, despite this torment, they are not deterred.
ནམས་ཀྱང་ཚིག་ནི་བཙུན་པར་མི་འགྱུར་ཏེ། ། ||| When they give their word, it is not credible.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
བླ་མས་བསྐུལ་ན་བཀའ་བློ་མི་བདེ་ཞིང་། །རྗེས་སུ་བསྟན་པ་འཐུན་པར་འཛིན་མི་བྱེད། ། ||| “If the guru exhorts them, his command is discomfiting. They cannot follow his injunctions,
དེ་ནི་མྱུར་དུ་ཚུལ་ཁྲིམས་ཉམས་པར་འགྱུར། ། ||| And their discipline soon collapses.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
ཁྱིམ་ན་གནས་པའི་ལས་རྣམས་རྟག་སེམས་པས། །དེ་ནི་རྟག་ཏུ་འདོད་པར་འགྱུར་བ་སྟེ། ། ||| “The tasks awaiting them at home are always on their minds, And they always are willing to take them on.
བསམ་གཏན་དང་ནི་སྤོང་བ་དེ་མི་བྱེད། ། ||| They therefore practice neither concentration nor abstention.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
དེ་ཡི་འདོད་ཆགས་ཤས་ནི་ཆེ་བར་སྐྱེ། ། ||| “Their passions grow exponentially,
དེ་ནི་རོ་བྲོ་རྣམས་ལ་ཆགས་ཤིང་ཞེན། ། ||| They desire and crave what they savor and fancy,
དེ་ནི་ངན་ངོན་ཙམ་གྱིས་དགར་མི་འགྱུར། ། ||| And they are never satisfied with just modest fare.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
དེ་ནི་འཁོར་ཕལ་ཆེ་ན་དགར་འགྱུར་ཏེ། ། ||| “When their social circles grow, they are delighted,
དེ་ཉམས་ན་ནི་ཤིན་ཏུ་སྡུག་བསྔལ་འགྱུར། ། ||| And when they shrink, they suffer intensely
དེ་ནི་བོང་བུ་བཞིན་དུ་ལང་ལོང་འགྱུར། ། ||| And become irascible like donkeys.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
དེ་སེམས་རྟག་ཏུ་གནོད་སེམས་ལྡན་པར་འགྱུར། ། ||| “Their minds are always filled with enmity.
ལས་རྣམས་འཕེལ་ཞིང་ཟད་པར་མི་འགྱུར་ཏེ། ། ||| Their tasks increase and never reach a conclusion.
སྲེད་པའི་འཁྲི་ཤིང་དག་གིས་དམ་དུ་བཅིངས། ། ||| The creeping vines of craving bind them tightly.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
དེ་ནི་རྟག་ཏུ་བླ་མ་རྣམས་མི་སྟེན། །ཕྱོགས་འདོད་ཁྱིམ་པ་ལ་ནི་སྟེན་པར་བྱེད། ། ||| “They never rely on their gurus; They rely, instead, on self-interested householders.
ཚུལ་ཁྲིམས་གནས་པ་དག་ལའང་ཕྲག་དོག་བྱེད། ། ||| They are jealous, too, of those who maintain disciplined conduct.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
ཉིན་དང་མཚན་དུ་སེམས་གཞན་མེད་པར་ནི། །ཟས་དང་གོས་ལ་རྒྱུན་དུ་སེམས་པར་བྱེད། ། ||| “Day and night, they think nonstop Of food and clothing, and nothing else.
དེ་ནི་རྟག་ཏུ་ཡོན་ཏན་འདོད་མ་ཡིན། ། ||| They never desire good qualities.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
དེ་ནི་འཇིག་རྟེན་པ་ཡི་བྱ་བ་འདྲི། །རིགས་པ་མིན་པའི་སྨྲ་བ་རྣམས་ལ་དགའ། ། ||| “They are curious about worldly affairs, And enjoy talk of indecent matters.
རིགས་པའི་སྨྲ་ལ་དེ་ནི་དགའ་མི་འགྱུར། ། ||| Decent talk they do not like at all.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
སྡོམ་བརྩོན་རྣམས་ལ་དེ་ནི་རྟག་ཏུ་གཤེ། །དབང་ཕྱུག་ཉེས་པས་དེ་དག་དེས་ཚར་གཅོད། །མི་སྡུག་ལས་རྣམས་མངོན་པར་འདུ་བྱེད་དེ། ། ||| “They constantly critique those who hold vows, Bringing the ruination of rulers’ punishments upon them. They create terrible karma.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
དེ་ནི་རྟག་ཏུ་གཞན་གྱི་སྐྱོན་རྟོག་ཅིང་། །བདག་ལ་ཡོད་པའི་སྐྱོན་རྣམས་མི་མཐོང་ལ། ། ||| “They are always concerned with the faults of others, And yet do not see their own faults.
ཡོན་ཏན་ལྡན་པ་རྣམས་ལ་འཁྲུལ་པ་ཚོལ། ། ||| They look for flaws in those who possess fine qualities.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
བྱིས་པ་དེ་ནི་གཞན་གྱིས་མྱུར་དུ་བརྙས། །དེ་ནི་ཕ་རོལ་དག་ལ་ཆོས་སྟོན་ཚེ། །བློ་ཉམས་པས་ན་མངོན་པར་ཤེས་མི་འགྱུར། ། ||| “Those childish people are soon despised by others. When they teach them the Dharma, Since their own intellects are weak, no understanding emerges.
ཉེས་པ་འདི་དག་ལས་ལ་དགའ་བའི་ཡིན། ། ||| These are the faults of liking to work.
གནོད་འགྱུར་ཉེས་པ་འདི་དག་མཐོང་ནས་ནི། །ལས་ངན་དག་ལ་སུ་ཞིག་དགའ་བར་བྱེད། ། ||| “Having seen their damaging faults, Who would be happy with negative actions?
དཔའ་བོ་དག་ནི་རྟག་ཏུ་ལས་མཆོག་བྱེད། །བྱས་པ་གང་ཡིན་ཆུད་ནི་གཟོན་མི་བྱེད། ། ||| Brave ones, always act in a superior fashion, And do not squander whatever good you have done.
ལན་སྟོང་བརྗོད་ཀྱང་ཚིག་གཅིག་མི་འཛིན་པ། །དེ་ནི་བློ་ཅན་དག་གིས་སྤྱོ་བ་ཡིན། ། ||| “Those who fail to grasp a single word of what has been stated a thousand times Are objects of ridicule for the intelligent.
གང་ཞིག་ལས་ངན་དག་ནི་བྱེད་པ་ལ། །དམ་པ་དག་གིས་དེ་ལྟར་རྟག་ཏུ་སྨད། ། ||| The holy, likewise, continually reproach Those who engage in negative actions.
དེ་ལྟ་བས་ན་མཁས་མིས་འདི་རྟག་ཏུ། །ལས་ངན་དག་ནི་རྣམ་པར་སྤངས་ནས་ཀྱང་། །ཐུབ་དབང་རྣམས་ཀྱིས་རྟག་ཏུ་བསྔགས་པ་ཡི། །བཟང་པོའི་ལས་རྣམས་གང་ཡིན་དེ་དག་བྱ། ། ||| “That being the case, wise people, Always forsake these negative actions; Moreover, perform the excellent actions That mighty sages always commend.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Maitreya then said to the Blessed One,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་དག་ཆོས་ཀྱི་མཆོག་ཡོངས་སུ་སྤངས་ནས་ལས་ངན་པ་རྩོམ་པ་དེ་དག་ནི་ཤེས་རབ་ཤིན་ཏུ་ཆུང་ཞིང་ཤེས་རབ་ཀྱིས་དམན་པར་འགྱུར་བ་ལགས་སོ། ། ||| “Blessed One, those bodhisattvas who have rejected the supreme Dharma and engage in negative actions surely have incredibly weak insight, and their insight is inferior.”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One answered the bodhisattva great being Maitreya this way:
བྱམས་པ་དེ་དེ་བཞིན་ཏེ། དེ་དེ་བཞིན་ནོ། ། ||| “Maitreya, that is so, that is so.
ཇི་སྐད་སྨྲས་པ་བཞིན་ཏེ། བྱང་ཆུབ་སེམས་དཔའ་གང་དག་ཆོས་ཀྱི་མཆོག་ཡོངས་སུ་སྤངས་ནས་ལས་ངན་པ་རྩོམ་པ་དེ་དག་ནི་ཤེས་རབ་ཤིན་ཏུ་ཆུང་ཞིང་ཤེས་རབ་ཀྱིས་དམན་པར་འགྱུར་བ་ཡིན་ནོ། ། ||| Just as you say, those bodhisattvas who reject the supreme Dharma and engage in negative actions have incredibly weak insight, and their insight is inferior.
བྱམས་པ་གཞན་ཡང་ཁྱོད་མོས་པར་བྱའོ། །ཁྱོད་ཀྱིས་ཁོང་དུ་ཆུད་པར་བྱའོ། ། ||| “Maitreya, there is something else you ought to know, something else you should take to heart.
བྱང་ཆུབ་སེམས་དཔའ་གང་དག་ལ་སྦྱོར་བ་མེད་ཅིང་བསམ་གཏན་མེད་ལ་སྤོང་བ་མེད་ཅིང་འདོན་པ་མེད་པ་དང་། མང་དུ་ཐོས་པ་ཡོངས་སུ་ཚོལ་བ་མེད་པ་དེ་དག་ནི་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ལ་རབ་ཏུ་བྱུང་བ་མ་ཡིན་ནོ། ། ||| Those bodhisattvas who do not apply themselves, who lack concentration, who do not renounce, who do not abstain, and who do not strive to become learned are not ordained within the teachings of the thus-gone ones.
བྱམས་པ་དེ་བཞིན་གཤེགས་པའི་བསྟན་པ་ནི་བསམ་གཏན་དང་སྤོང་བས་ཕྱེ་བ་དང་། ཡེ་ཤེས་ཀྱིས་འདུས་བྱས་པ་དང་། ཡེ་ཤེས་ཀྱིས་མཉམ་པར་བཞག་པ་དང་། བརྩོན་པས་ཕྱེ་བ་ཡིན་གྱི། ཁྱིམ་པའི་ལས་དང་ཞལ་ཏ་བྱེད་པས་ཕྱེ་བ་ནི་མ་ཡིན་ཏེ ||| “Maitreya, the teachings of thus-gone ones are distinguished by meditating and renouncing, by gathering wisdom and steadily abiding in wisdom, and by practicing diligently, as opposed to doing the work of householders and performing administrative duties.
འདི་ལྟར་ཞལ་ཏ་བྱེད་པའི་ལས་དེ་ནི་མི་རིགས་པ་ལ་སྦྱོར་བ་རྣམས་དང་། འདུ་བྱེད་ལ་མངོན་པར་དགའ་བ་རྣམས་དང་། འཇིག་རྟེན་པའི་བྱ་བས་སྦགས་པ་སྟེ། ||| Monks who perform administrative work are corrupted by those who engage in improprieties, by those who delight in amassing property, and by worldly affairs in general;
བྱང་ཆུབ་སེམས་དཔས་དེ་ལ་འདོད་པ་བསྐྱེད་པར་མི་བྱའོ། ། ||| thus, bodhisattvas should not develop a liking for such work.
བྱམས་པ་གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་ཞལ་ཏ་བྱེད་པ་ལ་བརྩོན་པས་རིན་པོ་ཆེ་སྣ་བདུན་གྱི་མཆོད་རྟེན་དག་གིས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་བཀང་ན་དེས་ནི་ང་མཉེས་པར་བྱས་པ་མ་ཡིན། རི་མོར་བྱས་པ་མ་ཡིན། བཀུར་སྟིར་བྱས་པ་མ་ཡིན་གྱི། ||| Maitreya, even if, by diligently performing administrative duties, bodhisattvas could fill this billionfold world system with stūpas constructed from the seven types of precious substances, this would not please me, would not honor me, and would not venerate me. On the other hand,
བྱམས་པ་གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་ཐ་ན་ཕ་རོལ་ཏུ་ཕྱིན་པ་དང་ལྡན་པའི་ཚིག་བཞི་པའི་ཚིགས་སུ་བཅད་པ་གཅིག་ཙམ་འཛིན་ཏམ། འཆང་ངམ། ཀློག་གམ། ཀུན་ཆུབ་པར་བྱེད་དམ། འཆང་ན་དེས་ནི་ང་ལ་བཀུར་སྟིར་བྱས། བླ་མར་བྱས། རི་མོར་བྱས། མཆོད་པ་བྱས་པར་འགྱུར་རོ། ། ||| Maitreya, if bodhisattvas do no more than retain, grasp, read, absorb, or bear in mind a single stanza of four verses containing the perfections, that would honor, serve, venerate, and be an offering to me.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| “Why is that?
བྱམས་པ་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱི་བྱང་ཆུབ་ནི་མང་དུ་ཐོས་པ་ལས་བྱུང་བ་ཡིན་གྱི། དངོས་པོ་ཡོངས་སུ་འཛིན་པ་ལས་བྱུང་བ་ནི་མ་ཡིན་པའི་ཕྱིར་རོ། ། ||| Maitreya, it is because the awakening of the thus-gone ones springs from great learning, and not from holding on to material things.
བྱམས་པ་གལ་ཏེ་བྱང་ཆུབ་སེམས་དཔའ་ཞལ་ཏ་བྱེད་པ་ལ་བརྩོན་པས་བྱང་ཆུབ་སེམས་དཔའ་ལུང་ནོད་པ་དང་། ཁ་ཏོན་བྱེད་པ་ལ་བརྩོན་པ་ཞལ་ཏ་བྱེད་པའི་སྦག་པས་སྦགས་པར་བྱེད་ན་བསོད་ནམས་འདོད་པ་དེས་ནི་བསོད་ནམས་མ་ཡིན་པའི་ཕུང་པོ་ཆེན་པོ་སྐྱེད་པར་འགྱུར་ཏེ ||| Maitreya, if bodhisattvas devote themselves to administrative duties, and by performing those duties, damage the efforts of other bodhisattvas to teach and recite scripture, their desire for merit will result in the generation of an enormous heap of demerits, and
ལས་ཀྱི་སྒྲིབ་པ་ཡང་ཡོངས་སུ་འཛིན་པར་འགྱུར་རོ། ། ||| they will be gripped by obscurations of karma.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that the case?
བསོད་ནམས་བྱ་བའི་གཞི་གསུམ་པོ་གང་ཡིན་པ་དེ་དག་ཐམས་ཅད་ནི་ཤེས་རབ་ལས་བྱུང་བའི་ཕྱིར་རོ། ། ||| Well, the three things that are the bases for producing merit all arise from insight.
བྱམས་པ་དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་ཞལ་ཏ་བྱེད་པ་ལ་བརྩོན་པས་བྱང་ཆུབ་སེམས་དཔའ་ལུང་ནོད་པ་དང་། ཁ་ཏོན་བྱེད་པ་ལ་བརྩོན་པའི་བར་ཆད་མི་བྱའོ། ། ||| Therefore, Maitreya, the efforts of bodhisattvas working in administrative offices must not cause obstacles for bodhisattvas devoting themselves to study and recitation of scripture.
འཛམ་བུའི་གླིང་འདི་ཞལ་ཏ་བྱེད་པས་ཡོངས་སུ་གང་བར་གྱུར་པའི་ཞལ་ཏ་བྱེད་པ་དེ་དག་ཐམས་ཅད་ཀྱིས་ནི་བྱང་ཆུབ་སེམས་དཔའ་ལུང་ནོད་པ་དང་། ཁ་ཏོན་བྱེད་པ་ལ་བརྩོན་པ་གཅིག་ལ་རིམ་གྲོ་དང་བསྙེན་བཀུར་བྱའོ། ། ||| “All those who serve in administrative offices and perform administrative duties throughout Jambudvīpa should honor and serve even a single bodhisattva devoted to study and recitation of scripture.
བྱང་ཆུབ་སེམས་དཔའ་ལུང་ནོད་པ་དང་། ཁ་ཏོན་བྱེད་པ་ལ་བརྩོན་པ་འཛམ་བུའི་གླིང་གང་བསྙེད་ཀྱིས་ནི་བྱང་ཆུབ་སེམས་དཔའ་ནང་དུ་ཡང་དག་འཇོག་ལ་བརྩོན་པ་གཅིག་ལ་རིམ་གྲོ་དང་བསྙེན་བཀུར་བྱའོ། ། ||| However many bodhisattvas devoted to study and recitation of scripture there are in all of Jambudvīpa, they should honor and serve even a single bodhisattva dedicated to proper contemplation.
དེ་ལྟར་བྱས་ན་དེ་བཞིན་གཤེགས་པས་རྗེས་སུ་ཡི་རང་བ་དང་གནང་བ་ཡིན་ཏེ། དེ་དག་གི་བསྙེན་བཀུར་ནི་ལེགས་པར་བྱས་པ་ཡིན་ནོ། ། ||| If they do so, the thus-gone ones will rejoice and approve, and will have been venerated properly.
གང་ཞིག་ཤེས་རབ་སྤྱོད་པ་ལ་མོས་ནས་རིམ་གྲོ་དང་བསྙེན་བཀུར་བྱེད་པའི་བསོད་ནམས་ཀྱི་ཕུང་པོ་ནི་ཚད་མེད་པར་སྐྱེད་པར་འགྱུར་རོ། ། ||| Performing such honor and service will generate an infinite amount of merit for those who wish to experience insight.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| If you ask why that is the case,
འདི་ལྟར་ཤེས་རབ་ཀྱི་ལས་ནི་དཀའ་བའི་ལས་དང་། བླ་ན་མེད་པ་དང་། གོང་ན་མེད་པ་དང་། འཇིག་རྟེན་གསུམ་པོ་ཐམས་ཅད་ལས་ཁྱད་པར་དུ་འཕགས་ཤིང་མངོན་པར་འཕགས་པའི་ཕྱིར་རོ། ། ||| it is because working on insight is the most challenging, the best, the highest, and the most exceptional and exalted of all occupations in the threefold world.
བྱམས་པ་དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་མངོན་པར་བརྩོན་པ་དོན་དུ་གཉེར་ཞིང་བརྩོན་འགྲུས་རྩོམ་པར་འདོད་པས་ཤེས་རབ་ལ་བརྩོན་པར་བྱ་ཞིང་ཤེས་རབ་ཡོངས་སུ་བཙལ་བ་ལ་བརྩོན་འགྲུས་བརྩམ་པར་བྱའོ། ། ||| “Maitreya, that being so, bodhisattvas who wish to apply themselves with dedicated effort and to exercise diligence must vigorously train in insight and pursue their training in insight.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The bodhisattva great being Maitreya then said to the Blessed One,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་འདུ་འཛི་ལ་དགའ་བ་དང་། ལས་ལ་དགའ་བ་རྣམས་ཀྱི་ནོངས་དམིགས་རྣམས་ནི་བཀའ་སྩལ་ལགས་ན། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔས་སྤྲོས་པ་ལ་དགའ་བའི་ནོངས་དམིགས་རྣམས་ཇི་ལྟར་བརྟག་པར་བགྱི། ||| “Now that the Blessed One has explained the drawbacks of bodhisattvas enjoying social diversions and liking to work, would the Blessed One next explain how to examine the shortcomings of bodhisattvas liking to deceive?
བྱང་ཆུབ་སེམས་དཔས་གང་དག་ལ་བརྟགས་ན་ཉེ་བར་ཞི་བ་ལ་གནས་ཤིང་རྩོད་པ་མ་མཆིས་པར་གནས་པར་འགྱུར་ལགས། ||| What are the things bodhisattvas should examine, if they are to remain peaceful and not engage in disputes?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One said,
བྱམས་པ་བྱང་ཆུབ་སེམས་དཔས་སྤྲོས་པ་ལ་དགའ་བའི་ཉེས་དམིགས་རྣམས་མདོར་བསྡུ་ན་ཉི་ཤུ་པོ་འདི་དག་ཏུ་བརྟག་པར་བྱའོ། ། ||| “Maitreya, to summarize, there are twenty shortcomings of bodhisattvas liking to deceive that must be examined.
རྒྱས་པར་ནི་དེ་བཞིན་གཤེགས་པས་མཐའ་ཡས་པར་བསྟན་ཏེ་མཐར་ཐུག་པར་ཡང་མི་འགྱུར་རོ། ། ||| More broadly, the thus-gone ones have taught that these faults are limitless; there is no end to them.
ཉི་ཤུ་གང་ཞེ་ན། བྱམས་པ་བྱང་ཆུབ་སེམས་དཔའ་སྤྲོས་པ་ལ་དགའ་བ་ནི་ ||| What are these twenty faults, Maitreya, of bodhisattvas who like to be deceitful?
ཚེ་འདི་ཉིད་ལ་སྡུག་བསྔལ་བ་དང་ཡིད་མི་བདེ་བ་མང་བར་གནས་པ་དང་། ||| (1) They experience a great deal of suffering and unhappiness in their lives;
བཟོད་པ་ལས་ཡོངས་སུ་ཉམས་པར་འགྱུར་བ་དང་། ||| (2) they lose their sense of patience;
དེའི་མི་མཛའ་བ་རྣམས་ཡི་རངས་པར་འགྱུར་བ་དང་། ||| (3) their opponents rejoice in that loss;
དེ་ལ་བདུད་ཀྱང་མགུ་བར་འགྱུར་བ་དང་། ||| (4) Māra, too, takes great satisfaction in that loss;
དེ་ལ་བདུད་ཀྱི་འཁོར་ཀྱང་དགའ་བར་འགྱུར་བ་དང་། ||| (5) Māra’s cohorts delight in it as well;
དེའི་དགེ་བའི་ཆོས་མ་སྐྱེས་པ་རྣམས་སྐྱེ་བར་མི་འགྱུར་བ་དང་། ||| (6) virtuous qualities that have not yet arisen in them do not arise;
སྐྱེས་པ་རྣམས་མེད་པར་འགྱུར་བ་དང་། ||| (7) those that have arisen disappear;
འཐབ་པ་དང་འཁོན་དུ་འཛིན་པ་དང་། རྩོད་པ་དང་། འགྱེད་པ་མང་བར་འགྱུར་བ་དང་། ||| (8) their disputes, grudges, arguments, and conflicts increase;
འཐབ་པ་དང་། རྩོད་པ་དང་། འགྱེད་པས་ངན་སོང་དུ་འགྲོ་བར་འགྱུར་བའི་ལས་མངོན་པར་འདུ་བྱེད་པར་འགྱུར་བ་དང་། ||| (9) those disputes, arguments, and conflicts actively create karma that leads to rebirth in the lower realms;
བག་མེད་པར་འགྱུར་བའི་ལམ་རབ་ཏུ་འཛིན་པ་དང་། ||| (10) they are bound to a course of sheer recklessness;
