འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས། ལེའུ་བཅུ་བཞི་པ་སྟེ། ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱཱ་ཡུཥྨཾ་ནནྡཾ་གརྦྷཱ་བ་ཀྲཱནྟི་ནིར་དེ་ཤ། བོད་སྐད་དུ།
འཕགས་པ་ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Teaching to Venerable Nanda on Entry into the Womb
།ཞག་བདུན་ཕྲག་སུམ་ཅུ་གཅིག་པ་ནས་ཞག་བདུན་ཕྲག་སུམ་ཅུ་ལྔ་པའི་བར་དུ་མའི་མངལ་ན་གནས་པའི་ཚེ་ནི་ལུས་ཀྱི་མཚན་མ་རྣམས་ཆེར་སྐྱེ་བར་འགྱུར་བས་མཐར་གྱིས་ལུས་ཀྱི་ཡན་ལག་ཕུན་སུམ་ཚོགས་ཤིང་ཡངས་པར་འགྱུར་རོ། ||| While the being in the mother’s womb is in the thirty-first week through the thirty-fifth week, the features of the body will grow, and the parts of the body will gradually become enlarged and complete. “
།ཞག་བདུན་ཕྲག་སུམ་ཅུ་དྲུག་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ནི་དེ་འབྱུང་བའི་བསམ་པ་སྐྱེ་བས་མངོན་པར་མི་དགའ་བར་འགྱུར་རོ། ||| While the being in the mother’s womb is in the thirty-sixth week, it gives rise to a thought of emerging from the womb and becomes very unhappy. “
།ཞག་བདུན་ཕྲག་སུམ་ཅུ་བདུན་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ནི་ཕྱིན་ཅི་ལོག་ཏུ་མ་གྱུར་པའི་འདུ་ཤེས་རྣམ་པ་ལྔ་འབྱུང་བར་འགྱུར་རོ། ||| While the being in the mother’s womb is in the thirty-seventh week, five unmistaken perceptions will arise.
།ལྔ་གང་ཞེ་ན། ||| What are the five?
མི་གཙང་བའི་འདུ་ཤེས་དང་། དྲི་མི་ཞིམ་པའི་འདུ་ཤེས་དང་། བཙོན་རའི་འདུ་ཤེས་དང་། མུན་ནག་གི་འདུ་ཤེས་དང་། ཡོངས་སུ་སྐྱོ་ནས་ཕྱིར་འབྱུང་བའི་འདུ་ཤེས་སྐྱེ་བ་གང་ཡིན་པ་སྟེ། ||| They are a perception of dirtiness, the perception of a foul smell, the perception of a prison, the perception of darkness, and the perception of emerging due to great weariness.
མངལ་ན་གནས་པ་དེ་ཡོངས་སུ་སྐྱོ་བའི་བསམ་པ་དེ་ལྟ་བུ་དག་སྐྱེ་བར་འགྱུར་རོ། ||| The being in the womb gives rise to these sorts of thoughts of great weariness. “
།ཞག་བདུན་ཕྲག་སུམ་ཅུ་བརྒྱད་པ་ལ་མའི་མངལ་ན་གནས་པའི་ཚེ་ཡང་ལས་ཀྱི་རླུང་མངོན་པར་གྲུབ་པ་གང་ཡིན་པ་དེ་ནི་ཐོགས་པའི་རྐྱེན་ཅེས་བྱ་སྟེ། ||| While the being in the mother’s womb is in the thirty-eighth week, again a karmic wind, seized conditions, comes into existence.
རླུང་དེའི་སྟོབས་ཀྱིས་དེ་རབ་ཏུ་སྒྱུར་བར་བྱེད་དོ། ||| The force of this wind makes it turn over.
།གཞན་ཡང་ཁ་ཐུར་དུ་ལྟ་བ་ཞེས་བྱ་བའི་རླུང་འབྱུང་སྟེ། ||| Furthermore, a wind called facing down arises.
དེའི་མགོ་ཐུར་དུ་ལྟ་ཞིང་ལག་པ་གཉིས་བརྐྱང་སྟེ། མཐར་གྱིས་འབྱུང་བར་འདོད་པར་འགྱུར་རོ། ། ||| The being in the womb, upside down, extends its two arms and gradually wishes to emerge from the womb.
མངལ་ན་གནས་པ་དེ་གལ་ཏེ་ཚེ་རབས་སྔ་མ་ལ་མངལ་དུ་འཆི་བར་འགྱུར་བའི་ལས་བསགས་པ་ཞིག་ཡིན་ན་ནི་དེའི་ལག་པ་དང་རྐང་པ་སྣོལ་མར་གྱུར་ནས་སྒྱུར་མི་ནུས་པས་སྡིག་པ་མི་དགེ་བའི་ལས་ཀྱི་རྐྱེན་གྱིས་མའི་མངལ་ཉིད་དུ་འཆི་བའི་དུས་བྱེད་པར་འགྱུར་ཏེ། ||| If the being in the womb accumulated karma in previous lives that would result in its dying in the womb, it will be unable to turn over because its arms and legs become intertwined, and it will die in its mother’s womb on account of its sinful, nonvirtuous karma.
དེའི་མ་ཡང་དེའི་ཚེ་སྡུག་བསྔལ་ཆེན་པོ་མྱོང་བའམ། ཡང་ན་འཆི་བའི་དུས་བྱེད་པར་འགྱུར་རོ། ||| And at that time, the mother, too, will experience great suffering or die.
།གལ་ཏེ་ཚེ་རབས་སྔ་མ་ལ་དགེ་བའི་ལས་རྣམས་མངོན་པར་འདུས་བྱས་ཤིང་ཚེ་རིང་པོར་འགྱུར་བའི་རྒྱུ་བསགས་པ་ཞིག་ཡིན་ན་ནི་བཙས་སུ་ཉེ་བའི་ཚེ་མ་དང་། བུ་གཉི་ག་རབ་ཏུ་བདེ་ཞིང་སྡིག་པ་མི་དགེ་བའི་ལས་ཀྱི་སྡུག་བསྔལ་གོང་མ་ལྟ་བུ་མེད་དོ། ||| If, in previous lives, it engaged in virtuous actions and accumulated the causes that would result in a long life, when birth is imminent, both mother and child will be very happy and will not have such suffering that results from sinful, nonvirtuous karma.
།ཞག་བདུན་ཕྲག་སུམ་ཅུ་རྩ་བརྒྱད་འདས་ནས་མངལ་ནས་འབྱུང་བར་འདོད་པའི་ཚེ། སྡུག་བསྔལ་སྣ་ཚོགས་མྱོང་ནས་གདོད་འབྱུང་བར་འགྱུར་བ་ ||| When thirty-eight weeks have passed and the being in the womb desires to emerge, it will experience various sufferings when it first emerges.
དེའི་ཕྱིར་ལུས་འདི་ལྟ་བུ་ལེན་པ་འདི་ནི་ཡང་དག་པར་སྡུག་བསྔལ་ཆེན་པོ་ཡིན་པར་རིག་པར་བྱའོ། ། ||| Therefore, it should be understood that receiving this body is great suffering. “
དང་པོ་མངལ་ནས་འབྱུང་བའི་ཚེ་ཁྱེའུ་འུ་འམ། བུ་མོ་ཡང་རུང་སྟེ། ས་ལ་ལྷུང་མ་ཐག་ཏུ་ལག་པས་བཟུང་ངམ། གོས་ཀྱིས་བླངས་སམ། ཁྲི་ལ་བཞག་གམ། ཁང་པའི་ནང་དུ་བཞག་གམ། ས་ལ་བཞག་གམ། བླ་གབ་མེད་པར་བཞག་གམ། ཉི་མ་ལ་བཞག་གམ། དགུན་ནམ། དབྱར་གྱི་དུས་སུ་གྲང་བ་དང་། ཚ་བའི་རླུང་གིས་བཙས་མ་ཐག་པའི་ལུས་དེ་ལ་རེག་པར་གྱུར་ན་ཡང་སྡུག་བསྔལ་ཆེན་པོ་མྱོང་བར་འགྱུར་ཏེ། ||| When the infant first emerges from the womb—whether it is a son or a daughter, as soon as it falls to the ground, whether it is taken in the hands, or received in a cloth, or placed on a couch, or placed in a house, or placed on the ground, or placed in the open, or placed in the sun, in winter or summer—when the newborn body is touched by a cold or hot wind, it will experience great suffering.
འདི་ལྟ་སྟེ། དཔེར་ན་བ་ལང་གསོན་པོར་བཤུས་པ་རྩིག་པ་ལ་རེག་གམ། བླ་གབ་མེད་པའི་ཐང་ལ་ལྷུང་བར་གྱུར་ན་སྲོག་ཆགས་དག་གིས་ཟ་བར་འགྱུར་བའམ། གཞན་ཡང་འདི་ལྟ་སྟེ། དཔེར་ན་མི་ཞིག་ལ་སྦྲང་བུ་མཆུ་རིངས་རྣམས་ཀྱིས་ཟ་བ་ལ་ཡང་ལྕག་གིས་གཞུས་པ་དེ་བཞིན་དུ་དང་པོ་མངལ་ནས་བྱུང་བའི་ཚེ་ཆུ་དྲོན་པོ་དག་གིས་ལུས་བཀྲུས་པས་རེག་པའི་སྡུག་བསྔལ་མྱོང་བ་ཡང་དེ་དང་འདྲའོ། ||| The pain experienced by the infant due to being washed with hot water when it first emerges from the womb is just like that of an ox, skinned alive, that brushes against a wall or, falling on the bare ground, is eaten by insects. Alternatively, it is like that of a man who is eaten by mosquitoes or is beaten with a whip.
།བཙས་ནས་མཐར་གྱིས་ཆེར་འགྱུར་བ་དང་། མའི་ལུས་ལས་ཁྲག་དང་འདྲེས་པའི་ནུ་ཞོ་བྱུང་ནས་གསོ་བར་བྱེད་དེ། ||| After being born, the infant gradually grows larger and is nourished by milk mixed with blood that comes from the mother’s body.
ངས་སྔར་མདོ་སྡེ་གཞན་དག་ལས་རྒྱ་ཆེར་བསྟན་པ་ཡིན་ནོ། ||| I have previously taught this at length in other sūtras.
།དེ་ལྟ་བས་ན་ལུས་འདི་ནི་མི་གཙང་བ་དང་། སྡུག་བསྔལ་མང་པོ་ལས་མངོན་པར་གྲུབ་པ་ཡིན་པས་མཁས་པ་སུ་ཞིག་འཁོར་བ་ན་འདི་འདྲ་བའི་ལུས་ལ་རྗེས་སུ་ཆགས་པར་བྱེད། ||| Thus, since this body is filthy and is formed from much suffering, what wise person would desire this sort of body in saṃsāra? “
གཞན་ཡང་དགའ་བོ་དང་པོ་མངལ་ནས་བྱུང་ནས་ཞག་བདུན་ལོན་པ་དང་། སྲོག་ཆགས་སྲིན་བུའི་རིགས་སྟོང་ཕྲག་བརྒྱད་ཅུ་ལུས་ལས་སྐྱེས་ནས་དེ་ལས་ཟ་བར་བྱེད་དོ། ||| Furthermore, Nanda, a week after the infant emerges from the womb, eighty thousand types of worm arise in the body and feed on it.
སྐྲ་ལ་ཟ་བ་ཞེས་བྱ་བའི་སྲིན་བུའི་རིགས་གཉིས་ཡོད་དེ་སྐྲ་ལ་གནས་ནས་སྐྲ་ལ་ཟ་བར་བྱེད་དོ། ||| There are two types of worm called hair eater that live in and feed on the hair.
།སྲིན་བུའི་རིགས་གཉིས་ནི་མིག་ལ་གནས་ནས་མིག་ལ་ཟ་བར་བྱེད་དོ། ||| Two types of worm live in and feed on the eyes.
།སྲིན་བུའི་རིགས་པ་ཧ་ན་དང་། རྐན་ལྡན་དང་། ནད་སློང་དང་། ཡོངས་སུ་རྫོགས་པ་ཞེས་བྱ་བ་བཞི་ཡོད་དེ་ཀླད་པ་ལ་གནས་ནས་ཀླད་པ་ལ་ཟ་བར་བྱེད་དོ། ||| There are four types of worm, saddle horse,having a palate,provoking illness, and completion, that live in and feed on the brains.
།སྲིན་བུའི་རིགས་སཱ་ལུ་ནག་པོའི་ལོ་མ་ཞེས་བྱ་བ་གཅིག་ཡོད་དེ་རྣ་བ་ལ་གནས་ནས་རྣ་བ་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, black rice, that lives in and feeds on the ears.
།སྲིན་བུའི་རིགས་མཛོད་སྒོ་ཞེས་བྱ་བ་གཅིག་ཡོད་དེ་སྣ་ལ་གནས་ནས་སྣ་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, treasury opening, that lives in and feeds on the nose.
།སྲིན་བུའི་རིགས་འཕེན་པ་དང་། ཀུན་ཏུ་འཕེན་པ་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་མཆུ་ལ་གནས་ནས་མཆུ་ལ་ཟ་བར་བྱེད་དོ། ||| There are two types of worm, throwing and throwing everywhere, that live in and feed on the lips.
།སྲིན་བུའི་རིགས་ཁབ་མཆུ་ཞེས་བྱ་བ་གཅིག་ཡོད་དེ་ལྕེ་ལ་གནས་ནས་ལྕེ་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, needle lips, that lives in and feeds on the tongue.
།སྲིན་བུའི་རིགས་ཁ་རྣོ་ཞེས་བྱ་བ་གཅིག་ཡོད་དེ་ལྕེའི་དྲུང་ན་གནས་ནས་ལྕེའི་དྲུང་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, sharp mouth, that lives in and feeds on the root of the tongue.
།སྲིན་བུའི་རིགས་ལག་རྫོགས་ཞེས་བྱ་བ་གཅིག་ཡོད་དེ་རྐན་ལ་གནས་ནས་རྐན་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, perfect arm, that lives in and feeds on the palate.
།སྲིན་བུའི་རིགས་ལག་པ་དྲ་བ་ཅན་དང་། ཕྱེད་སྒྱུར་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་ལག་མཐིལ་ལ་གནས་ནས་ལག་མཐིལ་ལ་ཟ་བར་བྱེད་དོ། །སྲིན་བུའི་རིགས་དཔུང་པ་དང་། ||| There are two types of worm, webbed hand and half bent, that live in and feed on the palms of the hands.
ཉེ་བའི་དཔུང་པ་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་དཔུང་པ་ལ་གནས་ནས་དཔུང་པ་ལ་ཟ་བར་བྱེད་དོ། ||| There are two types of worm, upper arm and lower arm, that live in and feed on the arms.
།སྲིན་བུའི་རིགས་ལྕགས་ཅན་དང་ཉེ་བའི་ལྕགས་ཅན་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་མིད་པ་ལ་གནས་ནས་མིད་པ་ལ་ཟ་བར་བྱེད་དོ། །སྲིན་བུའི་རིགས་རྡོ་རྗེ་དང་། ||| There are two types of worm, having iron and having near-iron, that live in and feed on the throat.
རྡོ་རྗེ་ཆེན་པོ་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་སྙིང་ལ་གནས་ནས་སྙིང་ལ་ཟ་བར་བྱེད་དོ། ||| There are two types of worm, thunderbolt and great thunderbolt, that live in and feed on the heart.
།སྲིན་བུའི་རིགས་དམན་པ་དང་། དམན་པའི་ཁ་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་ཤ་ལ་གནས་ནས་ཤ་ལ་ཟ་བར་བྱེད་དོ། ||| There are two types of worm, weak and weak mouth, that live in and feed on the flesh.
།སྲིན་བུའི་རིགས་ཁ་དོག་ལྡན་དང་། གྲགས་ལྡན་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་ཁྲག་ལ་གནས་ནས་ཁྲག་ལ་འཐུང་བར་བྱེད་དོ། ||| There are two types of worm, colorful and renowned, that live in and drink the blood.
།སྲིན་བུའི་རིགས་དཔའ་བོ་དང་། དྲི་གཏོང་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་ཆུ་བ་ལ་གནས་ནས་ཆུ་བ་ལ་ཟ་བར་བྱེད་དོ། ||| There are two types of worm, hero and fragrance face, that live in and feed on the ligaments.
།སྲིན་བུའི་རིགས་མི་མཐོ་བ་དང་། ཁས་སྤུབ་ཅེས་བྱ་བ་གཉིས་ཡོད་དེ་རྒྱབ་ཀྱི་རྒལ་ཚིགས་ལ་གནས་ནས་རྒྱབ་ཀྱི་རྒལ་ཚིགས་ལ་ཟ་བར་བྱེད་དོ། ||| There are two types of worm, low and upside down, that live in and feed on the spine.
།སྲིན་བུའི་རིགས་ཚིལ་གྱི་ཁ་དོག་ཅེས་བྱ་བ་གཅིག་ཡོད་དེ་ཚིལ་ལ་གནས་ནས་ཚིལ་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, fat color, that lives in and feeds on the fat.
།སྲིན་བུའི་རིགས་མཁྲིས་པའི་ཁ་དོག་ཅེས་བྱ་བ་གཅིག་ཡོད་དེ་མཁྲིས་པ་ལ་གནས་ནས་མཁྲིས་པ་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, bile color, that lives in and feeds on the bile.
།སྲིན་བུའི་རིགས་མུ་ཏིག་ཅེས་བྱ་བ་གཅིག་ཡོད་དེ་མཆིན་པ་ལ་གནས་ནས་མཆིན་པ་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, pearl, that lives in and feeds on the liver.
།སྲིན་བུའི་རིགས་འདམ་བུ་ཞེས་བྱ་བ་གཅིག་ཡོད་དེ་མཚེར་པ་ལ་གནས་ནས་མཚེར་པ་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, reed, that lives in and feeds on the spleen.
།སྲིན་བུའི་རིགས་ལྔ་བརྒྱ་ཡོད་དེ་རིགས་བརྒྱ་ནི་ཟླ་བ་ཞེས་བྱའོ། །རིགས་བརྒྱ་ནི་ཟླ་བའི་ཁ་ཞེས་བྱའོ། །རིགས་བརྒྱ་ནི་བསིལ་བྱེད་ཅེས་བྱའོ། །རིགས་བརྒྱ་ནི་བསིལ་བྱེད་གཏོང་ཞེས་བྱའོ། །རིགས་བརྒྱ་ནི་ཡངས་པ་ཞེས་བྱ་སྟེ། རྩིབ་ལོགས་གཡོན་པ་ལ་གནས་ནས་རྩིབ་ལོགས་གཡོན་པ་ལ་ཟ་བར་བྱེད་དོ། ། ||| There are five hundred types of worm that live in and feed on the left side: one hundred types called moon; one hundred types called moon face; one hundred types called moonlight; one hundred types called moonlight face; and one hundred types called vast.
གཞན་ཡང་སྲིན་བུའི་རིགས་ལྔ་བརྒྱ་ཡོད་པ་ཡང་མིང་གོང་མ་དང་འཐུན་ཏེ། རྩིབ་ལོགས་གཡས་པ་ལ་གནས་ནས་རྩིབ་ལོགས་གཡས་པ་ལ་ཟ་བར་བྱེད་དོ། ||| Furthermore, there are another five hundred types of worm, with names agreeing with those above, that live in and feed on the right side.
།སྲིན་བུའི་རིགས་ཅུང་ཟད་འབིགས་པ་དང་། ཆེར་འབིགས་པ་དང་། རུས་པ་འབིགས་པ་དང་། རུས་པའི་གདོང་ཞེས་བྱ་བ་བཞི་ཡོད་དེ་རུས་པ་ལ་གནས་ནས་རུས་པ་ལ་ཟ་བར་བྱེད་དོ། ||| There are four types of worm, slightly piercing, greatly piercing, bone piercing, and bone face, that live in and feed on the bones.
།སྲིན་བུའི་རིགས་ཆེར་དཀར་བ་དང་། ཅུང་ཟད་དཀར་བ་དང་། སྣུམ་པའི་སྟོབས་དང་། སྟག་ལམ་ཞེས་བྱ་བ་བཞི་ཡོད་དེ་རྩ་རྒྱུས་ལ་གནས་ནས་རྩ་རྒྱུས་ལ་ཟ་བར་བྱེད་དོ། ||| There are four types of worm, greatly white, slightly white, smell power, and tiger path, that live in and feed on the tendons.
།སྲིན་བུའི་རིགས་མོས་པའི་ཡིད་དང་། སེང་གེའི་སྟོབས་དང་། རི་བོང་ལྟོ་དང་། འདོད་པ་ལ་མངོན་པར་ཞེན་པ་ཞེས་བྱ་བ་བཞི་ཡོད་དེ་མ་ཞུ་བའི་གནས་ལ་གནས་ནས་མ་ཞུ་བའི་གནས་ལ་ཟ་བར་བྱེད་དོ། ||| There are four types of worm, determined mind, lion power, rabbit belly, and clinging to desire, that live in and feed on the stomach.
།སྲིན་བུའི་རིགས་དཔའ་བོ་དང་། དཔའ་བོའི་བདག་པོ་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་ཞུ་བའི་གནས་ལ་གནས་ནས་ཞུ་བའི་གནས་ལ་ཟ་བར་བྱེད་དོ། །སྲིན་བུའི་རིགས་མུ་ཁ་དང་། དྲ་བ་ཁ་དང་། ||| There are two types of worm, hero and lord of heroes, that live in and feed on the intestines.
ཕུང་པོའི་ཁ་དང་། བྱེའུ་ཁ་ཞེས་བྱ་བ་བཞི་ཡོད་དེ་གཅི་བའི་ལམ་ལ་གནས་ནས་གཅི་བའི་ལམ་ལ་ཟ་བར་བྱེད་དོ། ། ||| There are four types of worm, mouth,net mouth, mass mouth, and little bird mouth, that live in and feed on the urethra.
སྲིན་བུའི་རིགས་བྱེད་པ་དང་། བྱེད་པ་ཆེན་པོ་དང་། ཕྱི་མ་དང་། པོ་ཏ་ར་ཀ་ཞེས་བྱ་བ་བཞི་ཡོད་དེ་བཤང་བའི་ལམ་ལ་གནས་ནས་བཤང་བའི་ལམ་ལ་ཟ་བར་བྱེད་དོ། ། ||| There are four types of worm, action, big action, dust, and small bundle, that live in and feed on the anus.
སྲིན་བུའི་རིགས་གདོང་གནག་དང་། འཇིགས་སུ་རུང་བའི་གདོང་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་བརླ་ལ་གནས་ནས་བརླ་ལ་ཟ་བར་བྱེད་དོ། ། ||| There are two types of worm, black face and scary face, that live in and feed on the thighs.
སྲིན་བུའི་རིགས་མཛེ་ཅན་དང་། མཛེ་ཅན་ཆུང་ངུ་ཞེས་བྱ་བ་གཉིས་ཡོད་དེ་པུས་མོ་ལ་གནས་ནས་པུས་མོ་ལ་ཟ་བར་བྱེད་དོ། ||| There are two types of worm, leprous and slightly leprous, that live in and feed on the knees.
།སྲིན་བུའི་རིགས་མྱོས་པའི་རྩ་བ་ཞེས་བྱ་བ་གཅིག་ཡོད་དེ་བྱིན་པ་ལ་གནས་ནས་བྱིན་པ་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, root of madness, that lives in and feeds on the lower legs.
།སྲིན་བུའི་རིགས་མགོ་ནག་ཅེས་བྱ་བ་གཅིག་ཡོད་དེ་རྐང་པ་ལ་གནས་ནས་རྐང་པ་ལ་ཟ་བར་བྱེད་དོ། ||| There is a type of worm, black head, that lives in and feeds on the feet. “
།དགའ་བོ་ངས་དེང་ཁྱོད་ལ་སྲིན་བུའི་རིགས་སྟོང་ཕྲག་བརྒྱད་ཅུ་ལུས་འདི་ལ་གནས་ནས་ཉིན་མཚན་དུ་ཟ་བར་བྱེད་པས་ཉམས་སྟོབས་ཆུང་ཞིང་མདོག་ངན་པར་བྱེད་པ་དང་། ནད་ཀྱི་སྡུག་བསྔལ་རྣམ་པ་སྣ་ཚོགས་ལུས་འདི་ལ་འདུས་ནས་གཞན་ཡང་དེའི་སེམས་གདུང་བ་དང་། རབ་ཏུ་གདུང་བ་དང་། ཡོངས་སུ་གདུང་བར་བྱེད་པས་སྨན་པ། མཁས་པ་ཡོད་ཀྱང་། དེ་ལ་རྨོངས་ནས་སྨན་གང་གིས་ནད་འདི་དག་གསོ་བར་ནུས་པ་ཤེས་པར་མི་འགྱུར་བ་མདོར་བསྟན་པ་ཡིན་ཏེ། ||| Nanda, I have now instructed you briefly about the eighty thousand types of worm that inhabit this body, feeding on it day and night and making it physically weak and badly complexioned, along with the various types of suffering from illnesses, which gather in this body and also torment, strongly torment, and completely torment a person’s mind—so that even if there were a skillful doctor, he would be confused, not knowing how to treat these illnesses with any medicine.
མཁས་པ་སུ་ཞིག་འཁོར་བའི་རྒྱ་མཚོར་འདི་འདྲ་བའི་ལུས་ལ་རྗེས་སུ་ཆགས་པར་བྱེད། ||| What wise person would desire this sort of body in the ocean of saṃsāra? “
གཞན་ཡང་དགའ་བོ་དང་པོ་བཙས་ནས་ཆེར་སྐྱེ་བར་འགྱུར་བའི་བར་དུ་གོས་དང་ཟས་ཀྱིས་གསོས་ནས། ལུས་འདི་མངོན་པར་གྲུབ་པར་གྱུར་ཀྱང་། ||| Furthermore, Nanda, from the time it is born until it is fully grown, this body is sustained by clothing and food, and it becomes fully developed.
དེའི་ཚེའི་ཚད་ལོ་བརྒྱ་ཐུབ་པ་ཡང་ཡོད་དེ་དེ་བས་ཐུང་བ་ཡང་ཡོད་དོ། ||| Its lifespan can be one hundred years, or it can be shorter than that.
།ལོ་བརྒྱ་པོ་དེ་ཡང་དུས་སུམ་བརྒྱར་འགྱུར་རོ། །འདི་ལྟ་སྟེ། དཔྱིད་དང་། དབྱར་དང་། དགུན་གྱི་དུས་གང་ཡིན་པའོ། ||| Those one hundred years will add up to three hundred seasons, namely spring, summer, and winter.
།དེ་ལས་དཔྱིད་གང་ཡིན་པ་དེ་ནི་ཚེ་བའི་དུས་སོ། ||| Spring is the hot season.
།དབྱར་གང་ཡིན་པ་དེ་ནི་ཆར་འབབ་པའི་དུས་སོ། །དགུན་གང་ཡིན་པ་དེ་ནི་གྲང་བའི་དུས་སོ། ||| Summer is the rainy season. Winter is the cold season.
།དུས་གསུམ་པོ་དེ་དག་རེ་རེ་ལ་ཡང་ཟླ་བ་བཞི་བཞི་ཡོད་པས་ལོ་གཅིག་ལ་ནི་ཟླ་བ་བཅུ་གཉིས་ཡོད་པར་འགྱུར་ལ་ལོ་བརྒྱ་ལ་ནི་ཟླ་བ་སྟོང་ཉིས་བརྒྱ་ཡོད་པར་འགྱུར་བས་ཟླ་བ་ཡར་གྱི་ངོ་དཀར་པོ་དང་། ཟླ་བ་མར་གྱི་ངོ་ནག་པོས་ཕྱེ་ན་ནི་ཉིས་སྟོང་བཞི་བརྒྱར་འགྱུར་ཏེ། ||| The three seasons have four months each, so there are twelve months in one year, and twelve hundred months in one hundred years; and if we differentiate the white face of the waxing moon and the dark face of the waning moon, there are twenty-four hundred fortnights.
དེ་ལ་ཉིན་མཚན་ནི་སྟོང་ཕྲག་སུམ་ཅུ་རྩ་དྲུག་ཡོད་དོ། ||| Therefore, there are thirty-six thousand days. “
།ཉིན་གཅིག་ལ་ལན་གཉིས་སུ་ཟ་བས་ཟས་ནི་ལན་སྟོང་ཕྲག་བདུན་ཅུ་རྩ་གཉིས་ཟ་བར་འགྱུར་ཏེ། རེས་འགའ་མི་ཟ་བ་ཡང་གྲངས་དེར་འདུས་སོ། ། ||| In one day, a person eats twice; so, as for food, he will eat seventy-two thousand times, and occasional missed meals are included in that number.
དེ་ནི་འདི་ལྟ་སྟེ། ན་བ་དང་། ར་རོ་བ་དང་། ཆེད་དུ་ཟས་བཅད་པ་དང་། གཉིད་ལོག་པ་དང་། རྩེད་མོ་རྩེས་པ་དང་། ལས་གཞན་གྱིས་བྲེལ་བ་དང་། མའི་ནུ་ཞོ་འཐུངས་པའི་རྒྱུ་དང་། རྐྱེན་གྱིས་མ་ཟོས་པ་གང་ཡིན་པ་དེ་ནི་མ་ཟོས་པ་ཞེས་བྱའོ། ||| As for those missed meals, they are missed due to causes and conditions including illness, drunkenness, intentional fasting, sleeping, playing around, being engaged in other matters, and drinking mother’s milk.
།འདི་ལྟ་བུའི་ལུས་འདི་ལོ་བརྒྱ་ཐུབ་པར་གྱུར་ཀྱང་མཐར་འཇིག་པར་འགྱུར་བས་མཁས་པ་སུ་ཞིག་འཁོར་བའི་རྒྱ་མཚོ་འདིར་དེ་ལ་རྗེས་སུ་ཆགས་པར་བྱེད། ||| Since this sort of body, even if it can live for a hundred years, will finally be destroyed, what wise person would desire this sort of body in this ocean of saṃsāra? “
གཞན་ཡང་དགའ་བོ་ལུས་འདི་ཡང་དག་པ་བླངས་པ་ལ་སྡུག་བསྔལ་རྣམ་པ་གཉིས་ཡོད་དེ། ||| Furthermore, Nanda, there are two types of suffering with regard to taking this body.
གཉིས་གང་ཞེ་ན། ||| What are the two?
ནད་མང་པོ་རྣམས་ལུས་ལ་འདུས་པ་གང་ཡིན་པ་དེ་ནི་ནང་གི་སྡུག་བསྔལ་ཞེས་བྱའོ། ||| The many illnesses that are contained in the body are called internal suffering.
།མི་དང་མི་མ་ཡིན་པས་རྣམ་པར་འཚེ་བ་གང་ཡིན་པ་དེ་ནི་ཕྱི་རོལ་གྱི་སྡུག་བསྔལ་ཞེས་བྱའོ། ||| Harm caused by humans and nonhumans is called external suffering. “
།དེ་ལ་ནད་མང་པོ་ལུས་ལ་འདུས་པ་ཞེས་བྱ་བ་ཇི་ལྟ་བུ་ཞེ་ན། ||| With respect to this, which conditions are called the many illnesses that are contained in the body?
