༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཨ་ཛཱ་ཏ་ཤ་ཏྲུ་ཀཽ་ཀྲྀཏྟྱ་བི་ནོ་ད་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་མ་སྐྱེས་དགྲའི་འགྱོད་པ་བསལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Eliminating Ajātaśatru’s Remorse
རྒྱལ་པོ་ཆེན་པོ་གང་གི་ལུས་སྣང་བ་དེ་ལ་ཕུལ་ཅིག་ཅེས་དེ་སྐད་སྨྲས་ནས་དེ་ཡང་མེད་དེ་མི་སྣང་བར་གྱུར་པ་དང་། ||| However, Great King, offer it to someone whose body appears.” Saying this, he, too, disappeared and became invisible.
དེའི་དྲུང་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཁོར་གསུམ་ཡོངས་སུ་སྦྱང་བ་ཞེས་བྱ་བ་ཞིག་འདུག་པར་གྱུར་པ་དེ་ལ་རྒྱལ་པོས་རས་ཟུང་གཅིག་པོ་དེ་ཕུལ་བ་དང་། ||| Before him was a bodhisattva great being named Purification of the Three Spheres, to whom the king offered the bolt of cloth.
དེས་ཀྱང་སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་གལ་ཏེ་ཁྱོད་བདག་ཏུ་ཡང་མི་དམིགས། ལེན་པར་ཡང་མི་དམིགས། རྣམ་པར་སྨིན་པ་ཡང་མི་འདོད་ན། བདག་ཁྱོད་ལས་ལེན་མོད་ཀྱི། ||| He said, “Great King, I would surely accept this from you if you did not observe self, did not observe acceptance, and did not hope for karmic ripening.
རྒྱལ་པོ་ཆེན་པོ་གང་གི་ལུས་སྣང་བ་དེ་ལ་རས་ཟུང་གཅིག་པོ་དེ་ཕུལ་ཅིག་ཅེས་དེ་སྐད་སྨྲས་ནས་དེ་ཡང་མེད་དེ་མི་སྣང་བར་གྱུར་པ་དང་། ||| However, Great King, offer this to someone whose body appears.” Saying this, he, too, disappeared and became invisible.
དེའི་དྲུང་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཆོས་རྣམ་པར་འཕྲུལ་པའི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཞིག་འདུག་པར་གྱུར་པ་དེ་ལ་རྒྱལ་པོས་རས་ཟུང་གཅིག་པོ་དེ་ཕུལ་བ་དང་། ||| Before him was a bodhisattva great being named Dharmavikurvaṇarāja, to whom the king offered the bolt of cloth.
དེས་ཀྱང་སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་གལ་ཏེ་ཁྱོད་ཉན་ཐོས་ཀྱི་མྱ་ངན་ལས་འདའ་བ་ཡང་སྟོན་ལ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་ཡང་མི་བྱེད། རང་སངས་རྒྱས་ཀྱི་མྱ་ངན་ལས་འདའ་བ་ཡང་སྟོན་ལ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་ཡང་མི་བྱེད། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་མྱ་ངན་ལས་འདའ་བ་ཡང་སྟོན་ལ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་ཡང་མི་བྱེད། འཁོར་བའི་ཆོས་ཅན་ཡང་མ་ཡིན། མྱ་ངན་ལས་འདའ་བའི་ཆོས་ཅན་ཡང་མ་ཡིན་ན་བདག་གིས་ཁྱོད་ལས་བླང་ངོ་ཞེས་དེ་སྐད་སྨྲས་ནས་དེ་མེད་དེ་མི་སྣང་བར་གྱུར་ཏོ། ||| He said, “Great King, I would accept this from you if you displayed the nirvāṇa of the hearers without passing into parinirvāṇa, if you displayed the nirvāṇa of the solitary buddhas without passing into parinirvāṇa, if you displayed unsurpassed and perfect nirvāṇa without passing into parinirvāṇa, and if you did not possess the attributes of saṃsāra or the attributes of nirvāṇa.”
།རྒྱལ་པོ་ཆེན་པོ་གང་གི་ལུས་སྣང་བ་དེ་ལ་རས་ཟུང་གཅིག་པོ་དེ་ཕུལ་ཅིག་ཅེས་དེ་སྐད་ཀྱི་སྒྲ་ཡང་ཐོས་སོ། ||| Saying this, he, too, disappeared and became invisible. Again, the king heard, “Great King, offer the bolt of cloth to someone whose body appears.”
།དེ་ལྟ་སྟེ་རྒྱལ་པོ་མ་སྐྱེས་དགྲས་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་རས་ཟུང་གཅིག་པོ་དེ་ཕུལ་ན་ཐམས་ཅད་ཀྱིས་ཀྱང་བདག་བདག་གི་བསྟན་པར་བྱ་བ་བསྟན་ནས་མེད་ཅིང་མི་སྣང་བར་གྱུར་ཏོ། །སྟན་ཐམས་ཅད་ཀྱང་སྟོང་པར་སྣང་ངོ་། ||| In this manner, when King Ajātaśatru offered the bolt of cloth to all the bodhisattvas, they each presented what they had to teach before they disappeared and became invisible, and in the end all the seats appeared to be empty.
།རྒྱལ་པོ་ཆེན་པོ་གང་གི་ལུས་སྣང་བ་དེ་ལ་རས་ཟུང་གཅིག་པོ་དེ་ཕུལ་ཅིག་ཅེས་དེ་སྐད་ཀྱི་སྒྲ་ཡང་ཐོས་པར་གྱུར་ཏོ། ||| Each time, the king was told, “Great King, offer the bolt of cloth to someone whose body appears.”
།དེ་ནས་རྒྱལ་པོ་མ་སྐྱེས་དགྲས་གནས་བརྟན་འོད་སྲུང་ཆེན་པོ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །བཙུན་པ་འོད་སྲུང་ཆེན་པོ་བཙུན་པ་ནི་བཅོམ་ལྡན་འདས་ཀྱིས་སྦྱངས་པའི་ཡོན་ཏན་སྨྲ་བའི་ནང་ན་མཆོག་ཏུ་བཀའ་སྩལ་གྱིས་རས་ཟུང་གཅིག་པོ་འདི་བཞེས་ཤིག ། ||| Then King Ajātaśatru said to the elder Mahākāśyapa, “Venerable Mahākāśyapa, the Blessed One has declared venerability to be the highest among all ascetic practices, so please accept this bolt of cloth.”
འོད་སྲུང་ཆེན་པོས་ཀྱང་སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་བདག་ནི་འདོད་ཆགས་མ་སྤངས། ཞེ་སྡང་མ་སྤངས། གཏི་མུག་མ་སྤངས་ཏེ། ||| Mahākāśyapa responded, “Great King, I have not eliminated attachment, I have not eliminated aggression, and I have not eliminated delusion.
བདག་གིས་འདི་བླང་བའི་མི་རིགས་སོ། ||| Therefore, it is not appropriate for me to accept this.
།རྒྱལ་པོ་ཆེན་པོ་བདག་གིས་ནི་མ་རིག་པ་མ་སྤངས། སྲིད་པའི་སྲེད་པ་ཡང་མ་སྤངས་སོ། ||| Great King, I have not eliminated ignorance, and I have not eliminated my craving for becoming.
།རྒྱལ་པོ་ཆེན་པོ་བདག་གིས་ནི་སྡུག་བསྔལ་ཡང་ཡོངས་སུ་མ་ཤེས་སོ། ||| Great King, I have not understood suffering.
།བདག་གིས་ནི་འདུས་པ་ཡང་མ་སྤངས། ||| I have not abandoned its manifestation.
བདག་གིས་ནི་འགོག་པ་ཡང་མངོན་དུ་མ་བགྱིས། ||| I have not actualized cessation.
བདག་གིས་ནི་ལམ་ཡང་མ་བསྒོམས། ||| I have not cultivated the path.
རྒྱལ་པོ་ཆེན་པོ་བདག་གིས་ནི་དེ་བཞིན་གཤེགས་པ་མ་མཐོང་ཆོས་མ་ཐོས། དགེ་འདུན་གྱི་རྗེས་སུ་མ་ཞུགས་སོ། ||| Great King, I have not seen the Thus-Gone One, I have not heard the Dharma, and I have not joined the Saṅgha.
།རྒྱལ་པོ་ཆེན་པོ་བདག་གིས་ནི་ཉོན་མོངས་པ་རྣམས་མ་སྤངས་སོ། ||| Great King, I have not eliminated the afflictions.
།རྒྱལ་པོ་ཆེན་པོ་བདག་གིས་ཡེ་ཤེས་མངོན་དུ་མ་བགྱིས་སོ། ||| Great King, I have not actualized wisdom.
།རྒྱལ་པོ་ཆེན་པོ་བདག་ནི་མིག་རྣམ་པར་དག་པ་མ་ལགས་སོ། ||| Great King, I have not purified my vision.
།བདག་ནི་ཡེ་ཤེས་ཀྱི་བྱ་བ་ཆུང་ཟད་ཀྱང་མི་བྱེད་དོ། ||| I have not performed any acts of wisdom whatsoever.
།བདག་ལ་སྦྱིན་པ་བྱིན་པས་འབྲས་བུ་ཆེན་པོར་ཡང་མི་འགྱུར། འབྲས་བུ་ཆུང་ངུར་ཡང་མི་འགྱུར་རོ། ||| A great result will not come from giving to me, nor will giving to me lead to even a trifling result.
།བདག་ནི་འཁོར་བའི་ཆོས་ཅན་ཡང་མ་ལགས། མྱ་ངན་ལས་འདའ་བའི་ཆོས་ཅན་ཡང་མ་ལགས་སོ། ||| I do not possess the attributes of saṃsāra, and I do not possess the attributes of nirvāṇa.
།བདག་ལ་སྦྱིན་པ་བྱིན་པས་དག་པར་ཡང་མི་འགྱུར་རོ། ||| Purification will not come from giving to me.
།རྒྱལ་པོ་ཆེན་པོ་ཁྱོད་གལ་ཏེ་དེ་འདྲ་བའི་ཆོས་དང་ལྡན་པར་གྱུར་ན། བདག་ཁྱོད་ལས་རས་ཟུང་གཅིག་པོ་ལེན་ཏོ་ཞེས་དེ་སྐད་སྨྲས་ནས། ||| Still, Great King, if you have such qualities, I will accept this bolt of cloth from you.”
གོས་དེ་ལུས་ལ་ཕུལ་མ་ཐག་ཏུ་དེ་ཡང་མེད་དེ་སླར་མི་སྣང་བར་གྱུར་ཏོ། ||| As soon as the king offered the cloth to his body, Mahākāśyapa also disappeared, and he did not reappear.
།རྒྱལ་པོ་ཆེན་པོ་གང་གི་ལུས་སྣང་བ་དེ་ལ་རས་ཟུང་གཅིག་པོ་དེ་ཕུལ་ཅིག་ཅེས་དེ་སྐད་ཀྱི་སྒྲ་ཡང་ཐོས་པར་གྱུར་ཏོ། ||| King Ajātaśatru then heard, “Great King, offer the bolt of cloth to someone whose body appears.”
།དེ་ལྟ་སྟེ་དགེ་སློང་ལྔ་བརྒྱ་པོ་དེ་དག་ཀྱང་མེད་དེ་མི་སྣང་བར་གྱུར་ཏོ། །རྒྱལ་པོ་ཆེན་པོ་གང་གི་ལུས་སྣང་བ་དེ་ལ་རས་ཟུང་གཅིག་པོ་དེ་ཕུལ་ཅིག་ཅེས་དེ་སྐད་ཀྱི་སྒྲ་ཡང་ཐོས་པར་གྱུར་ནས། ||| In this manner, each of the five hundred monks disappeared, and each time King Ajātaśatru heard, “Great King, offer the bolt of cloth to someone whose body appears.”
དེ་འདི་སྙམ་དུ་སེམས་ཏེ། གང་བདག་གིས་རས་ཟུང་གཅིག་པོ་འདི་བཙུན་མོ་དམ་པ་ལ་སྦྱིན་ནོ་སྙམ་སྟེ་དེ་སོང་བ་དང་། ||| So he thought, “I will give this bolt of cloth to my foremost queen.”
དེ་ཡང་མ་མཐོང་ནས་དེ་འདི་སྙམ་དུ་སེམས་ཏེ་བདག་གིས་བུད་མེད་གཞན་དག་ལ་སྦྱིན་ནོ་སྙམ་པ་དང་། དེས་བུད་མེད་ཀྱི་གཡོག་ཐམས་ཅད་མ་མཐོང་བར་གྱུར་ཏེ། ||| He went to her, but he was unable to see her. “Then,” he thought, “I will give it to another of my women,” but he could not see any of the female servants.
དེ་ལ་འདི་འདྲ་བའི་ཏིང་ངེ་འཛིན་མངོན་དུ་གྱུར་ནས་དེ་ལྟར་དེ་མིག་གིས་ཀྱང་གཟུགས་ཆུང་ཟད་ཀྱང་མ་མཐོང་ཞིང་སྣང་བ་མེད་དེ་སྐྱེས་པ་མི་མཐོང་། ||| In this manner, absorption manifested for him such that he could not perceive even the slightest form with his eyes, and everything disappeared.
བུད་མེད་མི་མཐོང་། ཁྱེའུ་མི་མཐོང་། བུ་མོ་མི་མཐོང་། རྩིག་པ་མི་མཐོང་། ཤིང་མི་མཐོང་སྟེ། ||| He could not see any men, women, boys, girls, walls, or trees.
གཞན་དུ་ན་བདག་གི་ལུས་ཀྱི་འདུ་ཤེས་འབའ་ཞིག་འཇུག་གོ། །རྒྱལ་པོ་ཆེན་པོ་གང་གི་ལུས་མཐོང་བ་དེ་ལ་རས་ཟུང་གཅིག་པོ་དེ་ཕུལ་ཅིག་ཅེས་དེ་སྐད་ཀྱི་སྒྲ་ཡང་ཐོས་པར་གྱུར་ནས་དེ་འདི་སྙམ་དུ་སེམས་ཏེ། བདག་རང་ཉིད་བགོའོ་སྙམ་པ་དང་། དེ་ནས་བདག་གི་ལུས་ཀྱང་མ་མཐོང་སྟེ། ||| The only thing he could perceive was his own body. Once again hearing, “Great King, offer the bolt of cloth to someone whose body appears,” he thought, “I will dress myself in it.” But then his own body, too, disappeared.
དེ་གཟུགས་ཀྱི་འདུ་ཤེས་ཐམས་ཅད་དང་བྲལ་ནས་རྒྱལ་པོ་ཆེན་པོ་ཇི་ལྟར་རགས་པ་ཡང་རུང་། ཕྲ་མོ་ཡང་རུང་། གཟུགས་ཆུང་ཟད་ཀྱང་མ་མཐོང་བ་དེ་བཞིན་དུ་ཁྱོད་ཀྱི་འགྱོད་པ་ལ་ལྟོས་ཤིག ། ||| As he had now lost all perception of form, he heard, “Great King, regard your remorse in the same manner as your inability to see any form, be it coarse or subtle.
ཁྱོད་ཀྱི་འགྱོད་པ་ཇི་ལྟར་མཐོང་བ་དེ་བཞིན་དུ་ཆོས་ཐམས་ཅད་ལ་ལྟོས་ཤིག ། ||| Regard all phenomena as you would the seeing of your own remorse.
གང་གིས་མཐོང་བ་དེ་ལ་ཡང་དེ་བཞིན་དུ་ལྟོས་ཤིག ། ||| Regard also in this manner the one who sees.
ཇི་ལྟར་གང་མཐོང་བ་དང་། གང་གིས་མཐོང་བ་དེ་མི་མཐོང་བ་དང་། རྣམ་པར་མི་མཐོང་བ་དེ་ལྟར་ལྟོས་ཤིག ། ||| Regard what is seen and the one who sees as unseen and devoid of seeing.
རྒྱལ་པོ་ཆེན་པོ་དེ་ནི་ཆོས་ཐམས་ཅད་ལ་ཡང་དག་པར་མཐོང་བ་སྟེ། ||| Great King, this is the true seeing of all phenomena.
རྒྱལ་པོ་ཆེན་པོ་མ་མཐོང་བ་ནི་ཡང་དག་པར་མཐོང་བའོ།། །། ||| Great King, not seeing is the true seeing.”
བམ་པོ་ལྔ་པ་སྟེ་ཐ་མ།
དེ་ནས་རྒྱལ་པོ་མ་སྐྱེས་དགྲ་འདུ་ཤེས་དད་སེམས་པའི་རྣམ་པར་རྟོག་པ་ཐམས་ཅད་དང་བྲལ་ནས་ཏིང་ངེ་འཛིན་དེ་ལས་ལངས་མ་ཐག་ཏུ་འཁོར་དེ་དང་། བདག་གི་ལུས་དང་། བདག་གི་ཁང་པ་དང་། བདག་གི་གཡོག་སྔ་མཁོ་བཞིན་དུ་མཐོང་ནས་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། འཇམ་དཔལ་བདག་གིས་འཁོར་འདི་སྔར་མ་མཐོང་ན་གར་མཆིས་པར་གྱུར། ||| Freed from all perceptions and concepts, King Ajātaśatru arose from that absorption and immediately saw the retinue, as well as his own body, home, and servants, just as before. He asked Mañjuśrī Kumārabhūta, “Mañjuśrī, when I previously could not see this retinue, where did it go?”
འཇམ་དཔལ་གྱིས་སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་ཁྱོད་ཀྱི་འགྱོད་པ་དེ་གང་ན་བར་གྱུར་པ་འཁོར་འདི་ཡང་དེར་སོང་བར་གྱུར་ཏོ། ||| Mañjuśrī replied, “Great King, this retinue went to the same place as your remorse.
།ཡང་རྒྱལ་པོ་ཆེན་པོ་འཁོར་འདི་དག་མཐོང་ངམ། ||| So, Great King, do you perceive this retinue?” “
གསོལ་པ། འཇམ་དཔལ་མཐོང་ངོ་། ||| Mañjuśrī, I do perceive it.” “
།སྨྲས་པ་ཇི་ལྟར་མཐོང་། ||| How do you perceive it?” “
གསོལ་པ། འགྱོད་པ་དེ་ཇི་ལྟར་མཐོང་བ་དེ་བཞིན་དུ་འཁོར་འདི་མཐོང་ངོ་། ||| I see this retinue as I perceive my remorse.” “
།སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་འགྱོད་པ་དེ་ཇི་ལྟར་མཐོང་། ||| Great King, how do you perceive your remorse?” “
གསོལ་པ། ཇི་ལྟར་འཁོར་འདི་སྔར་མིག་གིས་མ་མཐོང་བ་དེ་བཞིན་དུ་འགྱོད་པ་དེ་ནང་དུ་ཡང་མ་མཐོང་། ཕྱི་རོལ་དུ་ཡང་མ་མཐོང་། གཉི་ག་མ་གཏོགས་པར་ཡང་མ་མཐོང་ངོ་། ||| Just as I could not previously see this retinue with my eyes, I do not perceive my remorse internally, externally, or somewhere in between.”
།འཇམ་དཔལ་གྱིས་སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་དེ་བཞིན་གཤེགས་པས་མཚམས་མེད་པ་བྱེད་པ་ནི་དེ་མ་ཐག་ཏུ་སེམས་ཅན་དམྱལ་བར་འགྲོའོ་ཞེས་གསུངས་ན། ཅི་རྒྱལ་པོ་ཆེན་པོ་ཁྱོད་སེམས་ཅན་དམྱལ་བར་འགྲོའམ། ||| Mañjuśrī continued, “Great King, given that the Thus-Gone One has declared that one will go immediately to the hell realms if one has committed an act that brings immediate results, will you, Great King, go to the hell realms?”
དེ་སྐད་སྨྲས་པ་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་རྒྱལ་པོ་མ་སྐྱེས་དགྲས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །འཇམ་དཔལ་ཇི་དེ་བཞིན་གཤེགས་པས་འདི་ནི་ངན་སོང་དུ་འགྲོ་བའོ། །འདི་ནི་མཐོ་རིས་སུ་འགྲོ་བའོ། ||| King Ajātaśatru asked Mañjuśrī Kumārabhūta, “Mañjuśrī, the Thus-Gone One says, ‘this person will go to the lower realms, this person will go to the higher realms, and this person will pass beyond suffering.’
།འདི་ནི་མྱ་ངན་ལས་འདའ་བར་འགྲོ་བའོ་ཞེས་ཆོས་གང་ཡང་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་སམ། ||| Does that mean he genuinely perceives such phenomena?” “
སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་དེ་མ་ཡིན་ནོ། ། ||| No, Great King, he does not.” “
གསོལ་པ། འཇམ་དཔལ་ཆོས་ཐམས་ཅད་ལ་དེ་བཞིན་དུ་མངོན་པར་རྫོགས་པར་སངས་མ་རྒྱས་ན་ཆོས་གང་སེམས་ཅན་དམྱལ་བར་མཆི་བའམ། ལྷར་མཆི་བའམ། མྱ་ངན་ལས་འདའ་བར་འགྱུར་བའི་ཆོས་དེ་བདག་གིས་མ་མཐོང་སྟེ། ||| Mañjuśrī, if one does not genuinely perceive any phenomena in that manner, then I do not perceive that anything goes to the hell realms, goes to the gods, or passes beyond suffering.
འཇམ་དཔལ་ཆོས་ཐམས་ཅད་ནི་སྟོང་པ་ཉིད་དུ་མཆི་བ་ལས་ཀྱང་མ་འདས་ལ་སྟོང་པ་ཉིད་ནི་ངན་སོང་དུ་མཆི་བ་ཡང་མ་ལགས། མཐོ་རིས་སུ་མཆི་བ་ཡང་མ་ལགས། མྱ་ངན་ལས་འདའ་བར་མཆི་བ་ཡང་མ་ལགས་སོ། ||| Mañjuśrī, no phenomenon ever passes beyond emptiness, and emptiness does not go to the lower realms, go to the higher realms, or pass beyond suffering.
།འཇམ་དཔལ་ཆོས་ཀྱི་དབྱིངས་ནི་མ་འདྲེས་པའོ། ||| Mañjuśrī, the realm of phenomena is unmixed.
།ཆོས་ཐམས་ཅད་ཀྱང་ཆོས་ཀྱི་དབྱིངས་ཀྱི་རང་བཞིན་ཅན་ཏེ། ཆོས་ཀྱི་དབྱིངས་ནི་ངན་སོང་དུ་ཡང་མི་མཆི། མཐོ་རིས་སུ་ཡང་མི་མཆི། མྱ་ངན་ལས་འདའ་བར་ཡང་མི་མཆིའོ། ||| All phenomena have the nature of the realm of phenomena, and the realm of phenomena does not go to the lower realms, go to the higher realms, or pass beyond suffering.
།འཇམ་དཔལ་མཚམས་མེད་པ་ཞེས་བགྱི་བ་ནི་ཆོས་ཀྱི་དབྱིངས་སུ་མཚམས་མ་མཆིས་པའི་ཚིག་བླ་དགས་སོ། ||| Mañjuśrī, immediate results is a synonym for the immediacy of the realm of phenomena.
།འཇམ་དཔལ་མཚམས་མ་མཆིས་པ་ནི་ཆོས་ཀྱི་དབྱིངས་ཀྱི་རང་བཞིན་ཅན་ཏེ། མཚམས་མ་མཆིས་པ་གང་གི་རང་བཞིན་པ། ||| Mañjuśrī, immediacy is the nature of the realm of phenomena.
ཆོས་ཐམས་ཅད་ཀྱང་དེའི་རང་བཞིན་ནོ། ||| The nature of immediacy is also the nature of all phenomena.
།འཇམ་དཔལ་དེ་བས་ན་ཆོས་ཐམས་ཅད་ནི་འགྲོ་བ་མ་མཆིས་པ་སྟེ། ||| Therefore, Mañjuśrī, all phenomena do not go anywhere.
དེའི་སླད་དུ་བདག་ནི་ངན་སོང་དུ་ཡང་མི་མཆི། མཐོ་རིས་སུ་ཡང་མི་མཆི། མྱ་ངན་ལས་འདའ་བར་ཡང་མི་མཆིའོ། ||| For that reason, I will not go to the lower realms, go to the higher realms, or pass beyond suffering.”
།འཇམ་དཔལ་གྱིས་སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་ཁྱོད་དེ་སྐད་སྨྲ་ན། སྟོན་པའི་བཀའ་དང་འགལ་བར་བྱེད་དམ། ||| Mañjuśrī asked, “Great King, if you claim this, do you contradict the message of the Teacher?” “
གསོལ་པ། འཇམ་དཔལ་བདག་ནི་སྟོན་པའི་བཀའ་དང་འགལ་བར་མི་བགྱིད་དོ། ||| Mañjuśrī, I do not contradict the message of the Teacher.
།དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| Why so?
བཅོམ་ལྡན་འདས་ཀྱིས་བདག་མེད་པའི་མཐའ་ནི་ཡང་དག་པའི་མཐར་གསུངས་ཏེ། ||| The Blessed One has taught the limit of no self as the limit of reality.
གང་བདག་མེད་པའི་མཐའ་དེ་ལ་ནི་སེམས་ཅན་གང་ཡང་མ་མཆིས་སོ། ||| Within the limit of no self, there are no beings.
།སེམས་ཅན་མ་མཆིས་ན་གང་དེ་ནི་མངོན་པར་འདུ་བྱེད་པ་གང་ཡང་མ་མཆིས་སོ། ||| If there are no beings, nothing is performed.
།གང་ཚོར་བར་བགྱིད་པ་གང་ཡང་མ་མཆིས་སོ། ||| There is nothing that causes feeling.” “
།སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་འགྱོད་པ་དེ་བསལ་ཏམ། ||| Great King, has your remorse been eliminated?” “
གསོལ་པ། ཆོས་ཐམས་ཅད་རབ་ཏུ་བསལ་བའི་སླད་དུའོ། ||| Yes, because all phenomena are eliminated.”
།འཇམ་དཔལ་གྱིས་སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་ཁྱོད་ཐེ་ཙོམ་སྤངས་སམ། ||| Mañjuśrī continued, “Great King, have you gotten rid of doubt?” “
གསོལ་པ། ཆོས་ཐམས་ཅད་ཤིན་ཏུ་སྤངས་པའི་སླད་དུའོ། ||| Yes, because all phenomena have been gotten rid of.”
།འཇམ་དཔལ་གྱིས་སྨྲས་པ། རྒྱལ་པོ་ཆེན་པོ་ཁྱོད་ལ་འཁོར་འདི་དག་མཚམས་མེད་པ་བྱེད་པར་རམ། འོན་ཏེ་མ་ཡིན་པར་རམ། ||| Mañjuśrī continued, “Great King, have you gained immediacy with this retinue, or not?
ཇི་ལྟར་འཛིན་པར་འགྱུར། ||| How do you perceive it?” “
གསོལ་པ། འཇམ་དཔལ་མཚམས་མ་མཆིས་པ་གང་གིས་མི་བསྐྱོད་པའི་རྣམ་པར་གྲོལ་བ་རྟོགས་པར་གྱུར་པའི་མཚམས་མ་མཆིས་པ་དེ་ལ་བདག་གནས་པར་འཛིན་པར་འགྱུར་རོ། ||| Mañjuśrī, by means of immediacy, one gains immediacy with the realization of undisturbed liberation. I perceive that I dwell within that.
།མཚམས་མ་མཆིས་པ་གང་གིས་བྱང་ཆུབ་སེམས་དཔའ་བཟོད་པ་ཐོབ་པར་བགྱིད་པའི་མཚམས་མ་མཆིས་པ་དེ་ལ་བདག་གནས་པར་འཛིན་པར་འགྱུར་རོ། ||| By means of immediacy, one gains immediacy with the acceptance of bodhisattvas. I dwell within that.
།འཇམ་དཔལ་མཚམས་མ་མཆིས་པ་ཞེས་བགྱི་བ་ནི་གང་ན་མཐའ་ཡང་མ་མཆིས། དབུས་ཀྱང་མ་མཆིས་པ་སྟེ། གང་ན་མཐའ་ཡང་མ་མཆིས། དབུས་ཀྱང་མ་མཆིས་པ་དེ་ལ་བདག་གནས་པར་འཛིན་པར་འགྱུར་རོ། ||| Immediacy means the lack of any limit or center. It is within this absence of limit or center that I dwell.”
།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡེ་ཤེས་དཔལ་གྱི་རྒྱལ་མཚན་གྱིས་སྨྲས་པ། ཀྱེ་མའོ་རྒྱལ་པོ་ཆེན་པོ་འདིས་ནི་ཤེས་རབ་དང་ཡེ་ཤེས་ཀྱི་ལམ་སྦྱངས་སོ། ||| Then the bodhisattva great being Wisdom Banner of Glory remarked, “Oh, this great king has trained in the path of insight and wisdom.
།དེ་བས་ན་འདི་འདྲ་བའི་བཟོད་པ་ཐོབ་པར་གྱུར་ཏོ། ||| Therefore, he has gained such acceptance.”
།རྒྱལ་པོས་གསོལ་པ། རིགས་ཀྱི་བུ་ཆོས་ཐམས་ཅད་ནི་ཤིན་ཏུ་རྣམ་པར་དག་པ་ཤིན་ཏུ་མ་འདྲེས་པ། ཤིན་ཏུ་ཉོན་མ་མོངས་པ་སྟེ། ||| The king replied, “Noble son, all phenomena are utterly pure, utterly unmixed, and utterly unafflicted.
དེ་དག་ནི་ཀུན་ནས་ཉོན་མོངས་པར་བགྱི་མི་ནུས་སོ། ||| They could not become afflicted.
།ཀུན་ནས་ཉོན་མོངས་པའི་ལས་ནི་ལམ་ལགས་ཏེ། ||| The action of affliction represents the path.
ལམ་དེ་ཡང་འཁོར་བར་ཡང་མི་མཆི། མྱ་ངན་ལས་འདའ་བར་ཡང་མི་མཆི། ||| However, the path is neither in saṃsāra nor in nirvāṇa.
ལམ་དེ་ནི་གང་དུ་ཡང་མི་འདྲེན་ཏེ། ལམ་དེ་ནི་མི་འདྲེན་པའོ། ||| This path does not lead anywhere—this path does not lead.”
།བསྟན་པ་འདི་བསྟན་པའི་ཚེ་རྒྱལ་པོ་མ་སྐྱེས་དགྲས་འཐུན་པའི་ཆོས་ལ་བཟོད་པ་ཐོབ་པར་གྱུར་ཏོ། ||| When he gave this teaching, King Ajātaśatru gained the acceptance of phenomena that accords with reality.
།བུད་མེད་སུམ་ཁྲི་ཉིས་སྟོང་གིས་ནི་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པའི་རྫུ་འཕྲུལ་མངོན་པར་འཕྲུལ་པ་མཐོང་ནས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་དོ། ||| In seeing Mañjuśrī Kumārabhūta’s manifestation of miracles, thirty-two thousand women developed the mind directed toward unsurpassed and perfect awakening.
།ནང་གི་སྐྱེ་བོ་སྲོག་ཆགས་ལྔ་བརྒྱ་ནི་ཆོས་ལ་ཆོས་ཀྱི་མིག་རྣམ་པར་དག་གོ། ||| Five hundred people from the household purified the Dharma eye.
