༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཙ་ཏུར་ད་ར་ཀ་ས་མཱ་དྷི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱེའུ་བཞིའི་ཏིང་ངེ་འཛིན་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་དང་པོ། ||| The Noble Mahāyāna Sūtra The Four Boys’ Absorption
ཡང་མངའ་བདག་མཛད་པར་ནམ་ཡང་མི་དགོངས་སོ། ། ||| They have no control over those things—they do not even think of having control over them.
རིགས་ཀྱི་བུ་དག་ཁྱེད་ངེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་དུ་འོང་བར་འགྱུར་བའམ། དེ་བཞིན་གཤེགས་པས་ཕྱག་བརྐྱང་སྟེ་འོད་ཀྱིས་སྣང་བར་མཛད་པར་འགྱུར་བའི་འོད་དེས་འོང་བར་འགྱུར་རོ། ། ||| Noble sons, either you will come to our buddha fields or the thus-gone ones will extend their arms, and their illuminating light will bring you here.
ཁྱེད་ཅག་འདི་ན་འདུག་ན་ཡང་དེ་བཞིན་གཤེགས་པས་ཞལ་ཉེ་བར་སྟོན་པར་འགྱུར་ཞིང་དམ་པའི་ཆོས་བསྟན་པ་ཡང་མངོན་པར་སྟོན་པར་འགྱུར་གྱིས་མྱ་ངན་མ་བྱེད་ཅིག །དེ་ནས་དེའི་ཚེ་བཅོམ་ལྡན་འདས་འདི་ལྟ་བུའི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་ཏེ། ཇི་ལྟར་ཐུགས་མཉམ་པར་བཞག་པས་ཞབས་གཡས་པའི་མཐེ་བོ་དང་། ||| So even if you stay here, you will be taught directly from the lips of the thus-gone ones, and the sublime Dharma will be set forth for you.
ཕྱག་གཡས་པའི་མཐེ་བོ་དང་། ||| So do not grieve!”
དེ་བཞིན་དུ་གཡོན་པ་གཉིས་དང་། དེ་བཞིན་དུ་སྐུའི་ཡན་ལག་དང་། ཉིང་ལག་རྣམས་དང་། དེ་བཞིན་དུ་ཞབས་ཀྱི་མཐིལ་འཁོར་ལོའི་མཚན་གྱིས་སྤྲས་པ་གཉིས་དང་། དེ་བཞིན་དུ་འཇམ་ཞིང་དྲ་བས་འབྲེལ་ལ་སེན་མོ་ཟངས་ཀྱི་མདོག་ལྟ་བུའི་ཕྱག་སོར་རྣམས་དང་། ཕྱག་རིས་ཤིན་ཏུ་བཀྲ་བའི་ཕྱག་རིན་པོ་ཆེ་གཉིས་དང་། དེ་བཞིན་དུ་མཚན་ཐམས་ཅད་དང་། དེ་བཞིན་དུ་སྐུ་ལྟེ་བའི་དཀྱིལ་འཁོར་དང་། ||| Then at that moment, the Blessed One entered into absorption, and as he rested with his mind in equipoise, billions upon billions of light rays radiated from the big toe of his right foot, from the thumb of his right hand, and likewise from both on the left; from all the limbs of his body, from his minor appendages, from the wheel marks that adorned the soles of his two feet, from the copper-colored fingernails of his smooth, webbed fingers, from the fine lines of his long, broad hands, and likewise from all his major marks; and from the maṇḍala of his navel, from the vicinity of his private parts, from his face, and from between his eyebrows.
མདོམས་ཀྱི་གསང་བའི་ཐན་ཀོར་དང་། དེ་བཞིན་དུ་ཞལ་གྱི་དཀྱིལ་འཁོར་དང་། དེ་བཞིན་དུ་ཞལ་གྱི་སྨིན་མཚམས་ནས་འོད་ཟེར་བྱེ་བ་ཕྲག་འབུམ་འབུམ་རབ་ཏུ་བཀྱེ་སྟེ། འོད་ཟེར་རེ་རེའི་ཐོག་མ་ལ་ཡང་པད་མ་བྱེ་བ་ཕྲག་འབུམ་འབུམ་མངོན་པར་སྤྲུལ་ཏོ། ། ||| At the tip of each ray of light were billions upon billions of lotuses.
པད་མ་རེ་རེའི་སྙིང་པོ་ལ་ཡང་སེང་གེའི་ཁྲི་བྱེ་བ་ཕྲག་འབུམ་འབུམ་མངོན་པར་སྤྲུལ་ཏོ། །སེང་གེའི་ཁྲི་རེ་རེ་ལ་ཡང་དེ་བཞིན་གཤེགས་པ་རེ་རེ་སྤྲུལ་ཏེ། སངས་རྒྱས་ཀྱི་སྐུས་ཆོས་སྟོན་ཅིང་བཞུགས་པར་གྱུར་ཏོ། ། ||| At the center of each lotus were billions upon billions of lion thrones, and upon each lion throne sat a thus-gone one, teaching the Dharma in the form of a buddha.
དེ་བཞིན་གཤེགས་པའི་སྤྲུལ་པ་རེ་རེས་ཀྱང་སེམས་ཅན་བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་ཕྲག་དུ་མ་དག་ཟག་པ་ཟད་པར་བྱ་བའི་ཕྱིར་བཏུལ་ཏོ། །ཁ་ཅིག་ནི་འདོད་ཆགས་དང་བྲལ་བའི་སར་བཏུལ་ཏོ། ། ||| And each of the emanated thus-gone ones were taming many billions of beings so as to exhaust their defilements, and some were tamed to the level of freedom from desire.
དེ་ནས་ཡང་བཅོམ་ལྡན་འདས་ཀྱིས་དབུའི་གཙུག་ནས་འོད་ཟེར་བྱེ་བ་ཕྲག་འབུམ་རབ་ཏུ་བཀྱེ་སྟེ། འོད་ཟེར་རེ་རེའི་ཐོག་མ་ལ་ཡང་པད་མ་བྱེ་བ་ཕྲག་འབུམ་འབུམ་མངོན་པར་སྤྲུལ་ཏོ། ། ||| Then from the crown of the Blessed One’s head radiated a trillion rays of light, each with billions upon billions of lotuses at their tip.
པད་མ་རེ་རེའི་སྙིང་པོ་ལ་ཡང་སེང་གེའི་ཁྲི་བྱེ་བ་ཕྲག་འབུམ་འབུམ་མངོན་པར་སྤྲུལ་ཏོ། །སེང་གེའི་ཁྲི་རེ་རེ་ལ་ཡང་དེ་བཞིན་གཤེགས་པ་རེ་རེ་མངོན་པར་སྤྲུལ་ཏེ་སངས་རྒྱས་ཀྱི་སྐུས་ཆོས་སྟོན་ཅིང་བཞུགས་པར་གྱུར་ཏོ། །དེ་བཞིན་གཤེགས་པ་དེ་དག་ཀྱང་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཀྱི་ཆོས་ཀྱི་རྣམ་གྲངས་དང་། ||| At the center of each lotus appeared billions upon billions of lion thrones, and upon each lion throne sat a thus-gone one, teaching the Dharma in the form of a buddha.
གཟུངས་དང་། རྡོ་རྗེའི་ཚིག་ཡང་དག་པར་རབ་ཏུ་སྟོན་པ་དང་། འཁོར་གསུམ་ཡོངས་སུ་དག་པ་དང་། སངས་རྒྱས་ཀྱི་སྟོབས་དང་། མི་འཇིགས་པ་དག་ཡང་དག་པར་རབ་ཏུ་སྟོན་པ་མ་གཏོགས་པར་གཏམ་གཞན་མི་གསུང་ངོ་། ། ||| The thus-gone ones did not speak other than to thoroughly teach the Dharma discourses of the Bodhisattva Collection, dhāraṇīs, vajrapadas, the purity of the three spheres, and the powers and fearlessnesses of a buddha.
དེ་བཞིན་གཤེགས་པའི་སྤྲུལ་པ་རེ་རེས་ཆོས་བསྟན་པ་དེས་ཀྱང་སེམས་ཅན་དག་པ་དག་ལས་སྲོག་ཆགས་བྱེ་བ་འབུམ་ཕྲག་དུ་མ་དག་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པ་ལ་རབ་ཏུ་བཀོད་དོ། ། ||| And each of those emanated thus-gone ones, by teaching the Dharma, firmly established many billions of beings who had purified themselves at the level of irreversibility on the path to unsurpassed, completely perfect awakening.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་གྱད་རྣམས་དང་ཉེ་བ་ན་ཡོད་པ་ཤིང་སཱ་ལ་ཟུང་གི་བར་དུ་དེ་བཞིན་གཤེགས་པའི་སྐུ་གློ་གཡས་པས་སེང་གེའི་གཟིམས་ཁྲི་ལ་གཟིམས་པ་ཞིག་མངོན་པར་སྤྲུལ་པ་མཛད་ནས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་ཡང་སོས་ཀྱི་གནས་སུ་གཤེགས་ཏེ་རང་རང་གི་སྐུ་ལས་འོད་རབ་ཏུ་བཀྱེའོ། ། ||| Then the Blessed One, while magically displaying himself lying down on the Thus-Gone One’s right side upon a lion couch, between a pair of śāla trees in the country of the Mallas, went to where beings were dwelling in the Great Reviving Hell and radiated light from each of his bodies.
དེ་རབ་ཏུ་བཀྱེ་མ་ཐག་ཏུ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་ཡང་སོས་ཀྱི་གནས་ཐམས་ཅད་སྣང་བར་གྱུར་ཏོ། ། ||| As soon as he emitted this light, all those hell beings dwelling in the Great Reviving Hell were illuminated.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་འོད་ཀྱིས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་ཡང་སོས་ཀྱི་གནས་ཐམས་ཅད་སྣང་བར་མཛད་ནས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། །སེམས་ཅན་འདི་དག་ཡང་དང་ཡང་། །བསད་ཅིང་བསད་ཅིང་ཕྱིར་ཡང་འཚོ། །འདུ་ཤེས་དེ་ཉིད་བསྟན་བྱེད་པས། ། ||| Then the Blessed One, while illuminating the hell beings dwelling in the Great Reviving Hell with this light, spoke these verses: “Beings here are killed and revived Over and over again.
དེས་ན་སྡུག་བསྔལ་འབྱུང་བར་འགྱུར། ། ||| With this as their most basic experience, They suffer tremendous agonies.
འཇིག་རྟེན་མགོན་པོ་འོད་མཛད་པ། །འཇིག་རྟེན་འདིར་ནི་བྱུང་གྱུར་ནས། ། ||| “When the world protector, the maker of light, Appeared in this world, He taught the sublime Dharma That is uncorrupted and unceasing.
གང་གིས་སྡུག་བསྔལ་འགག་འགྱུར་བ། །ཟད་པ་མེད་ཅིང་ལེན་མེད་ལ། །འགག་པ་མེད་ཅིང་ཟག་མེད་པའི། ། ||| “It brings an end to suffering, Is inexhaustible and beyond grasping, And, when fully understood, Ensures an end to all bad rebirth.”
དམ་པའི་ཆོས་ནི་སྟོན་པར་མཛད། །གང་དག་ཆོས་འདི་རབ་ཤེས་པ། །དེ་དག་ངན་འགྲོར་འགྲོ་མི་འགྱུར། །བཅོམ་ལྡན་འདས་ཀྱིས་ཚིགས་སུ་བཅད་པ་དེ་དག་བཀའ་སྩལ་མ་ཐག་ཏུ་དེ་ནས་སྐད་ཅིག་དེ་དང་ཐང་ཅིག་དེ་དང་། ཡུད་ཙམ་དེ་ལ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་ཡང་སོས་ཀྱི་གནས་ནས་སྲོག་ཆགས་དུང་ཕྱུར་ཕྲག་གསུམ་གྱིས་ཆོས་འདི་ཐོས་ནས་ཕྱིར་མི་འོང་བའི་འབྲས་བུ་ཐོབ་པར་གྱུར་ཏེ། ||| As soon as the Blessed One had spoken these verses, right then, at that very instant, on hearing these words, three hundred million beings living in the Great Reviving Hell achieved the level of nonreturning.
ཆོས་ཐོབ་པ་དེ་དག་གིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསོལ་ཏོ། །ཟད་པ་མ་མཆིས་ལེན་མ་མཆིས། །མི་འགག་ཟག་པ་མ་མཆིས་པའི། །འཕགས་པའི་ཆོས་འདི་འཚལ་གྱུར་པས། །བདག་ཅག་བསིལ་གྱུར་མྱ་ངན་འདས། ། ||| Then those who had received the teaching spoke these verses: “We have discovered the noble Dharma, Inexhaustible, free from grasping, Unceasing, and uncorrupted; Now we are soothed, our pain transcended.
མཁྱེན་ནས་ཇི་བཞིན་ཉིད་བརྙེས་ཤིང་། ། ||| “With understanding, he discovered the way things are.
སེམས་ཅན་རྣམས་ཀྱི་དབང་པོ་མཁྱེན། །རྒྱུ་དང་རྐྱེན་རྣམས་སྟོན་མཛད་ཅིང་། ། ||| Knowing beings’ abilities, He teaches causes and conditions.
སེམས་ཅན་རྣམས་ལ་ཐུགས་བརྩེ་བ། ། ||| He has a deep love for beings.
ཟུག་རྔུ་འབྱིན་ཅིང་གསོས་མཛད་ལ། ། ||| “The omniscient one removes our pain.
སྨན་སྩོལ་མཛད་ཅིང་ཐམས་ཅད་མཁྱེན། ། ||| He nourishes us, he gives us the cure.
མྱ་ངན་འདའ་བ་སྟོན་མཛད་པའི། །རྫོགས་སངས་རྒྱས་ཀྱིས་བདག་ཅག་བཏུལ། ། ||| The perfect Buddha has tamed us. He has shown us how to transcend suffering.
མིག་དང་སྒྲོན་མར་གྱུར་པ་འདི། །ཤིན་ཏུ་མྱུར་བར་འདས་གྱུར་ན། ། ||| “Our eyes, our lamp, Will very soon pass away.
སུ་ཞིག་སྲོག་ཆགས་བྱེ་བ་རྣམས། །ཡང་སོས་གནོད་ལས་ཐར་མཛད་འགྱུར། ། ||| Who then will liberate millions of beings From the torment of being continuously revived?
ཟུག་རྔུ་འབྱིན་མཛད་སྨན་པ་ཆེ། །འབྱུང་པོ་ཀུན་གྱི་གསོས་མཛད་པ། །དེ་ཡིས་སེམས་ཅན་གང་གསོས་པ། །དེ་དག་ངན་འགྲོར་མཆི་མི་འགྱུར། ། ||| “He is the great physician who removes all pain, The sustainer of all that lives, Who nourishes beings And ensures an end to bad rebirth.”
དེ་ནས་བཅོམ་ལྡན་འདས་དེའི་ཚེ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་ཐིག་ནག་གི་གནས་ཀྱི་མཐར་བཞུགས་ཏེ་འོད་རྒྱ་ཆེན་པོ་རབ་ཏུ་བཀྱེའོ། །དེས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོའི་གནས་དེ་སྣང་བར་གྱུར་ནས་སྲོག་ཆགས་སྟོང་ཕྲག་མང་པོ་དག་དེ་ནས་བཏོན་ཏེ་མཐོ་རིས་ལ་རབ་ཏུ་བཀོད་དོ། ། ||| The Blessed One then took a place at the edge of the Great Black Line Hell and radiated a great light that lit up the beings living there, releasing many thousands and sending them to the higher realms.
དེ་བཞིན་དུ་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་བསྡུས་གཞོམ་དང་། ངུ་འབོད་དང་ངུ་འབོད་ཆེན་པོ་དང་། ཚ་བ་དང་། རབ་ཏུ་ཚ་བ་དག་ནས་ཀྱང་སྲོག་ཆགས་སྟོང་ཕྲག་མང་པོ་དག་བཏོན་ཏེ་མཐོ་རིས་དང་མྱ་ངན་ལས་འདའ་བའི་ལམ་ལ་རབ་ཏུ་བཀོད་དོ། ། ||| In the same way, he released many thousands of beings from the Great Crushing Hell, the Wailing Hell, the Great Wailing Hell, the Hell of Heat, and the Hell of Intense Heat.
དེ་ནས་སྐད་ཅིག་དེ་དང་ཐང་ཅིག་དེ་དང་། ||| He sent them to the higher realms and established them on the path that transcends suffering.
ཡུད་ཙམ་དེ་ལ་སྲོག་ཆགས་བྱེ་བ་འབུམ་ཕྲག་དུ་མ་དག་སེམས་ཅན་དམྱལ་བའི་གནས་དག་ནས་ཤི་འཕོས་ནས་དགའ་ལྡན་གྱི་ལྷའི་རིས་སུ་སྐྱེས་སོ། །སྐྱེས་མ་ཐག་ཏུ་ལྷའི་བུ་དེ་དག་གིས་སྔོན་གྱི་ཆོས་ཡང་དག་པར་རྗེས་སུ་དྲན་ནས་ཕྱིར་མི་འོང་བའི་འབྲས་བུ་ཐོབ་བོ། །དེ་ནས་ལྷའི་བུ་ཆོས་ཐོབ་པ། ཆོས་རྟོགས་པ། ཆོས་ཀྱི་གཏིང་དུ་ཞུགས་པ་དེ་དག་གིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསོལ་ཏོ། །ཇི་ལྟར་དགོན་པའི་ཤུལ་ཞིག་ཏུ། ། ||| At that moment, right then, at that very instant, many billions of beings living in the hell realms died and were reborn among the gods in the Heaven of Joy, and as soon as they were born there, those gods could perfectly recall the teachings they had previously received and attained the level of nonreturning.
དེད་དཔོན་འཇིགས་པ་མ་མཆིས་པས། །ཆོམ་རྐུན་གདུག་པས་གཙེས་གྱུར་པའི། །སེམས་ཅན་མང་པོ་ཐར་བགྱིད་ལྟར། །དེ་བཞིན་འཁོར་བའི་བཙོན་ར་ལས། །དེད་དཔོན་བླ་ན་མ་མཆིས་པ། །སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱིས་ནི། ། ||| Then, when those gods who had received the teachings had understood them and deeply inculcated them, they spoke these verses: “Just as when traveling through a remote and empty place A fearless caravan leader Can keep many beings Free from the danger of bandits, “So does the unsurpassable caravan leader, The blessed Buddha, Free millions of beings From the prison of cyclic existence.
སེམས་ཅན་བྱེ་བ་ཐར་བར་མཛད། །ཐུགས་རྗེ་ཉེ་བར་བསྐྱེད་མཛད་ཅིང་། །བདག་ཅག་སྡུག་བསྔལ་ཐར་མཛད་པའི། ། ||| “Awakening great compassion, He has freed us from our suffering.
བླ་མེད་དེད་དཔོན་འོད་མཛད་པ། །སངས་རྒྱས་ལ་ནི་སྐྱབས་སུ་མཆི། ། ||| Unsurpassable caravan leader, maker of light, Awakened One, we take refuge in you!
བདག་ཅག་ལུས་ཀྱིས་རེག་གྱུར་པའི། །ཆོས་དང་ཡོན་ཏན་བསམ་ཡས་པའི། །ཚོགས་མཆོག་འཕགས་པའི་དགེ་འདུན་ལའང་། །བདག་ཅག་སྐྱབས་སུ་ཉེ་བར་མཆི། ། ||| “We also take refuge In the Dharma, which has touched us deeply, And in the noble Saṅgha, the supreme assembly Inconceivably rich in good qualities.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་འོད་བསིལ་ཞིང་འཇམ་པས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་མནར་མེད་པའི་གནས་ཀྱི་སེམས་ཅན་དམྱལ་བའི་ཡོངས་སུ་གདུང་བ་སིམ་ཞིང་བསིལ་བར་མཛད་ནས་ཡན་ལག་སྟོང་ཡོངས་སུ་རྫོགས་པ། སེམས་ཅན་ཐམས་ཅད་རབ་ཏུ་སིམ་པ་སྐྱེད་པ། ||| The Blessed One then sent forth rays of soft, cooling light to comfort and soothe the intense torments of those inhabiting the Great Hell of Unceasing Torture.
འཇམ་པ་སྙན་པར་གསུང་པ། ཕན་པ་དང་བདེ་བར་མཛད་པ། སྟོང་པ་ཉིད་དང་། མཚན་མ་མེད་པ་དང་། སྨོན་པ་མེད་པ་དང་ལྡན་པའི་གསུང་གིས་སེམས་ཅན་དམྱལ་བ་པ་དེ་དག་ལ་བཀའ་སྩོལ་ཅིང་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། ། ||| He taught those hell beings about emptiness, signlessness, and wishlessness, with a teaching that was perfect in its thousand aspects and that gladdened the hearts of all, was pleasing to the ear, and brought welfare and happiness.
གང་གིས་སྟོང་ཉིད་མཚན་མེད་དང་། །སྐྱེ་མེད་འདུས་བྱས་མ་ཡིན་པའི། །ཆོས་རྣམས་རབ་ཏུ་ཤེས་གྱུར་པ། །དེ་དག་ངན་འགྲོའི་འཇིགས་ལས་འགྲོལ། ། ||| He then uttered this verse: “Those who have fully understood That phenomena are empty, signless, Unborn, and unconstructed Are free from fears of the lower realms.”
དེ་ནས་སྲོག་ཆགས་བྱེ་བ་འབུམ་ཕྲག་བརྒྱད་ཀྱིས་གསུང་དེ་ཐོས་ནས་དུས་གསུམ་ལ་ཐོགས་པ་མེད་ཅིང་ཡན་ལག་གི་ཡོན་ཏན་འབུམ་དང་ལྡན་པའི་སྒྲ་རྣ་ལམ་དུ་གྲག་པ་ཐོས་ནས་སེམས་ཅན་དམྱལ་བ་ཆེན་པོ་མནར་མེད་པའི་གནས་ནས་ཤི་འཕོས་ཏེ་གཞན་འཕྲུལ་དབང་བྱེད་ཀྱི་ལྷ་རྣམས་དང་སྐལ་བ་མཉམ་པར་སྐྱེས་སོ། ། ||| When those words, unimpeded in the three times and rich in a hundred thousand qualities, reached their ears, eight trillion beings in the Great Hell of Unceasing Torture died and were reborn equal in fortune to the gods in the Heaven of Mastery over Others’ Emanations.
དེ་ནས་བཅོམ་ལྡན་འདས་ཚངས་པའི་འཇིག་རྟེན་དུ་གཤེགས་ཏེ་ཚིགས་སུ་བཅད་པ་འདི་དག་བཀའ་སྩལ་ཏོ། །གང་ལ་སྡུག་བསྔལ་མི་རྙེད་པའི། །སེམས་ཅན་རྣམས་ནི་མཆོག་ཏུ་བདེ། ། ||| The Blessed One then went to the Brahmā realms and spoke these verses: “Those who do not experience suffering Are supremely happy.
མིང་དང་མཚན་མ་ཐ་སྙད་དང་། །འདུ་ཤེས་གང་ཡིན་ཚུལ་བཞིན་མིན། ། ||| All names, conventional designations, And conceptions are invalid.
བརྟན་པས་དེ་དག་རྣམ་སྤངས་ན། །དེས་ནི་སྡུག་བསྔལ་དག་ལས་དགྲོལ། ། ||| “Those who can firmly abandon them Will be free from suffering.
གང་དག་གཟུགས་མེད་རྟེན་པ་ཡི། །འདུ་ཤེས་ཀུན་ཀྱང་ཚུལ་བཞིན་མིན། ། ||| For them, even all conceptions Of the formless realm will be invalid.
ཡང་དང་ཡང་དུ་འཆི་འཕོ་ཞིང་། །ཤི་ནས་སྐྱེ་བར་འགྱུར་བ་ཡི། །སྡུག་བསྔལ་ཕྱིར་ཞིང་རབ་འཕེལ་བ། །ཁམས་གསུམ་པ་དག་ཅི་ཕྱིར་བདེ། ། ||| “Suffering increases exponentially When one dies over and over again, Taking a new rebirth each time; What happiness is there in the three realms?
གང་གིས་སྟོང་པ་སྟོང་ཤེས་ཤིང་། །སྟོང་པ་དེ་ལའང་མི་སེམས་ལ། ། ||| “Those who understand the empty to be empty Do not conceive of even the empty.
གང་དག་སྟོང་ཉིད་མི་མཐོང་བ། །དེ་དག་སྟོང་ཉིད་ཤེས་པ་ཡིན། ། ||| Those who do not perceive emptiness Are those who know emptiness.
གང་གིས་ཆོས་དོན་དེ་ཤེས་པ། །དེ་ལ་བདག་ནི་རྙེད་མི་འགྱུར། །གང་ལ་བདག་ནི་མི་རྙེད་པ། །དེ་ལ་སྡུག་བསྔལ་ག་ལ་འབྱུང་། ། ||| “Those who understand this point of doctrine Will not find a self, For there is no self to be found— So where can suffering arise?
སྟོང་དང་ཉེ་བར་ལེན་མེད་དང་། །མཚན་མ་རྙེད་པ་མ་ཡིན་ཞིང་། །བདག་མེད་ཆོས་ནི་སྟོན་བྱེད་པ། །སངས་རྒྱས་ཐུགས་ལས་སྐྱེས་པའི་སྲས། ། ||| “Those who teach the selflessness of phenomena And that they are empty, free of grasping, And devoid of characteristics Are sons born from the hearts of the buddhas.”
དེ་ནས་གང་དག་དེར་སྐྱེས་པའི་སྲོག་ཆགས་བྱེ་བ་འབུམ་ཕྲག་བརྒྱད་པོ་དེ་དག་གིས་ཟག་པ་ཟད་པ་ཐོབ་ཅིང་ལྷའི་དྲང་སྲོང་དུ་གྱུར་ནས། ||| Then those eight trillion beings who had been reborn among those gods reached the exhaustion of defilements and became divine sages.
དེ་དག་གི་སེམས་ཅན་དམྱལ་བའི་གནས་དག་གི་སེམས་ཅན་དམྱལ་བའི་གནས་ཀྱི་སྡུག་བསྔལ་དག་རྗེས་སུ་དྲན་ཞིང་དེ་བཞིན་གཤེགས་པའི་སྐྱེས་བུའི་མཐུ་ཡང་རྗེས་སུ་དྲན་ནས་བྱས་པ་གཟོ་བའི་ཕྱིར་བདག་ཅག་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་མ་མཐོང་བར་དང་པོ་ཁོ་ནར་བདག་ཅག་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་བྱའོ། ། ||| Still recalling their suffering as hell beings in the hells, and in gratitude for the Thus-Gone One’s direct intervention, they exclaimed, “Rather than see the thus-gone, worthy, completely perfect Buddha pass into parinirvāṇa, we will pass completely beyond suffering first!”
ཞེས་དེ་ནས་ལྷའི་བུ་དགྲ་བཅོམ་པ་ཉིད་ཐོབ་པ་དེ་དག་གིས་དེའི་ཚེ་ཚིགས་སུ་བཅད་པ་འདི་དག་གསོལ་ཏོ། །མི་འདུལ་ཁ་ལོ་སྒྱུར་བ་གང་ཟག་མཆོག །སྣང་བ་འོད་མཛད་རབ་ཏུ་གསལ་མཛད་པ། །མྱ་ངན་འདའ་བར་མཛད་པ་ཇི་ལྟར་བལྟ། །བདག་ཅག་སྔར་ཉིད་མྱ་ངན་འདའ་བར་བགྱི། ། ||| Then, those gods who had reached the state of arhatship uttered this verse: “Tamer of beings, helmsman, best of humans, Maker of light, great illuminator, We will pass beyond, Just as we see you passing into nirvāṇa.”
དེ་སྐད་ཅེས་གསོལ་ནས་དེ་ཉིད་དུ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་སོ། ། ||| And the moment they finished speaking, they passed completely beyond suffering.
དེ་ནས་བཅོམ་ལྡན་འདས་སྐད་ཅིག་དེ་དང་ཐང་ཅིག་དེ་དང་། ཡུད་ཙམ་དེ་ལ་ཚངས་པའི་འཇིག་རྟེན་ནས་མི་སྣང་བར་གྱུར་ཏེ། གྱད་རྣམས་དང་ཉེ་བ་ན་ཡོད་པ་ཤིང་སཱ་ལ་ཟུང་གི་བར་དུ་སླར་གཤེགས་སོ། ། ||| And at that moment, right then, that very instant, the Blessed One disappeared from the Brahmā realms and returned to the pair of śāla trees in the country of the Mallas.
དེ་ནས་བཅོམ་ལྡན་འདས་འདི་སྙམ་དུ་དགོངས་ཏེ། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ང་ནི་དོ་མོད་ནམ་གྱི་ཐུན་ཐ་མ་ལ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་འགྱུར་ཏེ། ||| The Blessed One then thought, “This night, I, the thus-gone, worthy, completely perfect Buddha, will pass into parinirvāṇa during the last watch of the night.
སེམས་ཅན་རྣམས་ལ་བསྟན་པར་བྱ་བའི་ཐ་མ་ནི་འདི་ཡིན་གྱིས། བདག་གིས་དེ་བཞིན་གཤེགས་པའི་ཆོ་འཕྲུལ་ཆེན་པོ་སེམས་ཅན་རྣམས་མཆོག་ཏུ་དགའ་བར་བྱེད་པ། ||| Since this will be my last teaching, I will bring joy to beings with a great miracle that only the Thus-Gone One can manifest.
བདེ་བ་སྐྱེད་པར་བྱེད་པ། སྡུག་བསྔལ་ཉེ་བར་ཞི་བར་བྱེད་པ། སེམས་ཅན་ཐམས་ཅད་དེ་བཞིན་གཤེགས་པའི་བདག་ཉིད་ཆེན་པོ་ལ་ཐོགས་པ་མེད་པར་འཇུག་པར་འགྱུར་བ། ||| It will make them happy, it will quell their suffering, so that all beings will merge unobstructedly with the nature of the Thus-Gone One.
སངས་རྒྱས་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བ་དང་ལྡན་པ་དག་ཀུན་ཏུ་བསྟན་པར་བྱའོ། །སྙམ་དུ་དགོངས་སོ། ། ||| I will show them how the Buddha passes into parinirvāṇa.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སྐུའི་གློ་གཡས་པ་བཏེགས་ཏེ། ||| The Blessed One then lay on his right side.
སེང་གེ་བཞིན་དུ་བག་ཚ་བ་མི་མངའ་བར་ཕྱོགས་བཅུའི་སྐྱེ་དགུ་དེ་དག་ལ་གླང་པོ་ཆེའི་ལྟ་སྟངས་ཀྱིས་གཟིགས་ནས་ཞབས་གཡས་པའི་མཐེ་བོས་ས་ཆེན་པོ་ལ་བསྣུན་ཏོ། ། ||| With the fearlessness of a lion and the gaze of an elephant, he looked out over all beings in the ten directions and pierced the earth with the big toe of his right foot.
