འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཞི་པ་སྟེ། རྨི་ལམ་བསྟན་པ། བམ་པོ་དང་པོ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སྭཔྣ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྨི་ལམ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Teaching on Dreams
སྔ་དྲོའི་དུས་སུ་ན་ས་གཉིས་པར་རོ། ། ||| If it is witnessed in the morning, consider them to be on the second bhūmi.
སྤྲིན་ཡང་འཁྲུགས་ན་ས་གསུམ་པར་རོ། ། ||| If it is witnessed amid turbulent clouds, they are on the third bhūmi.
རླུང་ཡང་འཁྲུགས་ན་ས་བཞི་པར་རོ། ། ||| If it is witnessed during turbulent wind, they are on the fourth bhūmi.
རྡུལ་གྱིས་ངེས་པར་བཅོམ་ན་ས་ལྔ་པར་རོ། ། ||| If it is obscured by dust, they are on the fifth bhūmi.
ཉི་མ་ཕྱེད་པའི་དུས་སུ་ན་ས་དྲུག་པར་ཏེ། ||| If it is witnessed at noon, they are on the sixth bhūmi.
ལས་ཀྱི་སྒྲིབ་པ་དང་། བདུད་ཀྱི་ལས་ནི་མ་གཏོགས་སོ། ། ||| These are the signs, unless they are the activity of Māra or the results of karmic obscurations.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་མི་གཙང་བས་བསྐུས་པར་ཀུན་ཏུ་ཤེས་ན། བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་གསུམ་པོ་དག་ཏུ་བལྟ་སྟེ། ||| 89. “Vajrapramardin, if in a dream bodhisattvas perceive themselves to be covered in filth, consider those bodhisattvas to be on one of the first three bhūmis.
སྔོན་འཕགས་པ་ལ་སྐུར་པ་བཏབ་པའི་བྱང་ཆུབ་སེམས་དཔའ་དམུ་རྒོད་ཡིན་པས་དེས་ལོ་གསུམ་དུ་ཕུང་པོ་གསུམ་པ་ལ་ཇི་ལྟར་ལུང་ཕོག་པ་བཞིན་དུ་གདོན་པར་བྱ་ཞིང་། གང་ལ་ཡང་མ་དད་པར་མི་བྱ་བར་མོས་པ་ཡང་མང་དུ་བྱའོ། ། ||| Because they are irascible bodhisattvas who had previously denigrated noble beings, they should recite the Three Sections according to instructions for three years, and should increase their conviction so that they do not lack for faith in anything.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
ལུས་ཐམས་ཅད་མི་གཙང་བའི་རྫབ་ཀྱིས་བསྐུས་ན་ས་དང་པོ་པར་རོ། ། ||| “If their entire body is covered with muck, they are on the first bhūmi.
ལུས་ཀྱི་གཞོགས་ཕྱེད་བསྐུས་ན་ས་གཉིས་པར་རོ། ། ||| If half their body is covered, they are on the second bhūmi.
ཡན་ལག་དང་ཉིང་ལག་བསྐུས་ན་ས་གསུམ་པར་རོ། ། ||| If their major and minor limbs are covered, they are on the third bhūmi.
ས་དྲུག་པའི་བར་དག་ལ་ནི་བདུད་ཀྱི་ལས་སུ་རྟོགས་པར་བྱའོ། ། ||| Up to the sixth bhūmi, these signs may be the work of Māra.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་རྒྱལ་པོར་གྱུར་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བཅུ་པོ་ཐམས་ཅད་ལས་ས་གང་ཡང་རུང་བར་བལྟ་སྟེ། ||| 90. “Vajrapramardin, if in a dream bodhisattvas perceive themselves to be a king, consider those bodhisattvas to be on any of the ten bhūmis.
དེ་ལ་དགེ་བའི་རྩ་བ་སྟུག་ལ་བར་ཆད་ཀྱང་སྟུག་པ་ཡིན་པས་དེས་ན་རློམ་སེམས་མེད་པར་བྱ་ཞིང་གཞན་ལ་གཡོ་མི་བྱ་བ་དང་། ཀུན་བགེད་པའི་ངང་ཚུལ་ཅན་དང་། བདག་ལ་མི་བསྟོད་པ་དང་། གཞན་ལ་མི་སྨད་པར་བྱའོ། ། ||| They have firm virtuous roots but also thick obscurations, and should therefore free themselves of conceit, avoid deceiving others, maintain a cheerful demeanor in all circumstances, not praise themselves, and not criticize others.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་། བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
གྲོང་ན་འདུག་སྟེ་རྒྱལ་པོར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If they perceive themselves as a king in a town, consider them to be on the first bhūmi.
གཙུག་ལག་ཁང་ན་འདུག་སྟེ་རྒྱལ་པོར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་གཉིས་པར་བལྟའོ། ། ||| If they perceive themselves as a king in a monastery, consider them to be on the second bhūmi.
སྐྱེད་མོས་ཚལ་ན་འདུག་སྟེ་རྒྱལ་པོར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་གསུམ་པར་བལྟའོ། ། ||| If they perceive themselves as a king in a pleasure garden, consider them to be on the third bhūmi.
ལྷ་ཁང་ན་འདུག་སྟེ་རྒྱལ་པོར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་བཞི་པར་བལྟའོ། ། ||| If they perceive themselves as a king in a temple, consider them to be on the fourth bhūmi.
གྲོང་ཁྱེར་ཆེན་པོ་ན་འདུག་སྟེ། རྒྱལ་པོར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་ལྔ་པར་བལྟའོ། ། ||| If they perceive themselves as a king in a city, consider them to be on the fifth bhūmi.
རིའི་རྩེ་མོ་ན་འདུག་སྟེ་རྒྱལ་པོར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་དྲུག་པར་བལྟའོ། ། ||| If they perceive themselves as a king on the summit of a mountain, consider them to be on the sixth bhūmi.
འཛམ་བུའི་གླིང་གི་རྒྱལ་པོར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་བདུན་པར་བལྟའོ། ། ||| If they perceive themselves as the king of Jambudvīpa, consider them to be on the seventh bhūmi.
འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོར་ཀུན་ཏུ་ཤེས་ན་དེ་ནི་ས་བརྒྱད་པར་བལྟའོ། ། ||| If they perceive themselves as a cakravartin king, consider them to be on the eighth bhūmi.
རྒྱ་མཚོའི་དབུས་སུ་ན་དེ་ནི་ས་དགུ་པར་བལྟའོ། ། ||| If they perceive themselves in the middle of the ocean, consider them to be on the ninth bhūmi.
རི་རབ་ཀྱི་རྩེ་མོར་ན་དེ་ནི་ས་བཅུ་པར་བལྟ་སྟེ། ||| If they perceive themselves at the summit of Mount Meru, consider them to be on the tenth bhūmi.
བདུད་ཀྱི་ལས་ལ་མངོན་པར་བརྩོན་པ་དང་། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔས་མ་དགོངས་པ་ནི་མ་གཏོགས་སོ། ། ||| These may be the signs of those who endeavor in the activities of Māra and of those whom the buddhas and bodhisattvas do not think of.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་རྒྱལ་པོའི་སྤྱན་སྔ་འམ། རྒྱལ་པོའི་བློན་པོ་ཆེན་པོའམ། །སྐྱེ་བོ་ཕལ་པོ་ཆེའི་མདུན་ན་འདུག་པར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་བརྒྱད་པོ་དག་ཏུ་བལྟ་སྟེ། ||| 91. “Vajrapramardin, if in a dream bodhisattvas perceive themselves to be in the presence of a king, the king’s prime minister, or a large crowd of people, consider those bodhisattvas to be on one of the first eight bhūmis.
ཀུན་ནས་ཉོན་མོངས་པ་དང་བཅས་པ་ཡིན་པས་དེས་ནི་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱ་ཞིང་ཉེ་དུའི་མཆོད་པ་སྤང་བར་བྱ་བ་དང་། ཤིན་ཏུ་ཡོངས་སུ་དག་པར་བྱའོ། ། ||| They are rife with defilements, and so should bring beings to maturity, stop favoring close relations, and purify themselves.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
དེ་ལ་སྦྱིན་པས་ཀུན་ནས་ཉོན་མོངས་པར་གྱུར་ན་ས་དང་པོ་པར་རོ། ། ||| “If they become defiled through generosity, they are on the first bhūmi.
ཚུལ་ཁྲིམས་ཀྱིས་ནི་ས་གཉིས་པར་རོ། ། ||| If through discipline, they are on is the second bhūmi.
ཐོས་པས་ནི་ས་གསུམ་པར་རོ། ། ||| If through learning, they are on the third bhūmi.
ཏིང་ངེ་འཛིན་གྱིས་ནི་ས་བཞི་པར་རོ། ། ||| If through samādhi, they are the fourth bhūmi.
གཟུངས་ཀྱིས་ནི་ས་ལྔ་པར་རོ། ། ||| If through dhāraṇī, they are on the fifth bhūmi.
མངོན་པར་ཤེས་པ་རྣམས་ཀྱིས་ནི་ས་དྲུག་པར་རོ། ། ||| If through the extrasensory cognitions, they are on the sixth bhūmi.
ཆོས་སྟོན་པས་ནི་ས་བདུན་པར་རོ། ། ||| If through teaching the Dharma, they are on the seventh bhūmi.
གཡོག་འཁོར་ཕུན་སུམ་ཚོགས་པས་ནི་ས་བརྒྱད་པར་རོ། ། ||| If through their excellent retinue, they are on the eighth bhūmi.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་སྐྱེད་མོས་ཚལ་དུ་སོན་བར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་དགུ་པོ་དག་ཏུ་བལྟ་སྟེ། ||| 92. “Vajrapramardin, if in a dream bodhisattvas perceive that they have arrived in a pleasure garden, consider those bodhisattvas to be on one of the first nine bhūmis.
དེས་ནི་བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་མངོན་པར་བརྩོན་པར་བྱའོ། ། ||| Such bodhisattvas should endeavor in the perfection of meditation.
བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་འཇིག་རྟེན་གྱི་ཟང་ཟིང་ནི་རྙེད་ལ། ཤེས་པས་ནི་མ་ཡིན་པས་བདུད་ཀྱི་ལྕགས་ཀྱུས་ཀུན་ཏུ་དྲངས་པ་ཡིན་ཏེ། ||| Because those bodhisattvas are not prudent in their acquisition of worldly pleasures, they are led about by Māra’s hook.
ལས་ཀྱི་སྒྲིབ་པ་ནི་ཆུང་ངོ་། ། ||| Their karmic obscurations are few, however.
དེས་ན་ཆོས་སྨྲ་བ་ལ་ཉེ་བར་འཚོ་བ་དག་བསྒྲུབ་པར་བྱ་ཞིང་ནང་དུ་ཡང་དག་འཇོག་ཀྱང་བསྒྲུབ་པར་བྱའོ། ། ||| They should provide support for Dharma teachers and maintain an inward focus.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
དེ་ལ་ས་དང་པོ་ལ་ནི་སྤྱོད་པའི་ཤེས་པ་མེད་དོ། ། ||| “Novice bodhisattvas do not understand conduct.
ས་གཉིས་པ་ལ་ནི་ཐོས་པའི་ཤེས་པ་མེད་དོ། ། ||| Those on the second bhūmi do not understand learning.
ས་གསུམ་པ་ལ་ནི་ངེས་པའི་ཤེས་པ་མེད་དོ། ། ||| Those on the third bhūmi lack certitude.
ས་བཞི་པ་ལ་ནི་བསམ་གཏན་གྱི་ཤེས་པ་མེད་དོ། ། ||| Those on the fourth bhūmi do not understand meditation.
ས་ལྔ་པ་ལ་ནི་གཟུངས་ཀྱི་ཤེས་པ་མེད་དོ། ། ||| Those on the fifth bhūmi do not understand dhāraṇī.
ས་དྲུག་པ་ལ་ནི་སོ་སོ་ཡང་དག་པར་རིག་པའི་ཤེས་པ་མེད་དོ། ། ||| Those on the sixth bhūmi do not understand the discernments.
ས་བདུན་པ་ལ་ནི་སྒྲུབ་པའི་ཤེས་པ་མེད་དོ། ། ||| Those on the seventh bhūmi do not understand practice.
ས་བརྒྱད་པ་ལ་ནི་བཀོད་པའི་ཤེས་པ་མེད་དོ། ། ||| Those on the eighth bhūmi do not understand magnificent displays.
ས་དགུ་པ་ལ་ནི་སྨོན་ལམ་གྱི་ཤེས་པ་མེད་དོ། ། ||| Those on the ninth bhūmi do not understand aspirations. 93.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་སྔོན་མ་མཐོང་བའི་གཙུག་ལག་ཁང་ངམ། གྲོང་ངམ། ཡུལ་ལམ། ལྗོངས་མཐོང་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་དྲུག་པོ་དག་ཏུ་བལྟ་སྟེ། ། ||| “Vajrapramardin, if in a dream bodhisattvas see a monastery, town, region, or country that they have never seen before, consider those bodhisattvas to be on one of the first six bhūmis.
དེ་ནི་བར་ཆད་མང་བ་ཡིན་པས་དེས་སངས་རྒྱས་རྗེས་སུ་དྲན་པ་བསྒོམ་པར་བྱ་ཞིང་དད་པར་ཡང་བྱ། བྱ་བ་ཐམས་ཅད་ལ་དད་པའི་སྦྱིན་པས་མོས་པར་ཡང་བྱའོ། ། ||| Because they have many obstacles, they should train in recollecting the Buddha, develop faith, and forge conviction through their pious generosity in all activities.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
གང་གིས་མཚན་མའི་བྱ་བ་དེ་དག་བྱི་དོར་མ་བྱས་པར་མཐོང་ན་དེ་ནི་ས་དང་པོར་རོ། ། ||| “If those bodhisattvas see that no one has cleared away those signs, they are on the first bhūmi.
གང་གིས་བྱི་དོར་བྱས་པར་མཐོང་ན་དེ་ནི་ས་གཉིས་པར་རོ། ། ||| If they see that someone has cleared them away, they are on the second bhūmi.
གང་གིས་རྒྱན་གྱིས་བརྒྱན་པར་མཐོང་ན་དེ་ནི་ས་གསུམ་པར་རོ། ། ||| If they see that someone has hung decorations, they are on the third bhūmi.
འཁོར་བཞི་པོ་དག་འདུས་ན་དེ་ནི་ས་ལྔ་པར་རོ། ། ||| If they see that the fourfold community has gathered, they are on the fifth bhūmi.
ལྷའི་འཁོར་དག་འདུས་ན་དེ་ནི་ས་དྲུག་པར་རོ། ། ||| If they see that the assemblies of the gods have gathered, they are on the sixth bhūmi.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན། གདུགས་རྙེད་ན་དེ་ནི་ས་དང་པོ་བདུན་པོ་དག་ཏུ་བལྟ་སྟེ། ། ||| 94. “Vajrapramardin, if in a dream bodhisattvas find a parasol, consider those bodhisattvas to be on one of the first seven bhūmis.
སངས་རྒྱས་ཀྱི་བྱིན་གྱིས་བརླབས་ཀྱང་ཡོད། བར་ཆད་ཀྱང་མང་། མི་ཆོམས་པ་ཡང་ཡིན་ནོ། ། ||| Such bodhisattvas have been blessed by the Buddha and have many obstacles, but have not been overwhelmed by them.
དེས་ནི་ཆོས་སྨྲ་བ་ལ་བརྙས་པར་མི་བྱ་སྟེ། ||| They should refrain from belittling Dharma teachers.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
དེ་ལ་ལོ་མའི་གདུགས་ཀྱིས་ནི་ས་དང་པོར་རོ། ། ||| “If the parasol is made out of leaves, those bodhisattvas are on the first bhūmi.
འོད་མའི་གདུགས་ཀྱིས་ནི་ས་གཉིས་པར་རོ། ། ||| If the parasol is made of bamboo, they are on the second bhūmi.
གྲོ་བའི་གདུགས་ཀྱིས་ནི་ས་གསུམ་པར་རོ། ། ||| If the parasol is made of birch, they are on the third bhūmi.
རས་ཀྱི་གདུགས་ཀྱིས་ནི་ས་བཞི་པར་རོ། ། ||| If the parasol is made of cloth they are on the fourth bhūmi.
ཁྲ་བོས་ནི་ས་ལྔ་པར་རོ། ། ||| If the parasol is multicolored, they are on the fifth bhūmi.
དྲིལ་བུ་གཡེར་ཀས་ཡོངས་སུ་བསྐོར་བས་ནི་ས་དྲུག་པར་རོ། ། ||| If it is trimmed with small bells, they are on the sixth bhūmi.
རིན་པོ་ཆེའི་དྲ་བས་གླགས་པས་ནི་ས་བདུན་པར་རོ། ། ||| If it is laced with jewels, they are on the seventh bhūmi.
བདུད་ཀྱི་ལས་དང་། མངོན་པར་མི་བརྩོན་པ་ནི་མ་གཏོགས་སོ། ། ||| These are the signs, unless they are the activity of Māra or are due to a lack of effort.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་སྐྱེ་བོ་ཕལ་པོ་ཆེའི་དབུས་ན་འདུག་སྟེ་ཆོས་སྟོན་པར་ཀུན་ཏུ་ཤེས་ན། བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བཅུ་པོ་ཐམས་ཅད་དུ་བལྟ་སྟེ། ||| 95. “Vajrapramardin, if in a dream bodhisattvas perceive themselves teaching the Dharma in the midst of a large group of people, consider those bodhisattvas to be on any of the ten bhūmis.
དེས་ས་དག་ལ་བདུད་ཀྱི་ལས་དང་ལས་ཀྱི་སྒྲིབ་པ་ཡང་། ཇི་ལྟ་བ་བཞིན་དུ་རྟོགས་པར་བྱ་ཞིང་། ||| They should properly realize what on the bhūmis is the work of Māra and what is karmic obscuration.
དེས་སྤོབས་པ་ཡོངས་སུ་བཙལ་བར་བྱ་སྟེ། སྤོབས་པ་རྙེད་ནས་ཀྱང་རྣམ་པར་ངེས་པར་སྒྲུབ་པའི་ལུང་དབོག་པར་བྱའོ། ། ||| They should also strive for confident eloquence, and once they have found it, offer instructions that establish certainty.
དངོས་པོ་ཐམས་ཅད་ལ་ཡང་ལྷག་པར་ཞེན་པ་མེད་པར་བྱ་ཞིང་། དེས་དངོས་པོ་རྙེད་པ་ལ་ཡང་ཡང་དག་པར་དགའ་བར་འགྱུར་བའི་ངང་ཚུལ་ཅན་དུ་བྱའོ། ། ||| Such bodhisattvas should free themselves of excessive clinging to material objects, but still maintain a demeanor in which they are genuinely pleased when they acquire them.
དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་། བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| By doing so, their related karmic obscurations will be purified and they will find release in awakening.
སྦྱིན་པའི་གཏམ་སྟོན་པར་ཀུན་ཏུ་ཤེས་ན་ས་དང་པོ་ལ་གནས་པར་འགྱུར་རོ། ། ||| “If those bodhisattvas perceive themselves teaching on generosity, they are on the first bhūmi.
དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་གྱིས་ནི་ས་གཉིས་པར་རོ། ། ||| If they teach on the ten virtues, they are on the second bhūmi.
ཐོས་པའི་གཏམ་གྱིས་ནི་ས་གསུམ་པར་རོ། ། ||| If they teach on learning, they are on the third bhūmi.
སྦྱངས་པའི་ཡོན་ཏན་དང་ཡོ་བྱད་བསྙུངས་པའི་གཏམ་གྱིས་ནི་ས་བཞི་པར་རོ། ། ||| If they teach on the ascetic practices and austerity, they are on the fourth bhūmi.
སྙོམས་པར་འཇུག་པའི་གཏམ་གྱིས་ནི་ས་ལྔ་པར་རོ། ། ||| If they teach on equipoise, they are on the fifth bhūmi.
ལེགས་པར་སྦྱར་བ་ཡོངས་སུ་རྗོད་པའི་གཏམ་གྱིས་ནི་ས་དྲུག་པར་རོ། ། ||| If they teach using well-crafted expressions, they are on the sixth bhūmi.
བདག་མེད་པའི་གཏམ་གྱིས་ནི་ས་བདུན་པར་རོ། ། ||| If they teach on the absence of self, they are on the seventh bhūmi.
ཡེ་ཤེས་བཀོད་པའི་གཏམ་གྱིས་ནི་ས་བརྒྱད་པར་རོ། ། ||| If they teach on the array of wisdom, they are on the eighth bhūmi.
སངས་རྒྱས་བཀོད་པའི་གཏམ་གྱིས་ནི་ས་དགུ་པར་རོ། ། ||| If they teach on the array of buddhas, they are on the ninth bhūmi.
ལུས་ཀྱི་ཚད་ཀྱི་གཏམ་གྱིས་ནི་ས་བཅུ་པར་རོ། ། ||| If they teach on the size of bodies, they are on the tenth bhūmi.
ས་དང་པོ་ལ་ནི་ཡོ་བྱད་ལ་རྩོལ་བ་དང་བཅས་པའོ། ། ||| “On the first bhūmi those bodhisattvas seek possessions.
ས་གཉིས་པ་ལ་ནི་ཚུལ་ཁྲིམས་ལ་རྩོལ་བ་དང་བཅས་པའོ། ། ||| On the second bhūmi they strive for discipline.
ས་གསུམ་པ་ལ་ནི་འོད་ལ་རྩོལ་བ་དང་བཅས་པའོ། ། ||| On the third bhūmi they strive for light.
ས་བཞི་པ་ལ་ནི་ནོར་བདུན་ལ་རྩོལ་བ་དང་བཅས་པའོ། ། ||| On the fourth bhūmi they strive for the seven riches.
ས་ལྔ་པ་ལ་ནི་མི་གནས་པ་ལ་རྩོལ་བ་དང་བཅས་པའོ། ། ||| On the fifth bhūmi they strive to not remain anywhere.
ས་དྲུག་པ་ལ་ནི་རྣམ་པར་གཏན་ལ་དབབ་པ་ལ་རྩོལ་བ་དང་བཅས་པའོ། ། ||| On the sixth bhūmi they strive for ascertainment.
ས་བདུན་པ་ལ་ནི་ངེས་པ་ལ་རྩོལ་བ་དང་བཅས་པའོ། ། ||| On the seventh bhūmi they strive for certainty.
ས་བརྒྱད་པ་ལ་ནི་མངོན་པར་ཤེས་པ་དང་སོ་སོ་ཡང་དག་པར་རིག་པ་ལ་རྩོལ་བ་དང་བཅས་པའོ། ། ||| On the eighth bhūmi they strive for superknowledge and the discernments.
ས་དགུ་པ་ལ་ནི་སྤྱོད་པ་ལ་རྩོལ་བ་དང་བཅས་པའོ། ། ||| On the ninth bhūmi they strive for proper conduct.
ས་བཅུ་པ་ལ་ནི་ཚད་མེད་པ་ལ་རྩོལ་བ་དང་བཅས་པའོ། ། ||| On the tenth bhūmi they strive for the immeasurable.
དེའི་ས་དང་པོ་ལ་ནི་དགེ་བའི་རྩ་བ་ལ་བར་ཆད་ཡོད་དོ། ། ||| “On the first bhūmi those bodhisattvas’ virtuous roots are obstructed.
ས་གཉིས་པ་ལ་ནི་ཚུལ་ཁྲིམས་ལ་བར་ཆད་ཡོད་དོ། ། ||| On the second bhūmi their discipline is obstructed.
ས་གསུམ་པ་ལ་ནི་མངོན་པར་བརྩོན་པ་ལ་བར་ཆད་ཡོད་དོ། ། ||| On the third bhūmi their effort is obstructed.
ས་བཞི་པ་ལ་ནི་དམིགས་པ་ལ་བར་ཆད་ཡོད་དོ། ། ||| On the fourth bhūmi their conceptual perception is obstructed.
ས་ལྔ་པ་ལ་ནི་རྣམ་པ་ལ་བར་ཆད་ཡོད་དོ། ། ||| On the fifth bhūmi, their features are obstructed.
ས་དྲུག་པ་ལ་ནི་ཟབ་མོའི་བཟོད་པ་ལ་བར་ཆད་ཡོད་དོ། ། ||| On the sixth bhūmi their acceptance of the profound is obstructed.
ས་བདུན་པ་ལ་ནི་རྣམ་པར་འབྱེད་པའི་ཡེ་ཤེས་ལ་བར་ཆད་ཡོད་དོ། ། ||| On the seventh bhūmi their discriminating wisdom is obstructed.
ས་བརྒྱད་པ་ལ་ནི་སེམས་ཅན་ཡོངས་སུ་སྨིན་པར་བྱ་བ་ལ་བར་ཆད་ཡོད་དོ། ། ||| On the eighth bhūmi their capacity to ripen beings is obstructed.
ས་དགུ་པ་ལ་ནི་རྣམ་པར་ཤེས་པའི་ཚོགས་ལ་བར་ཆད་ཡོད་དོ། ། ||| On the ninth bhūmi their collection of consciousnesses is obstructed.
ས་བཅུ་པ་ལ་ནི་ཞིང་ཡོངས་སུ་དག་པར་བྱ་བ་ལ་བར་ཆད་ཡོད་དོ། ། ||| On the tenth bhūmi their capacity to purify buddhafields is obstructed.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་གྲོང་ཁྱེར་ན་གནས་པར་བྱེད་པར་ཀུན་ཏུ་ཤེས་ན། བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བརྒྱད་པོ་དག་ལ་ཕྱིར་མི་ལྡོག་པར་ལུང་བསྟན་དུ་ཉེ་བ་ཡིན་ཏེ། ||| 96. “Vajrapramardin, if in a dream bodhisattvas perceive themselves living in a city, those bodhisattvas are close to being predicted as being irreversible from the first eight bhūmis.
དེས་ནི་ཟབ་མོ་ལ་མོས་པའི་གང་ཟག་ལ་བསྟེན་པར་བྱ་ཞིང་། བསྙེན་བཀུར་བྱ། མཆོད་པར་བྱའོ། ། ||| They should rely on, serve, and revere people who are dedicated to the profound.
ཆོས་ལ་ཐེ་ཙོམ་མང་ཞིང་སྒྲིབ་པ་ཡོད་པས་དེས་ཆོས་སྨྲ་བ་ལ་བསྟེན་ཅིང་བསྙེན་བཀུར་བྱེད། ||| Such bodhisattvas have many doubts about the Dharma and many obscurations.
མཆོད་པར་བྱེད་ན་འགྱོད་པ་སེལ་བར་འགྱུར་ལ། དེས་ན་དེའི་ལས་ཀྱི་སྒྲིབ་པ་དེ་རྣམ་པར་དག་པར་འགྱུར་ཞིང་། བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་རོ། ། ||| If they rely on, serve, and revere Dharma teachers, their regrets will be dispelled, their related karmic obscurations will be purified, and they will find release in awakening.
